# {"t_start": 1563844171.5602407, "env_id": "SignalizedEco-v0"} 
r,l,t
-1069.729993,88,0.778209
-1077.232523,86,1.038034
-200.0,2000,4.735295
-200.0,2000,8.421688
-1075.564005,86,8.591767
-200.0,2000,12.340603
-200.0,2000,16.191049
-200.0,2000,19.976147
-200.0,2000,23.895715
-405.483234,2000,27.78596
-1057.164209,91,27.964189
-200.0,2000,31.835861
-200.0,2000,35.922036
-1077.486932,86,36.106973
-200.0,2000,40.327562
-200.0,2000,44.404693
-200.0,2000,48.695367
-200.0,2000,52.675369
-1063.355673,89,52.877215
-200.0,2000,57.050269
-200.0,2000,61.045308
-200.0,2000,65.166654
-1077.791299,86,65.336994
-403.152252,2000,69.327808
-200.0,2000,73.434904
-591.172791,115,73.628432
-1062.727628,88,73.803074
-1070.459119,88,73.975766
-200.0,2000,77.692109
-200.0,2000,81.342486
-200.0,2000,85.090319
-1065.015662,89,85.156199
-263.025782,1043,87.307347
-200.0,2000,91.172191
-200.0,2000,95.257685
-200.0,2000,99.104754
-200.0,2000,102.944268
-200.0,2000,106.836213
-1065.131857,89,107.012998
-1079.379495,86,107.19322
-1066.499075,89,107.256354
-200.0,2000,111.230019
-1069.912808,88,111.40148
-18.3,683,112.655278
-200.0,2000,116.407051
-1071.755481,87,116.578925
-200.0,2000,120.405472
-200.0,2000,123.966693
-200.0,2000,127.801562
-200.0,2000,131.544775
-200.0,2000,135.33094
-200.0,2000,139.199985
-1056.393716,91,139.39134
-200.0,2000,143.351474
-200.0,2000,147.277719
-9.0,590,148.400477
-89.9,1399,151.308277
-1067.339383,88,151.484882
-200.0,2000,155.312971
-200.0,2000,159.222614
-200.0,2000,163.232046
-200.0,2000,167.340758
-9.5,595,168.517823
-264.901928,1064,170.834424
-200.0,2000,174.922529
-1067.559018,88,175.098878
-200.0,2000,179.271194
-200.0,2000,183.365812
-200.0,2000,187.158614
-200.0,2000,190.942136
-200.0,2000,194.88952
-200.0,2000,198.523556
-200.0,2000,202.516054
-200.0,2000,206.403091
-200.0,2000,210.065997
-200.0,2000,213.872939
-14.7,647,215.120678
-200.0,2000,219.318397
-1083.347931,85,219.493939
-1060.724091,90,219.559366
-200.0,2000,223.837758
-200.0,2000,227.931328
-200.0,2000,232.236768
-200.0,2000,236.175754
-200.0,2000,240.495834
-200.0,2000,244.557446
-200.0,2000,248.562959
-269.286179,1111,250.92579
-1070.84827,87,250.989182
-200.0,2000,254.911997
-1077.671182,86,255.08298
-1083.857315,85,255.263987
-1067.339429,88,255.481898
-1062.843832,89,255.682855
-200.0,2000,259.973381
-200.0,2000,263.966446
-1056.948587,91,264.157215
-200.0,2000,268.284478
-1067.035794,88,268.475303
-288.466679,1320,271.295174
-1076.596872,86,271.476191
-200.0,2000,275.645765
-91.7,1417,278.779015
-709.68526,92,278.962912
-200.0,2000,283.201808
-1084.218933,85,283.390542
-200.0,2000,287.574308
-200.0,2000,291.477549
8.7,413,292.219721
-200.0,2000,295.878772
-200.0,2000,299.626667
-1060.473297,90,299.80676
-709.8875,92,299.998378
-200.0,2000,304.187208
-200.0,2000,308.499596
-200.0,2000,312.756003
-200.0,2000,316.852784
-1080.14808,86,316.925035
-1075.932443,86,317.095285
-200.0,2000,321.262046
-1066.834576,88,321.454172
-200.0,2000,325.696021
-1059.734375,90,325.898419
-1070.874356,88,326.09112
-343.109092,1873,330.022702
-1069.425214,88,330.205252
-1069.515485,88,330.373572
-19.9,699,331.846785
-200.0,2000,335.990385
-200.0,2000,340.459608
-200.0,2000,344.762926
-200.0,2000,348.990465
-200.0,2000,353.261964
-200.0,2000,357.674119
-1075.852136,86,357.863262
-1071.069943,88,358.05297
-200.0,2000,362.380418
-200.0,2000,366.575256
-200.0,2000,371.260325
-200.0,2000,375.686745
-20.8,708,376.976093
-200.0,2000,381.037147
-200.0,2000,385.129853
-258.90159,986,387.290512
-200.0,2000,391.397994
-200.0,2000,395.433842
-1059.064127,91,395.60639
-200.0,2000,399.694923
-1069.981183,88,399.865837
