# {"t_start": 1563845546.3084338, "env_id": "SignalizedEco-v0"} 
r,l,t
27.3,227,0.737121
-217.357596,204,0.83407
-229.3705,176,0.916416
-219.18679,200,1.010656
-216.609965,219,1.1108
-227.204886,179,1.192734
-224.713365,186,1.283878
-220.381232,194,1.375956
-215.587036,210,1.476885
-232.873584,167,1.554479
-216.531094,213,1.754808
-233.224586,165,1.833009
-222.132786,195,1.926005
-222.084692,186,2.015398
23.8,262,2.133229
-225.239021,182,2.214157
-231.676549,168,2.293806
-217.840032,196,2.387065
-217.507096,198,2.482682
-236.269576,164,2.559413
-236.143416,164,2.638667
-238.35087,161,2.778564
-216.187404,202,2.870981
-221.154305,185,2.95539
-217.769402,203,3.048725
-222.050285,195,3.136859
-220.273052,195,3.223127
-223.804941,181,3.303124
27.6,224,3.402625
-231.183456,172,3.487415
-222.178898,185,3.572464
-214.800039,221,3.725751
-223.205122,186,3.813678
-228.323055,182,3.899858
-215.001768,234,4.007415
-238.56156,164,4.083747
-227.011343,174,4.164833
28.5,215,4.269415
26.6,234,4.395223
-228.781729,174,4.474949
26.3,237,4.583449
-219.259897,201,4.675109
-222.848732,185,4.82407
-222.965368,186,4.908619
-216.008503,210,5.004082
-237.001099,165,5.079107
-220.051637,206,5.173421
28.3,217,5.272552
-233.380922,166,5.348482
25.0,250,5.463128
-218.28846,195,5.55209
-216.788567,218,5.65244
-223.020884,189,5.800027
26.5,235,5.906565
-568.04258,155,5.976944
-230.181593,171,6.054686
25.0,250,6.169736
-229.73708,170,6.248147
-215.339748,222,6.349694
-219.785915,187,6.435127
-225.649035,184,6.518872
-230.952081,173,6.597744
-237.565648,163,6.671937
-216.595378,227,6.839712
-224.49445,188,6.926195
-238.733789,161,7.000805
-236.666782,162,7.07562
28.1,219,7.176923
25.6,244,7.290208
-221.797507,192,7.37823
-229.964078,178,7.459928
-221.074244,199,7.552521
-237.013948,161,7.626961
-228.551645,176,7.770277
-227.648586,177,7.851004
-222.046739,191,7.937765
-224.593077,184,8.021402
26.9,231,8.126336
27.5,225,8.230544
-225.238963,182,8.318516
-213.89753,210,8.430513
25.4,246,8.554013
20.1,299,8.708699
-218.626691,208,8.892065
26.3,237,9.001249
21.2,288,9.133092
-222.729449,189,9.221684
-235.803046,164,9.298707
-223.470571,181,9.384235
-228.9201,174,9.466904
-220.469308,201,9.560291
25.6,244,9.673137
-224.912901,186,9.759109
21.0,290,9.960246
22.6,274,10.084888
-222.336744,186,10.169454
-217.97061,209,10.265357
-214.871169,209,10.360696
-217.649261,197,10.450399
-218.926971,207,10.544617
-232.458565,170,10.622023
-236.013675,167,10.69868
-230.254447,172,10.837093
28.2,218,10.938987
-219.051559,202,11.03041
-215.602939,237,11.1374
27.0,230,11.241113
-216.176604,212,11.337585
-218.584302,218,11.436466
-215.824874,217,11.534961
-226.853355,175,11.614366
26.4,236,11.72186
-216.269515,217,11.883404
-243.607996,156,11.954623
-218.533087,199,12.045129
-230.276125,176,12.125247
-218.644338,196,12.214911
-223.249354,189,12.30263
-225.564754,180,12.385072
27.5,225,12.487881
-214.945817,218,12.58728
-218.80769,200,12.678867
-215.081911,214,12.83922
-225.73253,181,12.922812
-241.298433,156,12.99486
-216.890115,203,13.102217
-236.160051,161,13.188517
-218.180945,199,13.287094
27.4,226,13.401744
-225.877882,186,13.491125
-216.312776,211,13.594705
-219.81613,199,13.694742
-230.818293,174,13.785882
26.5,235,13.984834
-212.574442,216,14.084654
-216.110822,208,14.182331
-239.463176,162,14.261913
-566.312752,160,14.344128
-227.578528,174,14.432952
26.1,239,14.552059
-216.880199,207,14.658664
27.1,229,14.775386
-223.090862,190,14.874578
-218.011195,204,15.057899
26.4,236,15.170432
25.7,243,15.349333
-224.319431,185,15.444553
-215.744065,223,15.551991
25.6,244,15.680741
-221.884048,190,15.777852
24.8,252,15.905489
27.6,224,16.017179
26.2,238,16.203305
-234.560922,161,16.298366
27.4,226,16.402297
-232.268365,171,16.481772
-230.604007,172,16.560783
-226.931496,185,16.646079
-216.678784,208,16.743053
-219.40733,190,16.830122
-222.228806,185,16.915245
-218.641996,206,17.01569
-217.517831,218,17.116457
-214.934982,220,17.282477
-221.727705,196,17.373138
24.3,257,17.491319
-224.484551,183,17.580577
-213.699219,220,17.6805
25.6,244,17.792253
27.7,223,17.893753
-219.750986,194,17.981978
-234.012866,167,18.058324
26.4,236,18.166441
-215.664616,225,18.340788
23.1,269,18.463709
27.4,226,18.566681
-221.192955,200,18.657565
-224.843002,175,18.738683
-224.348787,191,18.826509
26.9,231,18.932811
-222.085888,185,19.017366
26.0,240,19.127445
28.2,218,19.291837
-227.418497,174,19.372468
-214.418478,201,19.46444
-212.951771,215,19.56365
-225.317261,175,19.644763
24.1,259,19.764738
-226.155753,179,19.847872
-228.844257,172,19.933385
-221.026655,196,20.024299
-227.371635,177,20.106907
26.9,231,20.291684
27.3,227,20.395378
-216.972083,204,20.490527
-218.056815,202,20.59073
-220.951436,188,20.676845
-217.058782,206,20.772192
-234.512006,163,20.847152
-215.096268,215,20.945845
-218.155413,204,21.039064
-220.882032,196,21.130423
27.0,230,21.301425
-215.306641,210,21.398118
-215.684874,214,21.496274
-224.54493,183,21.579745
-240.303818,160,21.65882
-214.716778,205,21.754757
-233.983441,163,21.830627
-231.402325,173,21.911559
-231.442999,169,21.989107
25.0,250,22.103848
-224.015462,186,22.189861
-219.152065,190,22.35755
-227.024222,174,22.436643
23.7,263,22.556583
-225.338921,180,22.638402
26.4,236,22.746034
-241.232411,163,22.820269
-219.887809,197,22.911801
-229.646805,170,22.990384
-218.022689,217,23.089101
-216.195511,210,23.185065
28.0,220,23.347722
-227.957712,171,23.425471
26.6,234,23.533453
-219.398643,195,23.622041
-216.190561,206,23.715714
-217.271332,205,23.808857
-214.620702,211,23.90531
26.5,235,24.012194
-240.803636,161,24.086578
-223.673343,182,24.170682
26.9,231,24.346618
-214.652792,211,24.442567
-225.202547,179,24.523945
26.1,239,24.632488
28.0,220,24.733178
-222.44361,189,24.820277
-242.498665,155,24.891032
-223.472536,184,24.97496
-230.763492,167,25.051091
28.0,220,25.151369
-217.283928,200,25.242984
-217.67689,199,25.396463
-217.622692,205,25.489986
-225.055142,178,25.571321
26.4,236,25.679063
-236.915372,163,25.753198
-229.079659,173,25.832437
-224.378947,177,25.913258
25.6,244,26.025176
-230.065703,174,26.104192
26.8,232,26.209756
27.9,221,26.378034
-227.177364,180,26.459598
27.2,228,26.563244
-230.394785,169,26.63964
-216.918434,200,26.729769
-219.455058,189,26.815831
-220.581448,193,26.902955
-225.212303,180,26.983968
-216.746568,218,27.082944
-217.986717,210,27.178645
23.0,270,27.364552
24.9,251,27.478338
-220.618971,194,27.566086
-217.060951,205,27.658759
-214.894978,218,27.757397
-229.80989,172,27.836377
-239.213661,160,27.909179
-216.933288,197,27.998603
-222.375729,180,28.08036
-218.32446,193,28.16789
27.4,226,28.338328
-221.691006,185,28.423014
-223.58483,184,28.507338
26.9,231,28.612545
-213.875301,210,28.70806
-213.60963,212,28.804556
27.2,228,28.90894
-216.078897,206,29.003404
28.0,220,29.10406
-232.755063,168,29.181493
-216.76545,215,29.344367
-216.740978,200,29.435208
28.5,215,29.532909
-217.653238,196,29.622418
-229.918551,169,29.700019
-217.060231,198,29.790701
23.7,263,29.911102
-231.063223,169,29.988268
-226.429306,175,30.068346
26.8,232,30.175174
-213.944765,216,30.343161
-218.800083,200,30.434975
-219.701978,193,30.523703
27.1,229,30.628042
-224.978718,180,30.710163
-212.837387,215,30.809064
27.3,227,30.913678
-216.906189,215,31.011287
-222.735016,185,31.095388
-233.087695,167,31.171566
-223.337039,182,31.254264
-223.597399,179,31.398354
-218.611143,199,31.489306
-222.593337,187,31.574325
-215.678306,212,31.670598
-215.115747,201,31.76159
-222.541543,183,31.845324
-223.140315,182,31.927939
-229.031467,167,32.004395
-215.742445,201,32.096309
-215.602742,208,32.191513
-216.556976,205,32.35085
-217.338268,202,32.439493
27.4,226,32.538505
25.5,245,32.646592
-215.154658,209,32.738218
26.9,231,32.839911
-224.366599,184,32.920391
28.7,213,33.013527
-216.689669,209,33.105275
-216.064209,215,33.200127
-214.67696,210,33.357423
-215.081818,208,33.450721
-221.054967,188,33.536657
-228.440397,176,33.616585
-217.333987,199,33.707118
-227.709778,180,33.789945
-214.892773,210,33.886513
-217.225515,201,33.978462
-229.547824,172,34.0569
-224.098502,187,34.142489
-214.662698,213,34.32496
23.7,263,34.450694
-235.240549,166,34.52943
-572.892316,153,34.598986
-222.122557,194,34.687916
27.4,226,34.7919
27.4,226,34.896152
27.0,230,35.001612
-222.31293,177,35.082649
-225.003105,180,35.166742
-227.675083,175,35.246865
-215.934148,211,35.407978
-220.257185,191,35.495393
-218.082378,202,35.588068
24.6,254,35.704358
-216.655331,198,35.795976
-214.654065,208,35.892984
25.9,241,36.003711
24.5,255,36.121014
-219.676466,189,36.208022
26.9,231,36.378565
-221.334732,185,36.463821
24.5,255,36.580875
-220.718712,190,36.667533
-225.974645,181,36.749882
-229.270435,175,36.830166
-227.745772,174,36.909507
-227.048532,176,36.989782
25.6,244,37.101581
-231.020474,173,37.187473
-236.050569,166,37.263299
-222.831271,184,37.409579
-213.152106,219,37.50947
24.7,253,37.624631
-216.320407,212,37.72203
-211.103282,212,37.820089
-222.687778,187,37.905952
25.6,244,38.01762
28.1,219,38.117816
-216.634142,199,38.209454
-212.275528,205,38.371705
-219.351331,186,38.45711
