eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
196.2,-197.5984954,1915,3.5888414e-05,0.0,1.4032556,7.3475967e-06,765.6657,0.6743735373020172,1,2048,1.0690400110033806,2048
198.79,-178.15656960999996,2048,3.591758e-05,0.0,1.4028648,4.60562e-05,696.4844,0.7045795023441315,10,20480,10.212453765998362,20480
204.48,-158.67359578,2012,5.5907472e-05,0.0,1.4038063,0.00011149584,790.8307,0.6119698882102966,20,40960,20.663601280000876,40960
200.24,-158.41297268999998,2053,1.7552045e-05,0.0,1.4036094,-0.00027161007,732.27057,0.6538888812065125,30,61440,30.69131563299743,61440
205.07,-162.26098214000004,2023,7.2792616e-05,0.0,1.3967195,-1.910732e-05,670.7493,0.6479510962963104,40,81920,40.74201174000336,81920
209.61,-148.64160692,1980,7.194162e-05,0.0,1.4006315,0.00018565243,576.5044,0.6664621531963348,50,102400,50.96332259700284,102400
219.99,-134.97336367000003,1909,0.00012818517,0.0,1.401137,-7.184127e-05,593.0073,0.6386188566684723,60,122880,61.45037027299986,122880
219.43,-137.70680471999998,2022,0.0005236954,0.0009765625,1.3996491,-0.0020660982,911.2997,0.621816486120224,70,143360,71.57638014499389,143360
229.41,-117.85826768999999,1910,0.00013026348,0.0,1.3950757,-0.00043787633,362.33853,0.7123013436794281,80,163840,81.90145060500072,163840
234.58,-122.04643871,1944,0.00013834854,0.0,1.3948416,-0.000982206,746.21985,0.6146122217178345,90,184320,92.4374642479961,184320
262.21,-161.42820503000002,2044,0.000121119585,0.0,1.4058795,4.6220273e-05,352.95587,0.7762038856744766,100,204800,102.4508564479911,204800
396.44,-196.29095696999997,2064,0.0020441392,0.011108398,1.4100137,0.0005151833,79.616196,0.7993414998054504,110,225280,112.3838552160014,225280
574.1,-218.76426692000004,2060,0.005159278,0.059814453,1.4045844,0.004009034,68.65541,0.7918531894683838,120,245760,122.29123845299182,245760
750.01,-241.66760616,2050,0.0054459358,0.06933594,1.4140326,0.0023110532,82.86002,0.6936554312705994,130,266240,132.082913567996,266240
925.72,-264.69932047,1766,0.0024274488,0.012573242,1.4202513,-0.0020076057,13.634462,0.66209676861763,140,286720,142.23668914799055,286720
1115.3,-278.92666451,1923,0.0002587677,0.0012207031,1.3966928,-0.002129038,5.246051,0.6686739027500153,150,307200,152.79807474299741,307200
1288.45,-287.45901027,2071,0.0005993727,0.00048828125,1.3907486,-0.00077572744,109.72264,0.09466177225112915,160,327680,163.36181362900243,327680
1448.1,-304.07714840999995,2061,0.00043664945,0.0,1.3905598,0.0014330902,2.8554764,0.7090714871883392,170,348160,173.79994897499273,348160
1607.57,-316.26369042,2072,0.0001597955,0.00024414062,1.3874679,0.00049722666,90.47711,0.14050418138504028,180,368640,183.79445683499216,368640
1780.26,-333.36253221,2077,0.0016102123,0.0059814453,1.3851185,-0.0040030964,1.9939942,0.7259315848350525,190,389120,193.70811839100497,389120
1893.06,-341.61354102999996,2074,0.00024474988,0.002319336,1.3812246,0.00016694597,1.9093072,0.676971971988678,200,409600,203.63005523999163,409600
2000.0,-346.94773264,2048,0.0002773655,0.0028076172,1.3685865,0.00032757057,1.1050482,0.699443519115448,210,430080,213.55295702800504,430080
2000.0,-338.745833,2122,9.382941e-05,0.00024414062,1.3668368,0.0008076977,0.8659901,0.6793508231639862,220,450560,223.66063941600441,450560
2000.0,-332.66883220000005,2065,0.00042911162,0.0018310547,1.3688956,-0.00025735004,1.1072184,0.6488827466964722,230,471040,233.77381525699457,471040
2000.0,-330.07108475,2000,0.00020124103,0.0026855469,1.365401,-0.00027965783,0.64824915,0.6587761640548706,240,491520,243.96089605499583,491520
2000.0,-332.61535975,2107,0.001018985,0.0056152344,1.3568627,0.00023278347,96.199684,0.029947340488433838,250,512000,254.09456804399088,512000
2000.0,-322.91392604,2022,0.0032986691,0.03466797,1.3396928,-0.0012479639,0.22191297,0.12474966049194336,260,532480,264.0935846999928,532480
2000.0,-313.39225489,2111,0.00029178546,0.002319336,1.3344446,0.0010097905,108.076225,0.03410983085632324,270,552960,274.01051202400413,552960
2000.0,-303.23901984,2066,0.000728737,0.0045166016,1.3306044,0.0014202391,0.320877,0.48170435428619385,280,573440,283.97724233999907,573440
2000.0,-295.98295041,2072,0.0008716161,0.0032958984,1.3211764,0.0029070138,106.53223,0.012827873229980469,290,593920,294.0135888060031,593920
2000.0,-284.60615792000004,1912,0.0017094216,0.006591797,1.3175689,-0.0011633174,0.17151262,0.2891120910644531,300,614400,304.13675070200406,614400
2000.0,-272.80441635,2026,0.002364984,0.020996094,1.3223968,-0.0018451479,0.38639718,0.12875521183013916,310,634880,314.6771140789933,634880
2000.0,-269.15235257999996,1941,0.0008426811,0.007446289,1.3183334,-0.002188322,332.62982,0.02709829807281494,320,655360,324.9830310020043,655360
2000.0,-259.40548429999996,1959,0.003384953,0.040039062,1.3207947,-0.0019664313,0.23412976,0.41440486907958984,330,675840,335.3850798839994,675840
2000.0,-257.07961567,1844,0.00045834942,0.00012207031,1.3228588,0.00021139512,0.18866421,0.09491527080535889,340,696320,346.5238242769992,696320
2000.0,-250.19914129,2039,0.0007051502,0.0,1.3107035,-0.00016042538,0.16515869,0.3238934278488159,350,716800,357.29467977299646,716800
2000.0,-259.1116678,1977,0.0032586907,0.041259766,1.3080288,-0.0009997757,0.20902015,0.4758179783821106,360,737280,367.73176439899544,737280
2000.0,-252.03330232,2051,0.00011775331,0.0,1.3073106,-0.00015958448,0.15708776,0.5400119423866272,370,757760,377.72954346999177,757760
2000.0,-241.98687357,1994,0.0018984011,0.0068359375,1.2995167,0.0005766571,0.1333791,0.7679845690727234,380,778240,387.77802221100137,778240
2000.0,-234.21582390999995,2061,0.00020600525,0.0,1.3064215,0.00011322816,0.14541279,0.6600901782512665,390,798720,397.95161408199056,798720
2000.0,-237.60283999,2014,0.0021554627,0.013427734,1.3023787,0.00062563084,213.93143,0.03328496217727661,400,819200,408.34213234100025,819200
2000.0,-249.72904834000002,1920,0.00011378263,0.00012207031,1.3044853,3.7694408e-05,0.17377692,0.6637231111526489,410,839680,418.9959107110044,839680
2000.0,-238.70695759999998,2053,0.004267046,0.052856445,1.3001813,-0.0016851429,0.19483075,0.5293481945991516,420,860160,429.0604299849947,860160
2000.0,-234.28558271000003,1944,0.0023148279,0.020507812,1.3004663,-0.000830616,0.12613373,0.6646830439567566,430,880640,439.8261459369969,880640
2000.0,-232.21249388,1947,0.0016530108,0.0073242188,1.2939274,-0.0010345326,380.6746,0.018291473388671875,440,901120,450.61091496399604,901120
2000.0,-238.28106946999998,1849,9.054412e-05,0.0,1.2824223,-5.881209e-05,0.13444798,0.798748180270195,450,921600,461.308031854991,921600
2000.0,-236.07150353,1778,0.004617696,0.056762695,1.2822988,-0.0031211257,0.1818813,0.6747775375843048,460,942080,471.9186662650027,942080
2000.0,-239.31961831,2034,0.0017324961,0.009155273,1.2702739,-0.0016413676,0.19936348,0.518626481294632,470,962560,482.5393064789969,962560
2000.0,-251.23124100999996,2022,0.00067571766,0.0010986328,1.2654185,-0.0012726128,0.19084796,0.48536407947540283,480,983040,492.59833464999974,983040
