# {"t_start": 1563844628.5212371, "env_id": "SignalizedEco-v0"} 
r,l,t
-537.995798,131,0.630641
-246.769908,152,0.706348
-524.878473,141,0.776181
-521.966209,140,0.846032
-530.585542,136,0.913183
-246.383852,151,0.989125
-537.07168,131,1.056462
-534.786365,132,1.123751
-249.957346,146,1.210741
-525.380054,142,1.277371
-543.200948,128,1.337445
-537.460815,130,1.398014
-534.245042,136,1.462478
-248.628246,147,1.531196
-893.219872,120,1.684676
-528.923453,144,1.753508
-229.640985,176,1.839034
-542.966293,130,1.901914
-883.42336,123,1.962012
-531.784666,134,2.028714
-523.328601,142,2.097023
-527.28019,140,2.165005
-235.510019,171,2.247886
-527.773123,139,2.315837
-523.222404,145,2.38671
-523.540205,144,2.456296
-529.954597,135,2.52185
-541.444073,128,2.584426
-532.422702,137,2.650948
-528.088263,139,2.782247
-243.392737,159,2.858268
-548.618263,125,2.918125
-532.593152,133,2.981914
-527.619368,139,3.049125
-233.452158,171,3.131389
-520.356689,145,3.201715
-248.116273,151,3.274654
-526.139902,141,3.34303
-243.875668,158,3.419178
-242.584967,159,3.495286
-234.991389,172,3.57567
-242.665359,155,3.647621
-863.476128,130,3.709844
-244.307426,155,3.851664
-525.692291,140,3.919452
-248.052058,152,3.995497
-526.562471,141,4.060926
-237.981319,162,4.135773
-238.803493,162,4.211322
-552.891595,126,4.270129
-535.159793,132,4.331614
-241.361028,163,4.407672
-533.374922,134,4.470075
-242.550957,160,4.543804
-242.496809,159,4.617522
-527.141319,140,4.68256
-524.90777,141,4.808097
-527.345303,143,4.877472
-529.575926,139,4.9419
-244.521991,157,5.014015
-231.872572,174,5.094334
-537.471365,134,5.156578
-551.008598,125,5.214679
-538.816641,129,5.274515
-248.502769,150,5.344392
-533.015768,134,5.406629
-240.467981,156,5.479132
-523.234584,142,5.545188
-529.787881,136,5.608378
-247.684837,150,5.678222
-243.794537,158,5.752564
-538.355426,132,5.877328
-531.914343,134,5.940042
-241.319077,160,6.014798
-529.928737,137,6.088768
-532.396544,134,6.159718
-242.522006,157,6.239913
-538.056601,129,6.32406
-526.423251,142,6.426126
-533.667415,132,6.489798
-528.481105,137,6.556117
-520.633482,144,6.623819
-522.231543,144,6.690635
-524.648418,142,6.761776
-254.01552,146,6.830777
-251.706589,150,6.972816
-251.470775,147,7.044376
-244.288725,154,7.119169
-523.562746,141,7.187619
-250.600095,148,7.260057
-247.753088,149,7.332544
-527.013719,136,7.40389
-529.438803,139,7.470847
-539.222612,131,7.534051
-247.305727,151,7.606442
-242.041165,158,7.682035
-525.310118,144,7.751031
-237.879237,167,7.830794
-247.424431,155,7.905045
-525.317575,141,8.040132
-241.719566,160,8.113089
-248.77518,147,8.1805
-237.160953,167,8.257293
-531.354108,138,8.320799
-245.220796,151,8.390485
-524.592409,141,8.456432
-236.878941,168,8.536351
-245.256288,151,8.6081
-233.686304,171,8.689277
-244.898325,161,8.766006
-539.74418,131,8.82794
-241.289479,158,8.903366
-241.93107,156,9.044061
-247.068503,154,9.117787
-556.890866,123,9.176682
-248.299091,147,9.246892
-237.33584,166,9.326457
-237.312746,171,9.408923
-243.644327,156,9.483754
-239.183386,164,9.563303
-524.43649,143,9.632184
-250.077617,147,9.702819
-245.359503,159,9.779277
-539.243387,131,9.842735
-524.144789,144,9.911922
-526.253812,138,9.979008
-518.776884,144,10.115279
-535.586394,134,10.179534
-248.137596,150,10.251904
-530.403394,138,10.318474
-540.754622,129,10.380619
-242.681062,161,10.458369
-526.82464,141,10.526557
-232.552943,172,10.609915
-528.349074,139,10.67678
-531.155351,136,10.742146
-535.826218,135,10.807076
-536.331961,134,10.871239
-238.555673,166,10.951538
-528.262715,138,11.016871
-524.782947,137,11.147178
-236.629655,166,11.224601
-241.052182,163,11.302931
-525.133992,143,11.371769
-242.232405,164,11.450812
-877.194092,125,11.511534
-245.283241,155,11.58617
-235.97572,173,11.669792
-235.690326,172,11.752553
-531.786406,134,11.817194
-242.545436,157,11.892833
-876.118546,125,11.953312
-243.847935,158,12.029878
-248.615933,148,12.100223
-537.248453,131,12.22789
-228.911613,177,12.312165
-527.75417,138,12.37799
-249.214368,148,12.449256
-530.273172,141,12.51665
-236.748512,165,12.59612
-534.120895,135,12.661495
-249.455516,147,12.731483
-237.648697,165,12.810347
-522.820129,145,12.87942
-533.356479,137,12.944692
-237.945569,163,13.023576
-529.183327,140,13.092644
-539.340555,131,13.15727
-245.03562,154,13.304656
-522.94881,142,13.371873
-235.932002,167,13.450947
-240.34651,164,13.529276
-529.502321,136,13.594099
-249.50087,150,13.66518
-533.028363,138,13.73224
-244.902721,157,13.807764
-237.668102,167,13.887247
-523.298981,145,13.956026
-237.063301,165,14.039582
-235.330185,170,14.123123
-877.15206,124,14.181007
-526.856413,139,14.316771
-525.687628,139,14.383937
-250.020641,147,14.455998
-875.720232,126,14.517666
-528.773488,138,14.585678
-525.059818,142,14.655383
-532.1924,136,14.721703
-539.172424,130,14.786017
-248.647717,148,14.858742
-524.827193,139,14.925768
-527.839066,135,14.990847
-534.314786,133,15.055633
-540.759532,132,15.121089
-242.911673,159,15.199368
-529.020871,138,15.266763
-878.438353,124,15.397182
-538.621585,132,15.460532
-522.295274,141,15.528049
-250.331039,150,15.600102
-247.79599,150,15.672762
-535.630894,133,15.736703
-528.765758,142,15.804777
-528.841774,140,15.872367
-525.330916,139,15.939003
-518.657103,144,16.008535
-240.331152,159,16.084908
-235.897459,169,16.165159
-531.18336,137,16.228625
-245.285239,154,16.300027
-527.544638,139,16.433482
-250.157965,149,16.504997
-245.606772,149,16.57763
-249.810164,149,16.651976
-250.639418,149,16.726637
-237.05397,170,16.808708
-238.42921,162,16.886111
-247.730846,147,16.957169
-238.335017,167,17.037058
-534.408961,132,17.100228
-244.790842,156,17.175298
-530.807404,135,17.240433
-237.932808,165,17.319412
-532.234245,135,17.383956
-240.057536,162,17.529018
-227.30444,193,17.621071
-249.570451,146,17.691004
-235.854605,169,17.772059
-238.347447,168,17.852684
-529.368112,141,17.920302
-249.095836,147,17.992911
-241.554279,162,18.070433
-540.767311,130,18.132785
-238.402986,161,18.209676
-523.253535,142,18.278163
-533.210832,136,18.34337
-526.541014,144,18.412687
-883.810239,123,18.539537
-519.825066,145,18.609172
-533.393147,133,18.672893
-522.142061,141,18.740285
-530.496962,139,18.80666
-874.724832,126,18.866994
-246.636871,155,18.941373
-239.058119,164,19.020662
-246.259108,154,19.094967
-236.55959,168,19.175472
-531.182657,136,19.240618
-249.215909,148,19.31166
-231.876848,176,19.396627
-240.350153,161,19.474384
-539.99044,130,19.604341
-242.536963,159,19.680395
-531.600505,137,19.746042
-527.973073,138,19.811926
-238.857436,169,19.892991
-525.398897,141,19.960571
-521.965334,141,20.0263
-252.014688,146,20.094226
-525.597427,140,20.15862
-242.464276,158,20.231136
-534.992471,131,20.291205
-231.732977,174,20.371585
-233.573755,171,20.450093
-245.037604,154,20.520677
-233.29969,170,20.670351
-537.093724,133,20.736162
-245.315958,151,20.808392
-530.287924,134,20.871654
-242.84016,162,20.950245
-245.452339,155,21.022189
-246.82975,150,21.092339
-243.748045,159,21.166298
