# {"t_start": 1563845764.8572178, "env_id": "SignalizedEco-v0"} 
r,l,t
-240.986623,168,12.34475
-237.102971,178,12.507841
25.5,245,12.634642
-239.039909,185,12.734452
-229.135139,200,12.842747
-240.730524,171,12.931481
-242.785309,165,13.236607
-245.903816,155,13.316063
-200.0,2000,14.499297
-239.247774,166,14.583228
-236.915273,188,14.680324
26.1,239,14.797535
-252.74875,146,14.871573
-239.987302,168,15.027681
-237.107841,180,15.114614
-236.522484,175,15.199026
-248.103145,157,15.275268
-235.092366,188,15.365768
-544.83239,135,15.432612
-233.731367,189,15.596791
-540.979036,136,15.663154
-240.522687,173,15.747305
29.2,208,15.849185
-249.627202,153,15.923854
-248.325703,153,15.998915
-251.505658,148,16.143533
-236.515501,184,16.2342
-240.079797,176,16.321454
-246.882448,156,16.399411
-525.99913,145,16.476684
-239.393524,175,16.562913
-245.084302,158,16.720445
-243.95441,152,16.796385
29.4,206,16.900673
-245.515855,156,16.981577
27.8,222,17.096988
-525.045891,145,17.171468
-530.076866,145,17.319541
-531.633739,142,17.390685
-231.459515,200,17.496714
-237.875995,177,17.596886
-240.887364,168,17.695968
-534.864131,142,17.777471
-252.527414,146,17.861193
27.6,224,18.055156
-251.680838,149,18.128025
-244.85495,160,18.205399
-231.502744,198,18.303023
-230.864764,207,18.403891
-241.30423,165,18.544306
-226.717316,228,18.657109
-529.500613,142,18.727538
-233.722809,185,18.818207
-244.339462,160,18.897919
-230.035818,209,18.999873
-524.011302,142,19.142758
-237.871913,182,19.232093
-233.856274,188,19.323931
-528.110193,141,19.393403
-237.697418,175,19.482967
-246.243896,155,19.558825
-241.102211,170,19.718041
-245.386382,159,19.796294
-237.292747,190,19.889447
-243.409409,160,19.967235
26.5,235,20.085393
28.6,214,20.265156
-236.145422,174,20.35023
-241.802533,163,20.430201
-238.810817,167,20.511835
-248.965489,148,20.584519
-233.657417,185,20.679739
-200.0,2000,21.813917
-200.0,2000,22.950361
-200.0,2000,24.087562
-200.0,2000,25.219963
-200.0,2000,26.360011
-233.542032,206,26.46518
-235.189323,195,26.561438
-231.091338,204,26.821323
-452.011921,2000,27.960119
-231.112038,215,28.065317
-231.862445,247,28.18574
-200.0,2000,29.359657
-235.966621,180,29.455132
-453.510185,2000,30.634949
-200.0,2000,31.7663
-200.0,2000,32.93685
-200.0,2000,34.091529
-200.0,2000,35.30169
-200.0,2000,36.547446
-200.0,2000,37.753609
-200.0,2000,38.998832
-200.0,2000,40.184046
-200.0,2000,41.348261
-200.0,2000,161.830357
-200.0,2000,162.978016
-200.0,2000,164.158574
-200.0,2000,165.322007
-200.0,2000,166.562997
-200.0,2000,167.841848
-451.322689,2000,169.04669
-457.835415,2000,170.241869
-234.480855,198,170.346829
-233.203062,206,170.531385
-200.0,2000,171.783274
-200.0,2000,172.986772
-200.0,2000,174.261026
-459.778248,2000,175.523556
-200.0,2000,176.795745
-200.0,2000,178.022887
-200.0,2000,179.256726
-200.0,2000,180.487809
-200.0,2000,181.771914
-200.0,2000,183.088972
-200.0,2000,184.34363
-200.0,2000,185.639629
-200.0,2000,186.844419
-200.0,2000,188.059727
-200.0,2000,189.36517
-200.0,2000,190.667257
-200.0,2000,191.930494
-200.0,2000,193.103109
-200.0,2000,314.600557
-200.0,2000,315.892601
-200.0,2000,317.202467
-200.0,2000,318.491707
-200.0,2000,319.749803
-200.0,2000,320.93826
-200.0,2000,322.136846
-200.0,2000,323.327955
-200.0,2000,324.517473
-200.0,2000,325.709996
-200.0,2000,326.913458
-200.0,2000,328.134466
-200.0,2000,329.430796
-200.0,2000,330.795988
-200.0,2000,332.106391
-200.0,2000,333.314565
-200.0,2000,334.498769
-200.0,2000,335.67772
-200.0,2000,336.944092
-200.0,2000,338.147965
-200.0,2000,339.361526
-200.0,2000,340.553647
-200.0,2000,341.66197
-200.0,2000,342.826565
-200.0,2000,343.991871
-200.0,2000,345.144699
