# {"t_start": 1563847292.119835, "env_id": "SignalizedEco-v0"} 
r,l,t
-967.609006,103,0.886758
-624.187854,107,0.943134
-977.617349,101,0.995727
-620.530545,108,1.05178
-1001.039911,96,1.10143
-600.411035,116,1.160958
-614.040417,113,1.218645
-978.686478,100,1.26997
-963.052582,105,1.324027
-610.666344,115,1.592563
-618.605431,110,1.649424
-629.699295,105,1.703442
-612.293379,114,1.765595
-962.771124,104,1.818785
-606.723656,115,1.878409
-616.560739,111,1.935622
-603.489549,116,1.995781
-975.169193,102,2.051643
-610.415103,112,2.187052
-973.298352,103,2.240721
-631.287631,107,2.295633
-620.979993,108,2.351392
-607.631514,114,2.410054
-610.625867,113,2.47162
-979.237198,100,2.524234
-978.057361,102,2.577025
-1002.631265,96,2.6259
-630.523904,106,2.680087
-983.830505,100,2.819719
-950.090144,107,2.875308
-600.279276,116,2.935005
-623.945636,107,2.99074
-967.371329,104,3.044637
-973.112155,102,3.101655
-627.69548,105,3.156125
-621.471701,109,3.21288
-614.357764,109,3.269141
-613.167801,115,3.329045
-621.889636,107,3.467118
-976.921182,101,3.519416
-964.770102,104,3.572824
-962.509827,105,3.627115
-608.457753,113,3.689096
-962.09581,105,3.742776
-593.669707,119,3.803973
-608.216895,114,3.862424
-609.113417,114,3.920208
-616.005745,110,4.060778
-974.332516,103,4.110876
-599.067708,118,4.168236
-962.980566,104,4.218939
-623.553317,107,4.271041
-962.080566,105,4.322999
-964.729575,104,4.373744
-630.489685,105,4.424974
-615.837105,110,4.478826
-979.27009,101,4.53239
-987.228995,99,4.661411
-610.262547,113,4.716663
-592.28698,120,4.775276
-618.161069,108,4.827998
-613.50419,111,4.882858
-948.894946,107,4.935729
-597.891786,116,4.992475
-969.640225,103,5.042835
-616.810564,111,5.097945
-592.110144,119,5.236067
-605.688754,117,5.293308
-603.717503,118,5.351225
-614.017322,112,5.406042
-626.746606,106,5.461969
-616.134645,111,5.516123
-607.870419,113,5.571209
-620.307327,110,5.625085
-589.632524,121,5.684983
-595.797179,119,5.816561
-604.802321,114,5.871695
-625.759027,106,5.92306
-608.111078,111,5.97855
-602.763821,113,6.039288
-610.336244,111,6.094556
-590.228105,121,6.154802
-615.208528,111,6.21194
-626.128793,106,6.273376
-614.483206,109,6.403463
-618.290387,108,6.452739
-619.26181,110,6.50693
-621.32262,107,6.572267
-612.180992,110,6.627089
-606.161476,115,6.684924
-614.544983,110,6.739246
-605.6157,115,6.806201
-964.195029,104,6.858333
-960.750128,104,6.995262
-619.552264,107,7.051142
-971.591693,102,7.10122
-976.604587,102,7.151026
-629.297571,106,7.203136
-991.948874,99,7.252291
-972.719037,103,7.303126
-633.301581,104,7.353473
-976.186136,101,7.402682
-599.672946,117,7.459817
-975.61745,102,7.585385
-594.817427,119,7.64385
-616.049663,112,7.698394
-965.377484,103,7.748557
-630.002151,105,7.799812
-613.645494,111,7.854261
-617.778915,110,7.907639
-968.807217,103,7.957873
-976.691873,101,8.007118
-620.636115,109,8.061122
-624.316754,108,8.188342
-619.271761,111,8.242556
-606.022838,112,8.297262
-609.819385,112,8.352042
-621.405661,109,8.405789
-602.884978,114,8.461433
-612.91765,111,8.516873
-602.248416,117,8.596058
-601.444998,114,8.652376
-630.269348,105,8.785664
-978.396045,102,8.836059
-609.584262,112,8.89056
-600.72285,117,8.947792
-973.16727,102,8.998098
-626.948154,107,9.05012
-599.160237,118,9.1077
-970.660541,102,9.157549
-965.556403,104,9.208358
-625.769199,107,9.341156
-600.083629,117,9.39859
-605.078552,115,9.454191
-609.805989,113,9.508926
-591.886879,120,9.567136
-609.412907,113,9.62249
-607.060617,116,9.678821
-612.479138,113,9.733577
-597.610071,116,9.789947
-619.037854,108,9.916153
-597.194359,115,9.972416
-621.76073,107,10.024299
-604.753981,114,10.079951
-963.723175,105,10.131301
-605.747041,116,10.191121
-964.614706,104,10.241771
-967.309384,103,10.292017
