# {"t_start": 1564010270.4923773, "env_id": "SignalizedEco-v0"} 
r,l,t
-355.468864,600,2.020313
-363.383237,591,2.424877
-311.8519,709,2.92684
-280.380722,685,4.39325
-285.964057,647,4.83787
-276.829909,684,5.31555
-282.462939,659,6.538796
-372.272048,527,6.908118
-310.210057,633,7.363013
-185.126218,763,8.660339
-209.519421,743,9.175004
-555.891362,3433,13.003638
192.4,3076,15.689809
-541.662413,4414,20.137748
-445.331039,3596,23.986263
-459.932985,4050,28.09344
-1201.457281,5000,33.606184
-1052.091613,4282,37.870157
-589.470734,5000,42.85614
-1164.711888,4755,47.560174
-1297.685969,5000,53.280336
-1726.910113,4937,58.171101
-1808.915948,4586,62.659761
-1445.085981,4801,67.982531
-590.413343,4466,72.46579
-565.744492,4489,76.994371
-1155.09876,4151,81.283195
-1417.314249,3914,85.309687
-1082.220267,4382,89.769446
-1224.835043,5000,95.432674
-1158.324557,4256,99.93262
59.9,4401,104.445097
-1190.201601,4086,366.774362
-939.951938,4557,371.504982
-2495.11353,4719,376.22
-1885.941727,5000,381.149428
-1512.620422,5000,386.529293
-942.554401,5000,391.429562
-948.833099,5000,397.037122
-953.632782,5000,401.931669
-944.262173,5000,407.232821
-951.616749,5000,411.547363
-950.293777,5000,416.956606
-951.036324,5000,421.767483
-966.783974,5000,426.563958
-935.397316,5000,432.048382
-971.63629,5000,436.944803
-1519.480499,5000,442.594953
-1843.666942,4622,447.290616
67.4,4326,451.912756
-3230.146363,4824,456.752674
51.7,4483,461.861845
68.9,4311,466.21411
-728.76208,4239,470.51298
65.2,4348,737.466252
-2630.205943,4697,741.852035
68.8,4312,746.329098
-724.036534,4078,750.692442
65.1,4349,755.23032
-791.446236,4105,759.802693
-2717.026605,3946,764.206105
72.1,4279,769.141965
-1863.426762,4633,774.045603
-951.747051,5000,779.81397
-966.624817,5000,784.78358
-980.534485,5000,790.331396
-961.405449,5000,795.154768
-965.338844,5000,800.644798
-902.43866,5000,805.416019
-964.838188,5000,810.329239
75.8,4242,814.659789
65.6,4344,819.652656
53.7,4463,824.202946
75.7,4243,828.60703
-788.029945,4055,833.096235
-828.5097,4122,837.319218
-1802.246758,3985,841.611243
-1763.686032,4023,1089.248993
-2548.915561,4732,1093.968815
-3525.244261,4889,1098.703906
-3483.413097,4745,1104.130149
-1583.620495,5000,1108.699954
-967.574242,5000,1113.61562
-1383.426159,5000,1119.093054
-2576.274113,4673,1123.731225
-866.384598,5000,1129.417816
-2388.376267,4999,1134.398395
50.8,4492,1138.718129
-1613.040123,5000,1144.200814
-3614.755382,4742,1148.947349
-848.57309,5000,1153.738995
-2662.384058,4631,1159.204772
61.7,4383,1163.625464
77.7,4223,1167.963128
-1835.566,4044,1172.198033
-3610.923592,3910,1176.34504
-2808.696606,3928,1180.540547
-3651.647169,3899,1184.743105
-3645.178731,3803,1188.208874
-1826.003876,3575,1192.126678
-854.220517,4203,1453.119814
-644.595218,3077,1456.096368
-838.751938,3545,1460.085639
460.2,398,1460.358541
459.3,407,1460.63643
459.7,403,1460.900225
458.1,419,1462.070469
455.6,444,1462.379954
158.9,3411,1465.451638
150.7,3493,1469.215355
-535.851938,516,1469.525841
-2739.672998,3961,1473.496222
-1924.394339,4559,1478.611143
452.4,476,1478.88428
459.6,404,1479.116146
459.3,407,1479.364429
-2641.717944,4677,1483.843889
458.8,412,1484.900682
460.1,399,1485.13713
460.2,398,1485.404297
-876.25367,5000,1490.060649
-1410.723545,5000,1495.907563
-948.989567,5000,1501.313251
-956.957928,5000,1506.741936
-960.397346,5000,1511.682949
68.3,4317,1516.517826
