EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,entloss,entropy,ev_tdlam_before,meankl,optimgain,surrgain
130.57142857142858,-221.41531,7,7,1.3420166969299316,914,0.0,1.3959452,0.0008875727653503418,0.004585238,0.0024883759,0.0024883759
125.0,-225.31708,9,16,2.391690969467163,2000,0.0,1.361177,3.707408905029297e-05,0.004572998,0.0026186788,0.0026186788
126.29166666666667,-224.21794,8,24,3.48801851272583,3031,0.0,1.3147475,3.1054019927978516e-05,0.005145631,0.0048151333,0.0048151333
126.78125,-224.20267,8,32,4.583421230316162,4057,0.0,1.2846528,5.8770179748535156e-05,0.0046377396,0.0026570645,0.0026570645
126.125,-224.80649,8,40,5.667496919631958,5045,0.0,1.2735608,0.2530725598335266,0.0040289783,0.0074169002,0.0074169002
125.35,-225.7299,8,48,6.6691203117370605,6054,0.0,1.3368629,0.3473241925239563,0.0044714343,0.0053226035,0.0053226035
126.675,-225.37988,8,56,7.704481601715088,7067,0.0,1.3443447,0.4145662784576416,0.005052246,0.006811728,0.006811728
125.825,-226.40019,9,65,8.828595161437988,8185,0.0,1.4061636,0.5124937891960144,0.0043685846,0.006627906,0.006627906
125.475,-226.2587,8,73,9.944291353225708,9190,0.0,1.4165205,0.5073056817054749,0.004602023,0.009545445,0.009545445
125.175,-226.66281,8,81,11.058006763458252,10169,0.0,1.3615566,0.43206214904785156,0.0049244445,0.0015199529,0.0015199529
124.775,-226.80539,8,89,12.043709754943848,11170,0.0,1.3737031,0.565211147069931,0.0046375683,0.007986284,0.007986284
124.1,-227.10376,8,97,13.076822757720947,12155,0.0,1.4320668,0.5904123187065125,0.0045210538,0.0043758615,0.0043758615
124.125,-227.81905,9,106,14.14546513557434,13271,0.0,1.4711446,0.6297398507595062,0.0049589146,0.0030993614,0.0030993614
123.525,-228.81538,8,114,15.184834718704224,14249,0.0,1.4908129,0.6640172004699707,0.005470284,0.005653515,0.005653515
123.3,-228.95406,8,122,16.208988189697266,15239,0.0,1.476528,0.7337532043457031,0.004700765,0.0044941856,0.0044941856
122.925,-229.81967,9,131,17.243956804275513,16337,0.0,1.5229388,0.7680023610591888,0.0027939782,0.0029394454,0.0029394454
123.025,-229.91927,8,139,18.273852825164795,17331,0.0,1.4812306,0.7144961953163147,0.004648242,0.0009034518,0.0009034518
123.35,-229.54802,8,147,19.326727151870728,18344,0.0,1.4923564,0.7512904107570648,0.0013945772,0.0015226647,0.0015226647
124.45,-229.17317,8,155,20.478074073791504,19350,0.0,1.5579082,0.8389068841934204,0.0045081545,0.004633732,0.004633732
123.875,-230.09677,9,164,21.598227500915527,20448,0.0,1.498723,0.8793646991252899,0.0045575914,0.0018152511,0.0018152511
125.175,-228.73848,8,172,22.67815351486206,21467,0.0,1.4454701,0.8665463477373123,0.0050252927,0.0064529795,0.0064529795
125.575,-228.33286,8,180,23.7674343585968,22494,0.0,1.461842,0.8953225538134575,0.005124115,0.0043035923,0.0043035923
126.475,-227.41545,8,188,24.81642723083496,23519,0.0,1.5145302,0.7864840924739838,0.0044173314,0.0063848104,0.0063848104
126.5,-227.25749,8,196,25.960381269454956,24523,0.0,1.4621135,0.8489544689655304,0.0036682573,0.0019510766,0.0019510766
128.425,-225.80254,8,204,27.076400756835938,25585,0.0,1.5290488,0.9174455925822258,0.0043378742,0.0048512556,0.0048512556
129.2,-225.57866,7,211,28.24553346633911,26499,0.0,1.4750978,0.7821554690599442,0.004981912,0.0069812266,0.0069812266
129.175,-225.49326,8,219,29.306114435195923,27531,0.0,1.5355884,0.8998650684952736,0.0046470235,0.004965305,0.004965305
128.65,-225.13374,9,228,30.373740196228027,28665,0.0,1.5505978,0.9109790250658989,0.0040367967,0.0042779,0.0042779
128.95,-224.05371,7,235,31.40245246887207,29569,0.0,1.5689698,0.9217257052659988,0.0044490295,0.0058484636,0.0058484636
128.6,-219.22563,8,243,32.395326137542725,30601,0.0,1.6241312,0.7468009293079376,0.004345254,0.0026021453,0.0026021453
129.975,-213.03659,8,251,33.42942476272583,31698,0.0,1.5929117,0.7614484876394272,0.0040157135,0.0011982899,0.0011982899
131.325,-204.21841,7,258,34.49320864677429,32659,0.0,1.6273501,0.7948289811611176,0.004188169,0.0043095816,0.0043095816
133.65,-194.73776,8,266,35.65750813484192,33755,0.0,1.6334851,0.7845590710639954,0.0042787576,0.013334312,0.013334312
135.325,-189.98299,7,273,36.71502184867859,34721,0.0,1.696411,0.8066082894802094,0.004292815,0.0043573715,0.0043573715
136.475,-189.38841,8,281,37.74468111991882,35795,0.0,1.7147477,0.8606320768594742,0.0036359187,0.009899523,0.009899523
137.425,-181.17317,7,288,38.76595735549927,36783,0.0,1.6914531,0.7422910332679749,0.005737826,0.0037200297,0.0037200297
135.9,-189.27875,8,296,39.77669548988342,37844,0.0,1.7139249,0.9065074399113655,0.004722458,0.004716927,0.004716927
