# {"t_start": 1563978472.0162623, "env_id": "SignalizedEco-v0"} 
r,l,t
-227.60467,129,1.365122
-265.92484,103,1.437629
-281.574406,93,1.509199
-278.187164,100,1.594531
-277.844861,98,1.67179
-276.640303,99,1.748473
-277.735373,99,1.828655
-276.965842,99,1.901504
-277.916051,98,1.980388
-277.627036,99,2.070258
-280.902936,93,2.141247
-281.096815,94,2.204351
-276.219397,99,2.272476
-278.081548,98,2.339867
-279.039058,97,2.406407
-279.975137,96,2.469485
-278.265004,98,2.542515
-276.773453,100,2.627976
-277.698436,97,2.715172
-277.521376,99,2.799523
-279.050121,97,2.879119
-280.673653,95,2.941198
-282.443211,93,3.007939
-282.344701,93,3.089872
-277.941939,99,3.17475
-283.027043,93,3.252292
-282.872746,93,3.330157
-279.140614,98,3.41737
-279.340375,98,3.501449
-283.15504,92,3.582858
-282.476385,94,3.65882
-278.562209,99,3.735681
-281.694121,94,3.809035
-282.166571,94,3.8777
-283.532802,92,3.950704
-280.418687,96,4.032054
-283.321239,92,4.115167
-281.561058,95,4.193036
-284.391206,91,4.256979
-282.329634,94,4.326714
-279.117848,98,4.40645
-281.636299,95,4.487487
-279.893159,96,4.568644
-283.248958,92,4.652642
-281.780212,95,4.729654
-278.804677,98,4.811312
-283.122981,92,4.886732
-282.150618,94,4.962091
-280.449205,96,5.041103
-279.966396,97,5.115767
-283.700717,92,5.186603
-279.728824,97,5.261674
-278.115561,99,5.337698
-279.020045,97,5.407519
-281.884276,94,5.480459
-281.839659,94,5.560885
-283.3138,92,5.635528
-284.075336,92,5.715367
-278.377592,99,5.792515
-280.6017,95,5.866569
-279.021771,98,5.941393
-282.43427,93,6.00846
-280.053867,97,6.110292
-280.826982,96,6.193492
-282.788351,94,6.260562
-281.468802,94,6.322732
-281.750031,95,6.402608
-282.447705,93,6.488449
-281.770126,95,6.566121
-280.997316,96,6.646101
-282.136557,94,6.730965
-280.6308,96,6.81723
-283.431584,93,6.895106
-283.512218,92,6.978475
-281.798141,95,7.066823
-282.75759,94,7.150284
-280.065585,97,7.236218
-284.362329,91,7.319217
-281.042191,95,7.401293
-283.564793,93,7.47766
-281.809538,94,7.561816
-280.537265,97,7.644762
-281.252243,95,7.724942
-279.864665,97,7.800392
-282.311116,93,7.884516
-280.836801,96,7.972599
-284.433702,91,8.052533
-283.291209,92,8.138131
-282.83998,94,8.223413
-281.828421,94,8.302866
-282.329115,94,8.387753
-280.858246,95,8.472806
-280.578264,96,8.564042
-282.988683,93,8.646327
-283.217792,92,8.732471
-284.367601,91,8.812287
-280.999002,96,8.900123
-284.487955,91,8.979998
-281.734695,95,9.064544
-284.224864,92,9.144885
-457.200029,91,9.231459
-281.354774,95,9.315291
-282.461713,93,9.399761
-280.878824,96,9.483469
-283.702222,93,9.56629
-283.624493,93,9.645029
-279.926251,98,9.731681
-284.291483,91,9.813747
-280.233569,97,9.896271
-282.795331,93,9.982142
-281.168794,96,10.066237
-457.943872,91,10.141751
-284.557368,92,10.220103
-279.770007,97,10.298392
-282.893011,94,10.378578
-279.822949,98,10.460759
-283.849704,92,10.532275
-282.023695,94,10.611057
