eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,policy_loss,total_timesteps,value_loss
nan,nan,-0.6969119310379028,144,1,1.4189385175704956,-2.149979829788208,20,3.1395468711853027
99.4,-275.17968529999996,0.023062050342559814,1206,100,1.425730586051941,-36.17141342163086,2000,2121.061767578125
97.02439024390245,-278.36963192682924,0.8999330624938011,1221,200,1.4546115398406982,-0.044787950813770294,4000,0.0025892681442201138
96.37096774193549,-279.29549943548386,0.9202785491943359,1228,300,1.4754974842071533,-0.0013917814940214157,6000,0.005388738587498665
95.91566265060241,-279.94367444578313,0.9655247554183006,1211,400,1.529033899307251,0.2856275737285614,8000,0.051380306482315063
95.03,-282.8512135,-1.6689300537109375e-06,1191,500,1.566676378250122,-256.7364501953125,10000,25595.46484375
94.48,-285.30386458,0.0,1191,600,1.5683473348617554,-37.577491760253906,12000,4859.4013671875
94.46,-285.36550315000005,0.19041889905929565,1199,700,1.6027843952178955,-53.30878448486328,14000,2110.694091796875
94.54,-285.31828945999996,0.0,1205,800,1.6898555755615234,2.7635650634765625,16000,3.7608752250671387
94.71,-285.09158585,0.2595735192298889,1209,900,1.6797739267349243,-60.8679084777832,18000,2107.555419921875
95.04,-282.97796773000005,0.0,1215,1000,1.748056173324585,3.7041404247283936,20000,5.85139274597168
95.44,-280.78287935000003,0.4233379364013672,1209,1100,1.7817745208740234,2.355569839477539,22000,2.7623062133789062
95.69,-280.53463386999994,0.00944972038269043,1209,1200,1.7497726678848267,-0.994669497013092,24000,1.8364460468292236
95.62,-280.57854649,0.3339173197746277,1212,1300,1.737460732460022,-1.1058013439178467,26000,1.6427414417266846
95.8,-280.20434708999994,0.9426749162375927,1213,1400,1.7262675762176514,-1.161314845085144,28000,0.41231784224510193
95.97,-279.85871526000005,0.39007699489593506,1212,1500,1.7101905345916748,-9.823518753051758,30000,340.9674377441406
95.59,-280.10113716,0.9818290397524834,1210,1600,1.713631272315979,0.04512448236346245,32000,0.029977401718497276
95.64,-280.02753789999997,0.9768365528434515,1207,1700,1.7456092834472656,-0.2543107867240906,34000,0.05043255165219307
95.64,-280.05165756,0.489901065826416,1209,1800,1.752698540687561,-46.88550567626953,36000,993.3204956054688
95.66,-280.38011073999996,-5.125999450683594e-06,1206,1900,1.8101584911346436,-153.06932067871094,38000,15415.7314453125
95.61,-280.62174351,-2.1338462829589844e-05,1205,2000,1.8331191539764404,-213.7534637451172,40000,17919.0234375
95.85,-280.34911578000003,0.16269820928573608,1201,2100,1.860499620437622,-6.386730194091797,42000,12.97065258026123
96.37,-279.61672760000005,0.6143002808094025,1199,2200,1.9099289178848267,-52.10688018798828,44000,843.5966796875
97.09,-278.18622879000003,0.6356871724128723,1197,2300,1.92659592628479,-25.782094955444336,46000,459.123779296875
97.44,-277.25430116,0.8689690828323364,1198,2400,2.0233705043792725,-4.686487197875977,48000,7.236936092376709
98.09,-275.95072006000004,-6.318092346191406e-06,1202,2500,2.0501937866210938,-205.31460571289062,50000,16435.701171875
98.15,-275.44292901,0.8850741162896156,1205,2600,2.0698537826538086,2.7564165592193604,52000,2.343665599822998
97.93,-275.17444315999995,0.7174699008464813,1208,2700,2.0857553482055664,-10.066929817199707,54000,130.12777709960938
97.61,-275.61089677,0.9233334884047508,1209,2800,2.0805933475494385,2.6625328063964844,56000,2.2779698371887207
97.46,-276.07999535999994,0.7182393074035645,1209,2900,2.0523815155029297,-11.429411888122559,58000,138.48272705078125
97.22,-276.71355264000005,0.1630464792251587,1210,3000,2.0946967601776123,2.874040126800537,60000,7.988944053649902
97.27,-276.99830334,0.9835883714258671,1209,3100,2.114806890487671,0.6725091934204102,62000,0.1677047461271286
97.31,-277.13742003999994,-1.0728836059570312e-06,1206,3200,2.1341567039489746,-133.7687225341797,64000,11065.2734375
