# {"t_start": 1563979358.2821097, "env_id": "SignalizedEco-v0"} 
r,l,t
-57.703696,149,0.522601
-234.497645,119,0.595602
-64.269348,150,0.688119
-208.743142,143,0.780488
-198.762748,142,0.868287
-212.70416,136,0.952534
-226.71485,119,1.026095
-219.664104,127,1.105159
-226.659788,121,1.179961
-57.404516,151,1.27352
-201.282481,142,1.3607
-206.280643,140,1.45202
-224.044103,121,1.526738
-206.986596,138,1.611463
-54.163612,165,1.717809
-209.742711,133,1.806957
-202.338164,134,1.889947
-220.503094,125,1.967039
-199.02978,144,2.055845
-54.332619,155,2.151578
-215.581625,134,2.236601
-210.72837,132,2.317538
-224.432954,123,2.400731
-221.9503,131,2.485193
-218.976616,130,2.567597
-200.870217,143,2.655924
-238.873211,120,2.734539
-215.028317,128,2.812269
-222.617966,133,2.89396
-215.904284,134,2.976854
-206.929121,131,3.066501
-59.211955,147,3.159201
-228.928405,117,3.232041
-224.031648,121,3.310328
-204.947373,143,3.406881
-59.381968,164,3.512039
-56.436591,149,3.604321
-216.663203,139,3.697236
-218.534627,133,3.78218
-218.832822,128,3.86435
-62.515329,146,3.965669
-226.460335,125,4.047156
-209.704391,137,4.13382
-216.663783,127,4.211043
-207.387963,143,4.302418
-227.621082,125,4.390393
-203.960506,145,4.487261
-211.134096,131,4.568767
-208.222425,131,4.658107
-54.958646,153,4.77949
-55.24267,154,4.898132
-218.47427,135,4.994359
-210.068623,140,5.09
-220.987707,121,5.161229
-58.144148,159,5.260154
-212.641858,143,5.344463
-235.793002,119,5.414491
-206.133151,132,5.491431
-237.735539,113,5.558409
-231.572569,124,5.631851
-59.660691,148,5.718416
-224.194891,126,5.792753
-214.315974,142,5.893964
-224.660413,123,5.989985
-63.800525,147,6.092304
-58.347301,167,6.202902
-57.239207,172,6.330861
-61.048862,152,6.437007
-206.976874,139,6.533969
-61.602503,154,6.640108
-51.263333,193,6.773845
-57.525833,150,6.877116
-225.949763,132,6.963451
-61.159974,153,7.061999
-216.58191,128,7.144892
-51.306532,176,7.258863
-57.720863,170,7.36823
-232.542442,125,7.447629
-211.597649,138,7.535589
-231.580069,119,7.612247
-209.78681,141,7.701604
-231.368964,122,7.778857
-61.166197,159,7.878101
-224.450893,120,7.948089
-55.723922,167,8.04577
-196.909631,143,8.128876
-211.737585,134,8.206956
-233.24145,119,8.276441
-59.684276,152,8.364445
-62.97704,153,8.453903
-209.543909,134,8.531327
