EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,entloss,entropy,ev_tdlam_before,meankl,optimgain,surrgain
680.0,-827.74,3,3,2.392216920852661,2040,0.0,1.4721167,0.0007112622261047363,0.004494583,0.003113447,0.003113447
668.6,-627.28375,2,5,4.4603588581085205,3343,0.0,1.4345376,2.205371856689453e-06,0.005187708,0.0015141001,0.0015141001
682.3333333333334,-652.3683,4,9,6.655691623687744,6141,0.0,1.444112,2.0265579223632812e-06,0.0044137686,0.0063882144,0.0063882144
662.0833333333334,-587.23505,3,12,8.780977010726929,7945,0.0,1.4411211,3.814697265625e-06,0.005430853,0.004301915,0.004301915
650.5333333333333,-539.7372,3,15,10.98563289642334,9758,0.0,1.4852517,4.887580871582031e-06,0.00441249,0.0050819237,0.0050819237
648.7777777777778,-510.60025,3,18,13.14088225364685,11678,0.0,1.433016,1.4007091522216797e-05,0.004792446,0.0075034155,0.0075034155
643.9090909090909,-522.4784,4,22,15.397589445114136,14166,0.0,1.3707365,0.04181957244873047,0.004703777,0.0019349442,0.0019349442
646.4,-567.1016,3,25,17.700578451156616,16160,0.0,1.4072597,0.12243729829788208,0.004735403,0.005086436,0.005086436
651.1785714285714,-569.9796,3,28,19.891584634780884,18233,0.0,1.399728,0.24779784679412842,0.0053537283,0.0037026838,0.0037026838
650.258064516129,-547.7246,3,31,22.059444427490234,20158,0.0,1.4238805,0.6026761829853058,0.0042311493,0.005232501,0.005232501
650.2352941176471,-531.4045,3,34,24.146825790405273,22108,0.0,1.4491966,0.6689146459102631,0.003944658,0.0051202825,0.0051202825
651.5675675675676,-538.50604,3,37,26.20988631248474,24108,0.0,1.5106425,0.2609933018684387,0.0046065478,0.0034660636,0.0034660636
651.125,-525.75964,3,40,28.355531692504883,26045,0.0,1.5469586,0.3357321619987488,0.0069397804,0.0054605,0.0054605
658.85,-521.64124,3,43,30.737051248550415,28394,0.0,1.5326844,0.31795424222946167,0.0049309805,0.0022590042,0.0022590042
688.725,-533.5054,1,44,32.95892953872681,30186,0.0,1.5309223,0.08197653293609619,0.0036036386,0.0020997422,0.0020997422
708.575,-529.2559,2,46,35.111400842666626,32446,0.0,1.5525492,0.14134865999221802,0.0048223548,0.003040241,0.003040241
708.575,-529.2559,0,46,37.317753076553345,32446,0.0,1.5314637,0.43016183376312256,0.0032820003,0.002151224,0.002151224
708.575,-529.2559,0,46,39.48231649398804,32446,0.0,1.595818,-0.014898180961608887,0.004538379,0.0021880507,0.0021880507
808.25,-504.74893,3,49,41.65885305404663,38471,0.0,1.6025908,-0.06964921951293945,0.0041984925,0.005381042,0.005381042
795.775,-443.33194,5,54,43.83640003204346,40947,0.0,1.5768505,-0.038447022438049316,0.0045313826,0.004384727,0.004384727
786.4,-402.18353,3,57,46.03502035140991,42493,0.0,1.6255487,0.20454442501068115,0.0030892664,0.0020117546,0.0020117546
772.075,-339.77408,5,62,48.238102436065674,45049,0.0,1.6745933,0.1911541223526001,0.0042667342,0.0058842273,0.0058842273
762.65,-296.8749,3,65,50.51699876785278,46666,0.0,1.6814288,-4.9591064453125e-05,0.004585413,0.006312082,0.006312082
748.0,-256.31802,4,69,52.80469059944153,48810,0.0,1.642519,1.7881393432617188e-06,0.004434156,0.0070505994,0.0070505994
738.325,-231.42078,4,73,55.030266761779785,51006,0.0,1.5922147,0.030995309352874756,0.005073559,0.0055877743,0.0055877743
724.2,-191.19615,4,77,57.26504588127136,53076,0.0,1.5496192,-1.1920928955078125e-07,0.004145541,0.0011853265,0.0011853265
724.2,-191.19615,0,77,59.360575437545776,53076,0.0,1.5478846,0.5858864486217499,0.0052262563,0.0050426805,0.0050426805
724.2,-191.19615,0,77,61.336931228637695,53076,0.0,1.5363463,0.008044600486755371,0.006986984,0.0010944847,0.0010944847
822.825,-155.93416,3,80,63.40550708770752,58958,0.0,1.5537184,0.07067614793777466,0.002267486,0.0057513723,0.0057513723
754.2,-20.793991,5,85,65.43368244171143,61362,0.0,1.5333022,3.5762786865234375e-07,0.0044307588,0.0025689607,0.0025689607
618.15,49.907227,4,89,67.46580529212952,63197,0.0,1.542246,3.5762786865234375e-07,0.005102696,0.0051789293,0.0051789293
612.55,71.61919,5,94,69.39383840560913,65449,0.0,1.5213718,0.0,0.0024020115,0.0025654344,0.0025654344
606.9,110.64226,4,98,71.27628970146179,67309,0.0,1.5706197,0.0,0.0043549417,0.0045349663,0.0045349663
604.3,151.60075,4,102,73.19207310676575,69221,0.0,1.6347064,-1.1920928955078125e-07,0.0044630775,0.0045538563,0.0045538563
594.675,248.48613,5,107,75.18675875663757,71563,0.0,1.6468503,-1.1920928955078125e-07,0.0052327076,0.0068475734,0.0068475734
587.85,305.5034,4,111,77.2656557559967,73439,0.0,1.6213685,0.0,0.0040500597,0.0031014662,0.0031014662
579.2,362.9535,5,116,79.341237783432,75728,0.0,1.6221828,0.0,0.0040771374,0.004810685,0.004810685
464.375,410.37744,4,120,81.39225935935974,77533,0.0,1.6813574,1.7881393432617188e-07,0.0041313684,0.009359319,0.009359319
459.9,432.6582,5,125,83.42126178741455,79758,0.0,1.6561188,5.960464477539063e-08,0.004790076,0.003765575,0.003765575
460.225,432.62567,4,129,85.43055939674377,81606,0.0,1.6231378,0.0,0.0044611795,0.004916938,0.004916938
460.6,453.94012,5,134,87.50866603851318,83873,0.0,1.6002413,0.0,0.003174091,0.0030129547,0.0030129547
460.3,453.97012,4,138,89.53981804847717,85721,0.0,1.5609528,0.0,0.0025185582,0.00063047104,0.00063047104
455.85,454.41513,5,143,91.52239775657654,87927,0.0,1.5358505,5.960464477539063e-08,0.005900303,0.003000081,0.003000081
452.375,454.7626,4,147,93.54939699172974,89658,0.0,1.4928614,0.0,0.0054131667,0.0015478234,0.0015478234
448.825,455.11758,5,152,95.6189489364624,91832,0.0,1.4527886,5.960464477539063e-08,0.0031057897,0.0011510714,0.0011510714
446.15,455.38507,5,157,97.62274265289307,93989,0.0,1.4716192,-1.1920928955078125e-07,0.0038044094,0.004838312,0.004838312
442.8,455.72012,5,162,99.52464628219604,96136,0.0,1.4858931,0.0,0.004779784,0.0037039088,0.0037039088
441.575,455.8426,4,166,101.41468095779419,97919,0.0,1.5328058,0.0,0.0039308905,0.0055134892,0.0055134892
441.4,455.86005,5,171,103.64927744865417,100146,0.0,1.5954074,1.1920928955078125e-07,0.004375798,0.0027894638,0.0027894638
440.0,456.0001,5,176,105.96609783172607,102394,0.0,1.5731221,0.0,0.0042675883,0.0045125126,0.0045125126
439.7,456.0301,4,180,140.61055827140808,104209,0.0,1.6369094,0.0,0.0045382776,0.0053049754,0.0053049754
443.425,455.65762,4,184,142.85612654685974,106080,0.0,1.6900942,0.0,0.0040601064,0.0043878425,0.0043878425
449.85,406.28867,5,189,145.0765664577484,108534,0.0,1.6678753,0.0,0.0051248223,0.0038663377,0.0038663377
456.0,358.04355,4,193,147.30544424057007,110499,0.0,1.6221291,1.7881393432617188e-07,0.004533074,0.003314651,0.003314651
461.0,357.54352,4,197,149.56179022789001,112429,0.0,1.5664959,5.960464477539063e-08,0.0049332785,0.0036598209,0.0036598209
467.2,356.92352,4,201,151.75144243240356,114381,0.0,1.531647,0.0,0.005542214,0.0027170046,0.0027170046
472.35,332.04083,4,205,153.88334274291992,116363,0.0,1.561455,-1.1920928955078125e-07,0.0044814525,0.00058844034,0.00058844034
476.325,307.11264,5,210,155.9143190383911,118745,0.0,1.550689,0.0,0.00317402,0.0036359937,0.0036359937
479.7,306.77518,4,214,157.94120717048645,120684,0.0,1.5966707,0.0,0.0037764437,0.0066660116,0.0066660116
482.175,306.52768,4,218,159.83067226409912,122587,0.0,1.6553881,5.960464477539063e-08,0.0044282367,0.0016743783,0.0016743783
484.575,306.28766,4,222,161.72440028190613,124543,0.0,1.6432778,5.364418029785156e-07,0.0023408188,0.004634329,0.004634329
