# {"t_start": 1564013667.9637141, "env_id": "SignalizedEco-v0"} 
r,l,t
-7064.269589,1863,3.105934
-7925.025369,2316,4.579026
-5689.492613,1739,5.80243
-6929.874744,1967,7.06872
-5040.513536,2266,11.55788
-6086.524518,2653,13.296667
-6228.105808,2635,15.089439
-6898.355457,1987,19.240021
-6920.104645,1955,20.460174
-7148.29527,1808,21.602051
-8726.438818,1879,22.740687
-6721.540475,2056,27.263167
-4140.902902,1641,28.442952
-2561.995102,1460,29.400145
-4211.779904,1573,30.364204
-2478.480147,1484,31.418016
-4091.558716,1645,35.453692
-5086.09875,10000,45.435215
-2578.769266,1491,46.460802
-4227.659009,1578,47.59127
-4544.903061,1370,48.623421
-2873.63288,1279,49.568201
-4611.133224,1320,53.796984
-4873.280325,1254,54.626954
-4625.294604,1352,55.600955
-4692.995313,1328,56.59979
-4701.966101,1289,57.530014
-4621.551501,1347,58.521116
-2647.474725,1376,62.540456
-2590.205347,1466,63.511736
-2522.743842,1464,64.396507
-4224.022696,1599,65.315037
-2639.64162,1487,66.169533
-4237.945102,1532,67.09059
-5598.822702,9709,79.420851
-4859.194745,1263,80.178154
-4844.076962,1273,80.93214
-4944.493338,1239,81.715601
-4801.852112,1275,82.540533
-4884.665286,1247,83.285606
-4947.033109,1213,87.236612
-4977.393509,1210,88.011549
-4970.198959,1240,88.802103
-4768.674185,1274,89.642017
-4978.650717,1219,90.419472
-4933.970981,1252,91.220937
-6757.601193,1263,94.862743
-4958.346539,1233,95.678247
-4716.496289,1278,96.488763
-4721.302365,1313,97.29388
-4918.365854,1236,98.030618
-4691.610242,1283,98.960899
-4936.268347,1234,99.781092
-4940.211105,1225,103.64286
-4979.969217,1216,104.519045
-4973.033887,1233,105.429139
-5021.334692,1214,106.349426
-5002.710941,1222,107.222558
-5015.206516,1197,108.109544
-5003.296265,1190,109.010088
-4990.597897,1208,112.791747
-4953.277048,1236,113.538185
-4740.283832,1292,114.356825
-4904.913876,1228,115.229138
-6833.667361,1247,116.017458
-4950.363818,1237,116.826302
-4810.412177,1284,120.451164
-4689.613766,1298,121.239682
-4965.042368,1206,121.95611
-6741.806659,1267,122.691768
-4920.831931,1249,123.381793
-4912.560748,1242,124.093032
-6719.3121,1273,124.829558
-2633.695694,1360,128.229856
-4822.677136,1258,128.963965
-4952.541174,1219,129.752104
-4894.107117,1240,130.528712
-4950.604645,1210,131.348351
-4883.859906,1248,132.217566
-2892.266733,1291,136.308845
-4788.999539,1258,137.280324
-4855.980347,1255,138.226626
-2882.36015,1293,139.147579
-4931.896307,1199,140.003709
-4865.891061,1231,140.899764
-4951.892377,1208,141.824544
-4982.368246,1189,145.69589
-4989.352338,1193,146.549406
-4974.599643,1202,147.425614
-5015.237042,1168,148.251031
-4994.972031,1195,149.064353
-5009.487979,1172,149.849065
-5001.688321,1203,150.666819
-4931.357303,1252,154.546255
-4963.965298,1168,155.348766
-4964.123615,1207,156.124899
-4832.851761,1230,156.983764
-4985.464517,1216,157.823999
-2841.819751,1297,158.723717
-6716.777289,1274,162.739392
-4981.631036,1206,163.585927
-4987.122675,1181,164.388614
-5002.268326,1195,165.178095
-4988.028363,1188,166.000624
-4950.639951,1193,166.857033
-4930.825604,1213,167.72637
-4970.706158,1208,171.806097
-6842.99624,1181,172.606706
-5002.361179,1177,173.428178
-4986.49888,1171,174.291359
-4901.629349,1210,175.183703
-4982.248456,1168,175.988046
-5017.456464,1163,176.803553
-4997.631378,1200,180.723921
-4959.808414,1172,181.576167
-5009.480145,1178,182.448718
-4939.795239,1203,183.375011
-4993.51611,1163,184.25681
-4978.969766,1191,185.167114
-4991.868881,1165,186.040972
-5017.608963,1160,189.975646
-5000.754477,1164,190.645878
-5002.275137,1169,191.365562
-5003.314352,1179,192.102823
-5007.571445,1177,192.876481
-5012.981192,1189,193.661304
-5012.100891,1165,194.398124
-5021.301755,1188,198.454112
-6966.825476,1154,199.261532
-5008.705707,1177,200.115053
-5009.533789,1174,200.969293
-6971.366983,1156,201.768654
-5011.10954,1168,202.603554
-6982.439252,1158,203.485518
-6963.315878,1154,207.340571
-4983.390817,1171,208.091047
-5016.17562,1164,208.814809
-4974.294894,1182,209.590803
-6971.795004,1159,210.317462
-4995.141122,1151,211.018505
-5010.7535,1174,211.73564
-5021.868237,1188,215.586218
-5017.562595,1202,216.452308
-5017.24173,1165,217.263186
-5014.829837,1187,218.140715
-5017.635855,1194,219.000376
-5022.149573,1179,219.837698
-5020.865018,1193,220.68562
-5006.751694,1190,224.501335
-4990.715143,1216,225.33912
-4999.400806,1217,226.143598
-4994.752322,1187,226.907485
-4979.808987,1213,227.610672
-5006.279456,1164,228.330371
-4977.022443,1198,229.135602
-4938.955954,1184,232.884162
-6914.646497,1173,233.621934
-5001.377847,1201,234.394441
-4939.362079,1237,235.127446
-4990.841956,1194,235.85071
-6926.773959,1162,236.611198
-4958.311127,1155,237.395242
-5012.120657,1179,241.212243
-5000.990417,1205,242.024053
-5003.080267,1169,242.76765
-5015.112531,1193,243.547658
-4999.707675,1177,244.264665
-4998.205014,1208,245.092016
-5015.626816,1165,245.918899
-5015.593304,1198,249.892148
-5013.903589,1196,250.722086
-5016.978784,1206,251.532183
-5014.82963,1186,252.359309
-5020.817578,1178,253.103369
-4982.468234,1187,253.88758
-5017.996075,1203,254.726203
-4998.411774,1165,258.666539
-5011.108008,1179,259.491855
-5014.756378,1165,260.304665
-5021.548523,1190,261.094574
-5013.436996,1170,261.912478
-5008.441266,1188,262.786219
-5018.152481,1210,263.721315
-4967.921808,1201,267.922422
-4921.474756,1261,268.800365
-4944.110022,1204,269.573405
-4969.103915,1222,270.49643
-4961.497086,1205,271.290472
-4976.377472,1240,272.045864
-5011.270703,1188,275.751144
-5005.821616,1189,276.490048
-5024.14277,1221,277.303095
-5018.780515,1193,278.052885
-5003.220007,1199,278.835738
-4991.347244,1180,279.58625
-5004.345651,1206,280.399823
-5006.815649,1189,284.053771
-4986.728122,1222,284.955029
-5018.772922,1177,285.826259
-5004.568964,1206,286.729901
