EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,entloss,entropy,ev_tdlam_before,meankl,optimgain,surrgain
1971.25,-6902.245,4,4,8.50166940689087,7885,0.0,1.4695239,4.947185516357422e-05,0.004380255,0.0019373393,0.0019373393
2205.5714285714284,-6423.5127,3,7,16.706475019454956,15439,0.0,1.5198874,5.960464477539063e-08,0.0045525553,0.0023241972,0.0023241972
2097.090909090909,-6787.1094,4,11,25.04831886291504,23068,0.0,1.4634126,0.0,0.0043976167,0.001300711,0.001300711
1955.125,-5923.333,5,16,33.498191833496094,31282,0.0,1.4313884,0.0,0.0049698716,0.0010816362,0.0010816362
1936.8823529411766,-5815.5864,1,17,42.29847002029419,32927,0.0,1.4881693,1.1920928955078125e-07,0.0043634507,0.0034486954,0.0034486954
2211.1363636363635,-5371.689,5,22,51.35447382926941,48645,0.0,1.5301539,0.0,0.003444152,0.001383887,0.001383887
2019.107142857143,-5225.133,6,28,60.31663918495178,56535,0.0,1.5285945,1.1920928955078125e-07,0.0053584855,0.0018188882,0.0018188882
1925.264705882353,-4857.8296,6,34,68.15724635124207,65459,0.0,1.5674738,0.0,0.0046720374,0.0019131873,0.0019131873
1925.264705882353,-4857.8296,0,34,76.68001866340637,65459,0.0,1.6005554,0.13721495866775513,0.0044545876,0.0032123942,0.0032123942
2036.625,-4877.5083,6,40,84.89393758773804,81465,0.0,1.5863892,0.037843406200408936,0.0035293947,0.003534108,0.003534108
1901.725,-4648.5024,6,46,92.99668622016907,88873,0.0,1.6536583,1.1920928955078125e-07,0.0043778284,0.0018627556,0.0018627556
1773.7,-4371.396,7,53,101.36099123954773,97713,0.0,1.6818916,0.0,0.0031354805,0.0012027504,0.0012027504
1505.35,-4613.852,7,60,110.35472464561462,106210,0.0,1.6292368,1.7881393432617188e-07,0.006027081,0.0014359625,0.0014359625
1493.975,-4742.646,6,66,118.44984292984009,113658,0.0,1.694214,0.0,0.0045230035,0.0014967553,0.0014967553
1463.75,-5087.9404,7,73,125.7727415561676,122477,0.0,1.7618062,1.1920928955078125e-07,0.0045004864,0.0015440485,0.0015440485
1244.85,-5034.1953,6,79,134.28140139579773,130012,0.0,1.7464879,0.0,0.0044597685,0.0014518392,0.0014518392
1246.85,-4926.912,7,86,143.3794674873352,138747,0.0,1.7145126,0.0,0.0049111955,0.0015421492,0.0015421492
1233.9,-4908.6025,7,93,152.0971109867096,147069,0.0,1.7355887,-1.1920928955078125e-07,0.004835587,0.0025702408,0.0025702408
1235.475,-4848.28,6,99,160.84618878364563,154439,0.0,1.7676107,0.0,0.0035911342,0.00041204272,0.00041204272
1230.775,-4852.8013,7,106,169.7718768119812,162889,0.0,1.7223254,0.0,0.0048890775,0.0013632122,0.0013632122
1217.25,-4826.4053,7,113,178.6387767791748,171167,0.0,1.7806482,0.0,0.004394681,0.0016113557,0.0016113557
1203.4,-4947.4385,7,120,187.88688468933105,179439,0.0,1.742527,0.0,0.0043813,0.0019434803,0.0019434803
1192.65,-5017.37,7,127,196.30094528198242,187642,0.0,1.6816337,-1.1920928955078125e-07,0.004719713,0.0025462625,0.0025462625
1187.4,-5168.7344,7,134,205.26577067375183,195817,0.0,1.6345127,0.0,0.0053146537,0.0015612154,0.0015612154
1176.325,-5284.4404,7,141,213.48527765274048,203972,0.0,1.6490843,0.0,0.0039872956,0.0037893376,0.0037893376
1175.05,-5245.9307,7,148,222.3230538368225,212280,0.0,1.7047096,1.1920928955078125e-07,0.0043089176,0.0031434712,0.0031434712
1178.15,-5248.6084,7,155,230.61672472953796,220665,0.0,1.6855112,0.0,0.0043550846,0.0016422011,0.0016422011
