# {"t_start": 1564012678.4320989, "env_id": "SignalizedEco-v0"} 
r,l,t
-6796.985023,2030,3.037325
-4031.651686,1659,4.095071
-6853.162158,1932,5.299897
-6640.032721,2154,6.683246
-4155.981561,1616,10.695188
-5739.078618,1708,11.788625
-7293.244818,1784,12.94241
-4093.646667,1655,14.080067
-7362.208264,1778,15.239961
-2488.565994,1460,18.959955
-7483.210036,1639,20.000499
-4186.209798,1598,20.997182
-2587.795074,1405,21.900221
-4143.67049,1622,23.03167
-2540.8724,1476,27.027797
-2526.14144,1439,27.967732
-2523.813177,1414,28.805088
-4335.138562,1553,29.715256
-7773.049638,1701,30.788623
-2585.049011,1395,34.51214
-5643.12932,1746,35.636771
-5641.963678,1731,36.72717
-7019.998819,1866,37.938204
-7143.494263,1800,39.085565
-2517.78475,1474,43.082456
-3096.09499,10000,52.707021
-3126.451306,10000,62.166719
-1890.584253,10000,71.085199
-1828.196671,10000,80.128425
-1866.514983,10000,91.780793
-1874.945385,10000,100.887446
-1883.1381,10000,110.124836
-1887.576339,10000,120.551103
-1861.051387,10000,133.168259
-1871.135729,10000,142.458148
-1875.831683,10000,151.779377
-1909.101935,10000,161.71006
-1898.653271,10000,171.484954
-1883.294972,10000,184.030919
-1832.386927,10000,193.461053
-1868.454612,10000,202.608842
-1876.426267,10000,211.415844
-1826.115485,10000,223.866521
-1836.000728,10000,234.257058
-1847.784808,10000,244.44613
-1849.666138,10000,253.900571
-2847.20412,10000,263.877424
-3830.279632,10000,276.32219
-3925.927167,10000,286.133039
-2918.664911,10000,295.812835
-1885.076475,10000,305.195909
-1870.056571,10000,317.136256
-1836.385916,10000,326.504644
-1803.823355,10000,336.75808
-1861.27204,10000,347.222365
-2869.846646,10000,357.126545
-1854.451136,10000,369.790047
-1854.658237,10000,379.479313
-1854.011784,10000,389.675507
-1854.970511,10000,399.403407
-2872.500833,10000,411.49061
-2941.69811,10000,1090.652417
-2974.856098,10000,1101.467428
-1900.196624,10000,1111.301987
-1904.585017,10000,1121.59613
-2910.939366,10000,1131.152637
-1909.449853,10000,1144.214033
-2899.843555,10000,1154.596435
-1920.13426,10000,1163.764543
-1917.663145,10000,1173.610988
-1906.307333,10000,1184.413227
-1895.742956,10000,1197.809494
-1890.364662,10000,1207.756351
-1904.215031,10000,1217.643917
-1871.582868,10000,1227.917348
-1862.056048,10000,1240.949384
-1847.285914,10000,1250.755891
-1863.648783,10000,1260.78437
-1838.651575,10000,1270.702452
-2967.887922,10000,1280.27181
-1879.09035,10000,1291.907939
-1868.276978,10000,1300.891497
-1840.416056,10000,1309.88475
-1863.082954,10000,1318.847469
-1858.371887,10000,1331.113054
-1823.759732,10000,1340.729442
-1853.654695,10000,1350.298411
-1818.728152,10000,1361.341022
-2906.132345,10000,1370.918628
-3054.544104,10000,1384.829478
-2893.250277,10000,1395.090594
-2880.174235,10000,1404.662173
-1910.889118,10000,1415.224138
-1907.201199,10000,1427.997622
-1898.112567,10000,1437.945669
-1889.96087,10000,1447.698386
-2899.087399,10000,1457.524742
-1903.175501,10000,1466.351048
-1889.514375,10000,1478.225605
-1883.14192,10000,1487.193062
-3921.654517,10000,1496.273197
-1895.907389,10000,1505.736834
-1895.868745,10000,2232.482274
-2917.433432,10000,2242.809722
-1913.208759,10000,2252.810562
-2933.561239,10000,2262.905831
-2961.439995,10000,2272.950296
-1911.948723,10000,2285.765164
-2939.761839,10000,2295.419985
-1947.079739,10000,2305.076024
-1959.900575,10000,2315.032354
-1957.333306,10000,2324.89512
-1950.229453,10000,2338.27159
-1941.990221,10000,2347.534073
-1960.907703,10000,2357.497272
-1946.739892,10000,2366.351409
-1944.134742,10000,2377.776277
-1931.129964,10000,2387.109555
-1954.622978,10000,2397.125005
-1948.126204,10000,2406.712194
-1954.593921,10000,2416.310047
-1936.038971,10000,2428.686557
-1925.539556,10000,2438.40214
-2938.260573,10000,2447.668332
-1925.550701,10000,2457.133883
-1917.561436,10000,2469.45378
-1932.240329,10000,2478.62142
