# {"t_start": 1564068264.5782793, "env_id": "SignalizedEco-v0"} 
r,l,t
-2679.682858,1903,3.144388
-2509.643315,2163,4.717033
-2704.561363,1885,6.098873
-2648.606232,1988,10.951993
-2436.115807,2263,12.970324
-2701.807601,1872,14.50099
-2651.21794,1949,18.740169
-2781.864941,1845,20.203251
-2611.64922,1945,21.873014
-3509.025755,2029,26.164086
-3636.661762,2040,27.96274
-2744.008047,1941,29.689445
-4390.328385,1993,33.965405
-4467.540348,1905,35.639901
-4349.89535,2039,37.222268
-3500.445152,1985,41.316783
-2796.262644,1909,42.900028
-2818.180383,1861,44.536835
-2747.977586,1923,48.928831
-2856.549058,1798,50.243525
-2809.248466,1850,51.647764
-2006.582601,1726,52.936768
-1181.114046,1741,56.788413
-1204.115646,1722,58.250953
-1187.044832,1716,59.58547
-1162.190681,1735,63.448449
-2531.213925,2103,65.197726
-2536.150069,2144,66.878515
-4328.30094,2014,71.052368
-2811.229777,1869,72.348667
-2599.734214,2107,73.861177
-3367.836791,2087,77.870607
-3330.68083,2116,79.46483
-2685.697441,2075,81.005276
-2736.211767,2196,84.843001
-2721.09974,1933,86.216888
-4316.104765,1946,87.836975
-4184.265923,2015,91.945386
-3295.397656,2153,93.468737
-2720.845425,2095,94.927881
-3258.382882,2213,99.337701
-1844.294302,2241,100.812349
-2573.592419,2148,102.281516
-2750.453947,2101,106.010373
-2511.673553,2205,107.727117
-3282.392953,2161,109.364241
-3318.016348,2071,113.699254
-3366.957963,2053,115.230713
-3342.359135,2103,116.805103
-3496.294093,1894,120.812477
-3405.448466,1987,122.293121
-3465.044108,1979,123.809885
-4505.168636,1880,127.502977
-2717.86439,1829,128.806133
-3481.542465,1870,130.162928
-3591.136825,1822,134.211968
-3560.42301,1859,135.713441
-3500.560313,1879,137.114716
-3691.051377,1813,138.158906
-2041.819084,1730,141.978225
-2880.862466,1691,143.331261
-2798.485554,1730,144.586846
-3691.24372,1752,148.44069
-2891.938372,1754,149.689348
-2802.641155,1770,150.970767
-3634.751265,1774,152.246515
-3698.168127,1791,156.030824
-3755.51341,1746,157.351975
-3714.239429,1765,158.663345
-1280.223166,1614,162.760185
-2091.97787,1697,164.000825
-3727.537267,1743,165.319662
-2934.446136,1787,166.664679
-2080.610224,1714,170.480223
-2132.427744,1644,171.639285
-2835.488863,1696,173.133567
-3723.930836,1825,176.883986
-3891.483378,1744,178.253192
-2965.343674,1663,179.575022
-2922.558778,1678,181.271816
-1341.31841,1553,185.309409
-2272.044327,1570,186.491557
-381.053103,1509,187.6075
-3011.156539,1642,188.835224
-2173.696806,1649,192.955207
-2952.006486,1678,194.126728
-2949.408069,1652,195.466125
-2957.108695,1647,199.456132
-3739.149818,1767,200.852453
-4634.143745,1845,202.611396
-4738.947601,1817,204.073816
-3847.766506,1745,208.142598
-3874.007405,1788,209.684864
-3888.456021,1708,211.178339
-3841.599004,1743,215.266494
-3944.989027,1961,216.941317
-3273.788569,2003,218.468038
-3934.110052,1891,219.931995
-2259.086874,2109,224.452624
-3992.994818,1944,226.087589
-3940.373413,1970,227.650324
-1366.438024,2197,231.729882
-384.414269,2293,233.574298
-3905.414202,2045,237.623726
-1359.259603,2222,239.256415
-3827.693363,1785,240.638651
-3963.144847,1887,242.031841
-3834.430869,1732,245.788346
-2188.984886,2135,247.304967
-3836.974734,2034,248.895742
-2914.952736,2096,252.685596
-3879.87423,1958,253.967623
-324.647429,2349,255.604438
525.024834,2392,259.723412
-3750.354905,2048,261.109673
-4538.311274,1924,264.992505
-3009.979151,1809,266.183808
-4543.03553,1965,267.706471
-2816.85037,2186,269.480738
-4677.987894,1844,273.36416
-3103.248503,1699,274.566508
-3808.991536,1788,276.046205
-3909.508684,1951,280.068452
-4638.618996,1870,281.46436
-3931.605761,2049,282.978508
-3915.333335,1972,287.077881
-3965.686158,1913,288.498875
-4697.440756,1834,289.86016
-2906.611953,2077,294.23445
-2933.563129,2095,295.745057
-1996.102395,2252,297.496792
-2908.378767,2119,301.654696
-4630.235045,1899,302.999827
-4606.667795,1896,304.315392
-3844.562836,2033,308.235913
-3812.777739,2004,309.618383
-3832.578478,1979,311.049665
-4533.648484,1903,314.673525
-2656.060272,2085,316.370499
-343.515747,2326,318.166988
-2768.809002,2180,322.171162
-3763.393893,2019,323.561395
-160.174504,2512,325.374118
-2834.842719,2163,329.46008
-3839.061947,2050,330.915235
510.776367,2425,332.656681
-2755.937521,2116,336.758672
-2792.718893,2181,338.209729
512.668263,2436,342.147417
-1384.026039,2226,343.821384
-2699.729074,2690,345.713239
-1144.425055,2564,350.297027
-2405.937136,3138,352.581134
-3982.08892,2941,357.219032
-2018.181127,2611,359.44646
-3388.404033,2999,597.996112
-3900.074692,2904,600.147226
-3010.076394,2773,602.257688
-3314.948734,3059,606.866251
-3998.936276,2998,608.873763
-1497.302841,3215,614.140967
-1279.638148,3283,616.81534
-1266.383873,3289,621.964797
-903.252204,3480,626.812407
272.024195,3351,629.110966
-1464.780817,3204,633.833537
-412.267905,3437,636.471839
-427.918361,3482,641.977506
-2357.698915,3601,644.733672
-2382.503436,3607,649.985784
-2397.622267,3639,655.267858
-3472.404429,3889,658.227747
-3337.046379,3990,663.761352
-3335.999474,3973,666.576775
-3796.916685,3900,671.985086
-2375.34361,3683,676.6887
267.346979,3369,678.99272
-3440.707109,3876,683.741604
-4007.191656,3976,688.699376
-4593.36408,3899,691.443834
-934.182201,4177,696.899729
-1472.896246,4190,702.802667
352.373307,4397,705.902542
-1857.656078,4117,711.597139
200.260745,4413,717.896898
-2193.841128,4598,721.520026
-4572.311539,4990,727.55567
-1536.986032,4185,733.417183
-4479.564538,2971,735.765873
-3856.174774,2871,740.946482
-1939.689967,2622,743.100303
-3021.723436,3757,748.896709
-3624.09307,2998,751.277413
-979.049944,2290,755.404521
-707.495145,5000,761.643316
-1750.62604,3556,764.105033
-1172.503993,5000,770.353853
-2235.72408,3832,775.979464
-706.520651,5000,780.039784
-443.915308,2309,784.669177
-1164.87954,5000,790.955826
-1394.9213,2172,792.694969
-4038.950771,1840,794.251018
-2928.794984,2096,798.543363
-3928.29059,1911,800.047768
-596.756671,5000,806.547854
-2900.00616,2067,808.224034
-1151.479721,5000,814.542173
-602.265331,5000,820.894344
-3874.450118,1997,822.382373
-707.60506,5000,828.795871
-717.497773,5000,834.797819
-716.44646,5000,838.688901
-728.16994,5000,844.929344
-1153.754929,5000,851.300777
-715.664859,5000,857.440424
-1210.431405,5000,863.224185
-3478.035009,1951,864.739664
-3313.031606,2121,866.197286
-2569.236519,2145,870.27406
-2880.724853,1782,871.715977
-1265.484629,1629,872.908506
-1247.741604,1575,874.056218
-435.278284,1516,877.375938
-433.163824,1504,878.614309
-435.199707,1480,879.65588
-478.397011,1465,880.736002
-1231.660048,1664,884.472821
-2822.220097,1833,885.844315
-1240.086678,1663,887.036788
-1286.931973,1583,890.57282
-3242.79225,2239,892.157941
-2703.219722,1882,893.417688
-2561.763677,2096,897.369557
-1107.022853,5000,900.694494
-1661.983583,5000,906.385825
-902.390052,5000,911.982521
-1465.448771,5000,917.612039
-1665.483554,5000,922.893282
-1096.647943,5000,925.898176
-1205.154871,5000,931.490712
-717.843278,5000,937.09516
-1128.704825,5000,942.800684
-851.233865,5000,1299.101052
-852.070934,5000,1302.60799
-1194.50969,5000,1308.443926
-2358.371963,5000,1314.031076
-3243.114735,5000,1319.55226
-3261.205899,5000,1324.627843
-2386.760372,5000,1327.619053
-3667.39157,4949,1333.511606
-1277.121966,5000,1339.007166
-1265.720665,5000,1344.501647
-1356.382239,5000,1349.993495
-714.678249,5000,1353.503193
-2768.099355,5000,1359.44007
-2335.860006,5000,1364.757229
-1148.160597,5000,1369.942975
-725.091236,5000,1375.269115
-1158.60822,5000,1380.500775
-1202.519745,3289,1382.594976
-4051.307093,1885,1383.817373
-712.509172,5000,1389.503967
-4067.965343,1876,1390.840137
-2365.762541,2099,1394.547483
-2866.453467,2556,1396.122098
-3347.254127,1911,1399.415869
-2290.918685,2587,1401.053593
-2145.162118,2259,1402.503447
-2379.324221,4198,1407.601028
-4031.862098,1983,1408.952266
-2448.180951,3538,1413.822925
-880.78938,4298,1418.928465
-682.498415,4501,1421.841372
-3750.008874,3750,1426.535273
-1534.332588,4230,1431.815342
-3309.794369,5000,1435.454823
-719.870396,5000,1441.52269
-745.938822,5000,1447.443923
-1114.046207,5000,1453.327702
-715.769625,5000,1458.760622
-707.56394,5000,1464.631631
-1248.228214,5000,1467.971049
-724.417391,5000,1473.465521
-1248.690366,5000,1478.567297
-738.910534,5000,1483.641851
-734.309449,5000,1488.699754
-709.566006,5000,1491.942774
-729.017566,5000,1497.32479
-737.071946,5000,1502.757091
-715.421397,5000,1508.321243
-1169.206614,5000,1514.285802
-858.05212,5000,1517.846421
-856.816669,5000,1523.374257
-852.618055,5000,1528.866199
-738.558943,5000,1534.652332
-738.791634,5000,1540.647044
-736.360485,5000,1546.654519
-743.985946,5000,1550.180364
-854.112337,5000,1555.658145
-734.324476,5000,1561.218992
-737.694465,5000,1566.753651
-724.411406,5000,1571.852415
-706.820261,5000,1574.882596
-1125.319422,5000,1580.218788
-1243.443633,5000,1585.759784
-1134.650924,5000,1591.296399
-1204.972237,5000,1596.37598
-1712.826962,5000,1599.335517
-1588.733719,5000,1605.020569
-1720.215069,5000,1610.993505
-1194.066994,1645,1723.319731
-2555.666876,1979,1724.75425
-2659.232022,1868,1726.082696
-1115.043356,1816,1727.425018
-2609.185576,5000,1732.552916
-1549.989438,5000,1737.804091
-2576.204681,1942,1739.183943
-1147.334525,1764,1742.334004
-1286.165204,1548,1743.234621
-1289.78566,1530,1744.109514
-1231.47047,1625,1745.081431
-1201.846558,1693,1748.140741
-2024.596749,5000,1753.528435
-1433.598019,1418,1754.504507
-562.508997,1311,1755.415769
-604.679687,1305,1756.359241
-586.251929,1324,1757.234624
-1424.699751,1414,1760.380795
-518.22896,1471,1761.36439
-556.293004,1403,1762.364653
-1219.870082,1712,1763.519966
-503.911505,1454,1766.580256
-1515.534219,1271,1767.349911
-599.38555,1299,1768.288967
-537.842294,1366,1769.287221
-618.854767,1310,1770.226751
-597.856497,1294,1773.199816
-595.006517,1286,1773.960376
-1608.294746,1220,1774.711137
-1582.013663,1259,1775.475576
-1606.587024,1252,1776.227403
-1623.234821,1252,1779.541243
-1550.98533,1286,1780.486348
-1444.173152,1322,1781.451251
-1464.453391,1334,1782.442765
-1623.10183,1215,1785.837728
-1627.599858,1213,1786.771089
-2541.627147,1272,1787.690042
-1643.01297,1230,1788.496091
-1651.385414,1195,1789.197615
-2544.958122,1255,1792.166349
-1657.991472,1181,1792.994911
-2589.072142,1254,1793.846114
-1525.946851,1273,1794.614219
-1620.220599,1227,1795.377616
-1437.570737,1328,1798.493202
-1519.038161,1284,1799.424358
-1488.949968,1316,1800.377906
-1455.724928,1324,1801.340272
-1512.60974,1279,1802.277838
-473.617598,1439,1805.576944
-1452.629596,1312,1806.445714
-1462.364513,1337,1807.379181
-436.725952,1445,1808.37281
-492.858163,1391,1811.655152
-483.928479,1413,1812.554374
-458.69537,1518,1813.572698
-500.654382,1371,1814.487851
-1488.40378,1316,1815.464126
-590.319492,1312,1818.50537
-460.321431,1523,1819.531187
-489.108875,1422,1820.448289
-1319.762531,1527,1821.373847
-511.151685,1438,1824.319277
-2582.953103,5000,1827.294427
-2212.647905,5000,1832.590729
-1608.297758,5000,1837.869609
-497.015868,1379,1838.713017
-498.950223,1363,1839.665187
-2815.130492,1754,1843.021691
-446.193843,1502,1844.044697
-1346.216322,1539,1845.098588
-2756.769285,1821,1848.634597
-1275.07972,1620,1849.789604
-1286.99467,1632,1851.065192
-1231.12452,1623,1852.271984
-1123.104967,1694,1855.753389
-1166.826179,1772,1856.977189
-1796.561903,1936,1858.243127
-1100.552013,1922,1861.602529
-1146.295338,1808,1862.913582
396.827171,1470,1863.947717
-1206.898653,1774,1865.266986
-2738.545731,1863,1868.810268
-2790.737218,1796,1870.038203
-2633.243504,2008,1871.324233
-2685.575762,5000,1877.254948
-2705.640888,5000,1882.85374
-518.068304,1379,1883.766588
-1244.412314,1614,1884.806849
-1195.467896,5000,1890.047039
-1596.282154,5000,1895.279072
-1516.06189,1270,1896.071739
-553.384331,1330,1896.88517
-1525.038857,1290,1899.917902
-1553.01286,1228,1900.684078
-1464.39859,1285,1901.552945
-1511.255205,1276,1902.407678
-1593.08383,1229,1903.280273
-1587.039943,1177,1906.213489
-1581.842679,1213,1906.997504
-2551.730463,1191,1907.714564
-1612.00406,1196,1908.551265
-1598.780334,1205,1909.417109
