EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,entloss,entropy,ev_tdlam_before,meankl,optimgain,surrgain
1983.6666666666667,-2631.3142,3,3,7.594067811965942,5951,0.0,1.3580952,0.0005546212196350098,0.0043624607,0.0029234558,0.0029234558
2012.3333333333333,-2613.4204,3,6,15.697465419769287,12074,0.0,1.4044071,0.12919366359710693,0.0023683324,0.0003108106,0.0003108106
1979.2222222222222,-2636.1404,3,9,23.35439682006836,17813,0.0,1.3727471,0.25762999057769775,0.0052511417,0.0036439607,0.0036439607
1985.25,-2801.2507,3,12,31.303256273269653,23823,0.0,1.3237945,0.24541544914245605,0.0048519527,0.0022705535,0.0022705535
1984.0,-3121.5242,3,15,38.91866731643677,29760,0.0,1.3583865,0.289928138256073,0.0036974947,0.0021044887,0.0021044887
1973.0555555555557,-3107.6548,3,18,46.798940896987915,35515,0.0,1.3199453,0.3658580183982849,0.0039874627,0.0020410537,0.0020410537
1946.0,-3016.2783,4,22,53.92586612701416,42812,0.0,1.2700775,0.416276752948761,0.0045389705,0.0016599643,0.0016599643
1919.64,-2797.2134,3,25,61.34132695198059,47991,0.0,1.3054807,0.38632458448410034,0.0048189857,0.0015413078,0.0015413078
1927.607142857143,-2719.998,3,28,68.87074947357178,53973,0.0,1.2931527,0.3439183831214905,0.0048586866,0.0018027009,0.0018027009
1934.2903225806451,-2770.944,3,31,75.76809024810791,59963,0.0,1.2286376,0.32359373569488525,0.00491319,0.0026033414,0.0026033414
1948.264705882353,-2802.4583,3,34,82.56790375709534,66241,0.0,1.2563436,0.24577683210372925,0.004587501,0.0012610899,0.0012610899
1954.4864864864865,-2839.3796,3,37,89.87555289268494,72316,0.0,1.2262121,0.2924145460128784,0.0051969546,0.0012331834,0.0012331834
1964.475,-2881.442,3,40,96.95089387893677,78579,0.0,1.2109239,0.281715989112854,0.0048337406,0.0036545552,0.0036545552
1980.75,-2876.0027,3,43,103.51377129554749,85181,0.0,1.2003175,0.2514669895172119,0.0031993862,0.00043849213,0.00043849213
1989.35,-2894.9543,3,46,110.8821210861206,91648,0.0,1.1656505,0.22837668657302856,0.005251253,0.0040412038,0.0040412038
