# {"t_start": 1564081389.623299, "env_id": "SignalizedEco-v0"} 
r,l,t
181.411557,587,11.106577
177.446968,550,11.964171
182.95924,670,13.197847
179.407059,622,18.63664
28.385894,738,19.886733
180.932772,611,20.897282
182.753027,629,24.302297
182.938766,690,25.507932
180.710676,724,26.692347
29.526447,738,30.350035
181.304037,604,31.287094
176.613715,658,32.335696
189.33105,613,35.853149
38.2413,804,37.10348
182.093946,614,38.029459
185.693677,732,41.923433
182.093564,672,43.255856
183.511889,686,44.284955
43.839673,837,48.614242
82.866402,1001,50.233175
47.416042,869,54.356234
74.289204,1001,56.257043
70.060896,1001,60.863751
99.9,1001,62.475394
99.9,1001,66.828811
75.860691,1001,68.533796
82.504675,1001,72.69192
99.9,1001,74.455483
78.784075,1001,79.106806
81.778359,1001,81.179303
99.9,1001,85.696739
182.231104,689,86.948856
179.984601,692,88.314218
45.54149,824,92.527258
51.484449,859,94.184508
35.509113,783,95.632245
71.092078,1001,100.009729
99.9,1001,102.09543
78.536276,1001,106.816046
99.9,1001,108.44877
99.9,1001,113.019056
70.051728,1001,114.767668
184.919772,746,118.809791
188.691185,695,120.257476
186.740564,799,121.633858
89.427657,1001,126.132185
183.101693,692,127.272589
184.063894,634,131.118029
194.965563,735,132.614854
183.700665,645,133.574789
37.846153,760,137.719795
193.248646,670,138.995819
175.909269,664,140.01984
184.317317,698,143.826646
184.394894,585,144.894986
181.453246,628,145.959685
187.381456,569,147.004229
183.113441,635,150.566987
184.608457,644,151.640694
189.059485,706,152.819736
182.594924,563,156.323907
176.877638,521,157.40781
176.950505,562,158.516402
182.809015,564,162.290197
182.516966,536,163.398362
171.376018,523,164.291531
187.999829,562,165.405468
182.503143,570,169.221997
174.856645,509,170.222456
181.267533,552,171.176086
177.956735,559,172.062141
349.8,502,175.573243
350.2,498,176.479999
173.331058,528,177.406268
351.8,482,178.203358
170.042804,508,181.751362
354.0,460,182.5588
349.6,504,183.485861
349.8,502,184.397014
352.8,472,187.849495
351.3,487,188.802759
180.994904,555,189.757703
349.7,503,190.722471
168.602585,515,194.311701
352.4,476,195.321103
350.9,491,196.344027
173.26667,525,197.357422
350.8,492,200.98823
351.8,482,201.851094
351.5,485,202.774462
355.0,450,203.654067
352.4,476,204.636461
352.6,474,208.242618
352.2,478,209.235029
355.0,450,210.043255
356.2,438,210.91169
352.6,474,214.349117
354.9,451,215.090278
355.9,441,216.054874
354.7,453,216.928686
355.2,448,217.7654
356.0,440,221.350373
355.6,444,222.286539
355.1,449,223.154834
355.0,450,223.974406
356.1,439,227.56954
356.2,438,228.400821
355.2,448,229.260437
356.5,435,230.174259
355.2,448,231.055159
357.9,421,234.629305
356.5,435,235.440791
358.2,418,236.267648
357.5,425,236.992618
356.3,437,237.7684
357.7,423,241.048447
357.0,430,241.897847
355.6,444,242.687202
358.9,411,243.316057
356.8,432,246.973879
358.0,420,247.883074
357.7,423,248.641107
357.9,421,249.446914
359.3,407,250.026164
358.4,416,253.215342
358.4,416,253.942262
358.6,414,254.685532
358.2,418,255.5409
359.4,406,256.309379
358.1,419,259.653705
359.4,406,260.370026
357.8,422,261.173582
357.9,421,261.907225
357.7,423,262.681949
357.8,422,266.151924
357.8,422,266.881561
359.2,408,267.738097
358.1,419,268.545695
359.5,405,269.374248
359.2,408,272.660236
358.5,415,273.19002
359.1,409,273.810284
357.9,421,274.554347
359.2,408,275.243804
359.7,403,278.581453
357.8,422,279.391935
359.8,402,280.173798
358.3,417,281.087092
359.0,410,281.930198
359.6,404,285.354574
358.5,415,286.119528
359.3,407,286.917486
360.5,395,287.626953
359.4,406,288.450585
360.3,397,291.834673
360.1,399,292.526045
360.0,400,293.29378
358.8,412,294.095324
358.4,416,294.788893
359.9,401,298.170724
359.0,410,298.992491
360.3,397,299.674975
360.2,398,300.360552
360.4,396,301.06086
360.3,397,304.368472
359.1,409,305.035589
359.5,405,305.620651
360.3,397,306.363122
360.0,400,307.097935
358.5,415,310.47085
360.3,397,311.133683
358.7,413,311.776289
358.5,415,312.606485
358.9,411,313.333447
358.7,413,316.638566
360.5,395,317.290536
359.7,403,317.891984
360.6,394,318.688551
359.1,409,319.548234
359.6,404,322.739207
359.8,402,323.51239
360.3,397,324.27319
360.2,398,324.996308
360.0,400,325.59907
358.2,418,326.310857
360.6,394,364.781938
359.5,405,365.717095
359.7,403,366.371504
359.3,407,367.09437
359.7,403,367.7241
359.5,405,368.400758
360.9,391,371.588852
360.7,393,372.210378
360.6,394,372.773124
360.5,395,373.361227
360.3,397,374.020411
360.0,400,376.834343
360.1,399,377.355283
360.1,399,377.913341
360.2,398,378.535332
359.9,401,379.144697
359.6,404,382.253633
359.7,403,382.876213
359.5,405,383.611658
