# {"t_start": 1564063697.5532043, "env_id": "SignalizedEco-v0"} 
r,l,t
-213.529781,140,1.531715
-229.527155,121,1.624383
-216.606473,133,1.729015
-229.651776,123,1.823831
-235.428139,115,1.909571
-225.008135,124,2.004806
-228.55957,120,2.090376
-223.456863,127,2.174675
-216.75967,135,2.274266
-213.589874,140,2.367709
-219.789843,129,2.470182
-223.149554,127,2.574367
-226.948839,126,2.673858
-223.020953,127,2.77263
-208.33136,145,2.876993
-226.210034,123,3.946512
-225.034074,121,4.03122
-228.263355,120,4.112322
-207.300642,144,4.215155
-207.277169,143,4.317182
-215.094709,136,4.415051
-216.309292,135,4.511327
-221.771849,129,4.583404
-224.647986,124,4.653284
-209.293546,143,4.733903
-219.616944,128,4.807314
-214.23064,137,4.886023
-220.69902,127,4.956131
-233.444563,116,5.022983
-227.261316,121,5.102164
-220.746885,126,5.185567
-224.661824,123,5.971379
-215.269083,134,6.06076
-213.78208,139,6.153752
-222.460936,124,6.23754
-215.157639,130,6.324874
-220.704457,128,6.411341
-225.9539,123,6.491527
-213.010065,136,6.580813
-221.70564,128,6.663572
-217.988486,127,6.744852
-214.748343,134,6.830929
-227.549667,120,6.912489
-219.46727,130,6.999864
-213.323975,140,7.092505
-212.875224,134,7.182065
-222.140005,124,7.264415
-213.58589,139,8.062716
-223.506161,125,8.145746
-215.629305,134,8.23335
-223.880904,122,8.312566
-215.129473,134,8.40077
-216.644668,137,8.490615
-209.400047,140,8.581831
-217.186326,133,8.67153
-213.563783,141,8.768605
-212.527509,141,8.859358
-212.75009,139,8.953152
-217.705593,135,9.040367
-221.612249,131,9.129101
-227.947014,120,9.208373
-218.39661,130,9.295523
-221.231097,129,10.100442
-224.219856,125,10.184608
-59.977918,151,10.286293
-225.951975,119,10.364017
-214.348054,133,10.453897
-220.05684,128,10.539508
-221.358474,127,10.624627
-218.731557,128,10.711338
-216.161241,136,10.803445
-219.529733,133,10.893064
-216.966328,133,10.981266
-231.704482,117,11.059279
-213.428181,140,11.153291
-230.001392,122,11.231968
-218.170347,131,11.318386
-210.895517,141,11.414479
-221.117072,129,12.181526
-223.406369,128,12.26808
-229.504184,122,12.346698
-216.223992,138,12.450377
-225.866035,125,12.541775
-218.095332,132,12.619433
-210.484061,142,12.704453
-216.238534,133,12.815047
-225.73054,124,12.895901
-219.175805,133,12.977089
-220.393941,133,13.074801
-222.935497,130,13.159853
-219.556308,132,13.251969
-229.761253,120,13.332738
-230.962782,121,13.423339
-226.48765,121,13.513723
-222.942394,125,14.362258
-223.579552,125,14.459981
-230.789732,121,14.543958
-229.677097,117,14.625444
-236.979834,114,14.705123
-221.859394,130,14.795639
-219.101848,132,14.890119
-213.943906,133,14.981083
-218.612787,136,15.075294
-228.299823,122,15.161659
-236.686764,115,15.242516
-232.657325,117,15.327314
-236.021157,113,15.406789
-244.338141,109,15.479392
-223.870795,129,15.561332
-224.822936,127,15.640799
-221.341134,133,15.728545
-218.608076,131,16.536543
-228.721432,120,16.616281
-223.090458,125,16.698723
-231.343435,121,16.781021
-230.735355,117,16.859875
-219.77802,133,16.94787
-224.063196,126,17.029979
-230.9249,120,17.112799
-221.910816,130,17.197602
-223.958482,131,17.285439
-215.019259,139,17.379103
-231.921549,119,17.459674
-225.110804,124,17.544091
-211.158717,139,17.648696
-216.427791,137,17.74476
-233.896072,115,17.821198
-229.063008,123,18.740159
-226.68143,122,18.8176
-220.204807,130,18.90448
-214.627195,136,18.998484
-222.958701,129,19.084247
-226.201897,120,19.163805
-228.660818,121,19.245748
-212.465258,139,19.33797
-225.000784,126,19.422179
-222.368508,128,19.504049
-220.472428,128,19.585182
-217.591927,135,19.675108
-228.730067,127,19.75955
-213.391871,139,19.853579
-228.791219,126,19.936425
-236.508348,116,20.013126
-216.542935,133,20.790687
-237.445205,117,20.869512
-221.249649,130,20.954815
-224.981754,127,21.040303
-240.378443,114,21.115695
-224.349424,126,21.200872
-225.057548,127,21.286638
-223.448584,129,21.374606
-229.43532,121,21.455295
-229.227151,123,21.536489
-227.461465,121,21.618195
-235.860191,120,21.697794
-221.167655,132,21.782518
-223.305608,133,21.871156
-224.952973,128,21.955211
-223.094187,134,22.03856
-213.348992,138,22.869106
-216.563874,138,22.966332
-227.579691,126,23.051399
-223.192481,127,23.136348
-221.770908,132,23.226638
-224.52233,129,23.310738
-224.229199,128,23.397746
-228.215244,125,23.482451
-225.639074,126,23.567776
-224.544619,124,23.649301
-224.588528,130,23.736547
-228.759462,126,23.821748
-226.767777,123,23.900914
-223.865421,130,23.988664
-230.865617,121,24.059881
-219.433253,134,24.14483
-235.473096,118,24.916297
-219.376209,135,25.005445
-224.58198,129,25.0913
-218.591793,130,25.178161
-229.526661,120,25.259098
-223.031193,130,25.347508
-235.102679,117,25.424274
-221.299136,134,25.513407
-221.517232,128,25.602024
-222.16879,133,25.685065
-233.777209,117,25.759559
-234.054771,120,25.840821
-237.548255,117,25.915538
-231.175429,119,25.993567
-218.207735,136,26.083468
-230.757982,121,26.159606
-211.686398,138,26.991986
-61.410677,146,27.081417
-217.922991,134,27.180626
-216.072774,133,27.271077
-230.023096,119,27.35362
-224.709928,121,27.44311
-225.82065,126,27.5328
-214.004089,140,27.628664
-212.282834,138,27.719768
-232.444295,118,27.802018
-218.281449,133,27.894773
-218.780531,129,27.983212
-220.141982,132,28.074194
-211.972459,138,28.174297
-226.628159,123,28.287299
-229.948904,121,28.38821
-217.609746,133,29.222298
-227.550957,120,29.316517
-212.145486,141,29.424201
-225.249374,122,29.505398
-231.789004,119,29.591927
-226.393559,123,29.67815
-219.566592,129,29.77857
-225.265518,130,29.874259
-225.628271,124,29.964198
-216.398009,137,30.064501
-211.157151,143,30.178749
-215.412986,132,30.271993
-219.227616,133,30.381632
-220.275217,126,30.47176
-214.537647,140,30.566767
-212.225644,138,30.661002
-223.600018,123,31.54999
-220.700637,127,31.640132
-214.934214,134,31.73177
-218.630472,131,31.824666
-223.543133,125,31.915123
-207.925033,142,32.027076
-221.001966,131,32.127668
-224.562843,125,32.215076
-220.646645,128,32.305438
-217.316146,137,32.391876
-215.368002,136,32.483486
-211.60582,135,32.574209
-217.938093,131,32.65813
-224.180354,122,32.730448
-222.188199,128,32.814561
-222.529472,125,33.591163
-216.617253,133,33.681555
-227.720224,121,33.761446
-220.375455,126,33.846239
-223.423549,122,33.927034
-214.916428,133,34.016618
-224.461829,127,34.102014
-226.969337,122,34.184284
-213.930019,135,34.274013
-208.997926,141,34.368241
-212.264849,139,34.463279
-216.747758,128,34.538827
-216.793496,133,34.615264
-226.34377,123,34.69594
-214.629429,135,34.783326
-214.049611,138,34.877626
-219.992387,128,35.706472
-225.658228,119,35.786753
-221.567151,128,35.872262
-225.049363,123,35.955032
-221.814717,128,36.040494
-218.786853,127,36.12621
-215.535571,134,36.215073
-221.171036,125,36.297016
-224.917088,123,36.379352
-218.952706,128,36.465793
-222.146698,125,36.546683
-226.945229,123,36.620519
-214.236485,138,36.697683
-227.098664,123,36.765276
-222.084431,133,36.838997
-226.157438,121,36.90501
-213.053257,135,37.736667
-60.287841,147,37.83193
-219.3668,126,37.915155
-226.89378,120,37.994197
-217.764359,130,38.074091
-214.720083,136,38.157408
-229.470968,121,38.235692
-208.68194,141,38.32994
-213.716051,136,38.420674
-228.990567,118,38.49861
-209.981602,143,38.598712
-227.030599,121,38.679371
