# {"t_start": 1564352000.7604175, "env_id": "SignalizedEco-v0"} 
r,l,t
-1172.490515,1234,93.508535
-1194.162961,1183,94.886968
-1152.684882,1339,96.418405
-1135.709859,1448,98.002191
-831.237041,1910,104.404789
-791.175626,2001,106.582674
-505.195269,2001,111.965585
-262.108575,2001,114.121869
-505.830758,2001,119.382071
-504.416472,2001,121.596919
-294.500688,2001,126.943989
-294.783272,2001,129.072937
-326.709607,2001,134.428452
-331.305965,2001,136.585212
-328.328254,2001,142.028361
-341.039894,2001,144.192872
-341.583976,2001,149.523128
-334.002207,2001,151.660866
-341.153747,2001,157.140692
-345.782635,2001,159.293153
-343.269713,2001,164.645994
-325.200753,2001,166.862772
-338.130714,2001,172.109184
-337.955731,2001,174.252898
-340.201908,2001,179.680296
-354.856309,2001,181.837452
-335.165281,2001,187.190422
-349.490643,2001,189.338022
-352.857086,2001,194.538354
-350.725435,2001,196.71205
-349.689594,2001,202.016305
-352.273063,2001,204.168708
-351.741605,2001,209.422087
-354.329945,2001,211.59071
-349.348583,2001,216.882898
-347.982932,2001,219.119782
-354.912673,2001,224.504226
-350.661955,2001,226.729817
-356.886145,2001,232.178041
-350.47628,2001,234.447597
-356.496776,2001,239.863336
-347.714716,2001,242.134373
-352.404458,2001,244.430096
-352.220108,2001,249.853549
-355.543794,2001,252.088687
-356.673189,2001,257.344404
-356.779149,2001,259.505809
-354.393865,2001,264.805378
-354.418237,2001,266.988846
-354.247735,2001,272.371067
-356.3665,2001,274.563473
-353.819036,2001,279.924883
-352.431067,2001,282.229354
-357.726313,2001,287.499422
-352.829433,2001,289.711267
-354.082982,2001,294.981945
-352.52769,2001,297.165901
-357.919413,2001,302.601438
-351.778586,2001,304.801021
-351.586885,2001,310.181005
-352.94916,2001,312.527613
-356.850744,2001,318.045702
-356.438296,2001,320.286804
-351.591,2001,325.673029
-356.947225,2001,327.847917
-353.512083,2001,333.351879
-357.507218,2001,335.524818
-354.940624,2001,340.961998
-354.372428,2001,343.105448
-354.87052,2001,348.47983
-355.200238,2001,350.666777
-356.142787,2001,355.919111
-353.13462,2001,358.052291
-353.16261,2001,363.328629
-357.494695,2001,365.476847
-353.873536,2001,370.812319
-354.745028,2001,373.002264
-354.53151,2001,378.476845
-352.261892,2001,380.684055
-355.501623,2001,386.09067
-356.465169,2001,388.252929
-353.276314,2001,393.668325
-351.163215,2001,395.898124
-353.072897,2001,401.236675
-352.928247,2001,403.410581
-354.152663,2001,408.718963
-352.621898,2001,410.918902
-357.498074,2001,413.058764
-352.311342,2001,418.326443
-357.461197,2001,420.523856
-353.467569,2001,425.877925
-357.191195,2001,428.138926
-353.677756,2001,433.863386
-355.3437,2001,436.032349
-354.985376,2001,441.442693
-352.504336,2001,443.63157
-357.262541,2001,449.185408
-354.803304,2001,451.543398
-356.984781,2001,457.201331
-356.775615,2001,459.428932
-352.725048,2001,464.877586
-352.083654,2001,467.0816
-357.955499,2001,472.658411
-352.68751,2001,474.817682
-354.114193,2001,619.350912
-355.303485,2001,621.553753
-357.011106,2001,623.663952
-352.585518,2001,629.476811
-357.077277,2001,631.726746
-356.340297,2001,636.951798
-354.126632,2001,639.1562
-356.629931,2001,644.542262
-353.596743,2001,646.707987
-352.921355,2001,652.066321
-358.071695,2001,654.433148
-354.166972,2001,659.76057
-357.80777,2001,661.924285
-353.130899,2001,667.297865
-356.953182,2001,669.475719
-354.922605,2001,674.863956
-354.642897,2001,677.064074
-355.525046,2001,682.286996
-356.781048,2001,684.480966
-357.438016,2001,689.778876
-353.406507,2001,691.929514
-357.761448,2001,697.154638
-353.3202,2001,699.329487
-353.036363,2001,704.561124
-353.32845,2001,706.671074
-356.526594,2001,712.207253
-356.536899,2001,714.474547
-356.429051,2001,719.921112
-353.590925,2001,721.8433
-354.432186,2001,727.357455
-352.835045,2001,729.73289
-353.783915,2001,735.165352
-353.94796,2001,737.368401
-355.902979,2001,742.755199
-357.451164,2001,745.00949
-355.018323,2001,750.538512
-357.126611,2001,752.701827
-353.554239,2001,757.999851
-352.936414,2001,760.141015
-356.484536,2001,765.41253
-353.099872,2001,767.486724
-355.259671,2001,773.012144
-356.188894,2001,775.014349
-353.213505,2001,780.373374
-355.135823,2001,782.511009
-356.178372,2001,784.669365
-354.19651,2001,789.998583
-356.809976,2001,792.158066
-354.580368,2001,797.849999
-353.475592,2001,800.308578
-356.713588,2001,806.045617
-354.321817,2001,808.213943
-357.147521,2001,813.735862
-358.127728,2001,815.955732
-355.317928,2001,821.561249
-353.853701,2001,823.729186
-354.668595,2001,829.179882
-353.59105,2001,831.324623
-356.759275,2001,836.84807
-354.222993,2001,839.001985
-356.302765,2001,845.087314
-355.41353,2001,847.43803
-356.178223,2001,853.193363
-356.364657,2001,855.386526
-353.966878,2001,861.315544
-357.761094,2001,863.587364
-357.979019,2001,869.073296
-353.664858,2001,871.205896
-353.221924,2001,876.664978
-354.908344,2001,878.818869
