# {"t_start": 1565142213.2180955, "env_id": "SignalizedEco-v0"} 
r,l,t
-29.375631,24,7.772355
-607.2,72,7.929351
-30.702104,41,7.969354
-76.9,69,8.038351
-50.5,5,8.043354
-59.707624,27,8.069361
-91.9,19,8.087352
-91.6,16,8.102354
-50.5,5,8.107355
-71.9,19,8.125357
121.3,87,8.212353
-50.5,5,8.217357
-89.456561,23,8.238356
-81.1,11,8.248352
-29.558238,27,8.273356
-50.5,5,8.278356
-59.78356,27,8.302351
-804.9,49,8.347351
-637.9,79,8.416409
-50.5,5,8.421405
-279.2,192,8.610408
-49.500536,25,8.637407
-50.6,6,8.644406
-70.8,8,8.653404
-81.9,19,8.673404
-50.5,5,8.681409
-724.7,147,8.840408
-119.260422,20,8.862406
-59.60678,26,8.891941
-81.1,11,8.905946
-50.5,5,8.91094
-51.8,18,8.930939
-803.9,39,8.972942
-50.5,5,8.977942
-96.1,61,9.040939
-824.7,47,9.081941
-69.281146,21,9.09994
-627.5,75,9.166937
321.196717,113,9.276942
-664.2,142,9.421939
-50.5,5,9.426944
-50.5,5,9.431939
-628.1,81,9.509942
-50.5,5,9.51494
-81.0,10,9.523939
-292.9,229,9.768472
-50.6,6,9.775475
-60.7,7,9.784478
-49.62504,28,9.818474
-50.5,5,9.824474
-19.147578,21,9.848474
-91.7,17,9.866472
243.7,163,10.020469
-80.9,9,10.030474
-29.32583,23,10.051475
-81.024861,42,10.095474
-50.5,5,10.101476
-111.3,13,10.114471
-89.576446,24,10.13647
69.2,108,10.236472
-50.5,5,10.242476
-50.5,5,10.248472
-81.2,12,10.261473
-10.120092,42,10.303473
-70.8,8,10.311471
-50.5,5,10.31647
-50.5,5,10.320469
-50.5,5,10.325469
-69.618191,25,10.348469
-50.5,5,10.35347
-814.9,49,10.397469
-61.4,14,10.409474
-91.5,15,10.423471
-48.950112,20,10.440994
-50.5,5,10.445991
-50.5,5,10.450994
-667.6,76,10.517992
-116.6,66,10.576993
-70.522281,40,10.614991
-59.272405,22,10.634991
-804.9,49,10.679993
-29.297296,22,10.700995
146.275231,76,10.768996
-29.590196,26,10.796993
-120.786868,39,10.837995
-158.6,86,12.858527
-79.53795,24,12.880528
-29.204932,22,12.900527
-129.257149,20,12.918526
-825.2,52,12.96553
-166.2,62,13.022053
-79.929424,29,13.051229
-490.4,204,13.233234
-40.689914,42,13.269234
-273.9,239,13.49323
-71.6,16,13.509229
-59.06009,20,13.529235
-687.5,75,13.601231
-805.1,51,13.65323
-39.093813,20,13.67223
-59.893307,28,13.70023
-40.925727,49,13.74923
-69.317817,22,13.772232
-61.1,11,13.782229
-129.255787,20,13.801232
-28.979251,21,13.822231
-80.14627,32,13.853755
-50.5,5,13.858281
-90.09481,31,13.888282
-111.4,14,13.902278
-50.6,6,13.907276
-50.5,5,13.912278
-50.5,5,13.917276
-91.2,12,13.928279
-61.3,13,13.940276
-50.5,5,13.945279
-61.543174,49,13.992279
120.840521,140,14.135276
-40.275678,36,14.177279
-50.5,5,14.183279
-489.9,199,14.421278
-61.5,15,14.439279
-540.0,200,14.651282
-59.877977,28,14.684278
-99.771208,27,14.718277
-50.5,5,14.724277
-59.894187,30,14.761279
-91.3,13,14.778281
-71.0,10,14.789283
-824.9,49,14.846278
-50.5,5,14.852279
-50.5,5,14.858279
-9.84835,34,14.891276
-50.5,5,14.896276
-19.380505,24,14.921279
-50.5,5,14.926278
-158.4,84,15.007283
471.844137,216,15.263328
-9.382114,133,15.417331
-50.5,5,15.423331
-50.5,5,15.429331
-121.7,17,15.448332
-69.124643,20,15.469328
-79.216935,20,15.489334
-50.5,5,15.494331
-656.5,65,15.556332
307.008429,178,15.731328
-61.284152,49,15.789329
-79.356108,22,15.814333
-59.133545,20,15.836411
-50.5,5,15.843411
-89.196628,20,15.866407
-50.5,5,15.873408
-50.7,7,15.881408
187.1714,67,15.955412
-71.5,15,15.973411
-50.8,8,15.983411
-111.5,15,16.001411
-148.1,81,17.015989
-71.5,15,17.029991
-51.486739,49,17.07199
-60.022146,29,17.097989
-49.31942,22,17.118995
-60.7,7,17.124993
-39.627725,26,17.147991
-280.8,208,17.358517
-81.6,16,17.376516
-10.051864,33,17.410515
-81.0,10,17.419514
-127.8,78,17.490516
-50.5,5,17.495517
-100.036243,29,17.524517
-50.5,5,17.530514
-60.7,7,17.536513
-60.8,8,17.544514
-29.575569,27,17.572513
-79.29349,21,17.596516
-41.628037,51,17.650515
-60.8,8,17.657511
-137.7,77,17.725516
-50.649836,40,17.764514
-91.3,13,17.778517
-20.326291,41,17.820516
-61.6,16,17.834512
-89.3,93,17.91952
-19.175339,25,17.943047
-40.240123,33,17.972576
-50.829803,42,18.015573
-71.0,10,18.026577
-59.130125,20,18.046572
346.130889,180,18.221106
-81.1,11,18.232105
-49.716645,26,18.256105
-393.2,232,18.478106
275.730158,185,18.665635
-69.100449,20,18.685633
-99.471106,23,18.708636
-50.5,5,18.713632
-60.8,8,18.720632
-59.268985,21,18.742637
-715.4,154,18.926976
-61.7,17,18.942975
-29.41947,26,18.965978
-50.762904,41,19.002976
-49.707976,28,19.026976
-50.5,5,19.031976
-79.455908,23,19.051972
-79.506825,23,19.074976
-50.5,5,19.080972
-50.5,5,19.084977
-70.52118,36,19.121975
501.824015,207,19.311508
-50.5,5,19.31551
-51.049385,48,19.357506
-50.5,5,19.361508
-79.709951,26,19.384507
136.308058,72,19.450507
-51.4,14,19.463505
-81.5,15,19.477507
-229.9,199,19.656512
-29.059546,20,19.673508
-89.230602,20,19.692511
-89.21781,20,19.71051
-19.701221,27,19.734509
-753.9,139,19.858507
-79.176108,20,19.877508
-804.4,44,20.804604
-59.238907,21,20.824601
-39.793452,29,20.856602
-69.195671,20,20.878604
-50.6,6,20.8856
-20.285896,37,20.923602
-29.208879,22,20.946601
-149.612111,24,20.9726
-70.8,8,20.981603
-89.300627,21,21.003599
-109.19081,20,21.022602
-70.345974,34,21.055604
-50.5,5,21.059603
-50.708803,39,21.095602
-59.128061,20,21.115604
-50.5,5,21.1206
-50.5,5,21.125602
50.3,97,21.222601
-844.3,43,21.260602
-50.6,6,21.265601
-50.5,5,21.270601
-59.422922,25,21.292598
-49.935263,30,21.319603
-101.6,16,21.333603
-59.30756,22,21.353603
-60.230858,34,21.384598
-19.331865,27,21.409601
-50.9,9,21.417602
-79.139921,20,21.436598
185.403893,81,21.508602
-116.4,64,21.563598
-60.7,7,21.570605
-39.905658,29,21.599601
-177.961719,129,21.721599
-101.4,14,21.733601
-50.5,5,21.7386
267.2,128,21.850599
-50.5,5,21.855599
-50.5,5,21.860599
-9.67938,31,21.892607
-90.013647,29,21.939602
-59.61571,28,22.001605
-101.2,12,22.026606
-20.325111,40,22.111133
-91.1,11,22.132135
-115.8,58,22.219134
-146.8,68,22.316137
-119.221199,20,22.344135
-854.3,43,22.410134
-80.913269,44,22.460133
106.829151,76,22.543201
-28.995983,20,22.565206
-69.177076,20,22.586204
-91.8,18,22.605201
-51.510267,49,22.662204
-61.5,15,22.681201
-60.87112,44,22.7282
-81.1,11,22.7382
100.6,94,22.820199
-50.5,5,22.825201
-50.5,5,22.830204
-127.3,73,22.896199
-56.3,63,22.954198
-71.5,15,22.968202
-50.5,5,22.973202
-121.7,17,22.992198
-249.8,198,23.196203
-121.6,16,23.212204
-19.558895,29,23.242204
-70.8,8,23.251204
-59.425413,23,23.277203
59.1,109,23.386202
-110.909659,42,23.423733
-9.150423,21,23.443735
-81.1,11,23.454736
-81.6,16,23.468731
-91.9,19,23.486733
-60.117605,37,23.520733
-249.5,195,23.704731
-121.6,16,23.719731
-89.600087,25,23.742732
-69.30434,21,23.762735
-20.700347,41,23.806736
-50.5,5,23.812738
-59.342954,23,23.837732
-60.167658,34,23.875731
-109.741156,26,23.905736
-872.9,129,25.01879
-77.0,70,25.080795
-50.35847,36,25.115329
0.000472,136,25.243328
-30.390511,39,25.282331
-29.052315,20,25.305332
-71.1,11,25.317328
-109.239977,20,25.339328
-9.477586,30,25.372331
-51.372947,49,25.422326
-50.6,6,25.429328
-49.428286,26,25.454327
-20.463047,50,25.503325
-51.2,12,25.514331
-148.9,89,25.593325
-76.2,62,25.648326
-50.5,5,25.653327
-50.5,5,25.657326
130.1,99,25.743327
-80.609671,38,25.776329
-50.6,6,25.782328
-50.6,6,25.787327
-9.179996,22,25.807328
-130.2,102,25.917328
-49.078247,20,25.943326
-99.324409,21,25.970328
-9.771911,30,26.008331
-50.5,5,26.016327
-109.243707,20,26.043326
-227.694592,124,26.195328
-50.5,5,26.20233
-50.5,5,26.208326
-30.740213,45,26.26433
-49.574679,25,26.29433
-141.182993,50,26.353325
-109.767026,26,26.380327
-50.5,5,26.385329
-89.206801,20,26.404326
-101.8,18,26.421331
-9.161396,22,26.441331
-50.5,5,26.446326
-61.0,10,26.455327
-181.0,110,26.555328
-50.5,5,26.560328
-19.105086,22,26.579327
-50.131983,34,26.609327
-39.257873,22,26.630328
-146.1,61,26.686326
-190.1,101,26.777327
-99.168923,20,26.798327
-50.6,6,26.804327
-50.6,6,26.810328
-60.9,9,26.819331
-221.7,117,26.955337
-10.471513,40,27.001328
-79.022674,20,27.021331
10.85708,132,27.160329
28.3,117,27.263324
-119.208587,20,27.282329
-69.368222,22,27.305327
-50.5,5,27.309326
-89.231929,20,27.327326
-39.559302,25,27.352325
-50.5,5,27.356328
-99.583105,24,27.377329
-50.642684,40,27.412327
-91.0,10,27.421329
-716.0,160,27.560383
-80.9,9,27.568381
-50.5,5,27.572382
-139.3,93,27.665385
7.7,123,27.804389
8.1,119,27.916384
-59.730163,27,27.943384
-50.5,5,27.948383
-71.8,18,27.964386
-187.507,120,28.986962
-20.448621,36,29.018962
-80.026639,29,29.044964
-137.683322,120,29.152966
-81.5,15,29.166962
-51.1,11,29.17702
-71.016076,41,29.212021
-71.8,18,29.228025
-71.0,10,29.236023
-59.502889,25,29.258023
-50.5,5,29.263024
-121.6,16,29.278024
-89.316007,22,29.297021
-99.32567,21,29.315023
-59.363168,22,29.334024
-50.5,5,29.340023
-79.223111,20,29.35702
-71.219596,48,29.399025
-61.6,16,29.414026
-71.2,12,29.424024
-932.5,125,29.531023
-20.206265,43,29.569023
-71.1,11,29.579023
