# {"t_start": 1565140588.2241592, "env_id": "SignalizedEco-v0"} 
r,l,t
-186.828678,30,9.913484
-250.5,5,9.989482
-351.8,18,10.007484
-250.5,5,10.013484
-120.4,204,10.209482
-853.6,36,10.241482
-407.9,79,10.312481
53.465379,187,10.479483
-250.5,5,10.484482
-538.922451,35,10.515483
-250.5,5,10.520482
-250.7,7,10.527009
111.977358,61,10.58401
-86.455618,28,10.611012
-137.150849,25,10.634012
-250.5,5,10.639012
-86.718341,29,10.667008
-300.7,7,10.67401
-250.5,5,10.67901
-300.8,8,10.687011
-451.7,17,10.704011
-250.7,7,10.71101
-37.117879,29,10.738008
-36.5231,42,10.778013
-301.0,10,10.789009
-388.368918,27,10.815009
-401.0,10,10.825011
-538.066916,20,10.84401
-804.4,44,10.88401
-904.0,40,10.921009
-250.6,6,10.927007
-237.811353,34,10.958008
-36.102601,30,10.985548
-237.468971,20,11.003074
-250.5,5,11.008071
-250.7,7,11.015071
-186.914187,26,11.038075
-351.0,10,11.047074
-2.376396,187,11.218074
-137.407037,22,11.239073
-804.7,47,11.281603
-657.7,77,11.349601
-250.8,8,11.357603
-501.9,19,11.374604
-185.349917,36,11.405603
-250.5,5,11.410606
-250.5,5,11.415604
-1115.6,156,11.56613
-250.5,5,11.571126
-456.0,60,11.62913
243.70367,189,11.808129
-287.969457,24,11.831128
-87.176184,22,11.852127
-338.035334,21,11.871127
-501.3,13,11.884125
-300.7,7,11.891127
-250.5,5,11.895128
-1512.6,126,12.018127
-136.400567,76,12.093128
-250.5,5,12.098132
-287.124132,37,12.144128
-804.6,46,12.195127
-288.189594,27,12.223129
-236.951077,20,12.243129
-250.5,5,12.248129
-187.447821,29,12.275127
-187.794235,25,12.299128
-300.7,7,12.306129
-955.2,52,12.355177
-853.5,35,12.386176
-350.8,8,12.393173
-388.246306,24,12.415175
-250.5,5,12.420176
-237.569035,23,12.440177
-250.5,5,12.445174
-250.5,5,12.450176
-907.7,77,12.521176
-557.4,74,12.589175
-237.880256,22,12.611176
-451.1,11,12.621176
-350.8,8,12.629176
-250.5,5,12.634176
-185.41256,45,12.676175
151.846627,90,12.757179
-351.3,13,12.768176
-451.5,15,12.782176
-954.5,45,12.823176
-250.5,5,12.828174
-250.5,5,12.834179
-185.492049,51,12.882177
-187.34124,21,14.942173
-1210.2,102,15.033177
-854.3,43,15.073176
-402.900155,175,15.233176
-489.049098,42,15.271176
-137.05731,38,15.305178
-250.5,5,15.310173
-37.159127,22,15.330177
-661.2,112,15.436175
-804.9,49,15.483179
-187.410745,24,15.504173
-953.6,36,15.537183
-643.778123,133,15.662711
-437.846725,20,15.681712
-300.8,8,15.689714
-389.14716,49,15.733709
-1005.1,51,15.779711
-588.303976,21,15.799714
-804.5,45,15.842711
-622.9,229,16.058712
-269.8,198,16.244713
-237.804881,39,16.280713
-300.7,7,16.287714
-250.5,5,16.292711
-251.5,15,16.306714
-250.5,5,16.311711
-337.527137,21,16.331713
-250.5,5,16.335712
-187.89515,22,16.356711
-338.312605,29,16.383709
-488.165836,36,16.417712
-638.895089,39,16.457713
-488.428304,26,16.481713
-738.311652,20,16.501711
-387.912476,22,16.521712
-551.3,13,16.534712
-337.559796,26,16.559712
-86.409912,20,16.577712
-401.9,19,16.59671
-350.8,8,16.604715
-250.6,6,16.610712
-37.475157,24,16.632713
