# {"t_start": 1565198384.488297, "env_id": "SignalizedEco-v0"} 
r,l,t
-36.900867,23,7.220188
-50.0,5,7.300186
-60.0,7,7.306188
-200.0,202,7.469186
-6.523215,30,7.492188
-70.0,9,7.500188
-80.0,68,7.553189
-50.0,5,7.557187
-640.0,81,7.621188
-630.0,78,7.682189
-60.0,15,7.693189
-50.0,7,7.699187
-46.998906,22,7.717188
-50.0,5,7.721187
-230.0,212,7.889186
-5.69838,50,7.929188
-50.0,5,7.933187
-60.0,71,7.989188
-47.177279,20,8.005187
-230.0,209,8.17222
-120.0,16,8.185222
-60.0,7,8.19122
-16.945158,20,8.207221
-50.0,5,8.211222
-50.0,5,8.21522
-37.119795,21,8.231222
-66.920799,32,8.258222
-56.614451,49,8.29722
-810.0,39,8.328222
-250.0,191,8.477222
-820.0,52,8.518222
-830.0,52,8.558221
-850.0,51,8.599221
-50.0,5,8.603222
-37.121909,20,8.618222
-630.0,79,8.680221
-850.0,46,8.716221
-540.0,200,8.874222
-37.058592,20,8.890222
-36.794863,32,8.91622
-50.0,237,9.103221
-117.25699,20,9.119222
-830.0,42,9.15222
-90.0,13,9.16322
-740.0,136,9.271222
-37.101814,23,9.289221
-67.013974,20,9.305271
-110.0,13,9.315735
-250.0,196,9.469734
-87.20042,20,9.484735
-830.0,41,9.518739
-27.062669,26,9.538737
-47.094713,20,9.554734
-56.888871,34,9.581736
-50.0,5,9.585735
-640.0,134,9.692736
-60.0,12,9.702735
-50.0,5,9.706734
-77.190969,20,9.722736
-60.0,10,9.730735
-15.915821,50,11.702335
-60.0,8,11.70902
-45.91224,49,11.750021
-57.144842,21,11.767021
-80.0,12,11.777022
-16.789504,29,11.802023
-820.0,45,11.841022
-50.0,5,11.845023
-46.904139,39,11.879022
-670.0,80,11.944022
-67.116622,27,11.966021
-50.0,5,11.970021
-830.0,42,12.004023
-50.0,5,12.008022
-77.094051,23,12.027022
-107.23253,20,12.043021
-67.165427,23,12.061021
-660.0,75,12.12126
-16.666106,28,12.143258
-67.161669,23,12.161257
-97.199757,21,12.17826
-410.0,184,12.324259
-46.659294,42,12.358259
253.360675,173,12.50026
-50.0,10,12.508259
-26.853376,35,12.536259
948.936843,244,12.728259
-26.987245,23,12.746259
-36.726393,30,12.771259
-70.0,9,12.778258
-50.0,5,12.78326
-96.854486,47,12.822784
-46.937567,28,12.845786
-6.827913,30,12.870784
-230.0,118,12.965785
-70.0,11,12.974783
74.810859,132,13.077783
-70.0,10,13.085783
-50.0,5,13.089783
-6.495847,36,13.118784
-90.0,10,13.126783
-57.157442,24,13.145786
-600.0,82,13.211784
-50.0,5,13.215783
-820.0,51,13.256783
-810.0,43,13.289787
-60.0,8,13.296784
-67.101886,26,13.316785
-36.908323,21,13.333785
-60.0,11,13.342783
-250.0,197,13.506314
-117.228755,23,13.524316
-810.0,49,13.563314
-700.0,136,13.670314
-140.0,73,13.727315
-610.0,71,13.783315
-90.0,16,13.796314
-77.100422,26,13.816314
-56.717032,29,13.839314
-50.0,6,13.844316
-70.0,8,13.851316
-50.0,5,13.855316
-50.0,5,13.859314
-16.985267,21,13.877314
80.0,378,15.061176
-240.0,193,15.213175
-50.0,7,15.219174
-430.0,113,15.307173
-70.0,17,15.321176
-90.0,13,15.331174
-50.0,8,15.338176
-80.0,14,15.349174
503.079451,230,15.531175
-16.997943,26,15.552176
-80.0,15,15.565176
-6.805418,25,15.585176
-50.0,5,15.590176
-117.218058,21,15.606175
-70.0,12,15.616175
-120.0,87,15.686175
-15.588779,46,15.722174
-60.0,7,15.728176
-47.150775,22,15.745174
-46.400068,49,15.785175
210.0,158,15.911966
-50.0,5,15.915826
-800.0,42,15.949826
-50.0,5,15.953828
-820.0,49,15.991826
-510.0,195,16.145342
-46.894515,34,16.171343
-66.426013,45,16.206345
-77.183431,20,16.223342
-860.0,50,16.263344
-36.842269,36,16.291344
-120.0,70,16.346344
233.597283,172,16.482345
94.432214,132,16.587342
-127.243361,20,16.602343
-36.903099,35,16.631344
-90.0,59,16.679342
-67.129359,20,16.696344
-480.0,173,16.832342
-86.963446,31,16.856344
-110.0,14,16.867344
-97.212061,21,16.885345
-77.014734,29,16.909343
-50.0,5,16.913344
-610.0,76,16.973344
-830.0,47,17.011345
-6.919387,30,17.036344
-50.0,5,17.040345
-127.252815,20,17.055342
-16.430483,40,17.087908
120.0,89,17.157872
-50.0,5,17.161873
-57.121237,22,17.178871
-50.0,5,17.183873
-70.0,9,17.190873
-880.0,122,17.287873
-110.0,13,17.297872
-840.0,45,17.332872
-66.826288,38,17.362873
-16.569708,44,17.397872
-840.0,40,17.431872
-50.0,5,17.436873
-50.0,62,18.387385
-70.0,8,18.394386
-80.0,9,18.401384
-120.0,66,18.454385
-60.0,8,18.460384
-77.158339,21,18.477384
-260.0,225,18.654385
-650.0,82,18.719384
-107.180367,28,18.741385
-80.0,18,18.756386
183.788505,64,18.807385
-50.0,7,18.813386
-90.0,16,18.827386
-70.0,19,18.842385
-16.629298,37,18.871384
-50.0,8,18.878387
530.0,246,19.073902
-530.0,193,19.225902
-800.0,52,19.265903
-710.0,149,19.381904
-37.181759,20,19.397903
-37.033842,26,19.419903
-50.0,5,19.424984
-6.480271,36,19.459903
-130.0,74,19.526903
-100.0,13,19.539904
-77.228239,20,19.555902
-50.0,6,19.561903
-50.0,5,19.565903
-50.0,10,19.573903
230.0,143,19.685901
-86.684919,36,19.713903
-15.598186,49,19.752904
-470.0,173,19.891904
-60.0,7,19.897902
-70.0,8,19.903901
-60.0,9,19.911903
-610.0,77,19.977902
-47.155554,21,19.994904
-270.0,204,20.167903
-117.176939,25,20.186901
-77.135397,20,20.202901
-80.0,78,20.264902
-270.0,192,20.415938
-6.569554,32,20.440942
-96.863981,40,20.471939
-840.0,49,20.510941
-66.849852,32,20.536939
-110.0,19,20.551938
-130.0,17,20.565939
-50.0,5,20.569939
-260.0,195,20.721939
-50.0,5,20.725941
-117.214046,23,20.74394
-127.254503,20,20.75994
-86.802499,40,20.791941
-110.0,19,20.807582
13.884478,144,21.802618
100.0,104,21.886618
-120.0,17,21.899616
-50.0,5,21.903616
562.737854,235,22.097618
-6.423897,36,22.127616
-50.0,7,22.133617
280.0,137,22.243616
-97.204144,21,22.259616
-77.106454,22,22.277616
-50.0,5,22.281616
173.680425,69,22.336617
-690.0,150,22.456617
-57.00983,30,22.482618
-77.117754,24,22.501616
-90.0,14,22.513616
-66.045464,47,22.551618
183.598108,64,22.602616
-930.0,123,22.699616
552.615212,189,22.847618
-250.0,241,23.037616
-36.95742,27,23.059616
-70.0,8,23.066616
-87.158123,22,23.083616
-86.647007,40,23.115617
562.660149,192,23.267134
270.0,170,23.401136
183.495325,69,23.455135
-90.0,14,23.466134
-77.12482,24,23.485136
-60.0,17,23.499136
-90.0,12,23.508136
-690.0,80,23.571134
-490.0,200,23.728135
-96.935587,35,23.756135
-50.0,5,23.760137
-130.0,67,23.813136
-70.0,12,23.823134
-70.0,12,23.832135
-56.926978,26,23.853136
310.0,136,23.960135
-50.0,6,23.965133
-170.0,75,24.024135
-46.780465,45,24.060134
-60.0,11,24.070136
-50.0,12,24.079137
-36.900278,25,24.099136
-60.0,7,24.105136
163.628607,76,25.053202
310.0,134,25.159201
483.288685,187,25.3122
163.564724,78,25.376202
-6.941719,20,25.393214
-610.0,78,25.4562
553.69669,207,25.6192
-37.084645,23,25.6382
-220.0,241,25.82772
-50.0,5,25.832721
-60.0,7,25.837721
-46.641211,45,25.87372
541.938893,218,26.045721
-27.084194,20,26.062723
-50.0,5,26.066722
-70.0,9,26.073722
-117.247273,21,26.090721
-450.0,176,26.230239
-60.0,7,26.23524
-47.058537,21,26.25324
60.0,125,26.354239
-640.0,70,26.40824
164.069663,79,26.471239
284.654025,174,26.606241
-90.0,18,26.620239
-200.0,212,26.787239
-50.0,8,26.79324
-600.0,81,26.857239
-50.0,5,26.861239
-640.0,79,26.923239
-46.874816,31,26.947241
-26.524488,42,26.980239
-16.351109,41,27.01324
-36.579294,39,27.044761
-810.0,46,27.082759
521.296757,200,27.241759
-50.0,9,27.248761
-230.0,218,27.424761
-70.0,14,27.43576
-50.0,5,27.43976
-66.564546,48,27.477761
-87.182703,20,27.493762
-100.0,13,28.387497
-56.082649,45,28.424013
-130.0,80,28.490013
-36.360881,41,28.524015
-47.132394,23,28.542015
-50.0,5,28.546015
-70.0,10,28.554013
-50.0,5,28.558014
-117.200389,24,28.578014
-50.0,5,28.582013
-830.0,51,28.623013
-480.0,194,28.775015
-6.402515,35,28.804014
-26.593004,24,28.823014
-47.003641,21,28.839015
-440.0,184,28.985014
-80.0,10,28.993013
-70.0,18,29.008013
-66.657547,36,29.036013
542.824267,190,29.187048
-6.592772,26,29.208048
-50.0,5,29.212045
-50.0,5,29.217131
140.0,109,29.305046
-90.0,18,29.319047
-26.711908,42,29.352048
-46.950743,20,29.368046
-16.941467,21,29.385046
-97.220594,21,29.402047
-57.12224,20,29.419046
103.602938,69,29.475046
-57.100209,20,29.491046
-6.843461,23,29.510048
-97.057383,28,29.532046
-50.0,5,29.537048
-80.0,19,29.551046
-6.618441,35,29.580048
-46.923647,31,29.606046
-50.0,6,29.610045
