# {"t_start": 1565278836.0147529, "env_id": "SignalizedEco-v0"} 
r,l,t
-51.0,10,6.428112
-1044.4,44,6.543626
-1092.1,21,6.562623
-847.5,75,6.624624
-91.4,14,6.636624
-55.9,59,6.682624
-844.4,44,6.719625
-833.4,34,6.746624
-1052.0,20,6.762624
-81.0,10,6.770624
-50.5,5,6.774623
145.1,249,6.970624
-813.6,36,6.998623
-1002.7,27,7.020624
-1073.2,32,7.046624
-91.0,10,7.053624
-717.4,74,7.112623
-81.0,10,7.120624
-803.3,33,7.146624
-51.3,13,7.157624
-844.7,47,7.194623
-695.5,155,7.318624
-50.5,5,7.322624
-81.1,11,7.331624
-844.8,48,7.368624
-1002.5,25,7.388624
-1072.2,22,7.405624
-50.5,5,7.409624
-71.0,10,7.417624
-50.5,5,7.421628
-111.6,16,7.433633
-61.1,11,7.442624
-50.5,5,7.446623
-1082.0,20,7.462624
-490.1,201,7.623624
-1043.0,30,7.648624
165.5,245,7.849685
-158.1,81,7.914686
-50.5,5,7.918686
-1062.0,20,7.934685
-608.2,82,7.999685
-1023.0,30,8.023685
-50.5,5,8.027686
-1072.2,22,8.045685
-1012.5,25,8.065685
-50.5,5,8.069686
-1062.6,26,8.089686
119.6,104,8.179686
-50.5,5,8.183686
-50.5,5,8.187688
-517.3,173,8.326686
-1002.5,25,8.346684
-60.7,7,8.352686
-1082.2,22,8.370685
-1072.1,21,8.390688
-725.9,159,8.542686
-50.6,6,8.547686
-70.8,8,8.553686
-489.3,193,8.706431
-834.4,44,8.741428
-1062.3,23,8.759429
-1042.1,21,8.776429
-50.5,5,8.780433
-1023.8,38,8.810431
-50.5,5,8.814429
-814.3,43,8.84943
-814.0,40,8.881431
-50.5,5,8.885321
-71.4,14,8.896321
-814.2,42,8.929321
-50.6,6,8.93432
-81.1,211,11.013347
-30.6,206,11.177346
-637.5,75,11.236345
-845.0,50,11.276346
-50.5,5,11.280346
-824.8,48,11.318345
-99.8,98,11.395346
-91.4,14,11.40735
-50.5,5,11.411346
-51.2,12,11.421346
-1075.1,51,11.461346
-440.2,202,11.622345
-638.2,82,11.687347
-1023.0,30,11.711352
-60.7,7,11.716346
-51.2,12,11.726345
-81.0,10,11.734346
-61.6,16,11.746345
316.9,131,11.858415
-643.7,137,11.974432
