ERewMean,EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,entloss,entropy,ev_tdlam_before,meankl,optimgain,surrgain
-20.073004,45.675,-511.06747,70,70,5.407498121261597,2986,0.0,1.4256325,1.7881393432617188e-06,0.0006500252,0.0030694418,0.0030694418
-18.074646,47.525,-484.50244,55,125,8.78961706161499,5983,0.0,1.4153064,-4.76837158203125e-07,0.00066818605,0.001970799,0.001970799
-10.863745,82.025,-386.20233,34,159,12.141817569732666,9074,0.0,1.3950518,-2.9802322387695312e-06,0.0006903668,0.0029505696,0.0029505696
-11.206284,86.775,-396.1771,35,194,15.453719854354858,12180,0.0,1.3874193,-1.049041748046875e-05,0.00041105956,0.002241952,0.002241952
-15.833878,68.5,-493.09976,43,237,18.75034761428833,15151,0.0,1.386136,-2.384185791015625e-07,0.00092894194,0.0035141984,0.0035141984
-12.580629,82.875,-434.28717,33,270,22.048396110534668,18301,0.0,1.3881224,-2.2649765014648438e-06,0.0007398703,0.0024278315,0.0024278315
-12.007029,106.2,-460.8697,27,297,25.330148220062256,21445,0.0,1.3929995,1.1920928955078125e-07,0.0008821047,0.0029346151,0.0029346151
-10.06338,105.475,-444.54718,28,325,28.618232011795044,24538,0.0,1.3888773,0.0,0.00078889047,0.0040410743,0.0040410743
-9.182482,124.875,-445.4869,22,347,31.909873962402344,27420,0.0,1.3952632,-1.1920928955078125e-07,0.0008507629,0.0029277739,0.0029277739
-8.248564,138.45,-397.3444,22,369,35.18703055381775,30624,0.0,1.3865952,0.0,0.0003870872,0.0021410247,0.0021410247
-6.605937,140.3,-378.02948,23,392,38.48267149925232,33781,0.0,1.3843989,4.76837158203125e-07,0.00033821093,0.0031084314,0.0031084314
-6.7079086,136.925,-352.44196,22,414,41.748218059539795,36697,0.0,1.3796706,4.172325134277344e-07,0.0008333889,0.004166038,0.004166038
-5.8351116,153.85,-313.88428,17,431,45.03429698944092,39740,0.0,1.3744746,0.1951335072517395,0.00066084246,0.005001944,0.005001944
-5.069957,174.775,-309.47662,18,449,48.289849281311035,42899,0.0,1.3702464,0.3254208564758301,0.00072592683,0.002349501,0.002349501
-5.89398,170.2,-285.51904,18,467,51.57181191444397,45870,0.0,1.3640509,0.31808972358703613,0.00064745004,0.0041192845,0.0041192845
-6.9923973,166.225,-189.37143,18,485,54.865811586380005,49064,0.0,1.3626395,0.3670133352279663,0.0006484311,0.0038579684,0.0038579684
-5.4570503,178.75,-141.37381,17,502,58.136914014816284,52168,0.0,1.3624029,0.49893712997436523,0.00077343994,0.0046712784,0.0046712784
-3.8974655,179.9,-74.238785,17,519,61.44700789451599,55135,0.0,1.367454,0.4634430408477783,0.0007470195,0.0035149269,0.0035149269
-3.599224,169.575,-69.70643,19,538,64.7165994644165,58268,0.0,1.3722292,0.4552074670791626,0.0005858736,0.0037146534,0.0037146534
-1.6440437,179.5,13.301129,16,554,67.995197057724,61383,0.0,1.3693167,0.6358877420425415,0.0007643795,0.004525337,0.004525337
-1.5287645,198.125,23.43888,14,568,71.28026151657104,64292,0.0,1.3646469,0.6647546887397766,0.0009516184,0.005882774,0.005882774
-1.4235166,194.725,102.52893,16,584,74.55025386810303,67361,0.0,1.363738,0.42511647939682007,0.0008680046,0.0027267628,0.0027267628
-1.9313707,192.025,84.29891,17,601,77.85081434249878,70651,0.0,1.36657,0.617542564868927,0.000528329,0.0054057646,0.0054057646
0.1512231,209.175,252.08414,13,614,81.17782306671143,73553,0.0,1.3704818,0.6528735458850861,0.0011548763,0.00449005,0.00449005
-0.3656122,208.35,174.16656,14,628,84.45247673988342,76609,0.0,1.3743521,0.7370174825191498,0.0005287169,0.00408063,0.00408063
0.83001804,216.075,338.6442,15,643,87.71542859077454,79762,0.0,1.3672193,0.5824111998081207,0.00065604906,0.0035433264,0.0035433264
0.64988965,212.45,278.2566,15,658,91.0246434211731,82797,0.0,1.3699946,0.7108405232429504,0.000602243,0.0026020538,0.0026020538
0.6977833,209.15,322.08658,14,672,94.27380466461182,85911,0.0,1.3645943,0.6689322292804718,0.0006724139,0.003119126,0.003119126
0.17935205,209.275,315.07413,15,687,97.55439281463623,88979,0.0,1.3708273,0.6424297094345093,0.000578567,0.0040022484,0.0040022484
0.681497,218.1,373.94177,13,700,100.8421676158905,92008,0.0,1.3679142,0.745741456747055,0.00067006174,0.0051004332,0.0051004332
0.935575,226.125,412.63947,13,713,123.8086245059967,95201,0.0,1.3695084,0.8977346867322922,0.0006847214,0.008722027,0.008722027
2.4097896,238.275,586.1746,13,726,127.01966452598572,98258,0.0,1.36133,0.5318727493286133,0.00080791494,0.0048278915,0.0048278915
2.6204426,238.0,637.202,13,739,130.2402219772339,101301,0.0,1.3575515,0.6900785565376282,0.0005999656,0.00421394,0.00421394
2.9835715,234.0,717.352,13,752,133.48130249977112,104334,0.0,1.3578262,0.8068239539861679,0.0007872738,0.00592728,0.00592728
