# {"t_start": 1565307836.3644645, "env_id": "SignalizedEco-v0"} 
r,l,t
-101.0,11,6.806489
-55.0,5,6.889492
-55.0,5,6.894494
-55.0,5,6.898492
-638.0,188,7.056492
-1102.0,32,7.08149
-89.0,19,7.09849
-1058.0,28,7.123492
-1074.0,24,7.143494
-68.0,8,7.150491
-70.0,10,7.15949
-1050.0,20,7.17749
-57.0,7,7.182491
-1088.0,28,7.209494
-78.0,18,7.224491
-55.0,5,7.229491
-1101.0,151,7.358552
-86.0,16,7.37255
-742.0,72,7.431551
-69.0,9,7.43855
-1101.0,121,7.544554
-601.0,181,7.691552
-78.0,18,7.706551
-229.0,209,7.87608
-55.0,5,7.881088
-1078.0,28,7.904079
-67.0,7,7.912077
-90.0,10,7.920082
-239.0,219,8.10108
-98.0,18,8.117077
-1031.0,21,8.13608
-55.0,5,8.140078
-55.0,5,8.14408
-55.0,5,8.14808
-1035.0,35,8.178077
-1090.0,20,8.197604
-541.0,111,8.299603
-427.0,227,8.499602
-202.0,62,8.552601
131.0,239,8.753615
-55.0,5,8.757613
185.0,155,8.890613
-118.0,18,8.905613
-1050.0,30,8.933613
-1115.0,35,8.965613
-1077.0,37,9.000176
-1052.0,22,9.020187
-889.0,49,9.066188
-922.0,52,9.113186
-1072.0,22,9.133188
-55.0,5,9.138186
-104.0,14,9.150186
-853.0,43,9.191709
-1056.0,26,9.212707
-107.0,17,9.228708
-68.0,8,9.235709
-708.0,78,9.305724
-102.0,12,9.316723
-94.0,14,9.329723
-1101.0,31,9.355721
-425.0,215,11.595256
-214.0,214,11.777504
-55.0,5,11.782504
-1090.0,20,11.801505
-55.0,5,11.805505
-78.0,8,11.812504
-55.0,5,11.817506
-671.0,221,12.007506
-708.0,78,12.076504
-845.0,45,12.115504
-68.0,8,12.122504
-55.0,5,12.126504
-1083.0,23,12.145505
-843.0,43,12.182504
-55.0,5,12.186504
-55.0,5,12.190504
-862.0,52,12.236506
-577.0,107,12.330506
-129.0,239,12.539506
-115.0,15,12.553507
-1095.0,25,12.575504
-650.0,190,12.734505
-1043.0,23,12.754507
-1043.0,23,12.774505
-1054.0,24,12.794504
-1140.0,20,12.810504
-1090.0,20,12.828506
-55.0,5,12.833504
-913.0,133,12.947504
-229.0,79,13.013505
-750.0,190,13.171505
-55.0,5,13.178504
-872.0,42,13.215506
-852.0,42,13.256504
-1055.0,25,13.279506
-1023.0,123,13.384504
-55.0,5,13.388504
7.0,93,13.463504
-719.0,79,13.530506
-691.0,81,13.599504
-79.0,9,13.607504
-1064.0,24,13.627504
-898.0,198,13.791506
-544.0,104,13.887504
27.0,343,14.170018
-1064.0,24,14.190019
-875.0,45,15.157028
-113.0,283,15.400554
-936.0,46,15.441552
-696.0,196,15.613556
-909.0,49,15.655553
-1160.0,120,15.755554
-79.0,9,15.763552
-112.0,272,15.991553
-1111.0,21,16.010069
-847.0,47,16.049073
-1060.0,30,16.075073
-900.0,50,16.122069
-523.0,113,16.218069
-757.0,107,16.310069
-1095.0,45,16.352073
-1132.0,22,16.374075
160.0,240,16.576068
-862.0,42,16.612069
-726.0,76,16.675072
-113.0,63,16.727068
-55.0,5,16.73107
-1117.0,37,16.762069
-867.0,47,16.800069
-687.0,77,16.862069
-95.0,15,16.874068
-457.0,207,17.042595
-866.0,46,17.079593
-1108.0,28,17.103593
-73.0,13,17.113595
-271.0,211,17.288594
-1054.0,24,17.308593
-860.0,50,17.350595
-55.0,5,17.355594
-229.0,209,17.52663
-1052.0,22,17.545632
-537.0,237,18.660144
-1060.0,40,18.692146
-55.0,5,18.697145
-731.0,81,18.764663
-335.0,285,19.019661
-112.0,242,19.245665
-1111.0,21,19.266667
-55.0,5,19.271667
-846.0,46,19.313664
-1027.0,27,19.339677
-1120.0,20,19.358662
-875.0,45,19.39966
-1042.0,42,19.437185
-96.0,246,19.653185
-55.0,5,19.658183
-837.0,37,19.688183
-1058.0,28,19.712183
-688.0,78,19.778224
-844.0,44,19.813221
-55.0,5,19.818223
-1055.0,45,19.856221
-1086.0,26,19.879225
-524.0,114,19.978744
-465.0,205,20.147742
-853.0,43,20.182742
-466.0,206,20.365744
-699.0,79,20.438743
-473.0,203,20.631742
-412.0,212,20.811308
-72.0,12,20.822307
-853.0,43,20.857306
-62.0,12,20.867305
-850.0,40,20.900308
-858.0,38,20.932308
-408.0,208,21.112307
-867.0,47,21.154305
-148.0,278,22.315307
-213.0,213,22.517305
-1041.0,21,22.541374
-697.0,77,22.621389
-1060.0,20,22.639396
-1039.0,29,22.664391
-696.0,76,22.732391
-401.0,201,22.903922
-62.0,242,23.107918
-256.0,206,23.295918
-1048.0,38,23.327919
-851.0,51,23.372918
-737.0,77,23.439919
-700.0,80,23.508917
-257.0,207,23.683918
-1126.0,36,23.713919
-840.0,40,23.74792
-861.0,51,23.789442
-1047.0,27,23.813442
-695.0,75,23.89344
-254.0,214,24.084963
-1026.0,26,24.106961
-846.0,46,24.145962
