ERewMean,EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,entloss,entropy,ev_tdlam_before,meankl,optimgain,surrgain
-16.657907,55.475,-485.225,59,59,5.831812143325806,2869,0.0,1.4231242,5.173683166503906e-05,0.0008023614,0.0022827582,0.0022827582
-18.413898,69.5,-603.0,46,105,9.387583017349243,6116,0.0,1.4107608,-1.2874603271484375e-05,0.00066064653,0.0026049558,0.0026049558
-17.147116,89.125,-655.875,35,140,12.899698257446289,8988,0.0,1.4017655,-1.0728836059570312e-06,0.0011106399,0.0038727876,0.0038727876
-16.536755,83.95,-618.45,36,176,16.51885962486267,12060,0.0,1.3946589,-1.3113021850585938e-06,0.0009488612,0.0032369348,0.0032369348
-14.826673,98.275,-612.025,31,207,20.153563737869263,15176,0.0,1.3991755,-2.384185791015625e-07,0.00077654625,0.003006179,0.003006179
-12.721457,95.675,-575.925,36,243,23.871135711669922,18382,0.0,1.3880948,-1.1920928955078125e-07,0.0006893513,0.0016198814,0.0016198814
-11.714066,87.675,-496.175,33,276,27.397708892822266,21292,0.0,1.3779966,-2.384185791015625e-07,0.0006104144,0.0019884165,0.0019884165
-8.052585,124.95,-469.7,21,297,30.987792491912842,24457,0.0,1.3674644,-2.384185791015625e-07,0.00079702697,0.0036479032,0.0036479032
-8.398858,139.05,-506.8,22,319,34.48089075088501,27517,0.0,1.3582169,-1.1920928955078125e-07,0.0005201306,0.0024761017,0.0024761017
-8.143664,132.925,-536.425,23,342,37.97049260139465,30644,0.0,1.353233,2.384185791015625e-07,0.00095129275,0.0034455797,0.0034455797
-9.804956,126.15,-551.15,26,368,41.485642194747925,33654,0.0,1.347467,0.0,0.00033896006,0.0024764503,0.0024764503
-7.961576,135.8,-525.55,20,388,45.110822916030884,36743,0.0,1.3441464,-1.1920928955078125e-07,0.00036072778,0.0020390863,0.0020390863
-7.59328,145.025,-494.525,24,412,48.646254539489746,39933,0.0,1.3479009,1.1920928955078125e-07,0.0008715558,0.003563586,0.003563586
-7.512815,150.975,-489.975,17,429,52.15336585044861,42991,0.0,1.3520509,1.1920928955078125e-07,0.00033673565,0.0030640007,0.0030640007
-4.711469,168.9,-433.65,15,444,55.688448905944824,45903,0.0,1.3404251,0.16564041376113892,0.0011256823,0.003186952,0.003186952
-4.5713167,174.8,-415.3,20,464,59.17500424385071,49120,0.0,1.3387208,0.2897208333015442,0.00070503313,0.004053818,0.004053818
-4.122224,181.125,-388.375,14,478,62.74722480773926,52058,0.0,1.3263623,0.4811144471168518,0.0011493854,0.0019138904,0.0019138904
-5.681408,177.25,-456.0,21,499,66.25758457183838,55170,0.0,1.3215923,0.42669177055358887,0.00079582253,0.0026011195,0.0026011195
-8.806955,148.95,-485.2,20,519,69.70275712013245,58230,0.0,1.3212222,0.440588116645813,0.0008307453,0.0038327675,0.0038327675
-8.519354,158.225,-444.975,18,537,73.20378684997559,61265,0.0,1.3244305,0.4563392400741577,0.00053817924,0.004251152,0.004251152
-8.0147705,170.875,-447.875,16,553,76.71495151519775,64428,0.0,1.3200454,0.5301926732063293,0.0005874944,0.0033867739,0.0033867739
-6.1895084,188.875,-438.625,17,570,80.22841286659241,67543,0.0,1.3173202,0.640592634677887,0.0007328109,0.0034712495,0.0034712495
-4.0685472,191.9,-410.15,15,585,84.14806699752808,70438,0.0,1.3230575,0.5594436228275299,0.0005253332,0.0022440897,0.0022440897
-4.5753546,189.05,-431.05,17,602,87.92734718322754,73690,0.0,1.311989,0.6506209969520569,0.00073368166,0.004113847,0.004113847
