# {"t_start": 1565208409.7132483, "env_id": "SignalizedEco-v0"} 
r,l,t
-146.541053,31,2.383727
-31.507092,21,2.397728
-95.824146,41,2.427726
-90.431133,20,2.441727
-69.426508,29,2.462728
-126.087932,41,2.490728
-80.0,5,2.494727
-521.0,106,2.567729
-107.687427,22,2.584728
-157.85968,43,2.614727
-879.0,49,2.650729
-132.826457,48,2.68473
-80.0,5,2.688731
-64.414843,24,2.704729
-707.0,77,2.758729
-23.0,88,2.820288
-420.0,190,2.951287
-912.0,52,2.996286
-156.787486,26,3.02229
-65.600558,41,3.070285
-415.0,215,3.255289
-859.0,44,3.290289
-387.064194,124,3.381283
-84.0,9,3.387288
-146.0,11,3.395287
-506.0,216,3.544345
-195.84492,20,3.558345
-90.633347,20,3.572346
-115.349088,30,3.594342
-74.448108,51,3.632345
-118.101924,33,3.655346
-80.0,5,3.659345
-923.0,48,3.696344
-135.769798,20,3.710345
-34.357,24,3.728343
-47.547044,22,3.744343
-33.229233,23,3.761344
104.058894,72,3.811345
-895.0,50,3.845343
-165.84385,20,3.859345
-80.0,5,3.863344
121.326952,69,4.195343
156.0,279,4.390345
-100.0,10,4.397344
-212.849303,22,4.412343
-155.617317,25,4.429345
-862.0,47,4.461344
-93.030957,38,4.487343
-304.0,79,4.543341
-926.0,51,4.579343
-89.094333,34,4.603345
-151.859988,21,4.619345
-940.0,50,4.656343
-151.0,16,4.668344
-186.0,66,4.716345
-80.504743,25,4.738346
-867.0,52,4.782847
-91.499103,21,4.799846
320.788308,211,4.960844
-98.0,8,4.966849
-80.0,5,4.971847
-166.0,16,4.985848
-877.0,47,5.022846
-87.090881,32,5.048844
-80.0,5,5.052846
-213.0,18,5.068851
-525.0,220,5.266845
-80.0,5,5.270846
-65.524621,41,5.299848
-99.436571,29,5.319844
-25.0,90,5.382375
-125.864933,41,5.412375
-146.0,11,5.421375
-60.655491,20,5.437376
-909.0,49,5.479373
-80.0,5,5.482376
-85.0,10,5.489376
-50.633402,41,5.518375
-528.0,113,5.597393
-105.675587,20,5.611395
-896.0,36,5.636394
-189.677186,29,5.655922
-850.0,50,5.68992
-122.619517,22,5.856922
-757.0,67,5.905921
-97.0,7,5.91092
-96.582786,26,5.928922
-42.167932,32,5.951307
-141.55693,26,5.969839
-148.0,13,5.980839
-47.464171,22,5.997838
-80.0,5,6.000837
-934.0,44,6.031839
-80.0,5,6.03484
-82.0,7,6.03984
-80.0,5,6.043839
-131.0,11,6.05084
-477.0,217,6.21801
-150.784838,20,6.233005
-123.704655,23,6.252009
-180.849516,20,6.267007
-114.0,9,6.274004
-80.0,5,6.278011
20.608155,80,6.341012
137.0,143,6.462008
-195.0,15,6.478008
-92.368188,22,6.49601
-181.792437,21,6.514007
-120.777252,20,6.53001
-106.611265,21,6.546008
-153.0,18,6.561005
-120.760159,20,6.576008
-110.035779,40,6.605005
-183.0,18,6.61801
-85.0,10,6.62501
-146.0,71,6.677575
-57.278494,32,6.700574
-921.0,141,6.808583
-80.0,5,6.812577
-376.425251,132,6.909574
-136.783113,21,6.924573
-73.100753,33,6.951576
-907.0,47,6.989573
-45.615424,20,7.008578
-51.732709,42,7.045576
-135.698436,20,7.061581
-80.0,5,7.067576
-91.676809,21,7.084574
-81.330468,26,7.104862
-80.0,5,7.110574
-129.0,9,7.118575
-81.0,6,7.122577
-146.618576,31,7.146574
-439.0,194,7.280571
-220.0,85,7.339108
-80.0,5,7.343107
-167.65048,22,7.358107
-158.170653,43,7.388107
-31.280937,21,7.403106
-80.0,5,7.407107
-102.0,12,7.553108
-115.255198,46,7.587107
-41.337205,31,7.609107
-80.0,5,7.612107
-136.775612,21,7.627105
-86.569612,47,7.660106
-69.686127,45,7.691107
-135.0,15,7.702107
-80.0,5,7.705107
-119.081862,50,7.740106
-724.0,79,7.794103
-114.603322,29,7.814107
-46.54693,21,7.829105
-166.80493,21,7.844105
-121.718133,21,7.858105
-138.748703,23,7.875105
-178.937926,49,7.909107
-80.0,5,7.913105
-841.0,41,7.941104
586.023559,206,8.088107
-858.0,138,8.185105
-152.796994,22,8.201108
-97.0,7,8.205106
119.406773,71,8.257103
-184.676308,24,8.275105
-181.859012,21,8.290106
-80.0,5,8.293107
-97.0,7,8.298107
-41.066668,31,8.319104
-80.0,5,8.322106
-81.0,6,8.326105
-116.0,11,8.333105
313.619732,218,8.491654
-278.0,218,8.65265
-196.846961,21,8.667652
-78.580984,23,8.684177
-97.0,7,8.68918
-122.511776,38,8.717184
-38.870161,29,8.737178
-80.0,5,8.740176
-163.0,13,8.750177
-148.778917,49,8.785176
-146.935576,32,8.807177
-42.006528,32,8.831177
-135.796168,20,8.846177
-87.0,12,8.855179
-97.0,7,8.859176
-80.0,5,8.863177
-760.0,210,9.176179
-511.0,206,9.32518
-150.795171,20,9.339179
-864.0,49,9.373181
-80.0,5,9.377177
-448.0,218,9.528229
-97.0,7,9.532703
-1064.0,164,9.645705
-60.0,260,9.822705
-166.821375,21,9.838704
-80.0,5,9.842703
-80.0,5,9.846703
-84.0,9,9.852705
-122.0,17,9.867704
-184.0,19,9.884705
-106.684823,21,9.901706
-97.0,7,9.909703
-685.0,70,9.965702
-86.0,11,9.974702
-80.0,5,9.978706
-129.0,9,9.984705
-108.491553,23,10.000703
-904.0,44,10.030703
-181.829436,21,10.044701
-153.0,18,10.056703
-80.0,5,10.060705
-22.0,87,10.123712
-169.0,19,10.136705
-111.214079,41,10.165705
-118.428394,33,10.188703
-150.796411,20,10.202704
-80.0,5,10.205705
370.107402,220,10.357703
-109.736428,40,10.385705
-113.0,8,10.391704
-145.0,10,10.398704
-850.0,50,10.433704
-81.0,6,10.437705
-80.0,5,10.441706
-104.0,14,10.450703
-80.0,5,10.453705
-220.0,70,10.502703
-742.0,82,10.559704
-89.172104,34,10.583703
-80.0,5,10.586703
-80.0,5,10.590704
-239.0,74,10.779231
-47.519753,38,10.805231
-164.0,14,10.815233
-149.0,14,10.825233
-146.0,71,10.873231
-80.0,5,10.877231
-120.712308,20,10.891232
-106.663766,21,10.906231
-121.095317,148,11.012233
-911.0,51,11.049231
-104.0,14,11.06023
-148.0,13,11.07023
-85.478615,30,11.092233
54.0,166,11.214301
-80.0,5,11.218302
-80.0,5,11.221301
-114.0,9,11.228302
-80.0,5,11.2323
-247.056794,139,11.329302
