eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
49.292682926829265,-247.53960797560978,1117,2.532778e-05,0.0,1.4197543,1.9726576e-06,13045.571,7.092952728271484e-06,1,2048,1.8328427999999999,2048
45.73,-252.72487250000003,1260,0.00018601009,0.0,1.4209399,-0.00059112976,19575.47,-1.7762184143066406e-05,10,20480,16.494042200000003,20480
41.24,-155.94643095,1236,0.00049329945,0.0,1.4194242,-0.00042320846,8314.485,0.00029283761978149414,20,40960,32.6836261,40960
56.48,-241.49861103000003,1264,1.5038464e-05,0.0,1.4104552,4.5564986e-05,13961.646,-0.0003018379211425781,30,61440,48.8359017,61440
37.09,-176.49798261,1236,0.00029098833,0.0,1.4048771,0.00090589124,7895.54,-0.00018727779388427734,40,81920,65.05916979999999,81920
54.78,-199.80281081,1281,0.0027712507,0.024169922,1.3994315,-0.00067155954,6596.9033,-1.0013580322265625e-05,50,102400,81.471054,102400
67.57,-264.00405356000005,1307,0.0001730947,0.0,1.3988888,-0.00060107966,20257.305,0.00015145540237426758,60,122880,97.36042979999999,122880
63.14,-308.64481512,1299,0.0001004588,0.0,1.3868011,-7.684939e-05,11821.466,3.981590270996094e-05,70,143360,113.1944082,143360
65.53,-254.00763218000003,1293,0.00045758614,0.00024414062,1.388795,-0.0007313584,10917.115,0.0002726912498474121,80,163840,129.18541100000002,163840
50.66,-194.78216186,1145,0.00024771114,0.0,1.3888786,0.00017826221,11025.776,-0.0002796649932861328,90,184320,146.05200100000002,184320
64.11,-270.36632842,1150,3.8605463e-05,0.0,1.3810378,-5.0351373e-05,13410.064,0.0002378225326538086,100,204800,163.51787430000002,204800
56.84,-294.58270803,1194,0.00020257526,0.0,1.3801864,-0.000808003,23069.176,0.003901958465576172,110,225280,181.0140049,225280
60.25,-301.78233585,1168,0.00018432668,0.0,1.384704,-0.0007358013,15790.802,0.0011057257652282715,120,245760,199.2235362,245760
49.56,-197.25944178999998,1189,1.6098729e-06,0.0,1.3850006,1.399967e-05,5952.7993,-0.0005575418472290039,130,266240,216.54458000000002,266240
41.95,-134.36499073,1121,6.4270884e-05,0.0,1.3845191,-0.00036683207,6340.96,-0.002389192581176758,140,286720,234.05721490000002,286720
50.51,-197.77484927,1180,1.534324e-05,0.0,1.3849249,-0.0001815208,12179.313,0.019076228141784668,150,307200,251.7000284,307200
44.21,-213.66013493999995,1138,8.719669e-06,0.0,1.3847008,-0.00016415627,11679.848,0.009508907794952393,160,327680,269.3321705,327680
58.37,-180.45728891000002,1213,8.3458e-06,0.0,1.3848463,-3.1443866e-05,11153.741,0.01442420482635498,170,348160,286.7749726,348160
55.25,-247.26908403999997,1213,1.3483151e-05,0.0,1.3848525,-7.972162e-05,9754.982,0.039376258850097656,180,368640,303.9501201,368640
58.77,-205.69111766999998,1194,1.7825145e-05,0.0,1.3846742,9.6792006e-05,9838.383,0.0400158166885376,190,389120,321.0401617,389120
56.07,-201.32603816,1052,1.4207121e-05,0.0,1.384547,2.9897317e-05,7934.711,0.06620734930038452,200,409600,338.65029880000003,409600
48.78,-211.63336905000003,1128,3.2112657e-05,0.0,1.3847415,5.600028e-05,8902.138,-0.005103349685668945,210,430080,357.5000456,430080
59.9,-177.48590464,1096,3.7339116e-05,0.0,1.3844765,0.00026123182,7526.873,0.0667993426322937,220,450560,376.9931594,450560
51.18,-160.83364158,1142,2.9569119e-05,0.0,1.3844712,-7.5077696e-05,6629.498,0.09272998571395874,230,471040,395.6282622,471040
49.41,-183.42092135,1130,7.4534095e-05,0.0,1.3839146,-0.00013938034,6005.255,0.04956233501434326,240,491520,413.9603124,491520
58.64,-136.97152931,1102,5.002089e-05,0.00012207031,1.3838922,-1.6288337e-05,6684.9287,0.09644502401351929,250,512000,432.3003417,512000
42.17,-104.54992046999998,1129,6.3566105e-05,0.00024414062,1.3837976,2.2570923e-05,4262.3545,0.11614662408828735,260,532480,450.80128260000004,532480
39.21,-151.12728534,1037,3.0194424e-05,0.0,1.3834726,-0.00021823033,8494.511,0.08489173650741577,270,552960,470.1106838,552960
49.59,-122.0313331,1073,4.1301304e-05,0.0,1.3835297,0.00019082497,5630.883,0.08403325080871582,280,573440,489.697397,573440
57.32,-186.39933140000002,1053,6.043336e-05,0.00024414062,1.3830884,-6.4231426e-05,12218.254,0.08566498756408691,290,593920,509.05253130000006,593920
37.41,-165.07298595999998,1077,5.164568e-05,0.0,1.3828995,3.089424e-05,8643.154,0.07462090253829956,300,614400,528.3306574000001,614400
33.86,-123.81833763,1051,0.0001221797,0.00061035156,1.3829471,2.1248212e-05,7402.296,0.07778936624526978,310,634880,547.7560302,634880
44.69,-154.98002826,1044,0.00013354624,0.00012207031,1.3831847,-0.0003705876,9738.317,0.02636897563934326,320,655360,567.1495891,655360
32.4,-121.93616313999999,1046,0.00013506933,0.00024414062,1.383273,-0.00028308493,6116.1567,0.08387309312820435,330,675840,586.4968755,675840
31.0,-175.61730837,1061,5.30682e-05,0.0,1.383822,0.00016829598,7488.1084,0.07350558042526245,340,696320,605.8315546,696320
46.34,-117.14161313000001,1060,0.00015714239,0.00024414062,1.383902,-0.0001240976,6834.9873,0.13290250301361084,350,716800,625.2218628,716800
49.31,-226.26681251,1077,0.00011975956,0.00024414062,1.3840617,-0.00038874635,12243.465,0.09991395473480225,360,737280,644.5380548,737280
41.05,-180.537392,1037,0.00020819913,0.0007324219,1.3832833,0.00020023904,8666.76,0.0763472318649292,370,757760,663.9179137,757760
41.01,-142.44460980000002,1079,5.1411018e-05,0.0,1.383226,-0.00012921459,9040.784,0.10213696956634521,380,778240,683.5342265,778240
45.95,-141.49811867,1052,0.00011204977,0.0,1.3837212,4.7506415e-05,5740.756,0.10949152708053589,390,798720,702.861717,798720
51.95,-226.22369437999998,1058,5.243529e-05,0.0,1.3833308,-0.00043906763,17395.393,0.019784271717071533,400,819200,722.1152612,819200
59.24,-191.43357853999998,1036,8.0626036e-05,0.0,1.3827609,-8.198258e-05,11206.517,0.11838966608047485,410,839680,741.4675982,839680
42.72,-148.36086154000003,1085,8.118244e-05,0.00024414062,1.3832476,5.352602e-06,5795.959,0.14102953672409058,420,860160,760.7178182,860160
38.38,-147.09323109000002,1048,0.00018677328,0.0013427734,1.3830935,-0.0012816131,9389.577,0.09100937843322754,430,880640,780.0617501,880640
50.35,-78.42004518,1070,0.00021928831,0.0014648438,1.383266,0.00042821173,9844.403,0.12234008312225342,440,901120,799.3617158,901120
36.39,-118.15714664999997,1076,0.00014757538,0.00061035156,1.3837353,-0.0004619297,6748.5376,0.147549569606781,450,921600,818.6741077,921600
64.68,-124.44505061,1046,8.702364e-05,0.00012207031,1.3851861,2.1281885e-05,8604.204,0.17148470878601074,460,942080,838.0438621,942080
61.02,-174.01168854,1080,0.00018913392,0.0015869141,1.3850178,-0.00033708298,12497.901,0.09788161516189575,470,962560,857.3802015,962560
35.73,-166.27188261000003,1039,0.000734846,0.006958008,1.3842748,-0.0008927459,13204.793,0.04069167375564575,480,983040,876.825366,983040
46.26,-143.80259779999997,1047,0.0005304053,0.004638672,1.3844566,0.0017720156,9981.333,0.14722836017608643,490,1003520,896.0851364,1003520
47.3,-178.87640020999999,1060,0.00034107975,0.0009765625,1.3872687,-0.0007633985,8408.612,0.1182788610458374,500,1024000,915.4219321,1024000
71.94,-210.67745935,1079,0.0001345473,0.00048828125,1.3872291,0.00020059512,6854.252,0.2288287878036499,510,1044480,934.7017792,1044480
41.59,-232.46920955000002,1060,0.0013300575,0.012329102,1.3864151,0.001516201,13780.881,0.08939248323440552,520,1064960,954.0341831000001,1064960
41.87,-179.80642508,1073,0.00016742345,0.00061035156,1.3876448,-0.00070373144,12288.78,0.10079926252365112,530,1085440,973.3071875,1085440
45.03,-126.54394525,1057,0.0005292781,0.005126953,1.3884002,0.00079045416,10763.843,0.12780475616455078,540,1105920,992.6264494,1105920
42.82,-100.32686425,1056,0.00022274804,0.0020751953,1.3885816,-0.00033779888,9300.677,0.20146864652633667,550,1126400,1011.8980672,1126400
48.16,-114.51732495999998,1041,0.0010937725,0.01184082,1.3874594,4.224584e-05,6878.079,0.17983639240264893,560,1146880,1031.3021263,1146880
28.9,-144.64089129,1015,0.00063773396,0.005859375,1.3865907,7.355376e-05,10562.835,0.12784647941589355,570,1167360,1050.7082163,1167360
32.36,-144.83743133,1066,0.00077637786,0.0072021484,1.3887792,-0.0011137264,12482.252,0.045368194580078125,580,1187840,1069.9467742,1187840
14.91,-142.48550557,1050,0.0014020319,0.01171875,1.3899581,-0.00095327076,9418.891,-0.011371374130249023,590,1208320,1089.2777473,1208320
48.2,-154.58436601,1067,0.0018308114,0.022583008,1.3899672,-0.00015523541,14370.07,0.033178627490997314,600,1228800,1108.4749441,1228800
53.32,-103.07694841000003,1095,0.00037451438,0.0032958984,1.3895626,-0.0010035892,7173.3354,0.2508503794670105,610,1249280,1127.7122147,1249280
34.91,-202.09042015,1078,0.0010258291,0.008911133,1.3905869,0.00071122445,10336.103,0.13183832168579102,620,1269760,1147.0784756,1269760
49.95,-75.58924091,1079,0.0030607025,0.022827148,1.3902494,0.001369288,7482.7837,0.20139163732528687,630,1290240,1166.2798876,1290240
32.79,-171.62425062999998,1059,0.0011386209,0.009643555,1.3889251,-0.000110712135,15035.306,0.05546063184738159,640,1310720,1185.6239515,1310720
48.28,-102.50814742000003,1032,0.00019208882,0.00036621094,1.3926469,7.4579264e-05,5604.477,0.3031143546104431,650,1331200,1204.8804621,1331200
37.56,-144.69064706,1062,0.00037774805,0.0024414062,1.3920306,-0.0006564478,7878.1895,0.1730632185935974,660,1351680,1224.1777975,1351680
38.57,-121.88669272000001,1068,0.00062806264,0.0057373047,1.3923273,0.0007037957,6695.271,0.27393531799316406,670,1372160,1243.5410876,1372160
40.87,-229.24219851,1049,0.0006898433,0.007080078,1.3919121,-9.4324234e-05,17505.531,0.08829939365386963,680,1392640,1262.8306864,1392640
43.87,-251.51031315,1055,0.00029879203,0.0017089844,1.3915962,-0.00032429004,11296.388,0.21103519201278687,690,1413120,1282.0700878,1413120
41.39,-172.27158060000002,1072,0.002245593,0.020385742,1.3917395,0.0022796814,11215.259,0.0768887996673584,700,1433600,1301.4011628,1433600
34.11,-179.32213141,1057,0.003976545,0.023803711,1.3911136,0.0045300666,14264.502,0.07222151756286621,710,1454080,1320.6360703,1454080
36.42,-158.46475468,1067,0.0034796596,0.02355957,1.3910947,0.0006191731,15304.063,0.07023346424102783,720,1474560,1340.2312929,1474560
29.01,-164.73874253000002,1037,0.0031600944,0.02758789,1.3914104,0.003504567,11194.743,0.12185198068618774,730,1495040,1360.001743,1495040
36.64,-98.85757397000002,1004,0.0012945186,0.013305664,1.3909783,0.0012800661,6277.868,0.23760133981704712,740,1515520,1379.7663309,1515520
39.39,-236.78095766,1000,0.0023594853,0.02331543,1.3920972,0.0032162233,17785.72,0.09333735704421997,750,1536000,1399.7377803,1536000
28.35,-167.87580758000001,984,0.0030007968,0.026245117,1.3927882,0.00079548504,12063.917,0.07904136180877686,760,1556480,1419.5919015,1556480
41.71,-151.62770271000002,1040,0.0026778707,0.020507812,1.3930063,-0.000658161,19891.736,-0.02836787700653076,770,1576960,1439.1318216,1576960
37.44,-160.53709852,926,0.0021685169,0.016113281,1.3935465,-1.22560305e-05,11522.594,0.1500706672668457,780,1597440,1459.0548602000001,1597440
24.34,-191.45690593999998,914,0.0010692676,0.009643555,1.3942292,-0.001455148,13020.088,0.046024322509765625,790,1617920,1478.8999582,1617920
32.8,-140.8756221,988,0.0011151563,0.0076904297,1.3936911,0.0018006491,10583.561,0.1488361954689026,800,1638400,1498.6444414,1638400
37.77,-138.98914606,1069,0.003128667,0.021118164,1.3944422,0.0049405335,11208.454,0.12759464979171753,810,1658880,1518.3738831,1658880
51.31,-186.12524046,1044,0.0013015651,0.011230469,1.3943572,0.001700619,12565.063,0.1555386185646057,820,1679360,1538.1716609,1679360
83.78,-70.16332203,998,0.0015373945,0.01171875,1.3961291,0.0012510164,10023.494,0.2657957077026367,830,1699840,1557.835624,1699840
56.82,-161.10598352,1047,0.001863909,0.017089844,1.3969163,0.00028567525,15920.845,0.14358258247375488,840,1720320,1577.8070706,1720320
50.78,-174.30784647000002,1067,0.0005034402,0.004272461,1.3961563,-0.0006495293,8228.539,0.22925519943237305,850,1740800,1597.6531008,1740800
56.9,-169.79564330999997,1019,0.00040939162,0.004272461,1.3970102,-0.00050038815,18402.719,0.10037451982498169,860,1761280,1617.4385808,1761280
51.91,-115.04148997,1038,0.0004121436,0.0040283203,1.3967339,0.00033218125,15611.3545,0.13058501482009888,870,1781760,1637.1577508,1781760
58.65,-57.455492400000004,1174,0.0007270508,0.007080078,1.3972536,0.0019834824,11801.463,0.15225142240524292,880,1802240,1656.530989,1802240
63.3,-165.66002117,1176,0.0005691024,0.0048828125,1.3969209,0.00049555814,11534.086,0.2001914381980896,890,1822720,1674.2578399,1822720
57.28,-199.5327028,1178,0.0007334708,0.005859375,1.3963853,-0.0022117083,13514.25,0.20760202407836914,900,1843200,1692.0035745,1843200
59.65,-219.84503347999998,1131,0.0011736957,0.01159668,1.397606,-0.0019156599,12997.214,0.1295759081840515,910,1863680,1709.8298018,1863680
65.87,-163.30996472,1170,0.00052014296,0.0052490234,1.3975875,0.0005025206,13510.577,0.171339750289917,920,1884160,1727.6246111,1884160
80.63,-90.63654339,1038,0.0015038925,0.010253906,1.3981797,-0.0009282088,20538.186,0.07361006736755371,930,1904640,1745.3138095,1904640
73.62,-258.88977603,999,0.0005326049,0.0037841797,1.3978373,-6.938318e-05,14509.069,0.1845950484275818,940,1925120,1763.2813488,1925120
95.05,-25.185767579999997,1147,0.00035734088,0.0032958984,1.3980197,0.00092355715,13632.343,0.14548903703689575,950,1945600,1780.7662146,1945600
79.76,46.68544591,1126,0.0037320522,0.03540039,1.3983524,0.0041217403,12744.741,0.272957980632782,960,1966080,1798.5014625000001,1966080
100.78,51.69093793999998,1190,0.00049161795,0.004272461,1.3979535,0.0004934389,18719.518,0.16472196578979492,970,1986560,1816.0972063,1986560
