# {"t_start": 1565312114.1124878, "env_id": "SignalizedEco-v0"} 
r,l,t
-2111.52721,20,7.428241
-1247.1731,76,7.579242
-2179.699969,49,7.621242
-1248.800445,76,7.684241
-2240.957562,22,7.702241
-110.0,5,7.707241
-186.0,13,7.718242
-110.0,5,7.723245
-2436.740401,227,7.912245
-2156.032412,20,7.929242
-2121.410199,24,7.950242
-2360.958388,141,8.067244
-1356.489455,109,8.156241
-110.0,5,8.160241
-2095.630635,20,8.177241
-166.0,13,8.188243
-178.0,9,8.195242
-2108.098884,33,8.224245
-1447.965862,201,8.398242
-110.0,5,8.402242
-2180.625108,23,8.422242
-2217.188574,20,8.440242
-2158.351847,34,8.468241
-1311.02295,77,8.535242
-2158.977929,21,8.555242
-2050.770931,34,8.583241
-2204.863811,25,8.604241
-110.0,5,8.608245
-112.0,6,8.613242
-110.0,5,8.618245
-2099.148013,24,8.638243
-138.0,9,8.646242
-110.0,5,8.651247
-1720.397853,162,8.785243
-110.0,5,8.790242
-110.0,5,8.794242
-2177.181421,20,8.812242
-2167.158369,187,8.967242
-164.0,12,8.977242
-530.0,165,9.119242
-142.0,11,9.128241
-146.0,13,9.139241
-2138.380113,21,9.156241
-1263.43671,43,9.192241
-110.0,5,9.197241
-2071.269858,35,9.227241
-2247.406917,200,9.396241
-1241.820302,52,9.440241
-110.0,5,9.444242
-2436.191809,196,9.615241
-498.0,139,9.734241
-164.0,12,9.745241
-1281.670588,52,9.788242
-2216.878588,34,9.817244
-2219.193443,21,9.836242
-2238.104464,20,9.854242
-2161.202327,35,9.883245
-296.0,18,9.900242
-1314.184394,79,9.968241
-2177.196318,21,9.985241
-254.0,17,9.999241
-2191.332243,79,10.064242
-2106.759548,44,10.099241
-2030.346608,36,12.134528
-1238.445494,51,12.178065
-2274.440523,213,12.355066
-110.0,5,12.359065
-210.0,15,12.372065
-2162.829618,220,12.555063
-110.0,5,12.560062
-1320.842644,82,12.630061
-452.0,126,12.739061
-254.0,57,12.789062
-182.0,11,12.798062
-1481.122538,181,12.957062
-1305.294177,44,12.994062
-110.0,5,12.999064
-118.0,9,13.006061
-2039.543384,28,13.031062
-1346.926639,104,13.117064
-2198.967339,21,13.135062
-1340.639438,52,13.179064
-1301.637573,43,13.218064
-1147.299541,287,13.460062
-2159.991908,81,13.527061
-670.0,115,13.621062
-2226.444937,42,13.656062
-2026.992793,20,13.672065
-2104.214149,26,13.695062
-2103.327743,30,13.720066
-2115.249241,20,13.738065
-2054.248941,21,13.758065
-110.0,5,13.762119
-178.0,9,13.770129
-2117.719968,21,13.789125
-2112.587191,32,13.818126
-1250.917685,67,13.876128
-206.0,13,13.888125
-2147.029481,28,13.913127
-2076.139512,71,13.976129
-110.0,5,13.980124
-1431.460639,212,14.153124
-1287.055987,45,14.190124
-1387.26905,45,14.230127
-316.0,88,14.300128
-180.0,10,14.309125
-420.0,120,14.410125
-2095.9269,24,14.430125
-2219.573142,21,14.447125
-208.0,14,14.459002
-1272.129533,38,14.491005
-192.0,16,14.504005
-254.0,17,14.518002
-1247.10157,35,14.548006
-2082.828344,27,14.570004
-110.0,5,14.575004
