# {"t_start": 1565577458.5435038, "env_id": "SignalizedEco-v0"} 
r,l,t
-3553.31277,10,6.502247
-3592.275561,30,6.610248
-3593.379744,32,6.637248
-3846.439015,175,6.780248
-3589.051354,29,6.804249
-3612.74292,46,6.842248
-3777.134862,140,6.958248
-3642.925727,61,7.030248
-3589.907045,29,7.063247
-3770.904242,123,7.185248
-3590.424433,29,7.212248
-3597.072634,33,7.240248
-3590.864306,29,7.264247
-3590.315259,29,7.287248
-3590.263376,29,7.311247
-3628.246929,50,7.351248
-3600.103537,34,7.378247
-4012.581571,279,7.603766
-3598.291107,33,7.629765
-3720.098679,98,7.713765
-3638.830941,59,7.763765
-3590.609647,29,7.787764
-3590.337304,29,7.811765
-3592.157913,30,7.835765
-4099.55645,366,8.211803
-3596.366506,32,8.259798
-3602.656701,41,8.312801
-3590.856129,29,8.345795
-3618.914324,45,8.399798
-3765.199091,134,8.560842
-3616.591359,44,8.617841
-3563.246097,15,8.632843
-3614.810291,42,8.673843
-3602.189312,35,8.706362
-3597.929554,33,8.745883
-3565.232432,16,8.766886
-3590.794152,29,8.807887
-3604.846912,42,8.846884
-3596.683743,32,8.875884
-3603.604206,36,8.905885
-3614.918877,47,8.944885
-3590.23929,29,8.967885
-3596.266148,32,8.993884
-3603.870966,36,9.024884
-3594.451219,32,9.050885
-3706.864742,93,9.126403
-3619.670919,46,9.165401
-4003.296756,262,9.375403
-3702.020861,93,11.397428
-3686.457097,87,11.471428
-3704.695351,96,11.549428
-3588.123251,29,11.572428
-3625.242585,50,11.612428
-3602.733448,36,11.642428
-3590.016514,29,11.665459
-3692.520849,90,11.73746
-3812.802921,150,11.859458
-3761.001307,132,11.96646
-3641.443783,57,12.01146
-3603.35321,36,12.04046
-3593.833355,31,12.06546
-3617.666012,44,12.10146
-3603.967423,36,12.13046
-3643.491277,58,12.178491
-3634.929261,57,12.22649
-4010.575231,277,12.45249
-3593.056017,30,12.47649
-3605.612933,38,12.507491
-3604.459708,42,12.543491
-3591.990493,30,12.569489
-3589.931038,29,12.59553
-3642.476077,61,12.649529
-3628.601171,54,12.698529
-3596.32783,33,12.72753
-3638.648816,59,12.781533
-3591.469403,30,12.806529
-3606.08845,38,12.837528
-3634.641731,57,12.883528
-3700.66184,94,12.960528
-3933.181458,218,13.136564
-3600.835379,35,13.166564
-3594.457508,31,13.192564
-3700.64668,94,13.269565
-3626.683551,53,13.315565
-3620.968228,45,13.355565
-3628.587488,54,13.398565
-3678.62434,83,13.466564
-3625.045747,49,13.506564
-4002.849551,274,13.728087
-3596.82926,38,13.759086
-3599.928958,34,13.786086
-3637.780689,56,13.833086
-3670.407047,79,13.897086
-3704.129609,93,14.885086
-3630.883393,55,14.928086
-3590.58769,29,14.954087
-3610.770094,45,14.991086
-3597.069376,33,15.019086
-3590.438196,29,15.043086
-3692.537049,90,15.126086
-3592.806719,31,15.156088
-3590.588292,29,15.184086
-3598.890555,35,15.216087
-3701.387006,93,15.296086
-4008.966395,277,15.522085
-3931.218916,217,15.697085
-3672.589839,76,15.758086
-3812.730657,150,15.878086
-3972.539634,259,16.089086
-3646.139977,60,16.138086
-3595.210922,32,16.165086
-3607.635135,38,16.198086
-3640.436185,60,16.248085
-3630.268016,52,16.290086
-3676.585391,82,16.358087
-3584.65567,26,16.379086
-3706.70789,97,16.457087
-3700.214526,90,16.529086
-3598.331657,33,16.555086
-3580.918883,24,16.574087
-3590.167441,29,16.597086
-3616.070009,44,16.633086
-3626.835278,53,16.675085
-3698.360231,93,16.749086
-3583.293032,26,16.769087
-3628.824719,54,16.813086
-3603.689618,36,16.842086
-4099.628323,346,17.130086
-3626.683976,53,17.173086
-3638.964175,59,17.221086
-3868.808666,199,18.270086
-3990.763352,268,18.487599
-3614.827734,47,18.5256
-3982.720915,264,18.7366
-3628.580368,54,18.780628
-4010.456231,278,19.003628
-3638.843242,59,19.051628
-3618.955091,49,19.090628
-3590.481876,29,19.113627
-3592.112717,30,19.137628
-4258.520093,421,19.474627
-3982.762816,256,19.677627
-4048.760083,297,19.914142
-3974.744946,252,20.117144
-3619.271314,45,20.154144
-4143.679389,366,20.450144
-3635.388817,53,20.493143
-3589.0221,29,20.516144
-3636.920815,58,20.563144
-3708.640588,98,20.641143
-3604.473137,37,20.670143
-4024.912584,285,21.786228
-3604.950389,38,21.816262
-3555.297516,11,21.825229
-3598.564537,34,21.853227
-4144.067415,368,22.200229
-3978.993294,262,22.414228
-3618.797836,49,22.456228
-3614.783208,47,22.496229
-3976.5521,261,22.706259
-3640.150696,58,22.75326
-3960.952674,253,22.959772
-3624.01184,49,22.998772
-3700.689851,94,23.075773
-3848.55438,168,23.217772
-3625.809075,51,23.259773
-3878.603194,204,23.433297
-3634.329137,52,23.477295
-4000.944045,273,23.700332
-3966.51743,256,23.998333
-3589.425613,29,24.026335
-3591.846013,31,24.057332
-3598.451084,34,24.096332
-3603.908671,37,24.130332
-3775.082522,139,24.289332
-3638.588944,59,25.27485
