ERewMean,EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,entloss,entropy,ev_tdlam_before,meankl,optimgain,surrgain
-86.228134,75.825,-3670.3235,63,63,8.883413553237915,5098,0.0,1.4304198,2.6166439056396484e-05,0.00080649334,0.0027403655,0.0027403655
-63.88856,85.1,-3685.0903,68,131,14.716732501983643,10232,0.0,1.4273069,-1.1920928955078125e-07,0.00089594244,0.0033241273,0.0033241273
-76.77259,67.575,-3654.6492,72,203,20.5780131816864,15292,0.0,1.432662,-1.1920928955078125e-07,0.0011006489,0.0048079775,0.0048079775
-66.03573,78.825,-3671.4102,60,263,26.19751238822937,20293,0.0,1.4238118,-1.1920928955078125e-07,0.0011034945,0.003591635,0.003591635
-56.37731,127.8,-3751.507,39,302,31.87221932411194,25345,0.0,1.4090741,-4.76837158203125e-07,0.00061378174,0.0025166117,0.0025166117
-48.244507,149.775,-3787.577,32,334,37.78083252906799,30679,0.0,1.3994105,-1.1920928955078125e-07,0.0007923633,0.0037799738,0.0037799738
-51.233185,161.475,-3806.6274,33,367,43.3175892829895,35633,0.0,1.396117,-2.384185791015625e-07,0.00075002806,0.002272249,0.002272249
-43.055973,197.4,-3857.6118,24,391,48.92736554145813,40725,0.0,1.389787,-2.384185791015625e-07,0.0005501528,0.0029524763,0.0029524763
-32.3201,213.175,-3888.4038,25,416,54.45948123931885,45730,0.0,1.3973346,5.960464477539063e-08,0.00049023784,0.0026986238,0.0026986238
-51.480064,146.25,-3691.3794,36,452,59.981066942214966,51102,0.0,1.3919076,-1.1920928955078125e-07,0.0008452328,0.003276317,0.003276317
-36.20301,191.425,-3767.5767,27,479,65.54922366142273,56192,0.0,1.3949625,0.0,0.00080920954,0.0024403557,0.0024403557
-32.392982,203.575,-3873.536,22,501,71.21984887123108,61187,0.0,1.401737,0.0,0.00054276886,0.002492047,0.002492047
-26.263647,234.75,-3923.5398,22,523,76.96341586112976,66474,0.0,1.4029682,0.0,0.0005167446,0.0024816499,0.0024816499
-30.091284,223.7,-3903.9976,25,548,82.57053875923157,71606,0.0,1.4141676,-2.384185791015625e-07,0.00044132647,0.0025911317,0.0025911317
-40.414436,194.125,-3852.5454,25,573,88.28069019317627,76734,0.0,1.4118053,0.0,0.0010019856,0.0028503847,0.0028503847
-29.956799,223.725,-3814.5742,22,595,94.0217719078064,81805,0.0,1.4017813,1.1920928955078125e-07,0.00068035146,0.0024548913,0.0024548913
-22.25542,242.125,-3848.9116,20,615,99.67237401008606,86943,0.0,1.4035481,0.0,0.0006296709,0.002536613,0.002536613
-21.63767,246.45,-3860.2524,21,636,105.30448293685913,92038,0.0,1.3967457,0.0,0.0006287564,0.0025487249,0.0025487249
-23.190685,248.375,-3604.6,20,656,110.87559652328491,97145,0.0,1.394531,0.0,0.00071543467,0.0035635382,0.0035635382
-17.847359,270.8,-3643.7273,18,674,116.48086762428284,102225,0.0,1.3908072,1.7881393432617188e-07,0.00037978013,0.002276482,0.002276482
-15.800554,282.075,-3745.2993,19,693,122.01118803024292,107495,0.0,1.3917705,0.0,0.0007385709,0.0031425792,0.0031425792
-19.027847,265.55,-3722.7798,20,713,127.56937956809998,112574,0.0,1.3937411,1.7881393432617188e-07,0.0007155192,0.001824346,0.001824346
-21.794724,268.8,-3813.7507,17,730,133.10092306137085,117662,0.0,1.3882892,-0.07212913036346436,0.0006387911,0.003768601,0.003768601
-19.414871,281.575,-3831.0828,19,749,138.66900253295898,122772,0.0,1.3787365,5.960464477539063e-08,0.00088593084,0.0037740315,0.0037740315
-20.214897,263.975,-3801.4656,20,769,144.1971206665039,127965,0.0,1.3785841,-2.384185791015625e-07,0.00075964176,0.0028549065,0.0028549065
-19.73079,257.875,-3619.9233,20,789,149.89383602142334,133087,0.0,1.3792769,0.0,0.0005919871,0.0036136284,0.0036136284
-17.67039,263.925,-3373.9102,18,807,155.51302480697632,137880,0.0,1.3744975,1.7881393432617188e-07,0.0008962313,0.002945295,0.002945295
-18.248566,269.5,-3552.9387,20,827,161.132670879364,143221,0.0,1.3724806,-1.1920928955078125e-07,0.0007354225,0.0043918407,0.0043918407
-18.716864,270.275,-3985.1362,19,846,166.82034349441528,148420,0.0,1.3823887,-1.1920928955078125e-07,0.00078155845,0.0037209045,0.0037209045
-20.057812,270.725,-3985.5833,17,863,172.86813521385193,153308,0.0,1.3781741,-1.1920928955078125e-07,0.00074754097,0.0047542686,0.0047542686
-16.3933,301.125,-3952.7734,17,880,199.131356716156,158493,0.0,1.3807207,0.0,0.0008039639,0.0040142164,0.0040142164
-17.312975,306.55,-3795.6433,18,898,204.83849787712097,163781,0.0,1.3759197,5.960464477539063e-08,0.0007325545,0.0038177576,0.0038177576
-19.92813,296.975,-3768.9844,17,915,210.71009826660156,168856,0.0,1.3716432,0.0,0.00068870094,0.0030489287,0.0030489287
-22.676907,294.3,-3928.864,17,932,216.3326871395111,173957,0.0,1.3664515,1.7881393432617188e-07,0.0007746674,0.003784629,0.003784629
-16.760784,319.325,-3642.644,14,946,222.16484999656677,179186,0.0,1.3641965,0.0,0.00054367137,0.004496583,0.004496583
-16.417728,334.575,-3673.4453,14,960,227.8389537334442,184106,0.0,1.3639697,-1.1920928955078125e-07,0.00074718473,0.0038574345,0.0038574345
-14.902044,324.6,-3825.7961,18,978,233.5017125606537,189378,0.0,1.3605812,-1.1920928955078125e-07,0.0010531144,0.004721391,0.004721391
-14.934858,302.625,-3782.5183,17,995,239.24847102165222,194497,0.0,1.3643787,-2.384185791015625e-07,0.0007753252,0.0033757563,0.0033757563
-16.396286,304.175,-3783.491,16,1011,245.24619054794312,199493,0.0,1.3607001,0.0,0.0007714909,0.0043685376,0.0043685376
-20.424877,301.8,-3782.6582,18,1029,250.99193572998047,204649,0.0,1.3564274,1.7881393432617188e-07,0.0008421244,0.0036690682,0.0036690682
-20.519657,293.3,-3516.8965,16,1045,256.9654676914215,209675,0.0,1.3568124,0.0,0.0006775829,0.0040313737,0.0040313737
-12.471076,317.95,-3559.107,16,1061,263.3996968269348,214973,0.0,1.359008,0.0,0.0006366492,0.0037920587,0.0037920587
-13.14197,305.925,-3704.692,17,1078,268.88832211494446,219766,0.0,1.3629148,1.1920928955078125e-07,0.0005875296,0.0031538655,0.0031538655
-15.074015,319.75,-3986.98,16,1094,274.37816643714905,225223,0.0,1.3628504,0.0,0.0007676737,0.004020474,0.004020474
-14.616785,323.325,-3907.1978,14,1108,280.16579008102417,229866,0.0,1.3614933,1.7881393432617188e-07,0.0008344327,0.0039279205,0.0039279205
-11.658925,338.05,-3758.7383,16,1124,285.9295332431793,235355,0.0,1.3615892,1.1920928955078125e-07,0.0008578943,0.0043494636,0.0043494636
-13.561551,317.15,-3805.4055,17,1141,291.9776690006256,240304,0.0,1.3586255,0.0,0.0006086569,0.0042309863,0.0042309863
-13.001157,324.125,-3728.9773,15,1156,297.7959086894989,245492,0.0,1.345598,1.1920928955078125e-07,0.00083541253,0.0030859073,0.0030859073
-12.784088,315.275,-3542.9766,17,1173,303.44782185554504,250597,0.0,1.3490163,0.0,0.0008620358,0.004262501,0.004262501
-12.474816,320.85,-3470.7114,16,1189,309.106463432312,255945,0.0,1.3499801,-0.023144006729125977,0.00077394076,0.0034134663,0.0034134663
-13.051926,316.225,-3462.6887,16,1205,314.8485412597656,261086,0.0,1.3469194,0.03762894868850708,0.00083287695,0.005068628,0.005068628
-10.686697,342.4,-3330.3945,14,1219,320.5601534843445,266138,0.0,1.346257,-0.09614324569702148,0.0006061233,0.0035993145,0.0035993145
-11.461482,329.2,-3300.5078,17,1236,326.24622988700867,271228,0.0,1.3457685,3.7550926208496094e-06,0.0008154909,0.0055432813,0.0055432813
-10.98942,329.4,-3299.705,14,1250,331.8457901477814,276138,0.0,1.3462522,7.152557373046875e-07,0.0008404129,0.0034138777,0.0034138777
-9.786433,329.975,-3048.3835,17,1267,337.54268860816956,281558,0.0,1.3361386,5.960464477539062e-07,0.00074488047,0.0035679594,0.0035679594
-10.550978,327.7,-3305.6477,15,1282,343.17970180511475,286481,0.0,1.339542,5.364418029785156e-07,0.00086163945,0.0035443115,0.0035443115
-10.940112,335.35,-3497.9282,15,1297,348.7679283618927,291609,0.0,1.336426,2.384185791015625e-07,0.0008736748,0.0034217513,0.0034217513
-12.341675,329.5,-3666.114,16,1313,354.3307282924652,296740,0.0,1.3295901,3.5762786865234375e-07,0.0007218978,0.00346439,0.00346439
-12.611635,337.2,-3847.6726,15,1328,359.8709874153137,301907,0.0,1.3232996,-2.384185791015625e-07,0.0006083486,0.0032850099,0.0032850099
-12.5495405,338.2,-3760.3625,15,1343,365.3861446380615,307105,0.0,1.3254995,2.980232238769531e-07,0.00061211316,0.005646816,0.005646816
-11.096977,356.325,-3624.2605,13,1356,389.39138984680176,311866,0.0,1.3205104,0.0,0.0006887175,0.0043998114,0.0043998114
-10.573657,359.25,-3460.5015,14,1370,394.9715349674225,317076,0.0,1.3155047,5.960464477539063e-08,0.0006179257,0.0038924548,0.0038924548
-16.66676,339.125,-3769.5886,17,1387,400.52277636528015,322322,0.0,1.3129237,5.960464477539063e-08,0.00075717614,0.0044386354,0.0044386354
-17.570501,321.275,-3568.1685,16,1403,406.0594069957733,327288,0.0,1.309312,3.5762786865234375e-07,0.0009451122,0.0060784146,0.0060784146
-12.332943,331.175,-3584.8726,16,1419,411.8055498600006,332684,0.0,1.3062602,1.1920928955078125e-07,0.00078290113,0.0038715892,0.0038715892
-11.04335,349.375,-3530.3328,14,1433,417.6211893558502,337919,0.0,1.3043869,3.5762786865234375e-07,0.00096051133,0.0054035014,0.0054035014
-12.12631,329.525,-3499.6235,18,1451,423.1113793849945,343034,0.0,1.3043833,1.1920928955078125e-07,0.0009517571,0.0036206148,0.0036206148
-13.351397,312.375,-3729.7598,15,1466,428.6620502471924,347837,0.0,1.304745,1.1920928955078125e-07,0.00083879457,0.004087941,0.004087941
-12.472994,329.125,-3587.5806,14,1480,434.17216420173645,353147,0.0,1.3055376,3.5762786865234375e-07,0.0007415812,0.0032047569,0.0032047569
-10.939194,348.9,-3446.7583,15,1495,439.65241384506226,358180,0.0,1.2982213,1.0728836059570312e-06,0.0009664825,0.005905936,0.005905936
-10.692024,346.95,-3181.2056,15,1510,445.1290092468262,363188,0.0,1.2990711,0.2593178153038025,0.0008435214,0.004357929,0.004357929
-9.869776,360.375,-3202.8918,13,1523,450.62811160087585,368474,0.0,1.2988284,0.2749072313308716,0.0007394183,0.003500402,0.003500402
-10.6869,370.575,-3220.4695,14,1537,456.2731902599335,373737,0.0,1.3000065,0.24348598718643188,0.00071177754,0.0045910915,0.0045910915
-11.110524,373.575,-3401.8093,13,1550,461.76130628585815,378131,0.0,1.29395,0.32750052213668823,0.00063390954,0.002723703,0.002723703
-12.358637,355.975,-3457.4692,16,1566,467.23646330833435,383973,0.0,1.2901039,0.3293241262435913,0.00090173224,0.0050196215,0.0050196215
-10.711223,350.25,-3191.1848,15,1581,472.91505241394043,389035,0.0,1.2903011,0.44505196809768677,0.00082584255,0.0034683153,0.0034683153
