# {"t_start": 1565656850.5078478, "env_id": "SignalizedEco-v0"} 
r,l,t
387.061182,253,22.326176
138.041172,254,22.573176
385.887138,253,22.749176
387.781547,253,22.927177
140.43164,254,23.106177
385.724695,253,23.284177
386.36133,253,23.462176
384.607457,253,23.641176
389.072229,252,23.818176
388.172478,253,23.996177
387.414017,253,24.173176
138.614996,254,24.354177
387.269503,252,24.537177
138.200393,254,25.938703
387.363386,253,26.118702
133.641031,254,26.299224
387.8393,253,26.477743
384.231247,252,26.654742
387.981529,253,26.832742
388.711689,252,27.008743
386.156563,253,27.188742
389.452012,252,27.364683
388.387235,252,27.540204
387.799511,253,27.718205
388.075553,252,27.896729
387.879036,253,28.644773
386.960742,252,28.820788
386.128464,252,28.996829
389.513031,252,29.173828
387.76121,252,29.350828
388.697298,253,29.531829
386.683223,252,29.716878
387.789868,252,29.895878
389.93862,253,30.073878
387.870012,253,30.251915
388.554701,252,30.426915
385.331908,251,30.600916
386.974606,252,31.351961
389.094365,253,31.526479
387.825863,253,31.701516
388.607825,251,31.876515
385.393513,251,32.051515
388.094369,253,32.229515
385.549169,253,32.405515
385.527019,251,32.581515
137.921821,254,32.763516
388.558782,252,32.945515
387.342979,251,33.129516
389.126458,252,33.309515
388.26061,253,34.063561
387.939329,253,34.245562
389.745476,253,34.421561
389.426594,252,34.597603
387.082254,250,34.770603
136.83486,254,34.946601
388.564852,253,35.121602
386.433768,252,35.298602
391.264792,253,35.473601
389.978264,253,35.649601
388.486857,252,35.825122
385.746779,253,36.001122
386.255474,252,36.746122
384.498405,251,36.92212
389.108829,251,37.096164
389.71106,253,37.274163
387.516371,253,37.452163
385.651962,252,37.629163
388.135912,253,37.807163
386.478569,252,37.985163
390.654945,253,38.162163
389.259784,252,38.339164
385.091587,252,38.516164
387.043436,252,38.690163
385.132703,251,38.867166
386.00181,253,39.617163
387.767995,252,39.801164
386.343591,253,39.985684
388.648063,252,40.162683
135.939298,254,40.342683
385.926753,252,40.516683
388.20265,252,40.692683
137.568096,254,40.870682
388.094525,251,41.046683
386.605163,253,41.222606
385.149368,253,41.399645
389.203441,253,41.574645
387.330415,252,42.322648
138.883144,254,42.502166
139.759858,254,42.680166
387.388166,253,42.859166
386.377048,252,43.037209
138.163714,254,43.213209
388.076098,253,43.389209
387.777707,252,43.566209
384.890025,253,43.741209
388.805796,253,43.923027
387.754888,252,44.100027
386.97754,252,44.274026
383.790847,252,45.021026
384.397287,252,45.197027
388.240986,252,45.371548
387.569899,253,45.549548
386.286324,253,45.725549
387.689564,253,45.903069
387.248116,252,46.080586
386.803807,252,46.256585
387.909298,253,46.434583
389.916632,252,46.610628
385.525079,251,46.784626
387.92639,252,46.960627
388.087909,252,47.706627
390.35341,253,47.886627
385.99464,252,48.064627
387.353733,252,48.241627
384.687197,252,48.418627
385.653893,252,48.595625
386.835621,252,48.771627
385.189018,251,48.94767
387.248734,253,49.124668
388.069718,252,49.301668
386.691738,252,49.478668
385.770471,253,49.655666
386.172881,252,50.415668
387.109719,252,50.594668
384.470952,251,50.770708
139.334641,254,50.949706
387.003008,253,51.125707
384.426683,250,51.299706
385.836354,252,51.475631
384.673175,252,51.65263
383.759023,252,51.829631
387.148485,253,52.008631
387.106857,251,52.183675
385.854231,251,52.359675
384.035138,251,53.109675
382.792252,252,53.286675
389.629832,252,53.464196
386.912248,253,53.643194
386.682904,252,53.823197
386.232787,252,54.004196
388.203771,252,54.182196
384.338739,251,54.362195
386.734611,252,54.542195
384.555388,253,54.726197
388.451494,253,54.907242
387.543894,252,55.090244
385.152269,251,55.266242
383.396569,252,56.015242
386.451461,251,56.189283
384.357209,251,56.364283
389.018088,253,56.541803
386.92983,252,56.717802
386.706017,252,56.894803
386.328554,251,57.070804
386.932942,252,57.245802
385.672966,252,57.421803
388.691264,252,57.598842
388.092673,252,57.776843
385.191718,252,57.955842
387.944176,252,58.701842
387.477942,252,58.87836
387.81109,251,59.05636
385.807198,252,59.23136
389.32097,252,59.407359
387.03522,253,59.58336
386.883516,253,59.76136
385.249123,251,59.93936
387.338254,252,60.11836
387.748034,252,60.300359
386.047536,252,60.486361
385.44436,252,60.66436
386.838494,252,61.404408
386.904233,252,61.583408
387.020007,250,61.759409
385.500384,252,61.938409
390.501689,251,62.114408
385.573897,251,62.290409
391.232052,253,62.469409
388.691993,252,62.646929
385.890683,252,62.825929
386.691289,251,63.00397
386.217155,252,63.18197
386.665193,251,63.35797
386.574791,250,64.098014
388.149345,252,64.275014
386.912632,251,64.451536
382.773522,251,64.633538
389.114273,252,64.810579
389.395175,253,64.98858
384.869829,252,65.168578
389.964877,252,65.346579
383.757972,252,65.522579
387.434412,252,65.698097
386.063285,252,65.876095
385.90274,252,66.057096
386.985366,253,66.797151
389.945246,252,66.977152
385.369594,253,67.154196
386.919696,252,67.332196
388.714619,250,67.508196
387.015293,251,67.684196
386.544,251,67.863196
387.432477,253,68.042196
388.021103,252,68.218196
139.103613,254,68.397235
385.479316,251,68.573235
387.446221,252,68.749235
388.065268,251,68.928236
384.649319,252,69.672235
388.503207,251,69.849279
387.455231,251,70.028278
385.665712,251,70.205278
389.939684,251,70.383278
389.573594,250,70.564804
386.211544,252,70.750805
385.443352,250,70.928805
388.712193,252,71.106806
389.662063,253,71.285321
387.59796,252,71.462321
389.926332,253,71.640364
388.013799,252,72.385365
387.961387,251,72.561403
386.905548,251,72.737403
386.396467,251,72.914402
388.780817,251,73.093922
388.289366,252,73.275922
387.299208,251,73.452923
389.79974,253,73.629922
389.690838,250,73.804922
387.476677,252,73.982962
387.924625,253,74.158964
387.263618,252,74.335963
386.030881,250,75.075963
386.591418,251,75.253005
384.646412,251,75.430005
387.038361,251,75.604004
389.151404,252,75.780005
385.772981,253,75.956005
385.159058,251,76.134527
385.468048,251,76.310528
387.872004,250,76.485527
388.087417,252,76.661061
388.551962,252,76.83606
388.778914,252,77.017058
389.138977,251,77.759588
386.70289,251,77.936588
390.076949,252,78.118588
387.478333,251,78.294589
388.283069,251,78.470587
390.115909,252,78.645588
386.731574,251,78.821588
389.081063,252,79.001588
388.786485,253,79.179588
387.389055,252,79.354628
389.16961,252,79.530628
387.565424,252,79.704631
386.767848,251,80.445629
387.545241,251,80.622629
388.361896,251,80.803677
387.824847,252,80.991676
385.935098,252,81.171676
383.497,253,81.349676
389.047942,253,81.526677
389.441963,251,81.702676
386.549822,252,81.877676
388.61896,252,82.057676
388.935084,252,82.240719
387.542673,252,82.420719
386.310907,252,82.599719
388.299414,251,83.360719
386.774549,252,83.535718
390.733715,252,83.711719
387.706416,251,83.887719
388.893624,252,84.064718
386.078606,252,84.242719
386.025292,252,84.41772
386.533126,253,84.593719
385.782404,250,84.768719
386.617691,251,84.943718
388.549737,252,85.121719
386.759717,251,85.29823
389.208177,251,86.02523
390.196851,253,86.204272
387.2156,252,86.380272
388.099179,252,86.555273
389.761993,252,86.730272
388.444819,252,86.906272
388.909083,252,87.086272
387.006142,250,87.265795
388.940911,253,87.443794
387.714896,252,87.621705
385.841116,252,87.798704
386.268548,252,87.975705
389.537811,251,88.720757
391.515005,252,88.896276
385.246899,251,89.072276
390.425666,252,89.249275
390.153944,252,89.426277
390.541881,252,89.601276
387.59494,251,89.775876
390.413536,252,89.951876
388.488887,252,90.128876
388.867013,252,90.308396
391.546819,252,90.484397
387.282174,251,90.658397
389.570754,251,91.425397
389.624816,252,91.602397
386.967247,253,91.778397
390.333694,251,91.953397
390.555961,252,92.131397
388.57081,251,92.308397
391.278781,252,92.486397
389.492648,252,92.663398
387.839264,251,92.843397
388.139456,252,93.024917
389.71601,252,93.205917
138.757949,251,93.382916
389.718393,253,94.144917
387.97733,251,94.323952
390.016452,252,94.502952
387.835711,251,94.678952
388.66981,252,94.853952
389.183712,251,95.030952
389.423468,252,95.207952
385.52112,253,95.386952
389.495993,252,95.562952
388.742231,251,95.738233
387.055889,251,95.913233
385.339781,252,96.091234
387.730489,251,96.266236
387.167402,251,97.005265
386.402796,251,97.184232
390.085945,252,97.363188
389.252841,252,97.541187
385.624647,252,97.719187
387.638252,252,97.898188
387.310777,251,98.075187
389.364428,252,98.251187
387.724342,252,98.429224
391.179408,252,98.606224
388.917177,253,98.783224
390.029303,252,98.959224
387.499275,252,99.702224
387.940174,251,99.878265
387.123422,252,100.056265
388.314138,252,100.233266
386.565953,251,100.408265
389.336814,253,100.587265
388.930188,252,100.763264
389.623071,251,100.939265
389.691241,251,101.120311
388.663133,252,101.302311
387.820161,249,101.487355
387.822719,251,101.665355
391.532135,251,102.413356
388.148886,250,102.590877
389.889939,252,102.768878
387.412278,251,102.945877
140.645548,251,103.124877
389.120069,253,103.302917
386.940053,252,103.478397
390.52249,252,103.656397
389.814164,251,103.833397
388.193518,252,104.010397
391.035674,252,104.188397
388.987598,252,104.365397
386.407618,251,121.30236
139.203561,253,121.543871
391.382104,253,121.726883
389.640241,252,121.914882
386.236931,252,122.093883
384.939901,251,122.270882
391.988444,251,122.445883
389.162451,251,122.623883
387.124161,252,122.799883
388.664142,252,122.976883
390.045988,253,123.155883
390.917924,251,123.331883
388.973113,252,123.507883
387.941601,252,124.253898
389.31027,251,124.4339
389.352151,251,124.612899
389.891905,251,124.787933
388.556169,252,124.964932
389.993882,252,125.141933
388.317315,253,125.317933
389.729864,251,125.491933
388.630065,252,125.666454
389.172857,252,125.841453
388.87221,253,126.020454
389.67754,253,126.197454
388.767027,250,126.931504
387.879512,251,127.110025
387.075626,252,127.288025
390.054402,251,127.466025
391.513103,253,127.644547
390.067204,252,127.821548
386.065056,252,127.999547
390.5067,253,128.178547
389.592447,251,128.354548
387.537875,252,128.529547
391.946061,252,128.704548
389.291118,250,128.878548
389.764351,250,129.616547
388.622522,251,129.792589
389.03702,251,129.969587
387.644739,252,130.14859
387.24192,251,130.324589
389.08754,252,130.500593
388.968444,253,130.676628
391.041816,252,130.851627
387.648742,251,131.028627
388.389626,252,131.206668
389.222737,252,131.408668
389.31662,252,131.585464
387.208775,252,132.351463
387.528583,252,132.529504
388.176586,253,132.708503
390.023672,252,132.886505
389.418231,253,133.065504
390.752002,252,133.243503
388.772777,253,133.421504
390.085321,251,133.596544
389.108751,253,133.772544
387.579865,252,133.950063
388.953156,252,134.127062
390.763219,252,134.304062
392.353316,251,135.036121
391.155129,251,135.214121
387.643551,251,135.389121
391.063028,251,135.565121
389.630788,252,135.741122
391.065522,252,135.918122
391.482962,252,136.094121
387.902549,251,136.272123
141.78944,252,136.448123
389.62682,251,136.623165
387.839796,251,136.797164
389.263649,252,136.974164
388.9107,251,137.154165
388.484153,252,137.896165
390.835352,252,138.074688
387.586881,251,138.253687
388.797736,252,138.432688
388.104924,252,138.609688
387.924137,251,138.785688
390.74122,251,138.963688
391.667983,251,139.139205
392.093476,253,139.317727
390.321377,252,139.496729
389.105439,253,139.67377
393.300414,251,139.849769
389.862956,252,140.588768
389.9557,252,140.765808
387.752419,252,140.942808
392.557567,253,141.120808
387.048746,253,141.300808
388.932225,252,141.479847
389.852247,251,141.655846
387.631135,250,141.831847
387.390055,252,142.008892
387.261725,252,142.190895
390.680569,252,142.382892
391.331846,253,142.56989
392.152259,251,143.321414
386.551825,253,143.501934
388.609964,251,143.677934
389.644735,253,143.854934
386.553224,251,144.031933
388.057844,251,144.209934
390.335543,253,144.389979
390.776636,252,144.567979
388.872078,251,144.743979
389.562999,250,144.919979
389.838291,251,145.096979
389.821823,252,145.275979
390.880655,252,146.013031
389.704555,252,146.189074
389.751003,252,146.370075
387.647561,253,146.548595
391.23195,252,146.724594
