ERewMean,EpLenMean,EpRewMean,EpRewOther,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,entloss,entropy,ev_tdlam_before,meankl,optimgain,surrgain
1.2848537,253.08333333333334,324.9481,437.5,12,12,21.704035758972168,3037,-0.0,-0.03921884,0.9566261097788811,0.0004910001,0.00350219,0.00350219
1.3266271,252.91666666666666,335.30072,447.91666,12,24,24.444105625152588,6070,-0.0,-0.04445459,0.9726729020476341,0.0005179331,0.0046110502,0.0046110502
1.3968188,252.69444444444446,352.78687,465.27777,12,36,27.182294368743896,9097,-0.0,-0.04446499,0.9941881587728858,0.0004800063,0.0014096528,0.0014096528
1.436788,252.45,362.56094,468.75,12,48,29.924896240234375,12123,-0.0,-0.03714759,0.9828259479254484,0.0005089206,0.002333903,0.002333903
1.4881622,252.325,375.41513,475.0,12,60,32.63645577430725,15154,-0.0,-0.04207729,0.9860481275245547,0.00049875793,0.0020651103,0.0020651103
1.487575,252.25,375.15195,490.0,13,73,35.362496852874756,18431,-0.0,-0.047810435,0.9979108774568886,0.00049600244,0.0013620909,0.0013620909
1.4620838,252.375,368.86957,480.0,12,85,38.097978353500366,21463,-0.0,-0.040234584,0.9765843600034714,0.00045027063,0.0018129894,0.0018129894
1.4111242,252.525,356.15964,470.0,12,97,40.822359800338745,24497,-0.0,-0.03939794,0.9668903760612011,0.0004793376,0.0034343197,0.0034343197
1.4103925,252.5,355.93665,475.0,12,109,43.54096031188965,27524,-0.0,-0.035565637,0.9927357565611601,0.00053649413,0.0025665052,0.0025665052
1.4599581,252.425,368.41193,475.0,12,121,46.281002044677734,30550,-0.0,-0.037214212,0.9973033245187253,0.0004715789,0.0011808401,0.0011808401
1.5088675,252.15,380.41412,480.0,12,133,49.01000905036926,33573,-0.0,-0.0344989,0.9864979824051261,0.00043540786,0.0027016345,0.0027016345
1.5090754,252.0,380.23666,495.0,13,146,51.77057600021362,36849,-0.0,-0.039213162,0.9977111243642867,0.00042719475,0.0015178267,0.0015178267
1.5086855,251.95,380.06152,495.0,12,158,54.4931755065918,39871,-0.0,-0.043157578,0.9960594838485122,0.0004468395,0.0006215619,0.0006215619
1.5345142,251.925,386.58124,495.0,12,170,57.22674298286438,42895,-0.0,-0.044963893,0.9986370622646064,0.00050941034,0.0017663265,0.0017663265
1.5361704,251.85,386.8826,500.0,12,182,59.96234750747681,45914,-0.0,-0.04538156,0.9966539847664535,0.0005836341,0.001674857,0.001674857
1.5369799,251.8,387.00983,500.0,12,194,62.69548535346985,48935,-0.0,-0.05775638,0.9983440033392981,0.0005052019,0.0012411965,0.0012411965
1.5129818,251.775,380.873,495.0,13,207,65.42856860160828,52210,-0.0,-0.05514319,0.9866244066506624,0.00046198463,0.0022315187,0.0022315187
1.514034,251.7,381.02167,495.0,12,219,68.17969703674316,55228,-0.0,-0.06343285,0.9980643641902134,0.00049890456,0.0019648084,0.0019648084
1.5155001,251.7,381.3896,495.0,12,231,70.90929579734802,58247,-0.0,-0.075773105,0.9983640931313857,0.0005402909,0.0010987855,0.0010987855
1.5162487,251.525,381.30966,495.0,12,243,73.63092160224915,61263,-0.0,-0.07026658,0.9986231621587649,0.000502102,0.0011090729,0.0011090729
1.5415266,251.625,387.88428,500.0,12,255,76.35396218299866,64283,-0.0,-0.074875414,0.9971292451955378,0.00054593844,0.001441714,0.001441714
1.5399652,251.675,387.56787,500.0,13,268,79.12605237960815,67557,-0.0,-0.07473195,0.997904886957258,0.00035098052,0.002536259,0.002536259
1.540488,251.725,387.7768,500.0,12,280,81.82756328582764,70576,-0.0,-0.08149897,0.9958649477921426,0.0005958696,0.0016727919,0.0016727919
1.5396125,251.8,387.67163,500.0,12,292,84.55909132957458,73599,-0.0,-0.08643142,0.9986366210505366,0.00045860923,0.00096796174,0.00096796174
1.5421484,251.75,388.23456,500.0,12,304,87.29873037338257,76619,-0.0,-0.07874146,0.9979921411722898,0.00050552003,0.0014682548,0.0014682548
1.5195348,251.675,382.4445,495.0,12,316,90.05425024032593,79639,-0.0,-0.08016781,0.9867970030754805,0.00049241417,0.0023331903,0.0023331903
1.5195048,251.7,382.47495,495.0,13,329,92.77756667137146,82911,-0.0,-0.07387874,0.9985684769926593,0.00042892867,0.00093065295,0.00093065295
1.5190494,251.725,382.39877,495.0,12,341,95.5075581073761,85933,-0.0,-0.08349979,0.9988632930908352,0.00055168127,0.0017586908,0.0017586908
1.5182612,251.65,382.08374,495.0,12,353,98.25568914413452,88950,-0.0,-0.0821911,0.9984620541799814,0.00046465095,0.0037035923,0.0037035923
1.5194954,251.575,382.27844,490.0,12,365,100.98773050308228,91969,-0.0,-0.08315471,0.9874803889542818,0.0004149233,0.0017806371,0.0017806371
1.4580885,256.475,362.3824,480.0,12,377,120.03623127937317,95183,-0.0,-0.07630526,0.9930166001431644,0.00047392547,0.00077660073,0.00077660073
1.4587133,256.475,362.53897,480.0,12,389,122.74783682823181,98206,-0.0,-0.06620979,0.9959174823015928,0.00044632354,0.0015520653,0.0015520653
1.4832046,256.575,368.84116,480.0,12,401,125.47188115119934,101225,-0.0,-0.061561625,0.9970716836396605,0.0004858917,0.0015215874,0.0015215874
1.5457832,251.725,389.10825,485.0,12,413,128.2407968044281,104244,-0.0,-0.06737122,0.9986762518528849,0.00054646685,0.0012177998,0.0012177998
1.5445324,251.875,389.0252,500.0,12,425,130.95845460891724,107271,-0.0,-0.069555275,0.9978550674859434,0.0005683819,0.0016776584,0.0016776584
1.5219803,251.7,383.07147,495.0,13,438,133.6774971485138,110539,-0.0,-0.06816115,0.986409249715507,0.00026487786,0.0017800232,0.0017800232
1.5224701,251.8,383.34976,495.0,12,450,136.40710139274597,113560,-0.0,-0.063233055,0.9983709520893171,0.0004925769,0.0025123034,0.0025123034
1.523152,251.725,383.40607,495.0,12,462,139.173748254776,116584,-0.0,-0.060888335,0.9978204688522965,0.0004548185,0.0018213304,0.0018213304
1.5469052,251.725,389.39096,495.0,12,474,141.90336298942566,119603,-0.0,-0.06014618,0.9983153853099793,0.0005570454,0.0018111859,0.0018111859
1.5462412,251.85,389.41702,500.0,13,487,144.6329643726349,122878,-0.0,-0.051191345,0.9981351559981704,0.0004843621,0.0010066355,0.0010066355
1.5459278,251.775,389.22244,500.0,12,499,147.34552192687988,125898,-0.0,-0.047883794,0.9974325823131949,0.0005065247,0.0011789687,0.0011789687
1.4717586,251.75,370.54242,485.0,12,511,150.10708570480347,128920,-0.0,-0.04974939,0.9683620892465115,0.00041323857,0.0035208997,0.0035208997
1.4716209,251.75,370.50742,485.0,12,523,152.8359727859497,131941,-0.0,-0.057011183,0.9882333744317293,0.00046899458,0.0020100323,0.0020100323
1.4467572,251.85,364.37137,480.0,12,535,155.59905290603638,134964,-0.0,-0.07049041,0.9961774032562971,0.00045977274,0.0015655229,0.0015655229
1.4969889,251.925,377.12198,480.0,12,547,158.37270760536194,137991,-0.0,-0.07440133,0.9987416145158932,0.00056765904,0.0016672793,0.0016672793
1.5210837,252.025,383.32422,495.0,13,560,161.14322876930237,141268,-0.0,-0.078143574,0.9978703998494893,0.00037834173,0.0020385787,0.0020385787
1.5458782,252.05,389.63666,495.0,12,572,163.90279483795166,144292,-0.0,-0.08196259,0.9981866107555106,0.0004174658,0.0012211358,0.0012211358
1.5216453,252.05,383.4806,495.0,12,584,166.64539766311646,147316,-0.0,-0.08097219,0.9836833905428648,0.00048874656,0.0018113112,0.0018113112
1.5212204,252.075,383.41144,495.0,12,596,169.40499711036682,150340,-0.0,-0.08280194,0.9983997523086146,0.0005175157,0.0017929971,0.0017929971
1.5210305,252.075,383.3633,495.0,12,608,172.123113155365,153366,-0.0,-0.081737526,0.9985118180047721,0.0004934101,0.0010399172,0.0010399172
1.521363,252.075,383.44702,495.0,13,621,174.86119723320007,156643,-0.0,-0.085220695,0.9992434812593274,0.0005096644,0.0021009573,0.0021009573
1.4709113,252.25,370.95538,485.0,12,633,177.59076142311096,159673,-0.0,-0.093904264,0.9653371125459671,0.0004549514,0.0040150075,0.0040150075
1.4727719,252.05,371.1146,485.0,12,645,180.37741899490356,162694,-0.0,-0.10226479,0.9975960673764348,0.0004954629,0.001757315,0.001757315
1.4720768,252.1,371.0162,485.0,12,657,183.11150097846985,165719,-0.0,-0.09930801,0.9840346351265907,0.00045538586,0.0023456875,0.0023456875
1.4721625,252.075,370.99884,475.0,12,669,185.85509586334229,168743,-0.0,-0.08923865,0.9862797847017646,0.00049811153,0.00157424,0.00157424
1.4956121,252.0,376.86542,490.0,13,682,188.60166144371033,172020,-0.0,-0.08572007,0.9986779720056802,0.0004704631,0.0027260452,0.0027260452
1.4962105,252.05,377.09393,490.0,12,694,191.36218333244324,175043,-0.0,-0.0937038,0.9989344934001565,0.0004604808,0.0009871485,0.0009871485
1.4956125,252.225,377.1388,485.0,12,706,194.0907859802246,178074,-0.0,-0.10796701,0.9865489741787314,0.00046028648,0.0021871573,0.0021871573
1.5212348,252.2,383.60742,495.0,12,718,196.83187580108643,181097,-0.0,-0.10603743,0.9991021363530308,0.0005206983,0.002995203,0.002995203
1.5221373,252.05,383.60287,495.0,12,730,199.58095574378967,184118,-0.0,-0.104871005,0.998599550453946,0.00054079416,0.0032865114,0.0032865114
1.4854771,256.95,369.29056,480.0,12,742,218.5828619003296,187342,-0.0,-0.09634563,0.9936729320324957,0.0005112281,0.00084695715,0.00084695715
1.4855474,256.925,369.2701,485.0,12,754,221.3314368724823,190366,-0.0,-0.09441758,0.9983430957654491,0.00050114474,0.0027927794,0.0027927794
1.4857304,256.95,369.35513,485.0,12,766,224.06102538108826,193388,-0.0,-0.1043395,0.99889016430825,0.0004815286,0.0012881724,0.0012881724
1.5472242,251.925,389.78165,485.0,12,778,226.78564286231995,196414,-0.0,-0.10177738,0.9988383178133518,0.00055601937,0.0011339631,0.0011339631
1.54929,251.925,390.3024,500.0,12,790,229.52983212471008,199436,-0.0,-0.0958649,0.9991425299085677,0.000525934,0.0011127951,0.0011127951
1.5246185,252.0,384.17563,495.0,13,803,232.2769181728363,202712,-0.0,-0.09871251,0.9986302360193804,0.0004971696,0.0065286607,0.0065286607
1.475682,251.95,371.79077,485.0,12,815,235.00152134895325,205735,-0.0,-0.09813268,0.9756642505526543,0.0005447298,0.0025075742,0.0025075742
1.3762939,251.85,346.64056,465.0,12,827,237.72660088539124,208756,-0.0,-0.098207176,0.9588122256100178,0.00030646534,0.003259344,0.003259344
1.3999816,251.95,352.78915,465.0,12,839,240.4602406024933,211780,-0.0,-0.09938281,0.9920345945283771,0.00050080544,0.0016316449,0.0016316449
1.4236238,252.0,358.74976,465.0,12,851,243.1988000869751,214805,-0.0,-0.10185015,0.984560719691217,0.0004764157,0.0035861728,0.0035861728
1.4980831,251.95,377.38608,475.0,13,864,245.91384553909302,218080,-0.0,-0.095674165,0.996436909539625,0.0004764048,0.0015931973,0.0015931973
1.5238956,251.85,383.73642,495.0,12,876,248.64449167251587,221098,-0.0,-0.093064666,0.998565923771821,0.0005883949,0.0017924051,0.0017924051
1.54967,251.675,390.0102,495.0,12,888,251.39562129974365,224119,-0.0,-0.08753541,0.9984168903902173,0.000491203,0.00080355007,0.00080355007
1.550136,251.675,390.12778,500.0,12,900,254.1247091293335,227139,-0.0,-0.092558086,0.9984628354432061,0.00034259094,0.0011561662,0.0011561662
1.5496101,251.625,389.91666,500.0,12,912,256.8567533493042,230158,-0.0,-0.09343687,0.999115246871952,0.00052149594,0.0021467267,0.0021467267
1.5489587,251.65,389.7915,500.0,13,925,259.596834897995,233430,-0.0,-0.10264596,0.9977604066953063,0.00049746135,0.0013380625,0.0013380625
1.5000824,251.55,377.36908,490.0,12,937,262.3549699783325,236448,-0.0,-0.09970092,0.9752988629043102,0.00039917848,0.0026547194,0.0026547194
1.4997416,251.675,377.47867,490.0,12,949,265.09058117866516,239469,-0.0,-0.09885911,0.9952484322711825,0.00049131946,0.002967619,0.002967619
1.4992187,251.775,377.5019,490.0,12,961,268.31671595573425,242492,-0.0,-0.11034394,0.9960397998802364,0.00046946923,0.0010421765,0.0010421765
1.5486767,251.825,389.99323,490.0,12,973,271.5558865070343,245514,-0.0,-0.11034357,0.999245020095259,0.0005095855,0.0011483779,0.0011483779
