ERewMean,EpLenMean,EpRewMean,EpRewOther,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,entloss,entropy,ev_tdlam_before,meankl,optimgain,surrgain
-13.150086,499.1666666666667,-6673.3335,5141.6543,6,6,27.598288536071777,2995,0.0,1.4343263,1.3947486877441406e-05,0.0008350602,0.0047060642,0.0047060642
-9.703089,463.4166666666667,-4889.3335,6866.2485,6,12,30.338873386383057,5561,0.0,1.4491563,0.03244417905807495,0.0007916189,0.0034899695,0.0034899695
-7.666623,437.8095238095238,-3732.762,8082.3945,9,21,33.04672980308533,9194,0.0,1.4533426,0.08449751138687134,0.0007587783,0.0027188323,0.0027188323
-6.3390727,423.92857142857144,-3040.7144,8825.879,7,28,35.738757848739624,11870,0.0,1.4661589,0.11770272254943848,0.00068784924,0.002352067,0.002352067
-6.181267,392.8205128205128,-2708.718,9254.441,11,39,38.437175989151,15320,0.0,1.483792,0.14024317264556885,0.0007767032,0.0026876156,0.0026876156
-5.0026493,345.625,-1742.5,9507.417,10,49,41.16123843193054,18186,0.0,1.4979181,0.1735782027244568,0.00071055134,0.0017580594,0.0017580594
-4.5681357,312.45,-1394.9,10559.349,11,60,43.863261699676514,21415,0.0,1.5209299,0.2626563310623169,0.00069284375,0.0018080365,0.0018080365
-4.397155,290.3,-1249.35,11068.611,11,71,46.552292585372925,24410,0.0,1.5317378,0.3117069602012634,0.0006785122,0.0017900928,0.0017900928
-3.4428654,280.6,-952.45,11479.026,12,83,49.28248476982117,27639,0.0,1.5313703,0.36278969049453735,0.0005002679,0.0022429354,0.0022429354
-2.7339065,273.725,-751.2,11825.307,11,94,52.001959800720215,30553,0.0,1.5402485,0.364057719707489,0.0006093484,0.0015166431,0.0015166431
-2.3862348,264.7,-643.15,12143.64,12,106,54.73064351081848,33708,0.0,1.5455388,0.4497659206390381,0.00077594677,0.0024023864,0.0024023864
-2.6372783,267.9,-713.3,12277.92,11,117,57.494750022888184,36719,0.0,1.568422,0.42648571729660034,0.00086799264,0.0025326896,0.0025326896
