# {"t_start": 1565648417.3117568, "env_id": "SignalizedEco-v0"} 
r,l,t
-4390,254,25.170377
-4040,324,25.468377
-2770,257,25.671501
-7980,553,26.110214
-6000,535,26.537527
-14730,523,26.94803
-9570,382,27.255919
-19570,692,29.230763
-5260,311,29.485025
-4850,405,29.797524
-8270,357,30.063149
-7240,404,30.387763
-14670,832,31.060793
-8880,553,31.467043
-4180,338,32.391989
-5640,349,32.673238
-4880,303,32.891987
-3080,348,33.157611
-5730,328,33.408939
-8110,356,33.674563
-6040,359,33.960058
-5080,413,34.27256
-19200,520,35.324983
-3830,333,35.574982
-4500,325,35.828727
-3600,355,36.080064
-3800,300,36.303024
-3370,332,36.563342
-4210,326,36.801949
-6790,419,37.130074
-2130,208,37.301949
-4850,390,38.249552
-6340,479,38.62924
-2480,258,38.822273
-9480,583,39.261918
-2880,283,39.491242
-3100,275,39.697615
-18080,618,40.151994
-3280,293,40.375051
-3990,349,41.363805
-3920,327,41.630751
-4130,318,41.866255
-3630,298,42.086189
-5450,315,42.324804
-7860,421,42.635526
-4500,340,42.871257
-6090,304,43.094249
-3560,321,43.34425
-6190,269,44.160378
-4770,232,44.333643
-16750,620,44.803524
-4540,284,45.006648
-3050,255,45.194149
-2620,242,45.381648
-2100,220,45.547329
-2650,260,45.734829
-2440,239,45.910964
-6010,506,46.285965
-3480,238,47.084184
-3480,283,47.307168
-2420,222,47.479042
-2900,300,47.697792
-3900,310,47.932167
-2400,235,48.104042
-3660,316,48.324229
-3270,307,48.558603
-2750,285,48.765981
-2010,211,48.922232
-2860,266,49.109731
-2030,228,49.297232
-1860,241,50.09967
-2940,244,50.287165
-5350,290,50.505916
-3030,253,50.693415
-5300,435,51.042436
-4500,295,51.265396
-2880,268,51.468521
-2130,238,51.649961
-4070,357,51.951115
-4780,263,52.154242
-17170,707,53.317544
-2000,240,53.493659
-2050,200,53.651241
-2190,229,53.815879
-4440,334,54.084695
-3690,229,54.243809
-1820,252,54.433479
-4220,327,54.677787
-2410,251,54.86954
-2190,259,55.072665
-1560,211,55.23015
-3090,259,56.046919
-2120,222,56.218795
-5280,328,56.470102
-2450,255,56.657624
-2140,224,56.833708
-3560,306,57.052457
-2090,234,57.224333
-2780,198,57.396207
-3530,198,57.546575
-2380,263,57.73409
-2870,267,57.927205
-1620,187,58.072063
-3190,254,58.870404
-2320,272,59.091323
-1990,239,59.296092
-4810,296,59.519094
-2570,252,59.722219
-5350,320,59.956595
-2260,251,60.15972
-3070,242,60.347219
-2930,363,60.629833
-3370,287,60.852796
-3740,249,61.055921
-2600,210,61.259046
-2050,230,62.123992
-2210,246,62.327133
-3430,323,62.592758
-2810,276,62.842757
-2730,268,63.030258
-2430,253,63.217758
-2470,242,63.406488
-2720,222,63.568292
-2730,223,63.724543
-3290,264,63.916294
-2350,215,64.072544
-2320,212,64.228795
-4890,304,65.085526
-2700,280,65.287124
-1900,230,65.474623
-2450,240,65.662123
-2380,233,65.849623
-1830,208,66.007099
-2010,226,66.17899
-1890,229,66.369719
-1900,230,66.541595
-2800,260,66.75512
-1950,250,66.931238
-2290,209,67.103113
-3670,272,67.321863
-3270,247,68.124259
-2010,211,68.296134
-1980,223,68.499259
