# {"t_start": 1566178067.0294936, "env_id": "SignalizedEco-v1"} 
r,l,t
293.043697,257,22.779911
298.553104,261,23.041909
545.771292,246,23.217911
547.996705,249,23.402433
298.117061,255,23.587429
295.645459,255,23.775429
550.270048,252,23.957429
546.434996,252,24.136429
540.06666,247,24.312431
297.473688,258,24.496433
546.328719,246,24.670951
48.100451,243,24.842983
309.279969,241,25.013985
547.572158,244,27.479505
551.834637,243,27.653503
549.989898,250,27.832023
544.091553,247,28.010022
543.371181,250,28.192542
559.172114,251,28.376544
304.10754,241,28.553546
549.826324,250,28.735543
541.792612,245,28.91106
556.82335,249,29.090059
546.406283,248,29.26706
549.554462,244,29.441059
295.374573,254,31.283152
290.832109,240,31.454671
531.835581,249,31.63267
541.709437,250,31.811672
296.620954,253,31.991671
299.760404,254,32.173673
300.850242,254,32.354671
548.378128,244,32.528672
292.931207,245,32.702671
549.589591,250,32.881671
46.70589,256,33.064671
563.150878,248,33.243671
548.702356,245,33.418671
555.322881,249,35.274719
544.72461,245,35.450716
540.472591,250,35.628753
292.775461,242,35.801753
540.968244,249,35.979751
547.402398,250,36.157753
51.131789,254,36.339272
309.702201,240,36.510274
546.710592,248,36.687272
289.508001,251,36.866273
551.333114,250,37.046787
545.77586,247,37.225301
543.827816,252,39.146301
540.59681,248,39.322815
547.889661,250,39.505816
291.508994,258,39.694816
301.096706,241,39.870817
547.334285,250,40.049815
551.088183,245,40.22485
300.060738,254,40.405849
550.24974,253,40.584849
545.79736,245,40.758853
558.171841,248,40.935849
545.175808,244,41.108884
542.30658,251,42.954397
544.449806,250,43.132397
554.124326,250,43.309429
549.226322,245,43.483428
548.150431,250,43.659427
551.468295,244,43.832947
297.299706,242,44.009951
546.886569,252,44.193947
548.453325,248,44.375466
296.08607,244,44.550467
547.605876,243,44.721465
550.514578,246,44.896468
546.978591,250,45.076528
544.828702,248,46.910562
550.416531,247,47.085564
282.119757,241,47.257562
298.763588,241,47.428562
542.657909,250,47.605564
292.316251,254,47.785608
296.464373,254,47.966605
547.315444,252,48.147606
548.788115,250,48.327605
552.50211,250,48.505607
294.4573,243,48.678607
549.584427,248,48.854605
547.26314,251,50.699197
553.3706,247,50.874197
551.985222,252,51.054198
552.651067,246,51.229198
551.11744,247,51.405197
548.627424,249,51.583197
541.251813,245,51.756198
295.672338,242,51.929711
544.276711,247,52.104711
313.114508,255,52.287232
290.435299,254,52.467747
546.057595,252,52.648751
544.329373,253,54.509271
297.906178,254,54.693378
547.267296,249,54.86938
544.922546,243,55.045379
540.636577,246,55.223378
545.237447,253,55.404377
548.393802,250,55.583378
543.690769,247,55.758378
550.579548,253,55.938378
546.854219,245,56.11241
553.28737,253,56.291412
544.901059,247,56.466411
554.699482,251,56.644412
553.514267,249,58.490968
47.733962,236,58.657968
554.146583,244,58.830968
542.260653,246,59.005968
298.894981,243,59.177971
550.652693,249,59.353968
546.104093,249,59.531968
547.731748,247,59.706969
549.232438,244,59.878968
551.880894,245,60.053968
543.317269,252,60.233968
539.166519,246,60.408968
541.304359,248,62.249969
548.162956,248,62.42997
547.121213,246,62.603969
304.144151,255,62.784998
546.520874,252,62.962998
293.718273,242,63.135
546.473744,245,63.309998
538.299033,246,63.486
541.885506,250,63.662
306.023259,242,63.832999
550.403045,245,64.006998
297.398746,254,64.188031
293.725711,242,64.360551
553.074076,251,66.22358
546.152231,253,66.404582
541.299371,250,66.582582
552.134558,249,66.760581
543.236145,252,66.93858
553.410661,253,67.118582
545.362067,249,67.29558
559.17634,252,67.475097
541.832742,250,67.6521
551.629573,251,67.830098
543.636809,247,68.006099
551.674011,253,68.186097
542.919227,248,70.01662
547.483263,250,70.194619
294.124281,243,70.36762
549.73769,244,70.54114
288.503389,255,70.72114
546.033777,250,70.899142
550.662353,251,71.07767
302.204346,261,71.26267
543.718449,253,71.442672
542.994621,247,71.61767
536.696346,241,71.78867
544.58364,246,71.962671
550.074046,243,73.799778
546.450768,249,73.976778
549.761092,247,74.150779
538.401984,251,74.329782
298.825942,254,74.50978
296.033522,243,74.681778
546.898071,251,74.86278
552.960743,247,75.044297
542.507537,248,75.224298
548.082493,247,75.401298
298.920959,240,75.571298
294.135509,255,75.752296
289.765637,241,75.923296
555.886664,248,77.756814
550.387478,250,77.933815
548.036075,246,78.109814
298.870189,254,78.289816
551.069428,246,78.463814
299.803585,254,78.643814
301.424381,241,78.813814
554.397393,249,78.991816
296.562221,254,79.171849
541.174156,245,79.346849
550.344375,251,79.525882
550.619932,247,79.70288
553.540162,247,81.531397
549.595317,247,81.706399
557.706342,249,81.884437
545.512894,250,82.061439
548.581437,245,82.236438
297.111967,254,82.422438
546.706871,248,82.599437
550.546077,244,82.772437
550.312932,248,82.948437
544.972888,253,83.127437
