ERewMean,EpLenMean,EpRewE,EpRewMean,EpRewOther,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,entloss,entropy,ev_tdlam_before,meankl,optimgain,surrgain
1.6071128,250.41666666666666,-202.1634872986092,402.00314,604.1667,12,12,23.523433685302734,3005,0.0,1.6933084,0.8942174315452576,8.533511e-05,0.0028820708,0.0028820708
1.8736987,248.625,-201.30915561358646,465.3575,666.6667,12,24,27.404082536697388,5967,0.0,1.7117745,0.9665478728711605,7.519405e-05,0.0023401848,0.0023401848
1.7707424,248.8918918918919,-202.02644286125434,439.86548,641.8919,13,37,31.278645038604736,9209,0.0,1.6998144,0.8951148390769958,7.9552185e-05,0.0024285829,0.0024285829
1.7846565,247.725,-202.22756418606158,441.763,642.8571,12,49,35.21623158454895,12184,0.0,1.7008481,0.9476725906133652,8.120786e-05,0.002904908,0.002904908
1.8027216,248.65,-202.02221774066842,447.4463,660.0,12,61,39.08733153343201,15172,0.0,1.7048856,0.9347584545612335,8.586415e-05,0.0026162416,0.0026162416
1.9078376,248.175,-202.62764987651968,473.01837,660.0,13,74,42.943493127822876,18387,0.0,1.7032385,0.9582473523914814,8.2043465e-05,0.0017217802,0.0017217802
1.9266542,248.225,-202.77813961496017,478.3295,675.0,12,86,46.79612994194031,21365,0.0,1.6952802,0.9286453053355217,7.624369e-05,0.0027952606,0.0027952606
1.9564804,247.925,-202.43676121692764,485.21835,685.0,12,98,50.6642005443573,24352,0.0,1.6992394,0.944250799715519,7.237663e-05,0.0025780473,0.0025780473
1.9749225,248.7,-202.55412396011204,491.0961,695.0,13,111,54.526899337768555,27596,0.0,1.6980805,0.9512997679412365,7.776394e-05,0.0030139573,0.0030139573
2.0057597,248.05,-202.59283967338396,497.99277,690.0,12,123,58.37389802932739,30546,0.0,1.7007183,0.9464343190193176,7.752754e-05,0.0022869373,0.0022869373
1.9528027,247.875,-202.43308421908506,484.4754,690.0,13,136,62.24450969696045,33761,0.0,1.6983801,0.9342652857303619,8.484159e-05,0.0027332872,0.0027332872
2.0031211,248.15,-202.49717568710128,497.88312,705.0,12,148,66.08355331420898,36771,0.0,1.6899008,0.9472291022539139,8.6683336e-05,0.0050648693,0.0050648693
1.9954021,248.925,-202.864071676618,496.5456,695.0,12,160,69.92870926856995,39760,0.0,1.6970228,0.9591795690357685,7.885513e-05,0.0017255931,0.0017255931
1.9455465,248.9,-203.39441719248214,484.16562,685.0,13,173,73.78074502944946,42976,0.0,1.692357,0.9398708194494247,8.211806e-05,0.0016063395,0.0016063395
1.9017439,248.525,-202.65200279230265,472.1999,685.0,12,185,77.61732888221741,45961,0.0,1.6965064,0.9415562972426414,7.07978e-05,0.001995113,0.001995113
1.9340296,248.075,-202.20616897980221,479.31577,680.0,12,197,81.48740482330322,48949,0.0,1.6913443,0.9340274259448051,7.598911e-05,0.0020496754,0.0020496754
1.8824056,248.575,-201.88856047805243,467.13934,675.0,13,210,85.33902740478516,52183,0.0,1.682332,0.9422697648406029,7.875934e-05,0.0026328482,0.0026328482
2.0069096,248.4,-201.96152995031537,497.643,685.0,12,222,89.17915368080139,55154,0.0,1.6953672,0.9633077569305897,8.302299e-05,0.0018567328,0.0018567328
1.9779532,248.55,-202.06086215203902,491.16806,700.0,12,234,93.04122686386108,58135,0.0,1.6929436,0.9586333408951759,7.7721576e-05,0.0027447522,0.0027447522
2.0298278,247.925,-202.96084618398262,503.42627,695.0,13,247,96.8872938156128,61357,0.0,1.6852442,0.9425268582999706,7.548721e-05,0.002039664,0.002039664
2.0277371,248.4,-202.3962520443248,503.962,710.0,12,259,100.72894716262817,64339,0.0,1.6979901,0.9659674763679504,7.8847515e-05,0.0016847638,0.0016847638
1.9764007,248.075,-202.88025716588166,490.57025,695.0,13,272,104.59068894386292,67563,0.0,1.6877245,0.9498505964875221,7.300367e-05,0.0020820957,0.0020820957
1.9980671,248.25,-203.73315136027784,496.25937,695.0,12,284,108.43927669525146,70538,0.0,1.6897236,0.9624723978340626,7.386655e-05,0.0020496056,0.0020496056
2.020044,248.325,-203.39442568951105,501.75406,710.0,12,296,112.29537844657898,73525,0.0,1.6877012,0.9824216142296791,8.1855396e-05,0.0027055757,0.0027055757
2.0214684,248.375,-204.1830480585629,502.35327,695.0,13,309,116.14737725257874,76739,0.0,1.6853243,0.9467419311404228,7.747809e-05,0.002023658,0.002023658
2.0472014,248.075,-204.21539571837764,508.24176,710.0,12,321,119.98645257949829,79711,0.0,1.6929569,0.9583528190851212,8.190175e-05,0.001838935,0.001838935
2.0215275,248.15,-203.87909324934554,501.87613,715.0,12,333,123.85446166992188,82704,0.0,1.6927668,0.9540402814745903,8.290195e-05,0.0019526075,0.0019526075
2.1015854,248.275,-203.55797687996449,521.7019,710.0,13,346,127.69702315330505,85920,0.0,1.6902262,0.9557755663990974,8.673698e-05,0.0020303603,0.0020303603
2.129264,248.225,-203.0559164580304,528.6626,725.0,12,358,131.53914141654968,88894,0.0,1.690742,0.9668692871928215,8.2884486e-05,0.0023452204,0.0023452204
2.13666,247.975,-201.94654765240105,529.7581,730.0,13,371,135.40221095085144,92123,0.0,1.6874237,0.9790748674422503,8.1137085e-05,0.0019765818,0.0019765818
2.0986724,249.1,-202.53256886892493,522.20953,725.0,12,383,156.555517911911,95137,0.0,1.6872774,0.9622355587780476,7.9490266e-05,0.0021279352,0.0021279352
1.9971702,249.525,-202.3860119214611,497.5795,705.0,12,395,160.45403337478638,98131,0.0,1.6872083,0.9242642149329185,8.3351995e-05,0.0027477723,0.0027477723
1.9416084,250.2,-202.21669216814337,484.98706,695.0,12,407,164.31664371490479,101144,0.0,1.6887122,0.9426263682544231,7.937494e-05,0.00240169,0.00240169
1.8693784,250.425,-202.43585766455,467.36652,680.0,13,420,168.16175961494446,104404,0.0,1.6820394,0.9412317834794521,7.177496e-05,0.0022961625,0.0022961625
1.9724773,249.725,-201.35123259990402,492.25943,680.0,12,432,172.00331497192383,107380,0.0,1.690093,0.9593462869524956,7.798038e-05,0.0021401127,0.0021401127
1.9972277,249.475,-201.6016793118505,498.15137,695.0,12,444,175.86555886268616,110377,0.0,1.69242,0.9480020441114902,8.370151e-05,0.0031389818,0.0031389818
2.023124,249.5,-202.08011361926955,504.23407,700.0,13,457,179.70767498016357,113630,0.0,1.6791688,0.9586988911032677,6.679813e-05,0.0015703145,0.0015703145
2.0280585,249.25,-201.44808061101998,505.03876,710.0,12,469,183.555810213089,116616,0.0,1.6884533,0.967753529548645,8.0223435e-05,0.0024826974,0.0024826974
2.054712,249.25,-201.3285852960119,511.40683,715.0,12,481,187.4154486656189,119603,0.0,1.6834971,0.9792470969259739,8.240992e-05,0.0022786304,0.0022786304
2.0031493,249.975,-201.09889763648295,499.3505,705.0,13,494,191.2595615386963,122866,0.0,1.6898651,0.9168401062488556,7.929879e-05,0.0030948415,0.0030948415
2.0052774,249.525,-200.57858448033264,499.26895,705.0,12,506,195.12967038154602,125854,0.0,1.6885248,0.9546631388366222,8.407171e-05,0.0035807535,0.0035807535
1.957526,248.9,-200.980060437403,486.47266,700.0,12,518,198.98630475997925,128808,0.0,1.6838603,0.9528387263417244,8.2666615e-05,0.0017476516,0.0017476516
2.0821908,248.225,-201.43356711730812,516.9388,700.0,13,531,202.8408534526825,132048,0.0,1.6796831,0.977834977209568,8.781024e-05,0.002640853,0.002640853
2.131815,248.225,-201.72270107700305,529.3416,725.0,12,543,206.6838891506195,135030,0.0,1.6841885,0.9863059166818857,8.373855e-05,0.0024668172,0.0024668172
2.1092715,247.8,-202.10005725575294,522.89197,720.0,13,556,210.53406882286072,138227,0.0,1.6840299,0.9418988227844238,8.2043116e-05,0.0027274766,0.0027274766
2.0874298,247.375,-201.98680990598132,516.77356,720.0,12,568,214.3801453113556,141200,0.0,1.6757339,0.959275983273983,7.80427e-05,0.0023735485,0.0023735485
2.0608704,247.25,-202.63223145673643,509.7338,720.0,12,580,218.2358045578003,144176,0.0,1.6793613,0.9376909099519253,7.249631e-05,0.0029239645,0.0029239645
2.05993,247.775,-202.46500606437297,510.28897,705.0,13,593,222.07135653495789,147393,0.0,1.6791426,0.9647201001644135,7.882857e-05,0.0024512492,0.0024512492
2.0075421,248.075,-201.99973475275326,497.56528,700.0,12,605,225.9529824256897,150379,0.0,1.6783237,0.9188282117247581,7.6547825e-05,0.0023860561,0.0023860561
1.9362568,248.075,-201.7142635844868,480.15454,690.0,13,618,229.8010528087616,153600,0.0,1.6821772,0.9582116417586803,8.698107e-05,0.002227484,0.002227484
1.9339373,248.1,-201.17220048489605,480.01093,685.0,12,630,233.65125942230225,156579,0.0,1.6755883,0.9628444574773312,8.27463e-05,0.0026111063,0.0026111063
2.004542,248.2,-202.01540585514286,497.8659,695.0,12,642,237.51439714431763,159559,0.0,1.6751027,0.9534517452120781,8.384581e-05,0.0033562158,0.0033562158
2.0730293,248.7,-202.29380156464893,515.7091,705.0,13,655,241.35548186302185,162805,0.0,1.6762381,0.9544665366411209,8.1533966e-05,0.0034105268,0.0034105268
2.0486512,248.7,-202.99608714061685,509.3833,715.0,12,667,245.20556020736694,165789,0.0,1.6770328,0.9717015381902456,7.996364e-05,0.0026740767,0.0026740767
2.0258052,249.15,-202.50483910032432,504.233,710.0,12,679,249.06585955619812,168776,0.0,1.6763204,0.9574183113873005,7.855585e-05,0.0023977887,0.0023977887
2.0020328,248.7,-202.0990177159452,497.91666,705.0,13,692,252.91193771362305,171994,0.0,1.6766037,0.9480549655854702,8.2321894e-05,0.0019054363,0.0019054363
2.0316112,248.025,-202.23932952622167,504.2797,710.0,12,704,256.78956174850464,174968,0.0,1.6726936,0.969709500670433,7.327795e-05,0.0017993277,0.0017993277
2.1090903,247.675,-202.0055855226474,522.9357,715.0,12,716,260.6526081562042,177935,0.0,1.667028,0.9652753919363022,8.279856e-05,0.002442453,0.002442453
2.0584953,248.025,-201.7529390593616,510.79803,715.0,13,729,264.4897463321686,181182,0.0,1.6733274,0.9466012455523014,8.4781735e-05,0.0035556338,0.0035556338
2.0787022,248.925,-201.71615019538,517.3197,720.0,12,741,268.3538155555725,184181,0.0,1.6725134,0.9762053471058607,6.655039e-05,0.002488515,0.002488515
2.021202,252.75,-202.7943785765848,503.18008,710.0,12,753,288.049959897995,187300,0.0,1.6714529,0.9434481933712959,7.562349e-05,0.002149197,0.002149197
2.048407,252.5,-202.77396604954825,509.28214,705.0,12,765,291.89855337142944,190288,0.0,1.6776205,0.95512755215168,8.0458056e-05,0.0024978071,0.0024978071
1.9996856,252.225,-203.1981124742965,496.35303,705.0,13,778,295.735808134079,193524,0.0,1.6701914,0.9551216028630733,7.1015915e-05,0.0027098896,0.0027098896
2.0573716,248.75,-202.77933316143574,511.3188,710.0,12,790,299.58336544036865,196507,0.0,1.6746613,0.9712839480489492,8.717189e-05,0.002298161,0.002298161
