# {"t_start": 1566308820.0539606, "env_id": "SignalizedEco-v0"} 
r,l,t
-3111.844381,339,31.571463
-8264.349317,1001,32.374986
-10828.353762,836,32.998989
-12472.324594,803,33.591038
-8934.823308,620,34.053037
-7250.177007,711,34.581095
-9626.717811,616,38.151201
-11273.95581,812,38.754201
-5558.505304,281,38.95777
-5498.305409,596,39.40129
-3376.625899,361,39.675289
-3891.271609,344,39.928809
-4250.22532,748,40.485823
-1692.887738,281,40.703827
-2974.200441,336,43.418406
-2387.769314,319,43.651928
-4813.671074,678,44.148927
-4713.957064,599,44.58845
-3805.197889,308,44.819449
-2643.613774,424,45.143448
-1718.241225,366,45.412969
-5536.242181,590,45.853968
-1647.107763,381,46.140967
-3546.859175,324,48.817542
-3972.563229,285,49.029542
-2450.668492,469,49.379542
-5028.3973,504,49.750601
-3953.278987,560,50.160656
-6595.234037,545,50.580657
-3952.438683,494,50.949183
-5757.559109,684,51.461232
-4153.817419,679,54.447816
-5489.738154,298,54.667339
-5800.218817,552,55.077339
-3537.805825,553,55.488395
-3015.52614,453,55.831394
-2011.029688,463,56.175449
-2986.511547,324,56.415448
-1662.56737,349,56.675451
-2620.768797,402,56.978449
-2408.700219,480,57.334451
-3431.083818,400,60.07008
-4060.287003,551,60.477606
-2947.364994,399,60.777606
-3380.241156,671,61.281124
-4973.458266,459,61.622128
-2404.645126,424,61.937129
-4704.141114,524,62.332172
-5068.216973,391,62.627174
-4414.344309,462,65.452752
-4065.420497,503,65.83375
-2903.438221,389,66.118751
-3961.020889,391,66.403753
-2873.649609,377,66.690753
-1601.373943,450,67.02775
-1401.858143,451,67.361753
-5983.37223,636,67.842811
-2155.426724,419,68.14981
-3496.931819,437,70.908933
-870.760648,482,71.271451
-3252.112384,401,71.564509
-4863.624066,464,71.910507
-2675.723972,430,72.239509
-2167.884525,452,72.576557
-3810.361091,520,72.966089
-5829.252744,497,73.34409
-2621.886371,436,73.676089
-1911.770238,532,76.529606
-5646.789334,563,76.942606
-1958.345991,327,77.180122
-4190.200126,439,77.501125
-1860.107322,409,77.810124
-2327.812569,501,78.186124
-2932.953757,431,78.506644
-2923.255039,348,78.773642
-2427.968595,463,79.11764
-5284.735585,485,81.905525
-6044.192579,454,82.239527
-1492.252026,548,82.639583
-3760.383786,494,83.014579
-1895.790603,435,83.341581
-2432.594359,466,83.696582
-3488.20778,485,84.08258
-2210.567475,397,84.390578
-2566.795167,450,84.722617
-1912.978954,424,87.460267
-2369.092154,443,87.784268
-4746.139758,447,88.111322
-3419.233061,518,88.501321
-2639.045783,505,88.879322
-3165.354547,472,89.23132
-3685.449204,457,89.575366
-4916.311479,565,90.001367
-6133.0077,584,92.857515
-3224.795973,500,93.225515
-2178.793067,500,93.589571
-2891.914481,504,93.98057
-1882.773283,476,94.352571
-2385.018407,502,94.729625
-2947.371096,508,95.114147
-2375.399468,466,95.458145
-2922.52809,560,95.873146
-2969.019625,475,98.641251
-2886.318997,516,99.019782
-3780.427459,454,99.364782
-2924.922868,471,99.715308
-2374.56818,473,100.068307
-2214.743864,495,100.438306
-1865.112515,503,100.815304
-1835.171188,428,101.131835
-2420.837741,423,103.945299
-1934.806007,514,104.322299
-2599.535652,499,104.707296
-2345.862004,497,105.089296
-2395.679975,464,105.436299
-4677.060373,531,105.834829
-1177.303231,538,106.23835
-947.735043,505,106.615866
-2908.392738,467,109.403974
-5773.392289,564,109.819017
-1432.095956,521,110.209017
-5740.483942,547,110.622018
-6572.2266,517,111.006014
-4174.387453,576,111.441547
-4432.582813,540,111.844584
-4236.63365,554,112.258114
-4936.4023,575,115.163318
-3387.678893,556,115.574322
-2442.374365,513,115.956322
-3758.848386,532,116.355318
-4472.902208,510,116.740842
-3170.396651,533,117.137361
-2409.937981,525,117.527879
-5685.666756,587,117.967882
-5721.002967,495,120.78944
-3139.034634,513,121.185489
-3943.099323,517,121.574546
-4527.376276,544,121.977545
-2892.750258,485,122.341069
-4685.064156,476,122.697069
-1944.561095,502,123.072067
-1671.053998,493,123.441097
-5678.165199,515,126.284622
-2612.921456,439,126.618621
-1367.175129,483,126.980678
-2407.349454,525,127.371676
-3212.216822,517,127.761731
-2430.440459,490,128.125733
-3756.677153,477,128.475256
-3442.161385,546,128.890313
-1422.98253,535,131.719421
-2884.091898,481,132.083421
-4627.905039,494,132.448944
-3922.273083,477,132.807944
-1424.818022,496,133.180843
-3412.675804,504,133.565372
-2849.442637,456,133.907386
-2649.07499,476,134.264935
-2907.565409,506,137.0927
-4872.585034,502,137.476698
-2415.193984,503,137.854755
-1481.171912,541,138.254756
-2893.797032,536,138.662229
-2399.124804,469,139.015247
-1875.901543,500,139.38577
-3669.44671,473,139.742346
-1889.940601,505,142.536993
-2394.474006,495,142.905043
-1844.308046,439,143.227043
-2639.021159,508,143.608703
-2688.969471,552,144.021751
-2429.799539,580,144.450272
-2411.359477,502,144.826133
-2351.872363,475,145.186006
-4208.084164,477,145.549554
-1869.305175,519,148.373258
-2907.119731,493,148.732258
-2913.335546,511,149.107258
-2861.136669,518,149.49226
-4913.344454,498,149.856257
-2156.422078,517,150.234262
-2370.487213,505,150.607781
-1427.516585,515,150.986781
-1610.82983,548,153.817369
-2859.383425,471,154.161897
-2154.253306,544,154.563896
-2611.155663,490,154.925426
-2347.452911,423,155.234425
