# {"t_start": 1566241764.8861604, "env_id": "SignalizedEco-v1"} 
r,l,t
-2686.071134,2063,144.010853
-1934.173623,2935,146.195952
-1427.37088,2422,150.850191
-5200.219797,2841,155.174015
-920.098924,2512,156.972016
-925.147228,1422,157.988017
-3181.686138,3038,162.471679
-9437.516081,2761,166.713826
-4175.539237,2422,168.441865
-3164.473796,1781,172.008849
-924.947787,2533,176.085022
-1688.382842,3004,178.233585
-3431.695624,2775,182.668259
-2686.912624,3084,187.131353
78.010413,1899,188.498909
-3187.267911,2286,192.8519
-910.026993,1601,194.000434
-672.386923,2423,198.014873
-160.068176,1396,199.015393
-6430.413133,2417,203.061078
-1415.888908,1675,204.263114
-5179.405038,1992,208.013752
-166.294458,1512,209.110753
-673.960564,2254,210.756464
-3680.008773,2390,214.919855
-2167.93854,2094,218.833503
-1432.888719,2305,220.501432
-414.130701,1471,221.562967
-919.116855,1704,225.096033
-666.193627,1610,226.254595
-416.905067,2186,230.126553
-432.483292,2780,232.177781
-1167.563655,1701,235.956761
-2173.928812,1660,237.161774
-163.318415,1346,240.465902
-673.861374,2040,241.942877
-3184.667191,1854,245.614472
70.620895,1932,247.075532
-919.935535,1597,248.253547
-1671.976256,1441,251.79622
-420.266001,2009,253.2753
-929.777963,2197,257.179986
-179.257092,2057,258.659062
-660.404239,1422,261.972894
-168.778351,2185,263.563942
-4170.089182,1960,267.250564
-1433.877523,2357,268.955083
-678.09687,2272,272.867685
-2165.483805,1653,274.074749
-1666.402625,1913,277.908668
-177.193645,2061,279.409221
-1664.779323,1637,282.965397
-669.720474,1841,284.313469
-671.438917,2292,288.249074
-674.119326,1856,289.583593
-1177.371938,2076,293.505332
-423.05032,2138,295.071862
-171.695887,1756,296.342884
-435.816783,2252,300.309297
-1438.384958,2286,454.994768
82.466411,2136,456.695787
-432.007821,2047,460.617498
-414.942316,1477,461.691579
-418.649543,2082,463.208114
-917.923451,1818,466.873481
-670.034322,1770,468.179111
-1417.80129,1833,471.837281
-1416.47918,2014,473.302321
-1424.041322,2318,477.291291
-172.250529,2250,478.952846
-424.515764,1627,482.465641
-1674.180207,1707,483.706682
-423.653548,2092,487.583277
-682.151049,2135,489.166376
-173.657636,2057,493.004993
-170.647142,1942,494.434029
-922.181291,1523,497.898619
-916.667295,1807,499.250269
-415.553887,1658,500.465539
-679.394427,2292,504.446111
-171.472745,2186,506.079281
-170.347722,1938,509.827315
-423.297213,1438,510.865227
-927.93449,1773,514.465376
-1921.196782,2180,516.042472
-924.757051,1679,519.534031
86.864642,1429,520.572067
-166.917689,1630,521.748286
-666.693759,1804,525.336413
-660.277066,1617,526.494973
-2172.352207,1968,530.206234
-413.159346,1458,531.248274
-413.072055,1386,532.239315
-419.728278,1840,535.874014
-669.139174,1531,536.970537
-677.405483,1860,540.645747
-2167.983868,1972,542.176783
-412.751634,1540,545.594744
-663.091573,1321,546.548076
-654.975617,1447,547.599672
-909.459349,1808,551.208304
-661.313951,1462,552.254824
-664.337396,1943,553.658863
-662.795823,1678,557.144278
-662.802239,1511,558.229359
-660.645264,1514,561.651753
-409.640423,1530,562.747306
-924.583205,2532,566.880995
-1174.534865,2333,568.55055
-661.807733,1711,572.085203
-668.2309,1734,573.326247
-1162.18904,1728,574.570768
-412.529263,1614,578.022585
-666.391075,2052,579.491625
-915.4475,1744,583.038781
-413.78927,1492,584.11032
-420.126832,1444,587.459428
-664.46428,1367,588.440532
-414.604627,1595,589.584167
-406.754071,1665,593.071072
-167.237471,1676,594.267779
-164.522841,1600,595.414336
