ERewMean,EpLenMean,EpRewE,EpRewMean,EpRewOther,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,entloss,entropy,ev_tdlam_before,meankl,optimgain,surrgain
-17.570255,550.3333333333334,-88.0508605251739,-10754.715,-10666.667,6,6,76.68649744987488,3302,0.0,1.427246,0.00026029348373413086,9.267572e-05,0.0015015176,0.0015015176
-20.964441,558.0714285714286,-102.01923916403872,-13066.304,-12964.286,8,14,81.97767090797424,7813,0.0,1.433777,0.006698310375213623,8.985841e-05,0.0015209331,0.0015209331
-19.750216,542.9545454545455,-100.60771825548568,-12021.06,-11920.454,8,22,87.27405428886414,11945,0.0,1.4400021,0.03984338045120239,9.3639246e-05,0.0014009103,0.0014009103
-19.425222,539.3666666666667,-99.22587314316782,-11349.225,-11250.0,8,30,92.56287574768066,16181,0.0,1.4467932,0.03918159008026123,9.051006e-05,0.0009727292,0.0009727292
-16.822094,504.275,-99.09412430047351,-9436.594,-9337.5,10,40,97.84965538978577,20171,0.0,1.45463,0.18287712335586548,9.129214e-05,0.0009994241,0.0009994241
-14.778021,464.7,-102.62434730159995,-7846.647,-8190.0,11,51,103.16335248947144,24517,0.0,1.4617103,0.0726696252822876,9.158612e-05,0.001385417,0.001385417
-12.770594,437.75,-102.4030086911252,-6188.755,-7480.0,9,60,108.60860180854797,28460,0.0,1.4677175,0.1214553713798523,9.116942e-05,0.001395442,0.001395442
-11.599489,413.2,-101.21026516594804,-5315.615,-6020.0,10,70,113.91794466972351,32709,0.0,1.4707035,0.14654403924942017,9.074283e-05,0.0013493698,0.0013493698
-11.0376215,415.925,-103.31377289127627,-5198.2163,-4795.0,10,80,119.19491863250732,36808,0.0,1.4748951,0.26431387662887573,8.928489e-05,0.0012666753,0.0012666753
-9.038786,395.325,-106.68692591175972,-3923.5735,-4305.0,12,92,124.4953932762146,40713,0.0,1.4784497,0.4044395089149475,8.551071e-05,0.00077061023,0.00077061023
-8.528578,359.95,-104.9650144247749,-3195.259,-3845.0,12,104,129.78263592720032,44820,0.0,1.4847423,0.37720757722854614,9.254606e-05,0.0012749885,0.0012749885
-7.495723,343.375,-106.8817056153951,-2619.6938,-2785.0,12,116,135.07584381103516,48956,0.0,1.4854321,0.4867650866508484,8.978584e-05,0.001380925,0.001380925
-8.196222,327.8,-108.24548579796523,-2840.6106,-2435.0,13,129,140.35070610046387,53069,0.0,1.4909474,0.6125914454460144,8.645961e-05,0.0012768275,0.0012768275
-8.326457,330.075,-108.01390205488515,-2894.5068,-3010.0,12,141,145.621422290802,57137,0.0,1.4948069,0.4877071976661682,9.1880196e-05,0.001343759,0.001343759
-8.007899,322.275,-107.88958759000188,-2739.2612,-2515.0,14,155,150.93017411231995,61330,0.0,1.4970859,0.5720091462135315,9.118563e-05,0.0017109714,0.0017109714
-7.397933,314.35,-107.73017629228916,-2408.647,-2260.0,13,168,156.20137882232666,65271,0.0,1.4990855,0.8257538974285126,8.990613e-05,0.001311687,0.001311687
-6.292264,304.5,-109.86117611685566,-1972.0808,-2190.0,14,182,161.4734489917755,69616,0.0,1.5031328,0.5519299805164337,8.488317e-05,0.0012213271,0.0012213271
-5.734942,297.95,-110.88586215385065,-1705.1633,-1570.0,14,196,166.7545506954193,73545,0.0,1.5045165,0.8216712176799774,7.929423e-05,0.0011971544,0.0011971544
-5.439056,274.75,-115.08183244455954,-1536.9369,-1420.0,16,212,172.0171594619751,77632,0.0,1.5042104,0.8556924164295197,8.199511e-05,0.0011850519,0.0011850519
-4.02889,266.975,-116.96827066986951,-1116.7019,-1140.0,15,227,177.34140825271606,81664,0.0,1.5051079,0.7518920302391052,8.1873266e-05,0.0014743343,0.0014743343
-4.0080223,272.425,-113.65997431956548,-1127.4421,-1015.0,14,241,182.70253801345825,85776,0.0,1.5075074,0.7769306302070618,8.599952e-05,0.0015647642,0.0015647642
-3.8360085,277.525,-113.93353516347251,-1086.4911,-945.0,16,257,188.0666220188141,90058,0.0,1.5061482,0.9066793248057365,6.984627e-05,0.0013244036,0.0013244036
-3.6439598,279.275,-109.72248963697757,-1009.2477,-895.0,14,271,193.43208050727844,94051,0.0,1.5070142,0.9036232307553291,8.132591e-05,0.0015975416,0.0015975416
-3.385343,276.25,-108.90136858252717,-927.61835,-905.0,15,286,198.83906984329224,98275,0.0,1.5097033,0.8874759748578072,7.948886e-05,0.0018196651,0.0018196651
-3.2684364,274.15,-109.23203733038397,-871.27,-755.0,15,301,204.20200562477112,102203,0.0,1.5093583,0.8717321455478668,7.6541895e-05,0.0018960781,0.0018960781
-3.0731647,270.15,-109.23932756994901,-808.896,-715.0,15,316,209.6015350818634,106204,0.0,1.5093194,0.9010098800063133,7.20585e-05,0.0016757087,0.0016757087
-2.945458,268.55,-109.79745727115272,-742.3153,-655.0,16,332,214.973082780838,110564,0.0,1.510564,0.9153842478990555,7.583729e-05,0.001952333,0.001952333
-2.6428611,268.125,-109.12958846049555,-683.8662,-540.0,15,347,220.34231305122375,114525,0.0,1.5099943,0.9275291189551353,7.59212e-05,0.0015960891,0.0015960891
-2.5094643,269.675,-108.055026274031,-645.616,-545.0,15,362,225.67667293548584,118684,0.0,1.5092785,0.9184063225984573,7.359451e-05,0.0015068662,0.0015068662
-1.939724,275.925,-105.13445051619745,-516.1666,-445.0,14,376,231.0597927570343,122641,0.0,1.506776,0.9248934760689735,8.5403095e-05,0.0014492047,0.0014492047
-1.5320637,283.375,-107.49570557892899,-437.49512,-405.0,14,390,258.5001332759857,126663,0.0,1.5045116,0.9312844574451447,8.070942e-05,0.0012950636,0.0012950636
-1.4801432,283.725,-107.00076896084707,-426.14618,-330.0,15,405,263.8221752643585,130838,0.0,1.5031086,0.9189564287662506,6.175866e-05,0.0011944091,0.0011944091
-1.5060644,270.775,-108.84433594494959,-394.65717,-310.0,16,421,269.1850757598877,135053,0.0,1.5013592,0.915759801864624,8.370093e-05,0.0016929288,0.0016929288
-1.3603835,274.0,-105.44239130645761,-360.89044,-250.0,14,435,274.5248899459839,139015,0.0,1.4981842,0.9089973494410515,7.894305e-05,0.00073538406,0.00073538406
-1.2160449,273.9,-103.7489986013326,-327.6177,-240.0,15,450,279.8673257827759,143091,0.0,1.4985348,0.8877254277467728,8.027305e-05,0.0013743094,0.0013743094
-1.1942561,275.8,-101.35841565852752,-333.3059,-195.0,15,465,285.2328999042511,147234,0.0,1.5020753,0.8949678093194962,7.005203e-05,0.0016053495,0.0016053495
-1.1525761,272.45,-103.24965849763707,-315.84128,-225.0,16,481,290.50144028663635,151552,0.0,1.4990069,0.9209478795528412,6.711796e-05,0.0012183154,0.0012183154
-1.038388,274.7,-102.50528620997122,-290.55997,-200.0,14,495,295.93529200553894,155463,0.0,1.4992062,0.9260402098298073,9.011649e-05,0.0014015412,0.0014015412
-1.0557773,273.475,-102.80021352115865,-289.2945,-190.0,16,511,301.2187309265137,159732,0.0,1.4979451,0.9297108352184296,8.478282e-05,0.0018106312,0.0018106312
-0.89434415,270.7,-102.52534260477206,-239.81357,-165.0,15,526,306.49184799194336,163789,0.0,1.4957691,0.9537076987326145,7.423444e-05,0.0011058301,0.0011058301
-0.6795083,267.7,-103.90366392873096,-178.71526,-90.0,15,541,311.7875521183014,167751,0.0,1.4953195,0.9226712062954903,8.525471e-05,0.0013623765,0.0013623765
-0.70766324,267.95,-103.65526612283963,-191.46481,-65.0,15,556,317.04705238342285,171805,0.0,1.4930613,0.9449211284518242,7.720769e-05,0.0018348641,0.0018348641
