# {"t_start": 1566239990.1659892, "env_id": "SignalizedEco-v1"} 
r,l,t
-676.166137,626,2.219712
-1418.988785,732,2.763712
60.324468,496,3.171278
-1195.281138,966,3.903424
-1189.926258,980,4.746475
-3190.384699,1405,5.813689
-669.400056,569,6.24469
-183.267393,753,6.80669
-931.649383,858,7.449071
-190.245155,966,8.182318
72.468217,855,8.833898
-681.039999,949,9.837567
66.003267,731,11.268567
-1185.94276,1235,13.592632
-2199.569843,1525,16.590837
567.665944,1272,18.965411
-2446.056805,1413,21.617589
313.007606,1263,24.00638
-2948.810868,1411,26.631764
-195.639245,1323,29.094614
-675.972769,851,30.672811
-1188.097931,1276,33.025454
76.677069,1042,34.994971
328.177146,852,36.609815
-1184.61891,949,38.388854
-702.196983,1409,41.031506
-694.08755,834,42.585726
-938.335167,1071,44.639054
-194.108263,1365,47.383314
-701.184179,1368,49.939441
-460.075416,1653,53.018689
-461.943001,1465,55.750497
-719.16568,1652,58.847497
-2465.528194,1740,62.082148
-5476.257222,1820,65.471473
-470.981038,1581,68.432266
-206.022391,1457,71.157069
-1961.773742,1696,74.352142
-1436.32073,1404,76.970405
-448.369342,1565,79.915447
-449.715722,1399,82.508483
-938.027216,1313,84.972698
309.57664,1367,87.529255
-929.351097,1280,89.948309
-472.093285,1848,93.409398
43.386887,1867,96.883008
-1441.41753,1822,100.332093
-2219.045816,1907,103.914291
30.809091,1757,107.280886
-720.289879,1809,111.042216
-503.374176,1940,114.668344
-4484.755221,1576,117.628394
-1232.871515,1824,121.242523
-966.572092,1604,124.334658
-203.557243,1741,127.621065
-709.49854,1697,130.832795
-955.104327,1589,133.821137
-204.160238,1445,136.517281
35.356441,1465,139.280852
-458.953302,1462,142.039903
-704.117044,1148,144.203576
301.228387,1092,146.240773
-1209.233127,1416,148.999411
-203.417453,1523,151.872096
-697.358362,1560,154.886014
-694.628713,1447,157.583081
-181.310859,1114,159.69268
-961.300104,1679,162.843284
-696.32845,1772,166.204157
-464.511499,2115,170.299188
-976.394541,2024,174.18787
-942.122136,1597,177.329324
-476.366074,1778,180.727415
39.488174,1906,184.345744
57.950453,1879,187.950935
-2182.486556,1781,191.37802
-1193.707504,1829,194.856791
-918.067268,1426,197.57144
-2920.443692,1648,200.745566
-673.713799,1672,203.973847
559.218348,1682,207.241952
-933.107246,1581,210.312708
70.461082,1646,213.434664
-429.216314,1662,216.583748
817.932758,1505,219.397954
-193.295561,1615,222.453592
55.324847,1677,225.623209
-437.402264,1602,228.668076
-171.03169,1601,231.683643
77.247938,1473,234.459282
331.233894,1522,237.340429
72.477083,1588,240.373501
-414.583854,1615,243.473549
-428.372521,1607,246.524181
-665.432868,1408,249.175304
81.394006,1496,252.262555
-180.251564,1767,255.649212
-687.961957,1856,259.222193
-435.816965,1853,262.74585
54.169833,1947,266.412788
-940.970225,2021,270.236724
-1197.825362,2220,274.454591
-438.123023,1971,278.334749
-197.158534,2134,282.481247
-695.877673,2175,286.685401
-444.859625,2164,290.879655
-685.353205,2058,294.883262
54.491387,2216,299.192247
-442.420659,2268,303.588404
-175.390599,2292,308.004564
99.108721,1478,310.874481
-174.727019,2359,315.463109
-702.846908,2822,320.913861
-1453.753239,2644,326.038983
-442.78489,2588,331.053993
55.312027,2549,336.000636
-925.884519,2368,340.5794
72.075047,2139,344.832949
-687.667918,2600,349.866388
-461.599962,2750,355.215044
-2462.531153,2960,360.922303
-964.154816,2744,366.251101
44.945312,2596,371.387764
-231.099824,2372,376.091561
-469.338255,2220,380.480163
-693.641231,2320,385.075728
-417.777172,2460,389.926022
-2136.539821,2336,394.514956
-412.692577,2173,398.78579
-171.643739,2296,403.238876
-425.457418,2353,407.795866
-690.006951,2422,412.477582
-641.800825,1962,416.265982
-408.493369,2258,420.653422
-905.22,2205,424.941795
100.851082,2084,429.066483
-5681.963962,2100,433.133554
-176.683722,2118,437.214113
-664.943553,1868,440.813376
-14678.696725,2112,444.887034
-178.732166,2260,449.255769
-164.136986,1313,451.788975
-8903.803725,1090,453.901588
-3368.388057,945,455.705637
-120.086323,865,457.383258
-124.945974,1044,459.391333
