# {"t_start": 1566347057.202005, "env_id": "SignalizedEco-v0"} 
r,l,t
-29132,941,71.027643
-11464,607,71.530173
-6914,582,71.943705
-22240,745,72.485704
-23002,1001,73.212292
-6772,386,73.499294
-9128,439,73.817293
-14508,754,74.351293
-5378,439,74.661351
-2158,329,78.353036
-2546,398,78.63704
-13576,788,79.201095
-4528,389,79.479094
-8618,434,79.790093
-4308,404,80.077095
-3176,463,80.409095
-30002,1001,81.126151
-6416,458,81.453151
-26754,627,84.719782
-6768,384,84.993782
-6366,433,85.29978
-5282,391,85.576839
-2090,295,85.789838
-6946,473,86.124839
-2188,344,86.368364
-2032,391,86.645367
-9018,509,87.010895
-13826,413,87.303952
-5964,607,87.736009
-16170,835,88.335065
-8632,316,91.356021
-28714,732,91.87908
-10162,581,92.297611
-10398,449,92.617611
-1420,335,92.866611
-14604,552,93.267611
-6694,597,93.692611
-21014,882,94.320668
-2166,333,94.557669
-3850,550,97.74787
-2216,358,98.003872
-2344,297,98.215872
-14608,554,98.609872
-22088,794,99.179402
-4508,504,99.536402
-3372,311,99.761932
-962,356,100.015931
-3048,274,100.210931
-2098,424,100.511986
-2796,273,100.703985
-10812,406,100.992985
-8236,368,101.254985
-4608,304,104.314577
-2376,438,104.628108
-3222,486,104.977109
-1710,355,105.231109
-17228,739,105.760168
-1434,342,106.004699
-6570,410,106.298697
-12520,510,106.661699
-2620,310,106.88375
-5368,434,107.194811
-944,347,107.444811
-10736,618,110.697503
-2234,367,110.958502
-4538,394,111.240503
-13372,561,111.64256
-10524,762,112.193092
-1698,474,112.531623
-1410,455,112.85715
-3164,332,113.093151
-8248,374,113.368149
-1100,300,113.588151
-6638,569,114.011149
-4066,283,114.215149
-800,400,117.310294
-2368,434,117.619295
-4126,563,118.026295
-1812,281,118.228824
-1252,376,118.495826
-2968,359,118.755826
-3836,293,118.966827
-3228,364,119.228826
-3210,355,119.482824
-1460,355,119.737826
-5116,433,120.047826
-3616,433,120.357824
-7284,392,120.637355
-2700,350,123.711449
-2362,306,123.940511
-1576,288,124.147511
-10264,382,124.41951
-3106,428,124.724511
-1674,337,124.964037
-1168,334,125.208038
-4320,410,125.501566
-8166,458,125.827568
-5702,351,126.078568
-608,304,126.296098
-2860,305,126.514096
-2696,348,126.765096
-1740,370,127.02916
-4630,315,127.25416
-2368,309,130.274761
-928,339,130.516288
-2306,403,130.803289
-3020,385,131.07882
-1500,375,131.34782
-2686,343,131.592818
