ERewMean,EpLenMean,EpRewE,EpRewMean,EpRewOther,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,entloss,entropy,ev_tdlam_before,meankl,optimgain,surrgain
-19.178265,619.125,-95.28622972017527,-12425.75,-12330.464,8,8,74.11259460449219,4953,0.0,1.4236921,-0.00024318695068359375,9.358533e-05,0.001269848,0.001269848
-16.271282,565.7058823529412,-97.58268968105243,-10278.471,-10180.89,9,17,80.59233617782593,9617,0.0,1.4288905,0.014536619186401367,9.242781e-05,0.0012180964,0.0012180964
-16.511364,528.2413793103449,-103.07887087562861,-9590.966,-9487.888,12,29,87.03457951545715,15319,0.0,1.433961,0.05115079879760742,9.126713e-05,0.0011791667,0.0011791667
-17.322617,528.8421052631579,-104.73508445228454,-10051.105,-9946.37,9,38,93.50490260124207,20096,0.0,1.4386123,0.04727184772491455,9.099431e-05,0.0012611209,0.0012611209
-16.193293,477.425,-104.14365050982332,-8629.85,-8924.177,13,51,99.99713563919067,25565,0.0,1.4444104,0.11086612939834595,9.1127724e-05,0.0011540232,0.0011540232
-14.569722,462.325,-106.08948591313013,-7487.15,-7879.232,11,62,106.47506070137024,30240,0.0,1.4486213,0.17441999912261963,9.314306e-05,0.0013397166,0.0013397166
-12.633007,449.925,-103.59884252389531,-6293.6,-7058.002,12,74,112.97880625724792,35729,0.0,1.4532462,0.2780364751815796,9.264499e-05,0.0012076308,0.0012076308
-10.878309,416.825,-102.51383405857543,-4783.65,-4907.647,13,87,119.45600748062134,40767,0.0,1.4586635,0.44255930185317993,8.548894e-05,0.0010731949,0.0010731949
-9.847881,395.325,-101.24477045129197,-4059.4,-4226.115,15,102,125.94831776618958,46053,0.0,1.4651014,0.3875436782836914,8.906941e-05,0.0010560428,0.0010560428
-8.439879,363.95,-102.02803826367659,-3109.15,-3185.6123,14,116,132.4281108379364,51121,0.0,1.4709607,0.646097868680954,8.019551e-05,0.0008656106,0.0008656106
-7.887086,349.85,-102.73212357879098,-2793.45,-2948.348,15,131,139.23390007019043,56087,0.0,1.4760876,0.6392329633235931,9.026516e-05,0.0009938779,0.0009938779
-7.412993,332.525,-105.50458681474493,-2502.55,-2349.6555,16,147,146.43881702423096,61165,0.0,1.4797984,0.6521836519241333,8.888781e-05,0.0008886115,0.0008886115
-6.9626756,314.55,-108.65094905801723,-2272.85,-2170.789,17,164,153.06224870681763,66326,0.0,1.4862221,0.6943890750408173,9.3822346e-05,0.0011443804,0.0011443804
-7.6429214,314.725,-111.37062380630888,-2491.95,-2269.6694,16,180,159.51049089431763,71441,0.0,1.492111,0.6758453547954559,9.364963e-05,0.001176615,0.001176615
-7.471811,298.25,-115.30650481109863,-2277.75,-2192.2537,18,198,166.3330042362213,76580,0.0,1.4950593,0.7432892024517059,9.5653886e-05,0.0012072766,0.0012072766
-7.0118103,296.075,-117.4493195651647,-2042.15,-2120.5505,17,215,173.31133818626404,81728,0.0,1.4987801,0.7791900038719177,9.0486996e-05,0.0011169957,0.0011169957
-6.169706,291.7,-117.58564914076322,-1789.65,-1756.5342,19,234,180.3291358947754,86937,0.0,1.5016601,0.8249088674783707,9.307442e-05,0.0011462497,0.0011462497
-6.0551124,279.525,-116.54279611606236,-1709.05,-1666.737,18,252,186.97244548797607,92038,0.0,1.5021971,0.8850217759609222,9.56808e-05,0.0014207915,0.0014207915
-5.662886,272.6,-117.43251569987704,-1532.7,-1423.6874,20,272,193.56770420074463,97260,0.0,1.5028696,0.8750476688146591,9.118374e-05,0.0014325816,0.0014325816
-5.962376,264.925,-122.64389395029266,-1573.6,-1407.3159,19,291,200.18158602714539,102346,0.0,1.506881,0.8702889084815979,8.347419e-05,0.001146352,0.001146352
-5.601786,258.125,-125.3655124521866,-1466.25,-1351.5144,20,311,206.7399160861969,107328,0.0,1.5059044,0.8876678571105003,8.715119e-05,0.0015717642,0.0015717642
-5.503148,249.625,-126.85459794177605,-1368.0,-1226.9454,21,332,213.28675627708435,112561,0.0,1.5088022,0.92656609416008,8.699733e-05,0.0014022108,0.0014022108
-5.1556816,249.375,-128.17530670777384,-1267.5,-1178.9849,20,352,219.90229439735413,117546,0.0,1.5075524,0.9166827723383904,8.169767e-05,0.0012655914,0.0012655914
-5.004017,248.5,-125.59749864936785,-1228.25,-1145.6427,21,373,226.71082663536072,122800,0.0,1.5088539,0.9194237217307091,7.712257e-05,0.0020718372,0.0020718372
-4.197274,252.4,-123.3754692768658,-1042.3,-946.1046,20,393,233.3596794605255,127930,0.0,1.5094764,0.9176376834511757,7.7584795e-05,0.0015447884,0.0015447884
-3.7060623,254.275,-124.79316519851382,-933.55,-853.2868,20,413,239.94720005989075,132971,0.0,1.5078695,0.9267289787530899,7.776392e-05,0.0014222017,0.0014222017
-3.8976433,255.575,-122.79266379209321,-986.15,-872.0873,20,433,246.88446068763733,138153,0.0,1.5089241,0.9417764768004417,8.08726e-05,0.0016598112,0.0016598112
-3.306953,258.775,-118.80568969088328,-848.8,-791.51416,20,453,253.25530624389648,143322,0.0,1.5086671,0.9320487901568413,8.326414e-05,0.0014720656,0.0014720656
-3.098056,254.975,-120.00894574873712,-778.7,-677.991,20,473,259.6104881763458,148352,0.0,1.5089598,0.9466303214430809,8.3559986e-05,0.001286795,0.001286795
-3.244597,253.35,-121.86348746465785,-806.7,-674.1765,20,493,265.95422530174255,153456,0.0,1.507076,0.9487696401774883,6.950866e-05,0.0009973184,0.0009973184
-3.3993332,259.05,-122.41868863548255,-880.6,-709.10126,20,513,289.0446946620941,158714,0.0,1.5055703,0.9196755588054657,7.835083e-05,0.0014656686,0.0014656686
-3.2094827,260.2,-122.12185179655063,-845.4,-724.55804,19,532,295.38229393959045,163605,0.0,1.5061678,0.9394253045320511,8.684296e-05,0.0013059035,0.0013059035
-3.034444,256.05,-120.357445150143,-780.85,-709.1225,21,553,301.70845437049866,168956,0.0,1.5034668,0.9527061954140663,8.400504e-05,0.0016192887,0.0016192887
