# {"t_start": 1566345521.7641075, "env_id": "SignalizedEco-v0"} 
r,l,t
-6932,591,4.686704
-620,435,5.027222
-2324,662,5.535271
-1388,319,5.786272
-3262,756,6.370307
-8066,908,7.029312
-1286,518,7.402825
-10140,820,7.995861
-1678,714,12.088457
-736,368,12.367412
-2186,343,12.618413
-6112,806,13.206411
-4564,782,13.782447
-2088,669,14.265482
-1032,391,14.549999
-822,286,14.755001
-3540,645,15.220001
-1438,344,18.367116
-722,361,18.626114
-5862,806,19.209632
-5654,702,19.711672
-1690,470,20.059766
-4266,633,20.523791
-3026,263,20.71579
-1430,590,21.15279
-4464,482,21.506792
-3204,477,21.84979
-1732,616,25.225475
-4024,387,25.526473
-4642,571,25.965475
-6394,447,26.299992
-3202,601,26.783991
-1350,425,27.109991
-508,254,27.302994
-9958,604,27.759559
-12010,755,28.333551
-748,374,28.61355
-4242,621,32.005138
-1488,369,32.312139
-9982,866,33.040188
-528,264,33.263187
-5750,625,33.793189
-2464,482,34.228711
-2258,379,34.529711
-1762,506,34.89571
-3578,539,35.293231
-5062,531,35.704273
-6634,567,39.050449
-1796,523,39.441451
-6424,587,39.872447
-3376,438,40.215494
-3794,522,40.626493
-718,234,40.802494
-3420,460,41.144011
-3382,316,41.376526
-968,484,41.738526
-1328,414,42.043526
-982,366,42.308526
-8250,750,45.809638
-4986,493,46.16969
-1866,308,46.393691
-1614,432,46.708733
-512,381,46.990733
-696,348,47.251734
-1114,432,47.564735
-1166,333,47.80826
-982,366,48.079294
-4882,691,48.617297
-1272,386,48.947296
-2638,444,49.320296
-3278,514,52.651403
16,242,52.8334
-3222,486,53.203402
-854,302,53.431399
-1808,404,53.742399
-836,418,54.0604
-1036,393,54.358399
-792,271,54.552404
-834,417,54.853401
-1526,388,55.143926
-4556,528,55.532924
-1502,376,55.824925
-4946,473,56.179442
-2548,399,59.428651
-1380,440,59.755687
-3162,456,60.099689
-5348,674,60.590245
-1858,304,60.817241
-1144,447,61.158244
-4050,400,61.480777
-1416,333,61.728771
-430,340,61.988772
-548,274,62.199775
-1314,407,62.513772
26,237,62.695771
-688,219,62.855293
-1218,359,66.202609
-1798,524,66.595132
-814,282,66.811129
-954,352,67.081644
-5556,653,67.57565
-538,269,67.776643
-4438,469,68.116643
-974,362,68.378643
-716,358,68.635162
-1158,329,68.873163
-3258,379,69.146161
6,247,69.330163
-2952,476,69.704162
-1258,379,72.965332
-1528,389,73.254334
-1018,384,73.53037
-1400,325,73.777155
-206,353,74.037675
-1162,206,74.194675
-1486,368,74.470195
-1090,420,74.780195
-1144,322,75.018196
-1326,288,75.234717
-1178,464,75.597718
-1358,304,75.820718
-800,400,76.113717
-904,452,76.479255
-638,319,76.749251
-722,361,80.429454
-2222,486,80.777973
-4454,477,81.118975
-1578,289,81.328972
-3274,387,81.607972
-3796,398,81.90449
-1348,424,82.218493
-1182,341,82.475491
-262,256,82.666492
-1432,341,82.927492
-1220,360,83.193491
-790,270,83.392013
-1990,495,83.764011
-230,240,83.95401
-2696,473,87.199181
-1552,401,87.491179
-448,224,87.651179
-1938,344,87.903177
-3604,427,88.219181
8,246,88.401178
-2796,398,88.685178
-1320,285,88.889697
-3186,343,89.134696
-230,240,89.310697
-1016,383,89.587732
-748,374,89.862731
-476,238,90.036733
-1712,356,90.301732
-954,477,90.655731
-454,227,93.777388
-1376,313,94.014388
-2070,410,94.332909
-654,327,94.57291
-2916,333,94.831913
-678,339,95.084912
-274,262,95.28196
-546,273,95.480958
-492,246,95.656474
-252,251,95.836474
-1522,261,96.025474
-800,275,96.226477
-2322,286,96.430992
-966,233,96.608993
-244,247,96.80299
-886,318,97.048039
-542,271,97.250038
-478,364,100.448111
-914,332,100.68511
-938,219,100.842109
-1012,381,101.113622
-2844,422,101.419626
-296,273,101.614659
-222,236,101.782659
-1136,318,102.012659
-848,299,102.230661
-568,284,102.436176
-1340,295,102.647177
-490,245,102.820698
-874,312,103.045699
-1852,301,103.259698
-1282,266,103.464702
-558,279,103.666214
-1730,365,103.930214
-6702,601,107.740342
-280,265,107.951867
-680,215,108.115866
-2022,261,108.309867
-1312,281,108.517871
-1156,328,108.756866
-706,228,108.923866
-256,253,109.116867
-470,235,109.296387
-3284,392,109.577386
-456,228,109.740385
-1064,282,109.944389
-476,238,110.116392
-252,251,110.295917
-974,362,110.553917
-1408,204,110.699961
-696,223,110.862965
-2968,359,111.122961
-1430,340,114.295012
-1334,292,114.563011
-878,314,114.80653
-550,275,115.013531
-1198,349,115.279054
-674,212,115.455055
-1086,293,115.678055
-986,243,115.861053
-1172,336,116.112056
-936,343,116.372055
-1384,317,116.618053
-3856,303,116.834573
-3282,391,117.168576
-1320,285,117.393622
-270,260,117.61062
-1058,279,117.820659
-2612,306,118.047656
-786,268,121.195852
-760,255,121.383368
-950,225,121.544367
-758,254,121.727368
-220,235,121.89637
-262,256,122.086369
-2338,294,122.297367
-976,238,122.469367
-318,284,122.673368
-2442,346,122.922369
-520,260,123.120367
-1582,291,123.337885
-1986,368,123.608885
-50,275,123.809888
-1310,280,124.015885
-1360,305,124.242409
-522,261,124.438409
-434,342,124.685446
-294,272,127.839078
-438,219,128.005078
-1398,324,128.243594
-1172,211,128.402596
-1092,296,128.623595
-622,311,128.849596
-480,240,129.026594
-1062,281,129.236594
-1184,217,129.398594
16,242,129.576594
-530,265,129.767637
-282,266,129.958635
-1068,284,130.163673
-514,257,130.34967
-1178,214,130.504188
-576,288,130.714349
-1066,283,130.918233
-1252,376,131.194708
-928,214,131.352708
-526,263,134.421807
-1396,323,134.656808
-616,308,134.889333
-2030,265,135.100334
-1168,209,135.262857
-250,250,135.458856
-1140,320,135.704897
-1348,299,135.939898
-476,238,136.131898
-302,276,136.339897
-1870,435,136.668422
-250,250,136.86442
-942,346,137.132419
-230,240,137.314944
-1380,190,137.451943
-920,335,137.695943
-944,222,137.855978
-942,221,138.023979
-958,229,138.207981
-530,265,141.372669
-696,223,141.534669
-36,268,141.725669
-952,351,141.976707
-1082,291,142.186707
-1104,302,142.409707
-836,293,142.628709
-732,241,142.815752
-1178,339,143.079751
-868,309,143.326272
-2616,308,143.565273
-702,351,143.840336
-1874,312,144.101335
-646,323,144.376335
-1346,298,144.622381
-2606,303,144.860382
-462,231,145.044379
-1402,201,145.200427
-1078,289,148.489383
-964,357,148.789456
-514,257,149.009459
-1090,295,149.254456
-236,243,149.450992
-310,280,149.720992
-678,214,149.926989
-1090,295,150.160521
-734,242,150.346523
-250,250,150.530519
-702,226,150.699523
-728,239,150.877576
-508,254,151.069573
-2912,331,151.313577
-1092,296,151.54361
-828,289,151.761612
-834,292,151.980612
-686,218,152.164612
-1210,230,152.345611
-1608,304,155.558272
-508,254,155.743268
-1020,260,155.941267
-228,239,156.12027
-816,283,156.345269
2,249,156.550272
-908,204,156.72027
-1404,202,156.884268
-516,258,157.077788
-548,274,157.281045
-1352,301,157.52205
-900,200,157.682049
-252,251,157.879046
-256,253,158.064045
-866,183,158.199048
-820,285,158.441049
-1376,313,158.68205
-1190,220,158.858051
-1404,327,159.102112
-924,212,159.262111
-224,237,162.586465
-1192,221,162.746466
-530,265,162.937464
-500,250,163.129473
-550,275,163.334469
-506,253,163.523466
-254,252,163.70747
-738,244,163.886465
-1062,281,164.094123
-294,272,164.321119
-714,232,164.51412
-240,245,164.703119
-952,226,164.87312
-880,190,165.021123
-470,235,165.201118
-690,220,165.381124
-944,222,165.553655
-270,260,165.754651
-716,233,165.931654
-682,216,166.094652
-532,266,166.288183
-1310,280,169.430818
-760,255,169.626817
-706,228,169.802828
-550,275,170.010828
-238,244,170.193862
-1410,205,170.355865
-304,277,170.566393
-1364,182,170.700391
-298,274,170.909393
-550,275,171.109429
-278,264,171.308955
-2094,297,171.534952
-492,246,171.714952
22,239,171.897013
-738,244,172.074013
-1192,221,172.241014
-936,218,172.424016
-932,216,172.604014
-1408,204,172.770014
-1234,242,172.965014
-234,242,173.147012
-960,230,176.261095
-510,255,176.449129
-966,233,176.618126
-962,231,176.790125
-716,233,176.964125
-516,258,177.157647
-494,247,177.34417
-768,259,177.545166
-974,237,177.72417
-932,216,177.895227
-706,228,178.067228
6,247,178.267301
-732,241,178.463259
-704,227,178.635301
-256,253,178.8223
-252,251,179.0053
-918,209,179.156301
-300,275,179.354302
-964,232,179.528301
-1108,179,179.657302
-1206,228,179.8233
-230,240,180.0003
-836,293,183.217543
-742,246,183.396543
-546,273,183.596542
-816,283,183.806059
-1106,303,184.024056
-758,254,184.207571
