ERewMean,EpLenMean,EpRewE,EpRewMean,EpRewOther,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,entloss,entropy,ev_tdlam_before,meankl,optimgain,surrgain
-6.132848,626.125,-1002.5358403233132,-4252.25,-3249.7173,8,8,7.496232986450195,5009,0.0,1.4248649,-0.0002104043960571289,8.926004e-05,0.0009311869,0.0009311869
-5.136971,589.0,-1010.083121043604,-3339.7646,-2329.6838,9,17,14.127936840057373,10013,0.0,1.4300063,0.09589558839797974,8.6484055e-05,0.0010714646,0.0010714646
-5.5214343,560.7777777777778,-1043.197595294417,-3278.963,-2235.7664,10,27,20.760294914245605,15141,0.0,1.4367225,0.1378914713859558,8.448479e-05,0.0009888945,0.0009888945
-6.2059593,545.2702702702703,-1076.1692758706317,-3597.2974,-2521.129,10,37,27.58795952796936,20175,0.0,1.4447466,0.15341931581497192,9.076395e-05,0.0013992803,0.0013992803
-6.4309187,529.2,-1068.7600758548979,-3658.4,-2552.8154,10,47,34.65526795387268,25357,0.0,1.4497678,0.3012666702270508,8.919177e-05,0.001205843,0.001205843
-6.8143845,497.775,-1087.4537269164803,-3620.55,-2292.907,11,58,41.431455850601196,30268,0.0,1.4564811,0.3413045406341553,9.2171555e-05,0.0010757193,0.0010757193
-6.324583,472.925,-1097.446652958686,-3352.1,-2266.8735,12,70,48.25922179222107,35632,0.0,1.4641732,0.4961814284324646,9.0954185e-05,0.00096679863,0.00096679863
-5.297363,436.05,-1105.358740577164,-2515.85,-1860.8813,13,83,55.06994009017944,40844,0.0,1.4682132,0.4919837713241577,8.694072e-05,0.0012317464,0.0012317464
-4.4747095,407.15,-1116.713494776539,-2033.05,-1221.2064,13,96,62.00742793083191,45774,0.0,1.4708871,0.5928570032119751,8.207608e-05,0.0010796158,0.0010796158
-4.3774467,391.125,-1130.3526650188812,-1901.0,-772.24725,13,109,68.80115509033203,50833,0.0,1.4751586,0.6234298348426819,8.753734e-05,0.0009161597,0.0009161597
-3.8545303,374.075,-1149.0956371623658,-1554.4,-502.1044,15,124,76.09727549552917,56206,0.0,1.4800546,0.8533340394496918,7.404921e-05,0.00061835104,0.00061835104
-3.9826884,366.85,-1161.2832330534166,-1558.7,-337.27676,14,138,82.771000623703,61331,0.0,1.4847443,0.7121085524559021,9.056871e-05,0.00079895335,0.00079895335
-3.9381645,355.75,-1184.8342641142478,-1461.5,-269.48572,15,153,89.46715259552002,66540,0.0,1.4875448,0.7287307381629944,9.365451e-05,0.00072870625,0.00072870625
-3.5292382,320.2,-1220.3342083295097,-1202.9,-136.90575,17,170,96.22293138504028,71412,0.0,1.4925059,0.8370001018047333,9.438094e-05,0.0010376461,0.0010376461
-3.1671205,303.275,-1257.498484330583,-987.8,112.018425,17,187,103.29016041755676,76603,0.0,1.4957123,0.7508376091718674,9.129214e-05,0.0010497031,0.0010497031
-3.7207026,293.8,-1299.3896943124403,-1187.6,145.22969,18,205,109.9668300151825,81809,0.0,1.4990838,0.7909675240516663,8.189252e-05,0.00086337206,0.00086337206
-4.3429055,296.675,-1283.2740239719321,-1387.1,-20.28596,17,222,116.91467237472534,86947,0.0,1.5012808,0.8358393460512161,9.0582704e-05,0.0010359932,0.0010359932
-4.0091043,289.35,-1297.1329504341202,-1197.45,115.132835,18,240,123.61290216445923,91984,0.0,1.5039794,0.9011330679059029,9.4910894e-05,0.0011577646,0.0011577646
-3.291635,273.55,-1274.3139294540474,-915.85,223.75378,19,259,130.2466299533844,97044,0.0,1.5058463,0.9401508830487728,8.223668e-05,0.0011218789,0.0011218789
-3.1564865,272.05,-1282.5512927229506,-844.1,349.63123,19,278,137.12449145317078,102263,0.0,1.5029296,0.9184860810637474,8.620105e-05,0.0008673901,0.0008673901
-3.6241188,282.525,-1281.9605416160177,-1015.05,332.7605,18,296,144.1192033290863,107472,0.0,1.5028653,0.8958224207162857,9.5533476e-05,0.0010378177,0.0010378177
-3.5168586,274.45,-1280.1467916392546,-973.9,323.8667,19,315,151.2345712184906,112569,0.0,1.503434,0.9114337116479874,8.285486e-05,0.001256652,0.001256652
-3.359012,259.25,-1293.9842012457113,-868.5,338.5841,20,335,158.34329175949097,117641,0.0,1.5022011,0.9212759509682655,8.557048e-05,0.001197104,0.001197104
-2.925459,246.575,-1332.2702970647404,-705.65,545.5902,21,356,165.17363810539246,122736,0.0,1.503187,0.9398565925657749,7.662022e-05,0.0009673857,0.0009673857
-3.0186515,244.125,-1317.7371741834086,-713.25,577.0572,21,377,172.03491067886353,127864,0.0,1.5047647,0.9265600964426994,7.5760974e-05,0.0006617458,0.0006617458
-3.1947296,239.35,-1325.5807356813925,-734.95,596.0207,22,399,178.88232374191284,133073,0.0,1.5043324,0.9586594328284264,9.418946e-05,0.0013765402,0.0013765402
-3.1172147,244.975,-1283.3129208068206,-739.95,528.9129,20,419,185.60204339027405,138148,0.0,1.5020304,0.9387331679463387,8.988229e-05,0.0015518315,0.0015518315
-3.1975098,254.1,-1279.7666181999166,-801.95,504.8066,20,439,192.53173780441284,143237,0.0,1.5000485,0.9330106601119041,8.014885e-05,0.00058571796,0.00058571796
-2.9794528,248.35,-1312.355683068434,-727.95,552.7556,21,460,199.47892093658447,148383,0.0,1.4971926,0.953407172113657,8.938861e-05,0.0015466524,0.0015466524
-2.717216,253.875,-1308.466560528973,-676.5,633.9065,19,479,206.3565158843994,153392,0.0,1.4927366,0.9367737844586372,7.510682e-05,0.0006924102,0.0006924102
-2.5801644,265.125,-1284.6205977906345,-680.25,604.58057,19,498,232.32483768463135,158496,0.0,1.4895152,0.9317533820867538,8.2523315e-05,0.0010234367,0.0010234367
-2.3954837,263.575,-1315.3812097096923,-633.4,697.7012,20,518,239.11446404457092,163588,0.0,1.4886924,0.9504741467535496,8.5970605e-05,0.0009997038,0.0009997038
-2.4429274,255.725,-1285.4790947216436,-623.95,661.8791,20,538,245.8373339176178,168725,0.0,1.4892733,0.9565764553844929,8.312288e-05,0.00076626614,0.00076626614
-2.2677925,254.525,-1272.5752042540023,-571.55,703.9352,21,559,252.72259616851807,174029,0.0,1.492921,0.9470375962555408,8.23471e-05,0.000738085,0.000738085
-2.0487475,252.725,-1271.0575787058149,-511.7,737.49756,20,579,259.5464324951172,179076,0.0,1.4904134,0.9451420120894909,6.79721e-05,0.0008133713,0.0008133713
-2.103191,248.15,-1341.6469597941966,-508.8,845.88696,21,600,266.73844146728516,184190,0.0,1.4931763,0.9374659210443497,7.647064e-05,0.00088127906,0.00088127906
-2.2852442,246.575,-1363.073792772086,-549.4,820.83374,21,621,273.5307161808014,189409,0.0,1.4954834,0.9389059655368328,8.5932494e-05,0.0011619505,0.0011619505
-1.993273,250.525,-1337.0957841649679,-494.8,839.0557,20,641,280.37298560142517,194441,0.0,1.4984589,0.950004767626524,9.089198e-05,0.0011646867,0.0011646867
-1.9011052,256.2,-1317.075371429252,-487.4,805.99536,19,660,287.27425265312195,199416,0.0,1.4965199,0.9510638825595379,8.03641e-05,0.0007957736,0.0007957736
-1.983131,260.05,-1319.107980419282,-520.1,814.66797,20,680,294.0366141796112,204587,0.0,1.4950571,0.9505577124655247,7.336996e-05,0.000840081,0.000840081
-1.7507511,256.1,-1322.0684574494737,-449.7,859.78845,20,700,300.8147552013397,209660,0.0,1.4930295,0.9555181413888931,9.139061e-05,0.0010823611,0.0010823611
-1.7495638,255.475,-1328.7620682584582,-448.45,856.562,20,720,307.80357837677,214806,0.0,1.4945801,0.9423730485141277,8.98033e-05,0.0013333742,0.0013333742
-1.9006735,254.275,-1374.5593040460467,-489.8,883.99927,21,741,314.8963418006897,220110,0.0,1.4944943,0.9484771862626076,8.030825e-05,0.0012510761,0.0012510761
-1.8817803,252.625,-1400.8592428927504,-480.25,923.9392,20,761,322.01778411865234,225160,0.0,1.4927367,0.9541706889867783,7.754231e-05,0.0014495067,0.0014495067
-1.5704522,251.85,-1396.7067074778597,-397.45,981.1067,20,781,328.88251852989197,230184,0.0,1.4962118,0.9624360017478466,8.06373e-05,0.0009398257,0.0009398257
-1.5505383,250.525,-1376.9416054310173,-388.55,995.7816,21,802,335.70983958244324,235429,0.0,1.4938934,0.9618144072592258,7.918048e-05,0.0009846961,0.0009846961
-1.8938189,244.85,-1408.5196925571654,-458.45,986.27966,21,823,342.40353441238403,240480,0.0,1.4905522,0.9489769153296947,7.833964e-05,0.0011345451,0.0011345451
-1.7116249,243.675,-1431.028207452412,-412.35,991.58813,21,844,349.0886826515198,245644,0.0,1.4918826,0.9531666114926338,5.5236673e-05,0.0007723098,0.0007723098
-1.5176077,248.025,-1409.4217237933462,-377.3,1016.4218,20,864,355.7673616409302,250645,0.0,1.4903728,0.9582290500402451,7.834518e-05,0.0011342091,0.0011342091
-1.5745761,248.675,-1404.8246378051906,-391.1,1029.4646,21,885,362.480099439621,255837,0.0,1.489562,0.9596823379397392,6.179368e-05,0.0007362583,0.0007362583
-1.475832,247.6,-1409.1431007527335,-363.95,1041.943,21,906,369.2952699661255,261037,0.0,1.484484,0.9634437002241611,8.6552e-05,0.00089230866,0.00089230866
-1.2709804,247.55,-1442.2648166329218,-313.85,1122.3048,21,927,376.2066168785095,266213,0.0,1.4829581,0.9638093300163746,7.124973e-05,0.0009885915,0.0009885915
-1.4604833,245.4,-1448.3076676741716,-353.3,1110.8677,20,947,382.9673488140106,271115,0.0,1.4825441,0.9608343243598938,9.4359835e-05,0.0014379069,0.0014379069
-1.5059588,245.125,-1447.781405109106,-365.25,1103.6215,21,968,389.69204211235046,276262,0.0,1.481857,0.959999967366457,8.988407e-05,0.0010979442,0.0010979442
-1.3457309,246.175,-1462.925668334004,-329.85,1122.3257,21,989,396.5998260974884,281455,0.0,1.4786854,0.9604613110423088,6.6423636e-05,0.0011445069,0.0011445069
-1.3149271,248.75,-1473.2863463629205,-328.75,1141.8864,21,1010,403.31854462623596,286695,0.0,1.4779092,0.9565272927284241,7.866216e-05,0.0013432561,0.0013432561
-1.2366896,248.4,-1486.491681214151,-309.3,1158.5717,20,1030,410.1482832431793,291663,0.0,1.4776455,0.9599422588944435,6.854626e-05,0.0008948232,0.0008948232
-1.2690566,247.5,-1496.042174884067,-313.75,1186.3221,21,1051,417.0821781158447,296828,0.0,1.473007,0.9564260616898537,8.302685e-05,0.00071746594,0.00071746594
-1.3472221,245.925,-1485.3642730469362,-329.35,1184.3242,21,1072,423.83138513565063,301974,0.0,1.4745609,0.9744199048727751,5.3050557e-05,0.00086438266,0.00086438266
-1.1149786,247.275,-1470.049380169016,-275.8,1176.3293,20,1092,430.51356863975525,306961,0.0,1.4725333,0.9664443880319595,8.1946186e-05,0.0007085629,0.0007085629
-1.2340419,253.55,-1501.1598648470056,-325.85,1182.32,20,1112,454.3055601119995,312116,0.0,1.4698652,0.9594769440591335,7.350667e-05,0.0009136606,0.0009136606
-1.3497391,246.675,-1496.582769180117,-330.85,1173.5028,21,1133,461.0562119483948,317301,0.0,1.4695302,0.9683074541389942,7.069224e-05,0.00087127055,0.00087127055
-1.1228714,248.175,-1489.1867268840754,-277.6,1184.3867,21,1154,467.7669858932495,322508,0.0,1.4681264,0.968304343521595,6.7616595e-05,0.0010218092,0.0010218092
-1.3027468,247.925,-1488.3368732525862,-320.85,1186.6569,20,1174,474.8181960582733,327462,0.0,1.4657013,0.9592972621321678,6.807545e-05,0.0011865342,0.0011865342
-1.427263,247.55,-1492.4738300896697,-351.35,1148.2339,21,1195,481.647185087204,332648,0.0,1.4629968,0.9673761986196041,6.794171e-05,0.0011699648,0.0011699648
-1.1962059,247.625,-1481.740749512646,-295.25,1158.7407,21,1216,488.6480026245117,337858,0.0,1.4644166,0.9664512015879154,5.143449e-05,0.0008366367,0.0008366367
-0.682137,247.225,-1496.1129014387154,-169.45,1301.793,21,1237,495.36378812789917,343039,0.0,1.4641073,0.9701348729431629,8.241182e-05,0.0011401589,0.0011401589
-0.65709543,248.85,-1488.7222994788667,-166.45,1312.4023,20,1257,502.4725568294525,348063,0.0,1.4626464,0.9613968022167683,8.6900254e-05,0.0014200418,0.0014200418
-0.70748127,249.1,-1493.1953098618897,-179.45,1341.3553,21,1278,509.1773626804352,353251,0.0,1.46167,0.9743697084486485,8.821736e-05,0.0011534389,0.0011534389
-0.55242074,246.15,-1508.7845616262719,-136.05,1348.7444,21,1299,515.8730750083923,358399,0.0,1.4589846,0.9620190337300301,7.1691604e-05,0.0009716706,0.0009716706
-0.681017,245.45,-1509.515164005192,-165.9,1348.635,20,1319,522.4633867740631,363309,0.0,1.4567913,0.9721865020692348,7.138467e-05,0.00074601034,0.00074601034
-0.657951,246.05,-1508.0412648727513,-160.85,1342.2812,21,1340,529.125629901886,368490,0.0,1.4557052,0.9636380933225155,7.376283e-05,0.0010878944,0.0010878944
-0.7807194,245.0,-1536.5207525360106,-190.0,1351.7607,21,1361,536.2644050121307,373605,0.0,1.4535656,0.9659819044172764,9.3989926e-05,0.0017096277,0.0017096277
-0.82775915,244.175,-1525.2028732180686,-200.85,1315.0028,21,1382,543.7867434024811,378767,0.0,1.4510047,0.961137417703867,8.46574e-05,0.0010672515,0.0010672515
-0.6342493,247.45,-1515.2706273745293,-157.4,1352.2306,20,1402,551.072322845459,383749,0.0,1.4502732,0.9683912508189678,8.603558e-05,0.0011856796,0.0011856796
-0.58575034,249.05,-1512.6593304374162,-148.1,1354.8994,21,1423,558.3477373123169,388986,0.0,1.4445199,0.9675538502633572,9.141244e-05,0.0012950838,0.0012950838
-0.70706064,247.175,-1538.6034243440415,-175.6,1368.5635,21,1444,565.361171245575,394140,0.0,1.4440299,0.9602600112557411,7.1096794e-05,0.0011806015,0.0011806015
-0.5275035,245.425,-1551.9372183394764,-128.35,1430.9773,21,1465,572.109112739563,399289,0.0,1.4431721,0.9790753666311502,6.497531e-05,0.0007754704,0.0007754704
-0.44780192,245.275,-1555.4969967025297,-109.3,1450.4572,21,1486,578.8794801235199,404441,0.0,1.4439247,0.9673820696771145,5.2719202e-05,0.00074277853,0.00074277853
-0.5490948,245.0,-1552.0776627670593,-133.75,1431.9176,21,1507,585.5908739566803,409583,0.0,1.4428709,0.9704322870820761,6.972876e-05,0.0010414466,0.0010414466
-0.70075333,244.45,-1532.6776839002432,-170.15,1379.2777,21,1528,592.9511396884918,414710,0.0,1.4399287,0.9731911551207304,8.391986e-05,0.0014644706,0.0014644706
-0.6516568,244.725,-1534.0648778030736,-158.2,1389.1848,20,1548,599.75718998909,419616,0.0,1.4410441,0.9682995676994324,7.186794e-05,0.0013139247,0.0013139247
-0.44998264,245.85,-1533.116884104879,-110.45,1402.237,21,1569,606.6732623577118,424789,0.0,1.4412841,0.9754251874983311,7.06304e-05,0.0013490573,0.0013490573
-0.42674342,246.3,-1558.4214921465348,-105.1,1450.9415,21,1590,613.5915460586548,429963,0.0,1.4382774,0.9788014329969883,8.1594124e-05,0.0011785792,0.0011785792
-0.42864686,246.65,-1572.5428170708265,-105.8,1468.9028,21,1611,620.3784129619598,435153,0.0,1.4381748,0.9752675145864487,5.012187e-05,0.00097131095,0.00097131095
-0.33131397,246.925,-1554.0419740541997,-81.35,1466.1619,20,1631,627.1971940994263,440086,0.0,1.4357902,0.9759896770119667,6.179388e-05,0.0011973408,0.0011973408
-0.30386496,246.075,-1548.0389728088298,-73.4,1470.2788,21,1652,633.9975688457489,445239,0.0,1.4341567,0.9778355471789837,8.558608e-05,0.0010236392,0.0010236392
-0.3014102,246.025,-1556.305216647561,-73.3,1484.1852,21,1673,641.0769777297974,450417,0.0,1.432267,0.9807712286710739,6.808139e-05,0.0008464482,0.0008464482
-0.22786947,246.575,-1563.518799977381,-55.65,1501.1188,21,1694,648.1309003829956,455591,0.0,1.4328579,0.985627961345017,7.190212e-05,0.001175086,0.001175086
-0.20409468,247.0,-1562.3239872848571,-50.25,1508.644,21,1715,654.9561195373535,460784,0.0,1.4346762,0.9787153732031584,7.790767e-05,0.000976886,0.000976886
-0.18001722,247.3,-1573.552033915273,-44.6,1533.592,20,1735,679.0254666805267,465732,0.0,1.4296273,0.986513888463378,8.570459e-05,0.0011411125,0.0011411125
-0.24675557,245.575,-1590.3727705541671,-59.9,1532.4128,21,1756,685.9819316864014,470873,0.0,1.4262738,0.9774982947856188,7.63566e-05,0.0011493018,0.0011493018
-0.324635,245.675,-1575.6793056480144,-78.85,1504.1592,21,1777,693.0912914276123,476054,0.0,1.4258293,0.9823889937251806,6.678662e-05,0.001100307,0.001100307
-0.30657497,247.475,-1564.1582642688124,-76.2,1489.4783,21,1798,700.4242641925812,481266,0.0,1.4241163,0.9862753180786967,8.9292196e-05,0.0014167335,0.0014167335
