# {"t_start": 1566344954.841716, "env_id": "SignalizedEco-v0"} 
r,l,t
-8214,732,4.596157
-1298,399,4.869157
-1846,548,5.249155
-6778,889,5.856679
-2550,650,8.631013
-2004,502,8.984014
-5034,517,9.35254
-14002,1001,10.056062
-3620,685,10.536107
-5706,728,12.690455
-6922,836,13.278453
-2990,495,13.623978
-6772,886,14.251028
-5884,942,16.560189
-5476,613,16.99376
-1902,451,17.313288
-4304,652,17.769331
-5452,726,18.286331
-16090,920,20.575462
-1980,365,20.83246
-1080,290,21.039461
-10338,669,21.512508
-7516,883,23.78708
-1622,436,24.094079
-524,262,24.278081
-2838,419,24.571134
-1158,329,24.804135
-2940,345,25.045136
-2506,503,25.397135
-3092,421,25.691135
-4898,574,27.734727
-576,288,27.943725
-2798,399,28.230725
-4080,415,28.529726
-552,276,28.726251
-4368,434,29.048289
-588,419,29.34629
-570,285,29.549291
-3664,457,31.540329
-670,335,31.777849
-824,287,31.982849
-4048,399,32.268849
-1142,446,32.584849
-302,276,32.780366
-3124,687,33.272886
-1768,384,33.547889
-3536,518,35.584965
-1388,444,35.908966
-580,290,36.11548
-1400,450,36.446481
-1304,277,36.655
-5056,528,37.032032
-910,330,37.266033
-5220,485,39.283053
-304,277,39.479053
-20,260,39.662053
-802,401,39.947053
-360,305,40.163055
-942,346,40.409053
-746,373,40.680053
-2512,381,40.957572
-772,386,41.23657
-716,233,43.198653
-1234,492,43.564652
-1164,457,43.892653
-1170,210,44.042654
-1072,286,44.249655
-768,259,44.432653
-1194,222,44.590654
-2404,577,44.999171
-1066,408,45.294693
-1622,311,47.164735
-2680,465,47.553734
-530,265,47.74773
-2676,463,48.10226
-1368,309,48.33726
-1120,310,48.56526
-1134,317,48.78926
-928,339,49.033311
-780,390,49.317309
-1254,377,51.245367
-1640,320,51.472414
-990,370,51.733459
-326,288,51.93646
-914,332,52.173461
-1758,629,52.619462
-1032,391,52.904995
-896,323,53.133994
-1552,401,55.110059
-3536,643,55.562071
-2928,339,55.79907
-1636,443,56.114594
-4712,481,56.454592
-2304,277,56.648592
-878,314,56.874593
-1066,283,58.72475
-2564,657,59.193277
-904,452,59.524274
-1728,489,59.871275
-1504,377,60.141274
-1844,422,60.442275
-574,287,60.646276
-2580,290,60.852276
-1886,318,62.752381
-1340,420,63.050383
-1884,442,63.36838
-4242,371,63.636381
-2186,468,63.973382
-2230,365,64.239381
-1410,330,64.477381
-1412,331,64.718383
-1894,322,66.646957
-4652,326,66.880477
-1050,275,67.075477
-778,389,67.350478
-1772,386,67.622478
-1620,310,67.842477
-1580,415,68.140477
-3050,525,68.512522
-1786,518,70.555522
-492,246,70.729522
-1814,282,70.929535
-2244,497,71.284054
-512,381,71.554056
-1314,282,71.753054
-30,265,71.941055
-250,375,72.206054
-4362,306,72.423808
-2656,453,74.390734
-5274,512,74.770739
-2826,288,74.974735
-920,335,75.210734
-1596,423,75.519259
-986,368,75.78026
-1100,300,75.992261
-1364,307,76.209263
-1116,308,78.081603
-4676,338,78.323601
-1402,326,78.554127
-26,263,78.741167
-1366,308,78.961168
-1186,218,79.116167
-956,353,79.366214
-478,364,79.623214
-1370,310,79.848215
-1074,287,80.070738
-18,259,81.943793
-790,270,82.135793
-894,322,82.362794
-872,311,82.582793
-1070,285,82.783792
-1136,318,83.009793
-858,304,83.22784
-668,459,83.552886
-1614,307,83.772885
-542,271,83.967884
-804,277,85.903556
-726,238,86.071554
-1166,333,86.310607
-942,346,86.554605
-1978,489,86.908606
-530,265,87.095605
-1358,304,87.313647
-4894,447,87.633646
-1076,288,87.836646
-558,279,88.035646
-1506,378,89.96384
-1000,375,90.23384
-524,262,90.42384
-2324,412,90.719841
-642,321,90.946841
-1176,338,91.18484
-1364,432,91.490363
-1214,232,91.653363
-794,272,91.849362
-1114,307,93.747582
-502,251,93.928582
-18,259,94.112637
-1332,291,94.320635
-1376,313,94.541634
-1124,312,94.761636
-510,255,94.943634
-1162,331,95.180635
-1062,281,95.379154
-1352,301,95.591155
-1162,331,97.48431
-1772,261,97.66831
-868,309,97.88731
-250,250,98.062836
-250,250,98.240837
-254,252,98.420836
-1120,310,98.638836
-440,345,98.882361
-574,287,99.085362
-248,249,99.262361
-940,220,99.423361
-938,219,99.578891
-776,388,101.541473
-1172,336,101.783473
-674,212,101.934472
-952,351,102.187474
6,247,102.363472
-856,303,102.579472
-1060,280,102.779996
-1378,314,102.999995
-924,337,103.238995
-242,246,103.412995
-1074,287,105.279616
-558,279,105.477616
-748,249,105.653615
-536,268,105.846617
-1064,282,106.046616
-568,284,106.246137
-930,215,106.399136
-1352,301,106.611136
-1014,382,106.882136
-548,274,107.081136
-952,226,107.239182
-956,228,109.142284
-542,271,109.335283
-520,260,109.518283
-916,208,109.666282
-922,211,109.815332
-310,280,110.019332
-254,252,110.204332
-546,273,110.397332
-938,219,110.579336
-1186,218,110.776394
-294,272,110.990388
-1120,310,111.259854
-508,254,113.121863
-220,235,113.296862
-936,218,113.461865
-276,263,113.648863
-238,244,113.822865
-524,262,114.009864
-1190,220,114.166865
-478,239,114.335907
-754,252,114.515431
-500,250,114.693432
-10,255,114.873149
-306,278,115.070149
-292,271,116.929151
-726,238,117.09815
-2300,400,117.382677
-2092,421,117.686676
-664,332,117.926204
-1414,332,118.161203
-738,244,118.333203
-1430,215,118.485202
-826,288,118.687725
-282,266,118.881725
-1072,286,119.084725
-2414,332,145.338262
-510,255,145.581313
-576,288,145.783839
-416,333,146.018839
-248,249,146.192839
-276,263,146.375883
-518,259,146.555884
-288,269,146.743884
-526,263,146.925884
-868,309,147.143404
-276,263,147.324405
-1172,211,147.471404
-280,265,149.291465
-1202,226,149.449466
-1188,344,149.690465
-514,257,149.870993
-1592,296,150.078993
-882,316,150.301515
-610,305,150.513515
-544,272,150.705039
-966,233,150.868038
-950,225,151.025038
-258,254,151.201038
-1070,285,153.046137
-962,231,153.207665
-706,228,153.365663
-970,235,153.535663
-816,283,153.733665
-1376,313,153.954663
-1088,294,154.160663
-1068,284,154.357663
-1408,204,154.501664
-978,239,154.668663
-896,323,154.89371
-742,246,155.06571
-282,266,156.886289
-570,285,157.08529
-1200,225,157.242289
-1330,290,157.444818
-596,298,157.65382
-1082,291,157.861818
-718,234,158.025817
-1138,319,158.24834
-1382,316,158.468864
-548,274,158.659864
-1636,318,158.883863
-1104,302,160.724584
-976,238,160.892586
-796,273,161.089586
-728,239,161.258636
-794,272,161.449689
-3104,302,161.660688
-976,238,161.827688
-734,242,161.999688
-1404,202,162.147687
-494,247,162.328687
-2916,333,162.561687
-1154,202,162.703688
-1078,289,164.539784
-962,231,164.700785
-736,243,164.870311
-284,267,165.05731
-234,242,165.227309
-2046,273,165.423311
-794,272,165.614307
-1160,330,165.846308
-1132,316,166.067343
-280,265,166.251375
-478,239,166.422378
-1106,303,168.274926
-272,261,168.457926
-732,241,168.628927
-492,246,168.800926
-1364,307,169.015446
-1340,295,169.221448
-1204,227,169.378447
-528,264,169.564446
-284,267,169.757446
-776,263,169.942446
-14,257,170.122448
-1180,215,170.272446
-964,232,172.069962
-1320,285,172.272964
-494,247,172.448965
-836,293,172.659962
-260,255,172.838964
-512,256,173.019962
-730,240,173.190963
-234,242,173.363963
-260,255,173.544007
-492,371,173.804
-1104,302,174.017998
-786,268,175.839588
-496,248,176.014588
14,243,176.187109
-268,259,176.370107
-240,245,176.543108
-814,282,176.741107
-724,237,176.908148
-714,232,177.070145
-546,273,177.26518
-538,269,177.461181
-236,243,177.632217
-534,267,177.820218
-722,236,179.626296
-1202,226,179.785295
-484,242,179.954331
-240,245,180.126848
-714,232,180.289848
-764,257,180.472885
-524,262,180.656887
-732,241,180.824885
-526,263,181.009886
-242,246,181.181885
-300,275,181.373887
-538,269,181.564885
-732,241,181.733885
-500,250,183.558125
-244,247,183.732124
-286,268,183.922125
-588,294,184.127177
-548,274,184.321172
-270,260,184.504224
-6,253,184.680224
-960,230,184.851225
-280,265,185.040224
-546,273,185.237227
