ERewMean,EpLenMean,EpRewE,EpRewMean,EpRewOther,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,entloss,entropy,ev_tdlam_before,meankl,optimgain,surrgain
-6.3668385,642.0,-998.7164189778658,-4534.0,-3535.2822,4,4,4.510857820510864,2568,0.0,1.4263026,0.00010293722152709961,8.391758e-05,0.0009036244,0.0009036244
-6.9324546,658.1111111111111,-1001.0869985669012,-5038.4443,-4037.3572,5,9,8.318298578262329,5923,0.0,1.431269,0.0316157341003418,8.446999e-05,0.0012541164,0.0012541164
-7.09182,682.1538461538462,-1046.2602787101591,-5210.4614,-4164.201,4,13,12.1244535446167,8868,0.0,1.4350029,0.08141952753067017,8.781251e-05,0.0013007607,0.0013007607
-6.983401,680.6666666666666,-1033.4753570325208,-5041.8887,-4008.4136,5,18,15.934776782989502,12252,0.0,1.4418281,0.13859593868255615,8.2207865e-05,0.0011030433,0.0011030433
-7.6269116,658.9090909090909,-1061.9154496822023,-5465.5454,-4403.631,4,22,19.756921768188477,14496,0.0,1.4477192,0.07422983646392822,8.578759e-05,0.0012757295,0.0012757295
-7.1055145,603.1333333333333,-1060.3897735256564,-4747.933,-3687.544,8,30,23.550570487976074,18094,0.0,1.4475937,0.30933910608291626,7.21704e-05,0.0005831065,0.0005831065
-6.737111,557.4736842105264,-1072.022975786517,-4233.3687,-3161.346,8,38,27.42617154121399,21184,0.0,1.4520646,0.2926698923110962,8.1982034e-05,0.00063313474,0.00063313474
-6.461699,518.375,-1074.09798473075,-3843.0,-2760.902,8,46,31.274291038513184,24455,0.0,1.4520278,0.485893189907074,5.1452527e-05,0.00078326574,0.00078326574
-5.7940288,460.6,-1069.2851936312625,-3071.2,-2515.235,7,53,35.17289733886719,27292,0.0,1.4555267,0.3806059956550598,8.083133e-05,0.0009175656,0.0009175656
-4.614902,400.25,-1080.826576444746,-2050.5,-1745.1334,9,62,39.167497873306274,30506,0.0,1.4603659,0.6448564827442169,7.451246e-05,0.0010766429,0.0010766429
-4.081505,374.55,-1098.2267658254643,-1642.85,-964.6934,9,71,43.02657651901245,33650,0.0,1.4620706,0.6456694602966309,7.79178e-05,0.0009792739,0.0009792739
-3.8511097,371.075,-1102.9640338446454,-1517.15,-566.0361,9,80,46.98377847671509,36819,0.0,1.4652776,0.608840823173523,6.771598e-05,0.00062807254,0.00062807254
-3.537238,360.8,-1088.6165703130725,-1334.1,-387.98343,8,88,50.865901947021484,39849,0.0,1.4638057,0.7708565294742584,6.0992916e-05,0.0005191411,0.0005191411
-3.7521744,367.325,-1095.5524940796645,-1403.4,-456.48755,7,95,54.69259285926819,42747,0.0,1.4686943,0.551680326461792,7.98145e-05,0.0008512114,0.0008512114
-4.072494,381.625,-1099.5524525127953,-1550.75,-388.92758,8,103,58.554702281951904,46004,0.0,1.4713798,0.7456527352333069,8.499783e-05,0.0010717936,0.0010717936
-4.438474,384.975,-1093.35559923593,-1713.7,-508.80453,8,111,62.472800731658936,49049,0.0,1.479209,0.5799217522144318,8.940233e-05,0.00090905715,0.00090905715
-4.745723,389.2,-1106.1172634703707,-1822.15,-662.1629,8,119,66.33236622810364,51997,0.0,1.4844956,0.6263532042503357,8.335684e-05,0.00084429194,0.00084429194
-5.051062,382.5,-1132.3408499831608,-1902.5,-600.0192,9,128,70.1585783958435,55149,0.0,1.4906398,0.7023190259933472,7.8408724e-05,0.0011243615,0.0011243615
-4.9737654,377.625,-1142.3883174623288,-1855.25,-752.61163,8,136,74.01144742965698,58135,0.0,1.4922471,0.6570066511631012,8.634004e-05,0.0007806349,0.0007806349
-5.0197616,350.65,-1159.2158650375907,-1776.3,-597.9842,10,146,77.90563702583313,61210,0.0,1.4996592,0.7164264023303986,8.558257e-05,0.0006948234,0.0006948234
-4.1728506,339.225,-1191.1546064477193,-1447.2,-399.12543,10,156,81.82739901542664,64316,0.0,1.5016747,0.9077196717262268,7.223429e-05,0.0010280939,0.0010280939
-4.2233253,327.85,-1187.6060432755041,-1436.95,-250.79404,10,166,85.67863321304321,67582,0.0,1.507514,0.7700574696063995,9.250649e-05,0.0008480328,0.0008480328
-3.6562455,319.4,-1158.7940162993493,-1201.3,-202.24608,9,175,89.54890322685242,70604,0.0,1.511175,0.8967792764306068,7.231828e-05,0.0007093085,0.0007093085
-3.342233,314.55,-1180.974315537262,-1091.6,28.89426,10,185,93.3901538848877,73505,0.0,1.5122323,0.9132229387760162,8.294466e-05,0.0011940679,0.0011940679
-3.3041031,304.875,-1207.9079643273785,-1053.5,180.14796,12,197,97.25231719017029,76788,0.0,1.5097913,0.8706934303045273,9.240253e-05,0.0010010473,0.0010010473
-2.9447248,296.05,-1219.9758019920491,-885.85,216.6158,10,207,101.10846018791199,79802,0.0,1.509059,0.9362931549549103,8.4984466e-05,0.0010314091,0.0010314091
-2.9799538,285.7,-1229.0782763372117,-852.65,353.5183,11,218,105.0300714969635,82849,0.0,1.5105182,0.932189866900444,7.466605e-05,0.0011273273,0.0011273273
-2.83076,273.625,-1254.1260575876802,-759.75,456.08612,12,230,109.04070854187012,85851,0.0,1.5065054,0.944152407348156,7.794165e-05,0.0011347859,0.0011347859
-2.7305691,262.475,-1255.1573326966331,-706.2,556.03735,12,242,112.9089949131012,88821,0.0,1.5031124,0.9588212706148624,6.783552e-05,0.00050081994,0.00050081994
-2.9109225,266.575,-1245.0008722792568,-776.9,460.4409,11,253,116.74661374092102,92114,0.0,1.5023192,0.84785196185112,7.239706e-05,0.0017901746,0.0017901746
-2.561436,270.375,-1258.5520854077322,-697.0,540.31213,11,264,145.16630911827087,95122,0.0,1.5012819,0.9475962407886982,4.128227e-05,0.0005029969,0.0005029969
-2.7289937,276.25,-1241.654050623599,-758.75,509.41406,11,275,148.9609808921814,98115,0.0,1.5055937,0.9241523593664169,7.932127e-05,0.0009738568,0.0009738568
-3.0859933,269.925,-1226.9492233501003,-814.85,412.62927,12,287,152.75013089179993,101280,0.0,1.5068702,0.9458774738013744,6.258781e-05,0.0008447712,0.0008447712
-3.284639,271.2,-1201.833661960836,-879.9,368.59366,11,298,156.53242826461792,104396,0.0,1.5064353,0.9497021250426769,8.263348e-05,0.00097092893,0.00097092893
-3.8593318,266.5,-1204.002147516864,-1026.75,212.60213,12,310,160.34410214424133,107486,0.0,1.5106407,0.8527814596891403,8.177557e-05,0.0013218193,0.0013218193
-3.8022118,269.075,-1220.3142826635292,-1025.65,227.43428,11,321,164.13977026939392,110453,0.0,1.5090879,0.9201262891292572,8.401965e-05,0.0011431552,0.0011431552
-3.6180282,266.6,-1208.5540538795844,-976.95,245.31404,12,333,167.93480563163757,113599,0.0,1.5105935,0.9517160430550575,6.612068e-05,0.0005998725,0.0005998725
