ERewMean,EpLenMean,EpRewE,EpRewMean,EpRewOther,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,entloss,entropy,ev_tdlam_before,meankl,optimgain,surrgain
-13.952393,654.0,-1016.283792964723,-9436.667,-8420.386,6,6,5.737899303436279,3924,0.0,1.4380534,0.00030362606048583984,0.0008159009,0.0027252208,0.0027252208
-12.149901,572.7142857142857,-1008.733173602706,-7310.0,-6301.27,8,14,10.815866470336914,8018,0.0,1.4506056,0.09011465311050415,0.0007717455,0.0024596313,0.0024596313
-11.321548,508.1666666666667,-993.5967835028911,-6103.3335,-5109.7383,10,24,15.903058528900146,12196,0.0,1.4747266,0.2158680558204651,0.00083938695,0.0036710836,0.0036710836
-10.746108,486.6060606060606,-1014.3716053218757,-5493.636,-4479.266,9,33,20.980437755584717,16058,0.0,1.48851,0.3777118921279907,0.0007111686,0.002254347,0.002254347
-10.086041,458.525,-1018.575432935573,-4698.875,-4171.658,10,43,26.396549463272095,20386,0.0,1.4835867,0.4189021587371826,0.00061857246,0.0021688505,0.0021688505
-10.207514,419.175,-1028.1492556078294,-4302.125,-3669.7512,10,53,31.732176065444946,24424,0.0,1.4909505,0.452017605304718,0.00072588696,0.0027864063,0.0027864063
-10.353168,424.9,-1044.351057563664,-4418.25,-3416.5493,9,62,36.900782346725464,28447,0.0,1.4922076,0.4207911491394043,0.00082205096,0.002733374,0.002733374
-10.302024,411.55,-1065.1465554242054,-4307.75,-3161.2534,11,73,42.03388571739197,32520,0.0,1.4964145,0.6450437605381012,0.0006298302,0.0012272053,0.0012272053
-10.618902,398.4,-1066.9857173579094,-4279.5,-3215.5144,11,84,47.206063747406006,36711,0.0,1.5034231,0.5949574410915375,0.000739445,0.002497721,0.002497721
-10.304173,395.75,-1069.4407976601997,-4122.5,-3190.3594,10,94,52.33890724182129,40723,0.0,1.4972086,0.679002434015274,0.00073703623,0.0020177322,0.0020177322
-10.146856,380.35,-1065.3717168186392,-3851.75,-2942.228,11,105,57.4790153503418,44689,0.0,1.4904367,0.7634828388690948,0.0006680067,0.0019008166,0.0019008166
-10.1903305,370.825,-1054.3239473464669,-3760.375,-2665.776,12,117,62.598721742630005,48928,0.0,1.4838462,0.8246484845876694,0.000605207,0.0022877713,0.0022877713
-9.798354,361.925,-1057.7122693259244,-3522.125,-2649.9878,12,129,67.73530316352844,53234,0.0,1.4863698,0.813991367816925,0.0007794034,0.002727311,0.002727311
-9.983644,350.95,-1047.9135536765018,-3479.75,-2437.9863,11,140,72.85895085334778,57018,0.0,1.4894449,0.8409348875284195,0.00072259863,0.002695092,0.002695092
-9.755793,355.625,-1055.7346658886627,-3440.625,-2394.065,12,152,77.98326659202576,61401,0.0,1.482361,0.8475432842969894,0.00061871076,0.002037301,0.002037301
-9.312574,357.15,-1061.8680080383137,-3292.0,-2306.2314,11,163,83.11125373840332,65457,0.0,1.4822336,0.8566200882196426,0.0006619263,0.0020592352,0.0020592352
-9.079914,360.15,-1059.7108562582516,-3244.5,-2233.2888,11,174,88.24937009811401,69426,0.0,1.5009714,0.8789817690849304,0.00076309993,0.0021314889,0.0021314889
-8.807196,364.95,-1067.9733831620383,-3199.75,-2175.0264,11,185,93.38327598571777,73491,0.0,1.5070345,0.8572244197130203,0.00090764154,0.0022983938,0.0022983938
-8.41138,362.125,-1073.784816604313,-3035.625,-1999.8153,12,197,98.49538946151733,77744,0.0,1.514449,0.9127455949783325,0.0008692419,0.003382726,0.003382726
-8.034323,364.95,-1081.3057896042844,-2924.75,-1917.494,11,208,103.62395906448364,81816,0.0,1.526122,0.9123946279287338,0.0007687112,0.002397775,0.002397775
-8.040829,366.725,-1100.7228189045684,-2946.125,-1872.5771,11,219,108.76109504699707,85939,0.0,1.537476,0.8921643495559692,0.0008632776,0.0023611302,0.0023611302
-7.6660933,365.5,-1117.6572924643465,-2802.5,-1735.9426,11,230,113.9071741104126,89845,0.0,1.5349125,0.9371555745601654,0.00090357533,0.0034682273,0.0034682273
-7.8730683,365.925,-1129.7278052539632,-2885.875,-1722.2722,11,241,119.03834533691406,93868,0.0,1.5440825,0.8670371919870377,0.000812383,0.0025657236,0.0025657236
-7.503667,361.65,-1149.2159519161846,-2714.5,-1626.184,12,253,124.17799258232117,98156,0.0,1.556659,0.9686060771346092,0.00085745554,0.003327317,0.003327317
-7.0157547,361.3,-1154.3506206116374,-2537.75,-1482.1494,11,264,129.32014799118042,102118,0.0,1.5622365,0.9703037049621344,0.0009180068,0.0022772155,0.0022772155
-6.6117706,360.075,-1170.6684428401197,-2381.625,-1352.9315,12,276,134.44786524772644,106446,0.0,1.5682324,0.9485611654818058,0.0005760888,0.0014414698,0.0014414698
-6.6405973,361.375,-1191.8943566886821,-2400.625,-1177.0056,11,287,139.56497049331665,110450,0.0,1.5823363,0.9699289184063673,0.0008328982,0.0018377311,0.0018377311
-6.4126406,360.925,-1212.4908152576652,-2317.125,-1126.009,11,298,144.7011375427246,114381,0.0,1.5759232,0.9801644757390022,0.00068248576,0.003019067,0.003019067
-6.2870655,360.3,-1243.9612851329323,-2270.25,-1068.3386,12,310,149.84726572036743,118687,0.0,1.5873984,0.9573448784649372,0.0008409874,0.0029594526,0.0029594526
-6.245909,358.25,-1264.4182537237953,-2241.25,-1017.0818,11,321,154.98839688301086,122604,0.0,1.5990553,0.9641262292861938,0.00080464716,0.0033532344,0.0033532344
-6.278238,361.925,-1290.6033886122668,-2272.125,-941.89655,11,332,187.39442801475525,126705,0.0,1.6050406,0.9723807442933321,0.000504487,0.0016990202,0.0016990202
-6.0039515,360.25,-1296.954790097858,-2163.75,-905.24524,12,344,192.4631712436676,130954,0.0,1.5993799,0.9782335571944714,0.00075577234,0.0033250414,0.0033250414
-5.852907,357.4,-1308.2353723627095,-2093.25,-782.96466,12,356,197.57278680801392,135119,0.0,1.6002654,0.9794004503637552,0.00075755006,0.0026422683,0.0026422683
-5.406407,349.45,-1331.8437096014145,-1891.0,-669.9564,11,367,202.65245532989502,138951,0.0,1.599685,0.9822025969624519,0.00072001014,0.0036176064,0.0036176064
-5.090295,349.275,-1330.7165174598767,-1777.625,-533.9836,12,379,207.71610569953918,143169,0.0,1.5913706,0.9804500304162502,0.00079196325,0.0035792456,0.0035792456
-5.307687,348.125,-1358.263717091558,-1846.875,-462.2363,12,391,212.79780316352844,147302,0.0,1.581284,0.976962523534894,0.0006070819,0.0021746068,0.0021746068
-5.0796785,348.0,-1360.058558586434,-1765.0,-449.74152,12,403,217.8875024318695,151483,0.0,1.5670779,0.9814768135547638,0.0008178403,0.0045914045,0.0045914045
-5.116313,348.575,-1380.0781974556533,-1780.375,-357.02176,11,414,222.96661758422852,155333,0.0,1.5642506,0.9850551150739193,0.00073660386,0.004166103,0.004166103
-5.0086546,347.925,-1389.74114173885,-1739.625,-356.95874,12,426,228.0528862476349,159520,0.0,1.5532042,0.9833543784916401,0.0008803038,0.004409767,0.004409767
-4.480577,349.975,-1389.580330452339,-1568.625,-293.31967,12,438,233.1270627975464,163715,0.0,1.5476025,0.9855547025799751,0.00091660494,0.0060314583,0.0060314583
-4.498857,348.1,-1412.3478067579742,-1565.5,-156.75221,12,450,238.21972823143005,167859,0.0,1.5383487,0.9796009641140699,0.0006421017,0.0030002797,0.0030002797
-4.442069,347.325,-1415.6098348212358,-1542.875,-128.59023,12,462,243.2917308807373,172020,0.0,1.5383499,0.9848399255424738,0.0009490288,0.0032211714,0.0032211714
-4.423686,345.95,-1430.41342113329,-1529.75,-96.38666,11,473,248.3698353767395,175789,0.0,1.5311888,0.9850407503545284,0.0009087022,0.0051627913,0.0051627913
-4.368512,345.225,-1433.884525318089,-1507.375,-64.91549,12,485,253.4497582912445,179946,0.0,1.525371,0.9839393217116594,0.00075992534,0.00407,0.00407
-4.296805,345.75,-1447.1094124267693,-1485.0,-39.490505,12,497,258.5260202884674,184096,0.0,1.5228231,0.9853295348584652,0.00057357235,0.0030661451,0.0030661451
-4.2438564,346.1,-1447.0953252483419,-1468.0,-42.3045,12,509,263.59812903404236,188259,0.0,1.5108453,0.9817841127514839,0.0007874499,0.0046008863,0.0046008863
-4.0639524,347.025,-1445.4287795931841,-1410.125,28.228954,12,521,268.697331905365,192425,0.0,1.5033581,0.991751529276371,0.00066762563,0.0023942424,0.0023942424
-3.8642952,346.6,-1447.8356840886297,-1339.25,53.635845,12,533,273.76503825187683,196581,0.0,1.4846178,0.9929127031937242,0.00087175926,0.0026300363,0.0026300363
-3.7748828,346.875,-1449.5171053580007,-1309.375,115.91717,11,544,278.8582754135132,200397,0.0,1.4896046,0.995546197053045,0.00081867725,0.003565806,0.003565806
-3.703773,347.25,-1447.4628243813124,-1286.25,165.86299,12,556,283.93599009513855,204580,0.0,1.4846345,0.9985117511823773,0.0012405167,0.0036408752,0.0036408752
-3.7397914,347.0,-1457.788594581358,-1297.5,157.48872,12,568,289.04422640800476,208737,0.0,1.4820606,0.993371048476547,0.00070156856,0.0021483374,0.0021483374
-3.831239,346.875,-1463.2297792180027,-1328.125,154.42986,12,580,294.21536135673523,212884,0.0,1.4774157,0.9904498448595405,0.0008567686,0.002662956,0.002662956
-3.8488097,347.225,-1453.6073116755424,-1336.125,121.30742,12,592,299.51243138313293,217077,0.0,1.471985,0.9920970965176821,0.0008620378,0.002809338,0.002809338
-3.8124938,347.375,-1453.1892018403328,-1324.375,126.58917,11,603,304.7995009422302,220895,0.0,1.4696708,0.9974673488177359,0.00067811605,0.0031793602,0.0031793602
-3.685564,347.675,-1443.6139952872202,-1282.125,141.71391,12,615,310.01962637901306,225064,0.0,1.4672189,0.9988884761696681,0.00077477476,0.0022425936,0.0022425936
-3.685018,347.375,-1444.279880533023,-1280.625,162.47981,12,627,315.1703357696533,229214,0.0,1.4654346,0.9943050853908062,0.00074595213,0.0033411258,0.0033411258
-3.5955176,346.95,-1457.3301018616396,-1247.25,185.13004,12,639,320.2625126838684,233387,0.0,1.4628699,0.9972871253266931,0.0005854772,0.001404997,0.001404997
-3.6470425,346.15,-1476.0127305804501,-1262.0,219.41264,12,651,325.326548576355,237521,0.0,1.4604286,0.9960425952449441,0.00092883344,0.0028736768,0.0028736768
-3.7209854,346.45,-1483.974543900988,-1288.5,207.47455,11,662,330.42721486091614,241343,0.0,1.4520473,0.9931684662587941,0.0007623658,0.0037998073,0.0037998073
-3.6853294,346.725,-1488.9994133416328,-1277.375,210.3994,12,674,335.48534965515137,245515,0.0,1.4429984,0.999032604158856,0.0011120646,0.0027113217,0.0027113217
-3.7218971,353.025,-1516.2457971538615,-1321.375,212.54578,11,685,363.17510747909546,249579,0.0,1.4492598,0.9979714448563755,0.0008403306,0.0013409462,0.0013409462
-3.6666236,352.925,-1516.0146573673626,-1302.125,227.7147,12,697,368.25871896743774,253729,0.0,1.4469763,0.999299326329492,0.00088579644,0.0039269687,0.0039269687
-3.641912,351.175,-1544.5616560268409,-1287.125,255.26172,12,709,373.3533899784088,257844,0.0,1.4517006,0.9956929716281593,0.00091745437,0.0023550747,0.0023550747
-3.6224842,344.675,-1582.2044011523044,-1248.375,302.80444,12,721,378.4295423030853,261980,0.0,1.4435428,0.998247486539185,0.0007433989,0.0017677781,0.0017677781
-3.6187835,343.8,-1582.412543397093,-1244.0,340.41263,12,733,383.50973534584045,266103,0.0,1.4521444,0.9985972195863724,0.00075490144,0.002196229,0.002196229
-3.5997405,343.575,-1627.1266920942708,-1236.625,389.52676,12,745,388.68836975097656,270216,0.0,1.4459796,0.9922225596383214,0.00087045383,0.006247676,0.006247676
-3.65094,343.475,-1625.628988514541,-1254.875,371.42896,12,757,393.85878014564514,274342,0.0,1.4428668,0.9943504151888192,0.0007179573,0.0060385866,0.0060385866
