# {"t_start": 1566330718.077951, "env_id": "SignalizedEco-v0"} 
r,l,t
-8802,888,4.589167
-2732,308,4.80769
-4900,600,5.240344
-9782,633,5.690345
-14712,928,6.343865
-4062,453,6.672436
-7012,503,9.983505
-3276,444,10.323504
-4358,527,10.719027
-6374,531,11.103072
-4040,510,11.475593
-4310,390,11.756111
-2688,422,12.058637
-4820,455,12.382637
-10134,596,12.803636
-3964,491,15.437726
-3360,340,15.676726
-5168,542,16.063244
-15230,870,16.702766
-2870,530,17.097767
-2206,364,17.363292
-3974,431,17.67229
-6762,628,20.616699
-1420,480,20.962698
-7410,665,21.438221
-4202,363,21.699221
-4706,489,22.053222
-6080,645,22.514224
-3564,391,22.792221
-4376,469,23.128221
-3304,326,23.361744
-6760,565,26.196918
-4110,340,26.445436
-3222,368,26.708436
-1472,243,26.886435
-3412,478,27.246437
-3360,465,27.584437
-3188,422,27.917436
-3652,413,28.221435
-2534,446,28.565958
-3364,341,28.817958
-3024,381,31.372525
-3328,332,31.610525
-2056,264,31.799525
-3422,418,32.098525
-7260,440,32.417567
-3706,364,32.689568
-6082,458,33.025567
-4890,410,33.326568
-3486,434,33.642567
-6268,442,33.965105
-1916,354,36.553745
-10362,403,36.878744
-2892,473,37.267746
-5324,456,37.674746
-3708,427,38.026745
-2932,233,38.231268
-4156,414,38.573268
-5492,498,38.977268
-1932,358,39.240269
-2540,385,39.53127
-6324,456,42.338329
-2656,289,42.547329
-3196,424,42.862329
-4348,462,43.223328
-2488,372,43.523848
-4298,387,43.848849
-4232,308,44.093376
-3336,334,44.356378
-6386,409,44.712378
-7372,468,45.0889
-2064,266,45.311424
-1900,350,45.586421
-3026,319,48.161001
-3120,405,48.450526
-4212,428,48.762048
-3196,299,48.976048
-2940,360,49.242048
-2828,332,49.483047
-1920,355,49.741569
-2764,316,49.973569
-2816,329,50.216087
-2388,347,50.467087
-1500,250,50.647087
-6502,438,53.316733
-4904,351,53.575732
-5588,397,53.873253
-4330,395,54.165777
-4016,379,54.441778
-2480,370,54.707299
-5974,431,55.050298
-3482,433,55.392298
-3180,420,55.698299
-2564,391,55.982343
-2048,262,56.176342
-6410,415,58.788904
-2996,374,59.058905
-2660,290,59.266905
-1388,347,59.515904
-5086,459,59.846906
-3268,317,60.073905
-4052,388,60.356905
-3776,319,60.588945
-3016,379,60.864945
-3332,333,61.103945
-2772,318,61.346947
-3748,312,61.582468
-4624,406,64.170944
-1888,472,64.508943
-3188,297,64.720943
-2820,330,64.957943
-896,349,65.207994
-4288,322,65.441993
-2324,331,65.679518
-3720,305,65.899517
-1396,349,66.150034
-2976,369,66.414039
-3810,390,66.691554
-3140,285,69.210697
-3648,287,69.420697
-4390,285,69.627697
-2436,359,69.890697
-3232,308,70.121697
-4700,425,70.436698
-2214,366,70.71422
-3780,320,70.945218
-2826,269,71.137264
-3308,452,71.469244
-3256,314,71.696764
-3744,436,72.010283
-6124,406,74.646857
-2488,372,74.923856
-2376,344,75.172856
-3962,303,75.394382
-2504,376,75.665383
-2412,353,75.933382
-3564,391,76.247922
-1928,357,76.513925
-3144,286,76.721924
-5934,296,76.935924
-3688,422,77.243924
-1444,361,77.509258
-3148,412,80.1425
-1864,341,80.3955
-2868,342,80.6435
-2796,324,80.880499
-2096,274,81.076499
-3752,313,81.3025
-4932,358,81.559537
-2754,376,81.828536
-4422,418,82.127538
-3736,309,82.349536
-2828,332,82.586536
-2138,347,85.097103
-1912,353,85.351103
-3284,321,85.582624
-2576,269,85.773625
-980,370,86.053143
-3300,325,86.287143
-1864,341,86.533154
-3664,416,86.832155
-3116,279,87.032155
-2820,330,87.268155
-1492,248,87.447158
-2016,254,87.626154
-4068,392,87.908155
-3288,322,90.420725
-2980,370,90.684769
-2804,326,90.919769
-2340,335,91.161293
-1404,351,91.416293
-1432,233,91.580821
-1634,346,91.82982
-2244,311,92.054822
-3512,378,92.33282
-2784,321,92.564342
-1508,252,92.745343
-2052,263,92.932342
-3732,308,93.153342
-912,353,95.6619
-4712,428,95.967946
-2838,397,96.251945
-4506,439,96.565992
-3764,441,96.882991
-1948,362,97.14199
-3812,328,97.37799
-3820,580,97.792795
-3240,310,98.017797
-4568,392,98.297796
-3472,368,100.840889
-2760,315,101.06589
-3612,403,101.354409
-1568,267,101.54541
-1424,356,101.800409
-3724,306,102.018929
-4192,298,102.229929
-3732,308,102.448929
-4152,413,102.742929
-1544,261,102.930929
-3640,285,103.134929
-3626,469,103.468929
-4180,295,105.941026
-4200,300,106.158071
