ERewMean,EpLenMean,EpRewE,EpRewMean,EpRewOther,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,entloss,entropy,ev_tdlam_before,meankl,optimgain,surrgain
-6.6503763,525.7368421052631,-1117.6635541063945,-3868.4211,-2750.7576,19,19,78.57283329963684,9989,0.0,1.4367193,-7.510185241699219e-06,0.0009095512,0.003130716,0.003130716
-6.190836,517.3333333333334,-1077.175940572947,-3448.718,-2371.5417,20,39,96.39347243309021,20176,0.0,1.4547127,0.005827009677886963,0.0008824674,0.0031527341,0.0031527341
-4.8526893,418.975,-1093.7368539186298,-2062.5,-1231.2631,28,67,112.93129134178162,30671,0.0,1.4620961,0.15625709295272827,0.0006662791,0.0023552787,0.0023552787
-4.5357337,383.425,-1113.1951201948891,-1706.25,-556.80493,25,92,130.18678736686707,40629,0.0,1.4684894,0.4119078516960144,0.000856398,0.0026701093,0.0026701093
-4.2025757,376.05,-1062.5830355232795,-1587.5,-497.417,29,121,147.32633757591248,51033,0.0,1.4521936,0.7410669326782227,0.0008557951,0.0018972873,0.0018972873
-4.139953,384.65,-1018.5427152061393,-1593.75,-526.4573,26,147,164.14868760108948,61177,0.0,1.458878,0.6543560922145844,0.0007971145,0.0018974512,0.0018974512
-4.4305754,369.625,-1014.3600406156532,-1631.25,-610.64,28,175,180.97103238105774,71437,0.0,1.4708408,0.7597293108701706,0.00095389935,0.0028159716,0.0028159716
-4.1976857,349.375,-1021.2192788805208,-1443.75,-468.7807,30,205,197.9137728214264,81834,0.0,1.4803598,0.8345124125480652,0.0003817521,0.0015609056,0.0015609056
-3.7237954,349.375,-1030.2280071661094,-1275.0,-244.77199,29,234,214.8242952823639,91848,0.0,1.4781659,0.9105486273765564,0.00080517976,0.0028178648,0.0028178648
-3.8779786,345.875,-1056.2526172734574,-1306.25,-223.74738,30,264,231.48072695732117,102270,0.0,1.4786985,0.9324812218546867,0.0008011485,0.0024686672,0.0024686672
-3.8692982,326.475,-1127.0576605364754,-1218.75,-117.942375,32,296,248.6730830669403,112559,0.0,1.4803468,0.9045978114008904,0.00065845414,0.0016473889,0.0016473889
-3.8381066,340.625,-1155.546973963508,-1281.25,-129.45305,30,326,265.69548201560974,122878,0.0,1.4815061,0.826173946261406,0.0009965891,0.0028897673,0.0028897673
-3.888916,338.35,-1154.3642943704601,-1293.75,-125.63571,29,355,282.4980010986328,132946,0.0,1.4749013,0.8372000008821487,0.00074015884,0.0037045865,0.0037045865
-3.4931684,355.85,-1122.3152501650752,-1218.75,-137.68475,28,383,298.4925730228424,143012,0.0,1.467603,0.8904587626457214,0.00082002126,0.0032205582,0.0032205582
-3.3062973,357.475,-1113.679629333842,-1156.25,-16.320368,30,413,315.26365661621094,153587,0.0,1.467664,0.8957210257649422,0.00051265024,0.0034273714,0.0034273714
-3.4608314,344.375,-1138.0834839135612,-1150.0,-1.9165426,29,442,331.86471462249756,163641,0.0,1.4650396,0.909164234995842,0.0006966689,0.0044893073,0.0044893073
-2.9273763,354.0,-1134.846448291909,-1012.5,124.84644,29,471,348.28148889541626,174024,0.0,1.4575198,0.8991654515266418,0.0007031192,0.0030211199,0.0030211199
-2.6009629,356.55,-1124.965723941631,-912.5,179.96574,28,499,364.70336985588074,184107,0.0,1.4575679,0.8973689004778862,0.00074613496,0.0032801502,0.0032801502
-2.2418075,358.65,-1145.2374581612974,-800.0,350.23746,29,528,381.6422164440155,194481,0.0,1.4494053,0.9144531041383743,0.00072676304,0.003327471,0.003327471
-2.113956,353.775,-1200.3615351188146,-743.75,465.36157,29,557,399.28606247901917,204706,0.0,1.4462113,0.9077494889497757,0.0007780978,0.004247931,0.004247931
-1.9692768,355.375,-1239.368924288904,-700.0,539.3689,29,586,415.7164351940155,215018,0.0,1.4399983,0.9175522923469543,0.000628282,0.003675086,0.003675086
-1.6615992,356.7,-1244.8723502146518,-593.75,614.8723,28,614,432.1966083049774,225035,0.0,1.4292033,0.9345430582761765,0.0007389768,0.003160478,0.003160478
-1.4765046,355.0,-1237.483378480631,-525.0,712.48346,29,643,449.1901092529297,235314,0.0,1.4258387,0.9326177909970284,0.0007390467,0.0033686012,0.0033686012
-1.3510361,354.95,-1286.5557321345543,-481.25,806.5558,29,672,466.20856189727783,245625,0.0,1.4250627,0.93744807690382,0.0006667894,0.0028212115,0.0028212115
-1.3103828,352.05,-1311.9391141637266,-462.5,856.93915,29,701,483.8905894756317,255804,0.0,1.4262685,0.9323994666337967,0.00033127083,0.0019338802,0.0019338802
-1.2120906,350.925,-1309.6614141804482,-425.0,879.66125,29,730,500.56135725975037,265964,0.0,1.4174184,0.9279973581433296,0.00090166245,0.003262934,0.003262934
-1.2028059,349.0,-1345.1819436911103,-418.75,930.1819,30,760,516.8666000366211,276421,0.0,1.4053915,0.9062458202242851,0.00053156493,0.003358698,0.003358698
-1.0918925,348.975,-1367.4678867000587,-381.25,982.46796,29,789,533.0957424640656,286543,0.0,1.4005086,0.9418195188045502,0.00073912635,0.0034408986,0.0034408986
-1.0555805,348.925,-1375.8343202152923,-368.75,1010.8343,29,818,550.2631189823151,296657,0.0,1.3962872,0.9380945675075054,0.00090469123,0.002538216,0.002538216
-1.0030816,348.75,-1405.2379470926978,-350.0,1065.2379,30,848,566.8036036491394,307089,0.0,1.3835484,0.9516792632639408,0.00081238046,0.0037483927,0.0037483927
-1.0217946,353.65,-1419.7555488424498,-362.5,1069.7555,29,877,606.4194552898407,317395,0.0,1.3771929,0.9100645035505295,0.001143885,0.0038860023,0.0038860023
-0.9798997,349.95,-1409.9237823702483,-343.75,1069.9238,29,906,623.0697796344757,327511,0.0,1.3714597,0.9387558847665787,0.0009137883,0.0040864646,0.0040864646
-0.9734348,346.9,-1431.7006700724821,-337.5,1096.7008,30,936,639.4007165431976,337900,0.0,1.3637693,0.9290784746408463,0.0009972055,0.002845779,0.002845779
-1.0700318,345.35,-1439.1812150984542,-368.75,1074.1813,29,965,656.202000617981,347904,0.0,1.3623039,0.8838183209300041,0.0010210939,0.0034526065,0.0034526065
-0.99348736,346.45,-1435.8430662576866,-343.75,1085.8431,30,995,673.1562464237213,358326,0.0,1.3602118,0.9047678485512733,0.00076292787,0.002697328,0.002697328
-0.8248375,348.45,-1440.1049601110617,-287.5,1130.105,29,1024,690.8236982822418,368442,0.0,1.3606125,0.9575869590044022,0.0008720682,0.0022786795,0.0022786795
-0.79168546,347.475,-1439.0446836406713,-275.0,1154.0447,30,1054,708.0442872047424,378861,0.0,1.356459,0.9698194116353989,0.000722899,0.0024510906,0.0024510906
-0.8308857,346.2,-1445.2185585524899,-287.5,1160.2186,29,1083,724.7842993736267,388896,0.0,1.3641323,0.961262084543705,0.00079533533,0.0019345988,0.0019345988
-0.7765789,346.325,-1457.8969486803928,-268.75,1192.897,30,1113,742.6516425609589,399290,0.0,1.3587024,0.9509226642549038,0.0008343702,0.0031119168,0.0031119168
-0.7945298,346.475,-1474.8137258245695,-275.0,1204.8137,29,1142,759.209513425827,409335,0.0,1.3588856,0.9673049673438072,0.0013719676,0.0020625622,0.0020625622
-0.7722797,348.225,-1495.5519384252093,-268.75,1220.552,30,1172,775.3667478561401,419791,0.0,1.3488939,0.9744329284876585,0.00069666683,0.0016179815,0.0016179815
-0.7542502,347.95,-1489.5575271631888,-262.5,1229.5576,29,1201,791.037517786026,429876,0.0,1.3489242,0.9822209421545267,0.00077867473,0.0014631748,0.0014631748
-0.7382059,347.1,-1495.9271820271888,-256.25,1240.9272,30,1231,807.2266430854797,440276,0.0,1.3406994,0.9916805839166045,0.0009823742,0.0020467103,0.0020467103
-0.73706377,347.775,-1501.8046547691897,-256.25,1246.8047,29,1260,823.6490786075592,450376,0.0,1.3323321,0.9842418823391199,0.00086218864,0.0020043969,0.0020043969
-0.7543585,348.2,-1496.8775025512462,-262.5,1236.8774,29,1289,839.7512328624725,460467,0.0,1.346145,0.9887433098629117,0.0011234486,0.0013372749,0.0013372749
-0.7760396,346.325,-1516.6065128196685,-268.75,1251.6066,30,1319,855.7554957866669,470843,0.0,1.3396752,0.9676465876400471,0.00042709862,0.0012913048,0.0012913048
-0.75957,345.925,-1528.73658138489,-262.5,1258.7366,30,1349,871.2779874801636,481223,0.0,1.3431251,0.9746753368526697,0.0008811926,0.003886322,0.003886322
-0.73783994,347.3,-1532.9101584501386,-256.25,1272.9103,29,1378,886.5202674865723,491310,0.0,1.3352197,0.9866244802251458,0.0007463598,0.002008,0.002008
-0.8284758,347.175,-1549.5277058813879,-287.5,1269.5277,30,1408,902.917902469635,501719,0.0,1.3412433,0.9359843358397484,0.00083179306,0.0028201728,0.0028201728
-0.7903055,348.025,-1544.431145416235,-275.0,1264.4312,29,1437,919.1824638843536,511814,0.0,1.3347123,0.9760832488536835,0.00025822787,0.0017442018,0.0017442018
-0.7527729,348.675,-1521.4816935177314,-262.5,1261.4817,29,1466,935.4583621025085,521925,0.0,1.3369612,0.9877019478008151,0.00078288314,0.003297028,0.003297028
-0.7364999,347.8,-1540.9636216658523,-256.25,1280.9635,30,1496,951.329357624054,532357,0.0,1.3397181,0.9858216373249888,0.0008428353,0.0037014782,0.0037014782
-0.7561731,347.075,-1568.3026654933058,-262.5,1308.3026,29,1525,967.2885799407959,542409,0.0,1.3349462,0.9839290548115969,0.0010529859,0.0013360947,0.0013360947
-0.718948,347.75,-1578.609209019121,-250.0,1323.6093,30,1555,982.6753885746002,552857,0.0,1.3532102,0.9838318079710007,0.0009883812,0.0012067308,0.0012067308
-0.7173835,348.5,-1578.1339470069265,-250.0,1328.1339,29,1584,998.1455223560333,562965,0.0,1.3562664,0.996164959622547,0.00022576752,0.00025193123,0.00025193123
-0.73629874,347.85,-1584.157639530823,-256.25,1329.1577,30,1614,1013.4555270671844,573395,0.0,1.3554112,0.9749351236969233,0.0011616424,0.0013738691,0.0013738691
-0.7579932,346.525,-1600.8562917758684,-262.5,1340.8562,29,1643,1028.6591444015503,583445,0.0,1.3551458,0.9782073311507702,0.001051822,0.0033537745,0.0033537745
-0.7750176,346.925,-1603.0169401123408,-268.75,1338.0171,30,1673,1044.2520174980164,593879,0.0,1.3630201,0.9872932014986873,0.00088294613,0.0015017107,0.0015017107
-0.72055626,346.975,-1600.5637131193432,-250.0,1345.5636,29,1702,1059.4590957164764,603927,0.0,1.3641534,0.9770952612161636,0.0003215139,0.0013593318,0.0013593318
-0.72142756,346.55,-1612.8351072293551,-250.0,1362.8352,30,1732,1074.6381723880768,614330,0.0,1.3544923,0.9935705717653036,0.0009437372,0.0011357206,0.0011357206
-0.7198607,347.625,-1597.1143090303594,-250.0,1347.1143,29,1761,1112.0091564655304,624426,0.0,1.3652912,0.9941624593921006,0.0009248374,0.0014661237,0.0014661237
-0.7227818,345.9,-1592.798781377145,-250.0,1342.799,30,1791,1127.121148109436,634799,0.0,1.3616979,0.9930325993336737,0.00068479934,0.0005838148,0.0005838148
-0.7586486,346.025,-1594.7534341846829,-262.5,1334.7534,29,1820,1142.2838101387024,644832,0.0,1.3472754,0.9778886158019304,0.0008788421,0.002094984,0.002094984
-0.7577602,346.525,-1608.2055965492757,-262.5,1338.2056,30,1850,1158.3948616981506,655230,0.0,1.3386877,0.9599446840584278,0.0010029161,0.0016198248,0.0016198248
-0.8138405,345.725,-1594.4994370066117,-281.25,1319.4994,30,1880,1173.567224264145,665597,0.0,1.3280642,0.9704279750585556,0.0009418799,0.002828318,0.002828318
-0.77708864,345.95,-1586.1706255542335,-268.75,1321.1707,29,1909,1188.8471179008484,675638,0.0,1.3213465,0.9949399409815669,0.0011763579,0.0016947534,0.0016947534
-0.7608067,345.225,-1595.9272307308565,-262.5,1335.9272,30,1939,1204.0590353012085,685990,0.0,1.3204381,0.9568241611123085,0.0012341872,0.002713867,0.002713867
-0.7970626,345.5,-1581.2476048230142,-275.0,1301.2476,29,1968,1219.4457931518555,696003,0.0,1.3109777,0.949814461171627,0.0011588428,0.0029775174,0.0029775174
-0.75717103,347.1,-1572.969988916582,-262.5,1312.9698,30,1998,1234.7083177566528,706427,0.0,1.3120164,0.9953925064764917,0.00083354174,0.0015661959,0.0015661959
-0.7922486,347.2,-1571.549335573171,-275.0,1301.5493,29,2027,1250.549974679947,716492,0.0,1.307677,0.9541663564741611,0.0011802387,0.0031279982,0.0031279982
-0.7732507,347.575,-1580.6762629311183,-268.75,1310.6763,30,2057,1266.0165150165558,726915,0.0,1.3057907,0.995509116910398,0.00088950945,0.0015493508,0.0015493508
-0.7368039,347.875,-1594.5444727667161,-256.25,1339.5444,29,2086,1281.8049914836884,737019,0.0,1.312683,0.9868891341611743,0.0004546906,0.0007972121,0.0007972121
-0.71805876,348.175,-1598.268176674242,-250.0,1343.2681,30,2116,1297.9271352291107,747459,0.0,1.294693,0.9686294458806515,0.00090910785,0.0009887184,0.0009887184
-0.73427564,348.875,-1580.2208805542405,-256.25,1325.221,29,2145,1314.4603230953217,757580,0.0,1.3007023,0.9837190192192793,0.0007882683,0.0017368734,0.0017368734
-0.7176961,348.35,-1610.7295149826211,-250.0,1360.7294,29,2174,1331.8654346466064,767680,0.0,1.2986873,0.9712713025510311,0.0013616986,0.0013626921,0.0013626921
-0.80393696,349.3,-1630.6568249140514,-281.25,1355.6569,30,2204,1348.349835395813,778173,0.0,1.3050103,0.9387293383479118,0.00082834123,0.0022672177,0.0022672177
-0.8217913,349.2,-1621.9544533280912,-287.5,1341.9546,29,2233,1364.8069279193878,788281,0.0,1.3142273,0.987734142690897,0.0008152767,0.0023555488,0.0023555488
-0.71790344,348.25,-1643.9882879899324,-250.0,1388.9883,30,2263,1381.3894138336182,798719,0.0,1.307266,0.99103042203933,0.0009741526,0.0023936382,0.0023936382
-0.73688865,347.75,-1641.6052215586649,-256.25,1386.6051,29,2292,1398.9481806755066,808797,0.0,1.2985077,0.9789705891162157,0.00050747406,0.00072423666,0.00072423666
-0.71949774,347.475,-1623.8652172884435,-250.0,1373.8651,29,2321,1415.7024130821228,818865,0.0,1.2819777,0.9943242790177464,0.0012719876,0.0010808784,0.0010808784
-0.75707996,346.775,-1628.7915076967943,-262.5,1368.7915,30,2351,1432.6488761901855,829261,0.0,1.2834041,0.9768710006028414,0.0012207159,0.002294302,0.002294302
-0.7207181,346.9,-1627.4557828583588,-250.0,1372.4558,30,2381,1449.3028628826141,839677,0.0,1.2752864,0.9961672159843147,0.0014518739,0.0015490663,0.0015490663
-0.7210848,346.725,-1638.1803885172783,-250.0,1388.1804,29,2410,1465.8901326656342,849709,0.0,1.2753143,0.9730692226439714,0.0014928352,0.0017882256,0.0017882256
-0.75534916,347.425,-1640.9042887400076,-262.5,1380.9044,30,2440,1483.3750276565552,860144,0.0,1.2761801,0.9792287070304155,0.00032634923,0.0014547005,0.0014547005
-0.77465796,347.225,-1648.4784774782374,-268.75,1383.4784,29,2469,1500.2354145050049,870203,0.0,1.2687985,0.9743674099445343,0.0002814888,0.0010890483,0.0010890483
-0.7732593,347.925,-1646.9548115437892,-268.75,1381.9547,29,2498,1516.5631642341614,880305,0.0,1.2665823,0.9667959474027157,0.00042461156,0.001240921,0.001240921
-0.75380576,347.875,-1627.177735520515,-262.5,1362.1776,30,2528,1532.7391338348389,890744,0.0,1.2627746,0.9707535598427057,0.000703198,0.0031701506,0.0031701506
-0.71982163,347.325,-1624.6482195186638,-250.0,1374.6481,29,2557,1548.8592631816864,900808,0.0,1.2503098,0.9840911589562893,0.0010704675,0.0012342952,0.0012342952
-0.721316,346.6,-1631.8503751507922,-250.0,1381.8503,30,2587,1565.653326034546,911205,0.0,1.2380214,0.995550140272826,0.0011034608,0.0017693102,0.0017693102
-0.7397553,346.45,-1619.9968130915806,-256.25,1364.9967,29,2616,1581.9737129211426,921261,0.0,1.2252969,0.961315106600523,0.0009847066,0.0020994544,0.0020994544
-0.7557348,356.0,-1642.2609999588842,-268.75,1377.261,29,2645,1621.0346462726593,931679,0.0,1.2221229,0.9858441855758429,0.00036429343,0.0014997721,0.0014997721
-0.73725015,347.7,-1620.7012944280284,-256.25,1360.7013,29,2674,1637.5400350093842,941754,0.0,1.2181594,0.9845354240387678,0.0008642416,0.003185451,0.003185451
-0.7192922,347.575,-1618.8574828840326,-250.0,1363.8575,30,2704,1654.0144114494324,952189,0.0,1.2119591,0.9947871724143624,0.00082758087,0.0007437534,0.0007437534
-0.71768814,348.35,-1609.4761827937928,-250.0,1359.4762,29,2733,1670.5357401371002,962300,0.0,1.2289014,0.995517869014293,0.0007993182,0.00062576757,0.00062576757
-0.73504555,348.5,-1620.3125854110192,-256.25,1365.3126,30,2763,1686.9265429973602,972750,0.0,1.23853,0.9782232455909252,0.00063431304,0.0011935234,0.0011935234
-0.71944773,347.5,-1633.9716169207513,-250.0,1378.9717,29,2792,1703.2682104110718,982826,0.0,1.247971,0.986470889300108,0.0008867083,0.0017851146,0.0017851146
-0.7205353,346.975,-1642.2718703983733,-250.0,1392.2717,30,2822,1720.3262400627136,993239,0.0,1.244735,0.9920787289738655,0.0003445941,0.0005234409,0.0005234409
-0.7187275,347.85,-1647.5541279235633,-250.0,1397.5542,29,2851,1736.3945591449738,1003337,0.0,1.2607237,0.9948126110248268,0.00095606723,0.0018702798,0.0018702798
-0.75366294,348.375,-1646.2436712356239,-262.5,1386.2437,29,2880,1752.7262680530548,1013439,0.0,1.2558557,0.9597400315105915,0.00034404575,0.0025036545,0.0025036545
-0.75356233,348.425,-1645.1397544642768,-262.5,1385.1399,30,2910,1769.27223610878,1023898,0.0,1.2631178,0.9710050560534,0.0007172204,0.00044920776,0.00044920776
-0.71697026,348.7,-1636.2154896749535,-250.0,1386.2155,29,2939,1786.0287477970123,1034003,0.0,1.2660066,0.9858306460082531,0.0007647115,0.00078544195,0.00078544195
-0.7166597,348.85,-1637.645520574931,-250.0,1387.6456,30,2969,1802.6721839904785,1044466,0.0,1.2574035,0.995670149102807,0.0003479026,0.0007207755,0.0007207755
-0.7690704,349.225,-1628.149980158991,-268.75,1363.15,29,2998,1819.162365913391,1054595,0.0,1.2568508,0.9665929861366749,0.0008871585,0.0029084503,0.0029084503
-0.7527913,348.525,-1630.230523967135,-262.5,1365.2306,29,3027,1835.5011875629425,1064691,0.0,1.2473571,0.9745962116867304,0.0009321603,0.0017564774,0.0017564774
-0.7364248,347.875,-1630.9086139956376,-256.25,1375.9086,30,3057,1851.8885037899017,1075124,0.0,1.2435253,0.9943945398554206,0.0010194241,0.0024465406,0.0024465406
-0.71934384,347.55,-1627.8664976565112,-250.0,1377.8666,29,3086,1868.1891226768494,1085203,0.0,1.2521788,0.9954186561517417,0.0009731628,0.0013309738,0.0013309738
-0.71881884,347.8,-1610.908886814624,-250.0,1360.9089,30,3116,1884.4671757221222,1095634,0.0,1.2585632,0.9954613815061748,0.0012045074,0.0027707443,0.0027707443
