# {"t_start": 1566431936.474408, "env_id": "SignalizedEco-v0"} 
r,l,t
-6000,770,56.143949
-2750,663,56.754552
0,511,57.146264
-2250,486,57.521793
-1000,495,57.885338
-750,303,58.105467
-5250,802,58.689306
-6000,1001,59.448132
-1750,361,59.715939
-250,308,59.950298
-3250,852,60.596726
-6500,528,61.008449
-2500,610,61.461576
0,263,61.680327
-3000,466,62.041062
-2000,471,62.38693
0,477,62.737143
-2750,488,63.096517
-2250,444,63.436571
-6000,592,63.878278
-7500,976,72.402431
-1500,460,72.735389
-500,315,72.971113
-3250,646,73.450473
-2250,464,73.809851
-6500,557,74.310969
500,237,74.482846
0,307,74.796458
-9500,839,75.580736
-1250,280,75.815111
-3250,401,76.148681
-5750,715,76.768141
-250,350,77.080644
-7500,744,77.646355
-750,293,77.884645
-1000,572,78.326469
250,337,78.577827
-750,456,78.92575
-1750,740,79.552215
-1750,500,79.936789
-2250,645,87.723926
250,275,87.948143
-4250,804,88.578646
-1500,460,88.942239
-750,429,89.27173
-4250,564,89.71185
-750,310,89.950389
250,248,90.13789
-7000,549,90.57539
0,278,90.779545
0,375,91.065044
-1750,347,91.330673
-500,302,91.565045
-500,287,91.7838
-1500,502,92.23829
-11500,1001,93.070635
500,235,93.25814
-1000,298,93.509425
-2500,550,93.94025
-750,420,94.268375
-3500,621,94.828422
-1750,606,95.299312
-1500,616,103.019361
-1500,544,103.443385
-750,278,103.646511
-250,505,104.037134
-2250,335,104.288363
-500,385,104.575334
-1000,487,104.952492
0,284,105.171241
-5250,511,105.561869
-1500,607,106.034024
-1000,443,106.393393
-1250,476,106.752769
-4750,677,107.271121
-1000,358,107.536748
-6500,624,108.021121
-250,414,108.333624
-4500,530,108.730248
-1750,379,109.015703
-250,424,109.343825
-3500,587,109.782695
-750,298,110.021242
-500,529,110.427492
-3000,377,117.779617
-3500,559,118.211668
-1250,316,118.449979
-750,539,118.866319
250,275,119.066901
-2250,522,119.467715
250,246,119.667853
-500,445,119.999574
-1250,570,120.44706
-250,251,120.63323
-2250,442,120.970367
-1000,421,121.302178
-750,475,121.656428
-500,491,122.036101
-250,403,122.335094
-500,443,122.673743
0,339,122.921173
-2250,435,123.259785
-500,393,123.560358
-750,419,123.892612
-250,324,124.142751
-750,476,124.517215
-1750,498,124.894013
-500,338,125.163103
-2750,371,125.441444
-3000,414,133.750323
0,259,133.961577
-1500,372,134.248298
-4000,458,134.597645
0,258,134.805016
0,473,135.180029
0,235,135.36754
0,261,135.565724
-500,366,135.851219
-2750,423,136.185546
-3250,340,136.451182
-1750,282,136.669951
-6250,591,137.155553
-500,300,137.378481
-500,393,137.69098
500,260,137.882612
-1250,292,138.120148
-500,322,138.371387
-1000,505,138.749573
-750,278,138.968324
-750,287,139.187603
-1750,374,139.474481
250,398,139.777082
-7000,586,140.218754
-1500,378,140.500003
-500,223,140.676483
-1500,552,141.08814
-750,411,141.404876
-250,260,148.701039
500,251,148.953197
0,353,149.235261
-2000,287,149.458201
0,361,149.740936
0,266,149.962843
-1000,293,150.197218
0,275,150.40036
250,235,150.587857
-250,350,150.870392
-250,252,151.083781
-250,422,151.416147
-750,204,151.572397
-4250,488,151.947393
250,308,152.198664
-250,326,152.437236
-250,347,152.718479
500,370,152.999716
0,256,153.187218
-250,214,153.360354
-250,346,153.614607
250,263,153.821964
-250,230,153.998017
0,223,154.163555
500,242,154.353197
500,236,154.525074
-2500,280,154.74529
250,245,154.92134
0,280,155.14012
-500,294,155.358852
-1000,201,155.524034
-1000,293,155.751118
-750,293,155.97408
0,381,156.276436
-1250,367,156.5577
-2000,314,164.193729
-500,219,164.367028
-500,195,164.50984
-500,221,164.68312
-1500,332,164.937477
-250,223,165.109355
-750,286,165.328105
-250,285,165.54685
-500,225,165.720039
-250,257,165.911805
500,246,166.099288
250,231,166.280806
-250,280,166.503826
250,242,166.691327
-750,362,166.973836
-1000,302,167.196873
-750,356,167.478124
-3000,416,167.821855
-1000,345,168.087481
-1750,323,168.338673
-500,267,168.546013
-750,213,168.717918
-250,330,168.967918
-500,198,169.108538
-500,245,169.305497
-500,397,169.606549
0,264,169.811153
-500,197,169.953912
-500,310,170.219541
-500,283,170.453915
-250,329,170.719541
250,253,170.922663
0,265,171.142624
250,250,171.331236
-1750,304,171.581234
-500,260,171.784364
0,255,179.813854
-500,222,179.989959
-1000,204,180.146208
-750,218,180.318611
-250,220,180.50721
-250,236,180.695992
-500,295,180.915829
-750,207,181.087706
-750,190,181.243956
250,229,181.416859
-750,195,181.573111
-250,164,181.699215
-500,250,181.903652
0,209,182.059903
0,244,182.251633
250,268,182.470383
-500,234,182.657885
-1750,301,182.907884
0,331,183.177928
-1000,195,183.338551
-750,199,183.494817
-1000,206,183.655275
-750,182,183.809726
0,274,184.028476
250,371,184.322356
-750,219,184.494766
-500,317,184.741309
-500,191,184.898649
-500,304,185.127158
-250,279,185.341381
-500,210,185.501819
-750,190,185.642459
0,264,185.84559
-1000,172,185.970588
0,257,186.175005
250,259,186.363626
250,243,186.551115
-1250,266,186.754234
-750,287,186.972986
-500,404,187.285483
250,224,187.458666
-500,317,187.697221
0,440,195.269692
-250,322,195.551486
250,236,195.738982
0,268,195.946289
-750,299,196.19629
-500,291,196.415058
250,341,196.681229
-500,362,196.951037
-250,320,197.206537
-250,353,197.487788
-500,215,197.659664
-250,324,197.940915
0,288,198.15966
-500,302,198.410864
-250,225,198.599507
500,244,198.81826
-1000,197,198.99013
-750,222,199.162001
-750,205,199.318252
-500,225,199.490129
-1000,199,199.646908
-750,204,199.803157
-500,272,200.026141
250,260,200.229268
-250,271,200.432393
-500,277,200.651141
250,244,200.838641
-250,255,201.026141
0,261,201.230487
-250,264,201.422229
250,235,201.609729
-500,197,201.750355
-500,313,202.000355
-750,277,202.203497
-1000,202,202.359747
-2250,306,202.595371
-250,244,202.784716
250,247,202.972217
-250,272,210.418669
250,292,210.688849
500,246,210.907552
0,230,211.099237
-750,223,211.286752
0,264,211.489874
-500,385,211.811629
0,260,212.020187
500,239,212.196268
250,242,212.383765
-250,304,212.618141
-500,224,212.821269
-500,215,213.008771
-500,232,213.189335
-500,222,213.366698
250,264,213.588676
0,266,213.796351
-250,220,213.97248
250,264,214.19123
-500,291,214.425602
-1000,183,214.566227
500,249,214.764832
-250,303,214.987773
-750,359,215.284632
-250,228,215.457851
-500,349,215.742176
-500,221,215.902597
-250,212,216.075706
500,311,216.314303
0,242,216.501804
-500,273,216.704931
-250,371,216.986182
-750,314,217.227887
-500,287,217.473842
-250,217,217.658459
-500,214,217.821042
-750,214,217.99002
-250,265,218.190585
0,235,218.359866
-1000,188,218.50703
-250,208,226.027062
0,265,226.238761
250,263,226.477089
250,258,226.677646
-750,222,226.849822
-1000,204,227.009503
-1000,199,227.160828
-250,261,227.360351
-1000,193,227.52385
0,263,227.742616
-1000,297,227.992613
250,259,228.195738
500,249,228.384424
-750,203,228.560519
0,256,228.779273
-500,291,229.029272
-500,218,229.232395
-500,228,229.419896
-250,212,229.62325
-500,222,229.796378
-250,275,230.015135
-1000,300,230.282548
-250,265,230.516917
-250,300,230.751837
250,237,230.942517
-1000,206,231.131301
-750,217,231.307361
0,266,231.52611
-500,299,231.760484
-750,279,231.963631
-250,295,232.197986
-250,257,232.385504
-750,299,232.622156
0,230,232.79403
-2500,343,233.048815
250,262,233.251942
250,232,233.42382
-750,204,233.580065
-500,212,233.736316
-750,188,233.87817
250,258,234.075036
-250,304,241.724888
-500,227,241.912396
-750,194,242.085505
0,264,242.291847
-500,230,242.479346
0,284,242.698115
-1000,192,242.854365
250,238,243.026222
0,249,243.2234
-750,276,243.44758
-750,215,243.621597
-250,283,243.840364
-500,308,244.074722
250,266,244.293474
0,237,244.465348
500,264,244.674383
250,251,244.877507
-250,241,245.053597
0,369,245.350452
0,310,245.590394
-250,227,245.762282
250,238,245.949795
-1250,330,246.20102
-750,258,246.40835
-250,225,246.580224
-750,306,246.830231
500,246,247.048979
-750,222,247.246511
-500,279,247.480886
-750,213,247.656937
-1500,277,247.867313
-250,387,248.168401
-500,290,248.402777
-250,210,248.559027
-1000,261,248.763353
-1000,225,248.935244
-1500,317,249.189439
0,274,249.39256
250,236,249.580061
-250,317,257.195148
-500,284,257.429527
-250,236,257.648276
250,269,257.88265
-500,264,258.101401
-500,228,258.273271
-500,297,258.51307
-750,214,258.684956
0,260,258.903712
250,239,259.122457
250,243,259.309955
250,256,259.506495
-1000,186,259.651327
-250,222,259.824462
-1000,227,259.999589
-250,273,260.233963
-250,246,260.422834
0,279,260.645785
0,232,260.817659
-250,354,261.100186
500,237,261.276298
500,249,261.46378
-500,321,261.713782
0,248,261.916908
-500,273,262.120048
0,259,262.323158
0,239,262.511868
0,277,262.71817
-750,232,262.905689
250,243,263.093188
250,249,263.304866
-250,248,263.501226
250,248,263.692901
0,234,263.989779
-500,238,264.271028
-750,325,264.525335
-500,229,264.779457
-250,295,265.091957
250,248,265.295079
-500,315,265.550738
-250,300,273.161977
250,261,273.350777
-250,243,273.538259
-750,186,273.697682
250,244,273.886201
250,265,274.089341
-500,218,274.2612
-1000,202,274.417463
250,252,274.605996
-500,221,274.777853
500,251,274.969666
-250,234,275.146503
250,257,275.349623
-750,217,275.527193
250,258,275.732487
-750,186,275.873114
0,241,276.065278
-250,242,276.272609
-250,230,276.444486
-2750,290,276.678867
-750,214,276.88199
-250,226,277.069493
0,236,277.256989
-250,274,277.477018
-500,221,277.664517
0,256,277.871794
-1000,199,278.012438
0,277,278.246795
-250,241,278.449922
-500,331,278.731171
0,249,278.919921
0,246,279.110554
0,259,279.329309
500,242,279.532429
250,262,279.719929
-500,208,279.891809
-250,227,280.063679
0,264,280.252372
250,270,280.476651
-1000,201,280.632906
0,234,280.811367
500,275,281.034291
250,251,288.52756
-250,239,288.71508
0,239,288.90258
0,257,289.09008
-250,267,289.293204
