ERewMean,EpLenMean,EpRewE,EpRewMean,EpRewOther,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,entloss,entropy,ev_tdlam_before,meankl,optimgain,surrgain
-9.894587,597.2941176470588,-1159.652289529622,-6944.5884,-5784.9385,17,17,57.30259037017822,10154,0.28962407,1.4481204,0.0002624392509460449,0.00092835573,0.29311907,0.0034950003
-8.723954,589.8823529411765,-1142.2152093609684,-5959.1763,-4816.9634,17,34,72.51154375076294,20056,0.29550532,1.4775265,0.18112945556640625,0.00092679204,0.29785115,0.0023458302
-6.3162203,510.15,-1135.532367803599,-3701.55,-3246.9487,22,56,87.93160772323608,30191,0.30125672,1.5062835,0.45531654357910156,0.00093131623,0.30399475,0.0027380153
-5.22244,468.95,-1121.2618984256508,-2612.9,-1571.4185,22,78,104.04397344589233,40687,0.30690846,1.5345422,0.6770384907722473,0.00092856213,0.3095987,0.0026902526
-4.7583466,413.25,-1158.4904960736922,-2107.75,-1099.8695,27,105,119.45858216285706,51110,0.312561,1.562805,0.7385330200195312,0.00092378474,0.31450436,0.0019433468
-4.7444444,388.05,-1240.019839377167,-2051.1,-763.18005,26,131,134.99128770828247,61219,0.3182135,1.5910674,0.7632776945829391,0.00091714633,0.32095698,0.0027434707
-4.1538568,337.125,-1326.5392997257143,-1480.5,-329.3807,31,162,150.8335518836975,71093,0.32379463,1.6189731,0.7863870710134506,0.0009302761,0.32599977,0.0022051216
-4.3254423,301.4,-1390.6720847740683,-1440.3,-47.12826,35,197,166.4602015018463,81641,0.32901523,1.645076,0.8640172779560089,0.0009343745,0.33198416,0.0029689518
-4.117476,290.925,-1377.232739000978,-1175.6,211.95279,35,232,182.0568745136261,91935,0.33409488,1.6704744,0.8959498032927513,0.00092460786,0.33664238,0.0025475144
-3.540924,262.175,-1501.1993953308622,-918.1,509.71936,39,271,198.08986854553223,102194,0.33919388,1.6959693,0.9329209476709366,0.00091548695,0.34175348,0.0025596141
-3.8219543,247.9,-1544.1019340456405,-920.8,545.42194,42,313,213.71357417106628,112592,0.34465337,1.7232668,0.9164311438798904,0.000899779,0.34731045,0.0026570826
-3.5879502,247.3,-1530.4505807981902,-882.1,580.4107,41,354,229.80744624137878,122719,0.34975582,1.748779,0.9315330758690834,0.0008863668,0.35214636,0.0023905323
-4.0797915,237.175,-1549.25998585327,-918.1,629.3,43,397,245.7134530544281,132901,0.35513738,1.7756869,0.9385172687470913,0.00087217835,0.35585773,0.00072035193
-3.7828078,234.9,-1638.9468016289102,-844.8,792.7468,44,441,261.3288986682892,143322,0.36097223,1.8048611,0.9427769631147385,0.00090923056,0.36150527,0.0005330384
-3.183996,238.825,-1544.6075485059437,-733.9,812.6875,43,484,277.7197890281677,153578,0.36630794,1.8315398,0.9388633780181408,0.00089913403,0.36904398,0.0027360439
-3.1606286,246.1,-1615.6372651669722,-767.2,833.1972,41,525,293.57066226005554,163635,0.37200502,1.860025,0.9349970892071724,0.00090713426,0.37301815,0.0010131449
-3.3046622,245.45,-1507.97957674878,-797.15,714.4196,42,567,309.8646049499512,173962,0.37716445,1.8858223,0.9221850261092186,0.0008835678,0.37920475,0.0020403028
-3.0878592,240.15,-1550.833547067284,-705.3,812.0337,42,609,325.25655221939087,184076,0.3822902,1.9114511,0.931945227086544,0.0008977711,0.38389876,0.0016085372
-2.7624285,240.7,-1594.9406000631218,-643.9,951.1007,43,652,340.7871832847595,194455,0.38751435,1.9375718,0.9367625117301941,0.0008972004,0.38855615,0.0010418042
-2.221936,248.975,-1622.0699312059287,-547.95,1048.1099,41,693,356.49859380722046,204753,0.39311728,1.9655863,0.9145809710025787,0.00090527034,0.39444572,0.0013284534
-2.324058,249.825,-1610.0095837062286,-574.65,1055.5696,41,734,372.7116756439209,214986,0.39868903,1.9934452,0.9167120084166527,0.00090792886,0.40005165,0.001362636
-2.3649776,244.675,-1662.103586033832,-564.35,1093.2236,42,776,388.3888454437256,225239,0.40400383,2.020019,0.9229627922177315,0.00090380927,0.40511465,0.0011108101
-2.7528775,237.825,-1640.236964143267,-644.4,989.63696,43,819,404.14425826072693,235455,0.40852997,2.0426497,0.933298334479332,0.0008855694,0.41113397,0.0026040003
-1.9683266,248.575,-1641.1998663791082,-484.65,1105.8397,41,860,419.94448685646057,245677,0.4139626,2.069813,0.9309830144047737,0.00090526324,0.4153849,0.001422295
-1.6403751,254.225,-1683.748907439557,-427.2,1223.3889,40,900,436.72501826286316,255846,0.41940928,2.0970464,0.9471792243421078,0.0008793358,0.42053273,0.0011234641
-1.9809147,247.1,-1710.190762223664,-481.7,1189.5907,41,941,453.5746076107025,266007,0.4248557,2.1242785,0.9451717361807823,0.00088437815,0.42562053,0.00076482893
-1.7434919,255.65,-1704.7616761808695,-455.05,1245.7616,41,982,469.68679118156433,276476,0.43005142,2.150257,0.946926936507225,0.00091345375,0.43086123,0.0008098036
-1.504743,241.4,-1768.639457478473,-357.8,1394.4393,42,1024,485.3118095397949,286641,0.43578935,2.1789467,0.9499288946390152,0.000893301,0.4363601,0.0005707465
-1.6149318,242.475,-1767.1395681330855,-384.95,1383.8595,42,1066,501.06695652008057,296851,0.4412774,2.206387,0.9445218332111835,0.00090130913,0.44218606,0.00090863707
-1.4392977,251.325,-1772.8132363646457,-365.15,1401.1332,41,1107,516.5277116298676,307158,0.4463113,2.2315564,0.933560311794281,0.0008665053,0.4476962,0.0013849229
-1.4981271,245.675,-1789.7367164887442,-366.35,1447.8966,41,1148,546.9789190292358,317278,0.45116526,2.2558262,0.946896530687809,0.0008431105,0.4525342,0.0013689399
