# {"t_start": 1566438226.058836, "env_id": "SignalizedEco-v0"} 
r,l,t
-2041.374214,382,32.066603
-3372.850904,508,32.522138
-8240.404263,514,32.921805
-1556.37037,468,33.291139
-7578.983972,739,33.870643
-8110.977249,581,34.310262
-2377.62431,392,37.601783
-2288.296296,371,37.9023
-3826.128472,570,38.334662
-4368.930357,431,38.666793
-5059.416628,550,39.10536
-4778.042072,477,39.48135
-9735.332365,885,42.284526
-3911.251674,809,42.91832
-3029.718185,517,43.324569
-3327.136339,503,43.715193
-3919.760107,456,44.065646
-2206.200714,331,44.335454
-1717.087302,364,46.71659
-5821.748671,508,47.103131
-5452.44325,645,47.603132
-2680.905552,449,47.986807
-5333.270692,632,48.522261
-5758.864297,669,51.199471
-3776.392418,532,51.594296
-3936.313131,493,51.969299
-2456.674724,316,52.221584
-5487.252869,481,52.600829
-2372.433094,386,52.897723
-6068.061713,538,53.319579
-2448.252902,424,55.781027
-1648.993311,374,56.095147
-1795.129641,430,56.44206
-2638.177651,359,56.710104
-1888.751287,335,56.993522
-2467.983435,349,57.274771
-5050.19647,515,57.733315
-3000.762246,462,58.123941
-2562.788767,480,60.672271
-2432.357144,448,61.016022
-1590.055556,371,61.3129
-3079.909472,443,61.704854
-2118.419952,445,62.049736
-2419.823909,395,62.362236
-2955.216463,475,62.737235
-2346.432312,484,65.359225
-2448.559031,433,65.688593
-2384.43284,284,65.922985
-2794.30581,335,66.191788
-1399.280423,363,66.504287
-3499.221163,475,66.894912
-2429.739646,453,67.239941
-2647.538949,404,69.650731
-2256.431633,383,69.94907
-2584.774349,395,70.279443
-2742.791826,441,70.62741
-3797.692663,389,70.939913
-2279.850392,505,71.348106
-3672.125583,454,71.691887
-3369.814807,428,72.021059
-2573.693057,373,74.503267
-3093.133052,390,74.800141
-3767.393782,391,75.102308
-1979.712888,501,75.543245
-2756.434326,479,75.955171
-1794.336526,423,76.283297
-2438.241588,437,76.628274
-1913.344411,292,79.060272
-3386.970335,477,79.425094
-2479.364144,361,79.694934
-2949.508756,413,80.039864
-6083.64434,451,80.431629
-2514.53473,439,80.776604
-1921.575351,491,81.170388
-2556.47753,503,83.633567
-2045.779813,422,83.962235
-2981.783656,386,84.262248
-2715.024808,374,84.54452
-2929.110559,458,84.90514
-2420.907272,404,85.22182
-2620.458857,419,85.549957
-2831.553054,464,87.974467
-3106.777944,479,88.3807
-1759.345284,407,88.724448
-2271.46626,377,89.032611
-2422.014647,407,89.38493
-2008.927083,376,89.697429
-2316.38564,410,90.075763
-2319.975694,368,90.42813
-2924.11365,483,93.05791
-2392.182713,401,93.405854
-1832.210019,442,93.76523
-4300.291773,454,94.142629
-1493.788609,477,94.537448
-1998.491898,359,94.834324
-1763.123843,448,95.193699
-2083.978106,382,97.677763
-2815.949156,464,98.041368
-1912.38923,457,98.402054
-1801.207535,433,98.734373
-2552.516357,435,99.110622
-2667.691423,430,99.474193
-2250.033261,454,99.819221
-2067.365828,414,102.264402
-2842.170869,431,102.598021
-3252.794056,476,102.977217
-2231.931985,439,103.320968
-2499.213363,447,103.711593
-2501.853586,321,103.962818
-2734.631872,388,104.277639
-1662.432112,412,106.678428
-2729.999035,420,106.993082
-2326.872908,415,107.321199
-2726.316871,456,107.680561
-2168.876112,481,108.072463
-1886.512042,430,108.404752
-2031.427842,388,108.717251
-2050.126519,426,111.136147
-2456.143556,463,111.490888
-1909.559427,413,111.805661
-2333.084962,456,112.139726
-2179.185356,454,112.518991
-2746.320602,472,112.878366
-2724.71611,408,113.190884
-1805.096424,423,115.603674
-2518.607037,450,115.931781
-2232.593562,439,116.276812
-1704.171141,438,116.606027
-1709.453202,424,116.949777
-2916.224868,368,117.232087
-2243.3097,339,117.487622
-2096.997934,403,117.804336
-2357.269134,402,120.201145
-3104.467042,297,120.424132
-2366.277057,431,120.752269
-1324.121693,378,121.033538
-1012.452381,347,121.330395
-2106.199511,367,121.628504
-3705.096768,446,121.975408
-1684.480843,396,122.272282
-2112.700567,428,124.681876
-3019.768332,406,124.97875
-3403.886649,412,125.29125
-2848.44779,434,125.635001
-1894.175607,432,125.981145
-2708.833085,456,126.325402
-1649.140212,375,126.610844
-2859.684547,403,128.996165
-2602.006812,436,129.336364
-2004.555099,417,129.652387
-2397.937859,403,129.952962
-1907.924466,432,130.306828
-2392.689198,326,130.554307
-2851.922733,408,130.877295
-2566.373864,458,131.224369
-1485.640394,410,133.64776
-3174.036795,393,133.947125
-2232.074713,322,134.184972
-2670.167944,444,134.532315
-1414.775041,411,134.864388
-1747.863985,410,135.180923
-2126.929737,313,135.419307
-1422.760263,427,135.751247
-1487.093231,434,138.161325
-2427.593591,370,138.4421
-1674.219577,380,138.726951
-2064.051086,392,139.043092
-1794.733222,432,139.390603
-2808.747425,393,139.691731
-1753.061995,358,139.972978
-2413.028935,399,142.377758
-1893.455665,434,142.705902
-2216.646601,361,142.971511
-1747.98011,413,143.284009
-3886.499071,468,143.664464
-1641.776957,391,143.961338
-2539.441434,403,144.275234
-2245.972336,334,144.529404
-2332.097166,327,146.855045
-2106.851572,424,147.167566
-2125.518883,412,147.481072
-1006.547619,350,147.751035
-2505.28836,354,148.032283
-2117.228249,418,148.360406
-3335.794292,394,148.663022
-1755.759259,342,148.929913
-2220.749784,327,151.262605
-1728.314815,363,151.543839
-1734.187831,358,151.828444
-2391.256426,388,152.172195
-1894.049535,379,152.50032
-1534.357143,352,152.797194
-2430.724363,316,153.064097
-2265.008326,336,153.349518
-3024.35323,395,153.678173
-1380.730159,361,156.15902
-2096.260002,373,156.47752
-1316.640212,365,156.765037
-1708.738095,338,157.031975
-2148.45977,404,157.364321
-2409.585604,366,157.676819
-1700.024858,361,157.958069
-1893.428571,411,158.317446
-1313.460317,373,160.740893
-1374.777778,361,161.006498
-2049.757526,333,161.257738
-1053.537037,352,161.527616
-2366.063595,327,161.793241
-1371.925926,348,162.058867
-2521.31805,326,162.324492
-1661.944444,380,162.638217
-2684.367934,393,162.939266
-1214.880952,350,165.358065
-1531.190972,348,165.628386
-1637.925926,356,165.913848
-1379.343915,357,166.195098
-2350.806884,333,166.460723
-1755.018519,372,166.743191
-2338.617229,342,167.059894
-1766.140212,341,167.342356
-2771.612425,319,190.062345
-1953.26703,354,190.390472
-1363.566138,363,190.671719
-2189.282404,389,190.977568
-1327.444444,379,191.258819
-1341.0,358,191.540069
-1954.928571,348,191.805695
-2565.478916,371,192.092152
-2990.614955,360,192.373403
-1986.127149,372,194.807193
-1556.121693,369,195.104067
-2052.455627,380,195.402133
-2020.093374,380,195.687579
-4627.951846,398,196.002874
-3302.848263,375,196.28526
-2436.554465,375,196.583359
-1778.484127,357,196.851143
-1372.698413,355,199.21113
-1407.862434,362,199.513679
-1474.738095,346,199.779317
-2819.513578,329,200.029318
-1372.148148,362,200.310567
-1926.765046,340,200.576191
-1380.037037,359,200.858782
-1311.380952,367,201.142719
-1996.491898,338,201.39691
-1359.216931,339,203.792231
-2076.608383,371,204.089105
-1319.269841,364,204.361147
-1358.857143,358,204.644535
-1767.833333,356,204.911929
-1384.603175,355,205.195312
-1690.689929,382,205.492189
-1605.534392,357,205.757813
-2043.746528,339,208.127253
-2539.489516,327,208.377266
-2104.433862,371,208.663972
-956.97619,352,208.945225
-1307.365079,364,209.226475
-2387.986096,329,209.481056
-1744.378307,350,209.747697
-1624.857639,334,209.997698
-1422.94709,354,210.278947
-1320.513228,359,212.647561
-1334.497354,365,212.930042
-1710.880952,348,213.199879
-1323.142857,358,213.481124
-1004.595238,352,213.777999
-948.880952,342,214.044149
-1684.818008,400,214.346656
-1326.465608,359,214.629109
-2230.940401,370,214.910358
-966.785714,345,217.295453
-1329.238095,367,217.576704
-964.928571,353,217.859141
-1393.778274,351,218.128956
-1959.768494,364,218.411467
-2112.386243,342,218.680264
-1030.404762,353,218.961513
-1773.997354,341,219.227141
-1353.185185,334,219.478473
-1385.878307,352,221.85321
-1396.31746,343,222.120259
-1857.379605,351,222.40573
-1378.650794,355,222.707993
-1335.740741,360,222.989245
-2040.373016,356,223.260065
-958.880952,347,223.525689
-1347.645503,360,223.839871
-1839.613757,354,226.227592
-1401.216931,360,226.511022
-1873.391534,357,226.782103
