ERewMean,EpLenMean,EpRewE,EpRewMean,EpRewOther,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,entloss,entropy,ev_tdlam_before,meankl,optimgain,surrgain
-8.710183,578.0,-1057.3489366982474,-5043.3276,-3985.9792,5,5,35.583449602127075,2890,0.0,1.4367279,0.00014781951904296875,0.0008878757,0.0030047463,0.0030047463
-9.147193,604.1,-1063.777476653401,-5542.5845,-4478.808,5,10,39.915799140930176,6041,0.0,1.4462557,7.510185241699219e-06,0.00085135404,0.004387054,0.004387054
-8.73873,586.0666666666667,-1012.6794356103868,-5156.867,-4144.1885,5,15,44.14940142631531,8791,0.0,1.4622732,0.0,0.00086826785,0.0026107095,0.0026107095
-8.469558,570.3333333333334,-991.5952009158034,-4852.8916,-3861.2969,6,21,48.361894607543945,11977,0.0,1.4854994,1.7881393432617188e-07,0.00083365734,0.0036076636,0.0036076636
-7.9600677,547.25,-994.9910129799433,-4398.1265,-3403.1365,7,28,52.58979249000549,15323,0.0,1.4892306,2.980232238769531e-07,0.0008283096,0.003611343,0.003611343
-7.6613374,540.969696969697,-981.0639418471201,-4188.163,-3207.0999,5,33,56.83917427062988,17852,0.0,1.490012,0.0,0.0007285476,0.002893117,0.002893117
-7.393242,546.1282051282051,-977.7522673205149,-4066.8186,-3089.0667,6,39,61.06159853935242,21299,0.0,1.4904838,2.384185791015625e-07,0.0006073479,0.0034140442,0.0034140442
-7.2687287,540.95,-971.1606495802134,-3938.989,-3090.5337,6,45,65.30097198486328,24528,0.0,1.5030581,0.04381990432739258,0.0008786058,0.002995628,0.002995628
-6.6800394,539.4,-964.6461764360088,-3559.7173,-2991.6448,5,50,69.50766658782959,27617,0.0,1.4952377,0.3872600197792053,0.0006850604,0.0027904722,0.0027904722
-6.471527,545.975,-953.0963612283824,-3483.3992,-2876.3503,5,55,73.75838661193848,30630,0.0,1.5110207,0.18944382667541504,0.0008278042,0.0036466017,0.0036466017
-6.1476946,553.125,-935.7843771336911,-3359.1968,-2621.451,5,60,77.97907042503357,33592,0.0,1.5067682,0.29495519399642944,0.00070826645,0.0038371568,0.0038371568
-5.7578483,568.775,-936.4535530601322,-3246.0535,-2463.1133,5,65,82.21140789985657,36669,0.0,1.4971327,0.3739657402038574,0.0009030448,0.0026576612,0.0026576612
-5.6031237,584.475,-930.4824546339945,-3228.429,-2261.9312,5,70,86.45970606803894,39747,0.0,1.4839482,0.5961616933345795,0.00085133617,0.0025254828,0.0025254828
-5.332484,597.275,-915.4518954638173,-3133.4985,-2135.7998,5,75,90.67880296707153,42884,0.0,1.4727508,0.7815874963998795,0.0005811948,0.0024669787,0.0024669787
-5.078697,604.2,-909.137200269898,-3018.629,-2166.137,5,80,94.95669722557068,46009,0.0,1.4681467,0.819625973701477,0.00062624086,0.002191575,0.002191575
-4.554147,615.025,-904.5989322238819,-2790.2566,-2088.8933,5,85,99.26194548606873,49129,0.0,1.4505216,0.7965972572565079,0.00080301706,0.0023826698,0.0023826698
-4.3882246,614.375,-897.2782575615852,-2685.0813,-1976.371,4,89,103.64672183990479,51609,0.0,1.4578859,0.8170627057552338,0.0008653654,0.00367031,0.00367031
-4.149781,617.7,-890.8736352276895,-2554.3657,-1851.7662,5,94,108.14274168014526,54727,0.0,1.4679021,0.8326157927513123,0.00059378985,0.0027208405,0.0027208405
-3.8821425,621.4,-889.7732310406826,-2407.39,-1729.8739,5,99,112.51047682762146,57838,0.0,1.4653658,0.8861726224422455,0.0007521643,0.003382291,0.003382291
-3.7592568,622.875,-882.3764968448851,-2340.1357,-1609.8844,5,104,116.96268963813782,60946,0.0,1.44913,0.8538792282342911,0.00065104594,0.002439048,0.002439048
