# {"t_start": 1566446896.227695, "env_id": "SignalizedEco-v0"} 
r,l,t
-5306.410387,553,42.048104
-1879.652251,373,42.374966
-3284.604894,606,42.796848
-3347.91931,286,43.004353
-3256.98229,356,43.238756
-3064.982016,340,43.478583
-3817.923975,521,43.84224
-4048.557243,327,44.076615
-4718.448621,571,47.218791
-9025.628201,612,47.656372
-5924.31379,641,48.093987
-8052.82339,748,48.624962
-2976.488303,413,48.907463
-7556.168771,712,51.390641
-5058.606134,588,51.801203
-4849.024674,563,52.193229
-4740.083545,546,52.573878
-4355.266886,445,52.890002
-5793.378822,545,53.253695
-2758.636935,534,55.578192
-2243.788465,410,55.859397
-4658.727083,589,56.281419
-5044.834174,522,56.657671
-5213.94544,599,57.069486
-2101.508542,382,57.339357
-4013.106034,540,59.656258
-2136.981512,531,60.02006
-5733.816494,474,60.365011
-4429.185078,511,60.728665
-2774.59042,431,61.025539
-2843.202082,545,61.418468
-3654.009242,542,63.718733
-2164.086901,528,64.078175
-2528.740626,500,64.426186
-3692.164892,507,64.789837
-2887.61943,686,65.259852
-3080.131245,542,67.609765
-2177.640166,589,68.046862
-2222.734871,528,68.421843
-2628.94284,567,68.828095
-2957.653091,514,69.187464
-4583.278493,600,69.609405
-2517.133791,486,71.921838
-3468.393474,595,72.343755
-3736.656665,579,72.935625
-2321.862068,623,73.420821
-1995.652422,446,73.747773
-2464.071481,595,76.124835
-3006.681364,577,76.539907
-3975.912396,590,76.971942
-2710.502865,565,77.377021
-3211.029666,588,77.794562
-3301.408081,605,78.220256
-2119.413005,540,80.555565
-3680.570727,606,80.993034
-2763.971973,620,81.444261
-3190.7671,590,81.870505
-2737.571372,553,82.26345
-3349.752326,631,84.682524
-2991.865068,550,85.073132
-2895.817598,581,85.495024
-2812.592305,597,85.93694
-3050.098635,562,86.344516
-3339.013667,611,88.730533
-2933.629184,541,89.125432
-2664.517548,620,89.562911
-2720.48474,583,89.990315
-2541.751947,570,90.38094
-2581.625038,568,92.815862
-2060.73812,632,93.273125
-1843.296256,630,93.712337
-4087.804801,646,94.175311
-3118.152349,579,94.581562
-2775.77626,611,96.961124
-1842.914341,635,97.414249
-2295.452239,654,97.89966
-2367.982433,595,98.325723
-4624.54918,618,98.764902
-2428.355307,602,101.12917
-2526.009482,613,101.566654
-2388.47256,595,101.993804
-3463.372323,573,102.405655
-1861.607391,626,102.882262
-2584.397508,577,105.215144
-2648.705233,636,105.668268
-3146.577501,621,106.122607
-2556.848281,579,106.533177
-3337.588905,638,106.987324
-2126.05305,650,109.396995
-1881.168706,637,109.854421
