ERewMean,EpLenMean,EpRewE,EpRewMean,EpRewOther,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,entloss,entropy,ev_tdlam_before,meankl,optimgain,surrgain
-6.5008616,548.0555555555555,-1083.3565235636727,-4041.6897,-2958.3333,18,18,45.460285902023315,9865,1.1597553,1.4496942,-0.0007314682006835938,0.00093253405,1.1607884,0.0010330171
-6.5262,536.078947368421,-1080.2071951401026,-3876.2595,-2796.0527,20,38,61.3874146938324,20371,1.1843743,1.4804679,0.2218564748764038,0.0009322545,1.1871996,0.002825275
-6.7783995,511.775,-1103.6269269237678,-3663.92,-2630.0,20,58,77.27966403961182,30336,1.208938,1.5111725,0.46939486265182495,0.000932247,1.2099843,0.0010463446
-6.560565,482.175,-1083.5687839238678,-3252.3364,-2285.0,22,80,92.99011254310608,40866,1.2334592,1.541824,0.5310813188552856,0.0009324177,1.2351174,0.0016581819
-6.618486,469.8,-1114.7264257074721,-3112.9204,-1990.0,21,101,108.74938607215881,51031,1.2580172,1.5725214,0.6319924890995026,0.0009324144,1.259732,0.001714766
-6.960257,483.55,-1127.0022303917428,-3547.7566,-2440.0,21,122,124.48300385475159,61193,1.2825203,1.6031504,0.6648327708244324,0.00093222794,1.284021,0.0015007555
-7.0418596,453.25,-1169.415817379604,-3316.0024,-2330.0,23,145,140.21998381614685,71406,1.3070841,1.6338551,0.8021309077739716,0.00093194505,1.3083388,0.0012546927
-7.143805,433.375,-1219.4648909229154,-3082.5847,-1810.0,25,170,156.14636898040771,81568,1.3316787,1.6645985,0.7773881703615189,0.00093264226,1.3333724,0.0016936436
-6.823593,441.7,-1178.6285777031114,-3122.792,-1905.0,22,192,171.8534243106842,92076,1.3561437,1.6951796,0.7614763677120209,0.0009317424,1.357955,0.0018112182
-6.4881783,380.3,-1245.5493849324578,-2461.8384,-1670.0,27,219,187.4483561515808,102078,1.3806195,1.7257744,0.851640909910202,0.0009325786,1.3816772,0.0010575727
-7.890077,363.55,-1341.875261816719,-2799.4824,-1400.0,27,246,203.23347187042236,112344,1.4050888,1.756361,0.8249157667160034,0.000932739,1.4074132,0.0023245066
-8.996363,377.575,-1401.588207969486,-3318.0125,-1805.0,30,276,219.31208395957947,122879,1.4294814,1.7868516,0.8481778353452682,0.0009318524,1.431334,0.0018525932
-7.275487,385.95,-1374.0395879189539,-2808.7717,-1470.0,25,301,235.10209131240845,132868,1.4537082,1.8171352,0.8788997083902359,0.0009319385,1.4550773,0.0013691485
-7.146594,368.975,-1288.3011877145675,-2654.8735,-1325.0,28,329,250.77552318572998,143040,1.4779325,1.8474156,0.8469430506229401,0.0009314876,1.4796994,0.001766932
-7.0384035,346.075,-1339.9898326244377,-2414.337,-1320.0,30,359,267.35331630706787,153483,1.5022064,1.877758,0.8953920900821686,0.000932076,1.5035933,0.0013868451
-7.3837724,351.65,-1324.6328511506647,-2563.536,-1205.0,30,389,283.711953163147,163656,1.5263104,1.907888,0.9040135070681572,0.0009310084,1.5270029,0.0006924815
-7.279896,341.75,-1355.1216914566269,-2364.3938,-1040.0,31,420,299.6833920478821,174063,1.5504885,1.9381106,0.908429816365242,0.0009312667,1.5516019,0.0011134058
-7.125293,323.675,-1418.7740466068637,-2243.9302,-845.0,31,451,315.7987844944,184256,1.5746754,1.9683443,0.9291064292192459,0.00092973805,1.5746793,3.7938357e-06
-7.2136545,314.35,-1420.3842140269653,-2303.2007,-860.0,32,483,331.52591848373413,194556,1.5989649,1.9987061,0.8877594769001007,0.00093066803,1.6002188,0.0012537986
-6.7413764,313.075,-1419.3578442048945,-2046.0823,-705.0,33,516,347.38603687286377,204568,1.623078,2.0288475,0.9281871989369392,0.0009302456,1.6233625,0.00028460697
-8.150011,286.725,-1495.973958398049,-2315.5515,-835.0,35,551,363.4330687522888,214756,1.6472353,2.0590441,0.8923253789544106,0.0009282315,1.6476172,0.00038198903
-7.744342,293.45,-1479.7488924223464,-2155.725,-740.0,34,585,379.4321391582489,225046,1.6715535,2.0894418,0.9280434250831604,0.00093088875,1.6718757,0.00032219588
-9.082422,282.975,-1556.5447927276523,-2506.1548,-845.0,37,622,395.12195801734924,235348,1.6959332,2.1199164,0.9098195433616638,0.000930148,1.6965863,0.00065305235
-8.044574,272.225,-1576.0245105936506,-2132.0837,-605.0,37,659,410.9602313041687,245515,1.7201871,2.1502337,0.9380974471569061,0.00093059614,1.7211318,0.0009447187
-7.6702604,297.725,-1528.321683624047,-2293.5308,-755.0,34,693,426.6611111164093,255935,1.7443632,2.180454,0.9179931804537773,0.00092970824,1.7429482,-0.0014150329
-8.915957,281.35,-1562.9448135725022,-2479.6829,-840.0,37,730,443.0815200805664,266219,1.7686526,2.2108157,0.9190518260002136,0.0009274261,1.769336,0.0006834805
-8.95738,270.025,-1625.405496310896,-2354.479,-680.0,38,768,459.0534451007843,276419,1.7930664,2.241333,0.9037228971719742,0.0009286927,1.7929997,-6.665885e-05
-8.3561325,272.925,-1667.6245401216097,-2211.447,-575.0,38,806,475.3287501335144,286718,1.8174171,2.2717714,0.9206959009170532,0.00092779717,1.8178089,0.00039166212
-9.129211,282.4,-1710.1647043568873,-2488.956,-730.0,36,842,491.69658732414246,296788,1.8417647,2.3022058,0.92863729596138,0.0009278509,1.8421127,0.0003480032
-8.395343,265.725,-1697.115793764665,-2158.0195,-520.0,39,881,507.9137279987335,307041,1.8662115,2.3327644,0.9561320692300797,0.0009280323,1.8653694,-0.0008420497
-9.299746,275.725,-1784.413003085422,-2539.5176,-685.0,37,918,545.6823108196259,317210,1.8906271,2.3632839,0.9319562241435051,0.00092840055,1.890236,-0.00039114355
-9.247225,271.375,-1780.4011954566784,-2508.403,-695.0,38,956,561.9723687171936,327571,1.9149479,2.3936849,0.8888856247067451,0.0009273947,1.9148396,-0.00010828078
-9.099238,267.85,-1808.149018957891,-2378.2417,-675.0,38,994,578.3956072330475,337735,1.9394512,2.424314,0.9156575575470924,0.0009295363,1.9398357,0.00038443803
-9.169535,267.1,-1803.3571697093453,-2353.766,-655.0,38,1032,594.1519083976746,347909,1.9639643,2.4549553,0.9564566649496555,0.00092967803,1.9637187,-0.00024564713
-9.253965,272.3,-1805.6738646485333,-2469.2114,-620.0,38,1070,610.6301412582397,358275,1.9884102,2.4855127,0.9483064487576485,0.0009290537,1.9888301,0.00041986108
-9.922959,255.425,-1853.917013052665,-2490.8367,-595.0,40,1110,627.3038074970245,368492,2.0128849,2.516106,0.9588022269308567,0.0009283299,2.0120754,-0.0008093864
-9.417449,264.275,-1893.970984267227,-2426.464,-565.0,39,1149,642.8290915489197,378748,2.037312,2.54664,0.9617356769740582,0.0009287904,2.0373564,4.4248252e-05
-9.574744,256.6,-1906.1705264955226,-2432.666,-525.0,40,1189,659.0140597820282,389012,2.061815,2.5772686,0.9573866054415703,0.00092824956,2.0617495,-6.563067e-05
-10.196788,274.025,-1931.1293006086664,-2766.2837,-830.0,37,1226,675.7242980003357,399161,2.0861087,2.6076357,0.9300936087965965,0.00092746766,2.0855572,-0.0005513638
-10.270281,262.7,-1970.2248300041267,-2659.0881,-725.0,39,1265,691.5660994052887,409408,2.1105187,2.6381483,0.9232507720589638,0.0009292934,2.1109204,0.00040164293
-11.734087,264.725,-1997.3804527545115,-3046.0015,-910.0,39,1304,707.5570070743561,419658,2.1348922,2.668615,0.915648490190506,0.00092746055,2.1349027,1.0456145e-05
-11.127842,258.525,-2058.571180382858,-2865.5493,-805.0,40,1344,723.4948570728302,429999,2.1593533,2.6991916,0.9291354268789291,0.0009288974,2.158782,-0.00057124346
-10.719931,252.925,-2017.9122113763217,-2674.73,-670.0,40,1384,739.5780501365662,440116,2.183811,2.7297635,0.9443354606628418,0.0009281317,2.1837208,-9.009838e-05
-11.682358,253.05,-2090.48097658645,-2921.3164,-765.0,41,1425,755.7114217281342,450505,2.2082727,2.760341,0.9234681725502014,0.0009281294,2.2079709,-0.00030179025
-11.179073,241.675,-2152.4418331730503,-2621.666,-510.0,42,1467,771.7119085788727,460665,2.2328126,2.7910159,0.9622783772647381,0.0009306531,2.2328243,1.1640787e-05
-11.517971,253.925,-2156.770915571193,-2881.3816,-765.0,41,1508,787.8122096061707,471010,2.2573311,2.8216639,0.9501440823078156,0.0009298258,2.257226,-0.00010525323
-12.073669,255.475,-2151.420607470452,-3039.5247,-870.0,40,1548,803.8948767185211,481229,2.2818303,2.8522878,0.9458609148859978,0.00092929386,2.281651,-0.00017935931
-11.360628,243.55,-2169.089936771258,-2692.4602,-630.0,42,1590,820.1533064842224,491391,2.3063543,2.882943,0.9709774907678366,0.00092868024,2.3067288,0.00037457942
-11.395912,245.65,-2175.1927256764643,-2745.6672,-575.0,42,1632,836.1452536582947,501697,2.3309515,2.9136894,0.9712401330471039,0.00092973805,2.3305674,-0.00038420557
-12.109367,243.85,-2222.823316516288,-2895.7854,-655.0,42,1674,851.5295395851135,511907,2.3554952,2.9443688,0.9608703330159187,0.0009293454,2.355603,0.00010765195
-11.765843,259.95,-2232.527763660715,-3030.8706,-725.0,39,1713,867.7584314346313,522037,2.379975,2.974969,0.9481334164738655,0.0009290604,2.3790529,-0.000922253
-12.962344,259.5,-2293.3720454742115,-3345.1445,-975.0,39,1752,883.5501508712769,532219,2.4044154,3.0055192,0.9344288855791092,0.00092942605,2.4041517,-0.00026373714
-12.228375,252.95,-2291.462558566407,-3043.683,-870.0,41,1793,899.1574883460999,542600,2.428926,3.0361574,0.9387828074395657,0.0009290641,2.428828,-9.7875294e-05
-12.559657,254.075,-2279.989672983135,-3140.72,-830.0,40,1833,915.2997982501984,552763,2.4534433,3.0668042,0.9449357651174068,0.0009298722,2.4531333,-0.00030983688
-12.702829,241.6,-2287.96915890521,-3051.187,-720.0,43,1876,931.4160995483398,563131,2.4780214,3.0975268,0.9469773657619953,0.00092923024,2.477932,-8.9454654e-05
-13.14826,247.35,-2364.2224391834066,-3204.8472,-765.0,41,1917,947.3319153785706,573283,2.5025332,3.1281664,0.9504354111850262,0.000929199,2.5025268,-6.386638e-06
-12.835775,243.6,-2377.407629264804,-3056.823,-725.0,42,1959,962.6833806037903,583535,2.5271487,3.1589358,0.9632615596055984,0.0009309432,2.5273712,0.0002224803
-12.764963,246.875,-2412.3204628135486,-3151.3508,-680.0,41,2000,978.1177794933319,593675,2.5516553,3.189569,0.9525645896792412,0.0009286818,2.5512366,-0.0004185915
-13.221197,245.05,-2415.410954083643,-3200.8127,-885.0,42,2042,993.546790599823,603948,2.5761952,3.220244,0.9611033871769905,0.00093069114,2.575928,-0.00026719124
-14.414444,246.0,-2424.6532095023845,-3525.661,-1025.0,42,2084,1008.9240186214447,614221,2.6007035,3.2508793,0.9363157749176025,0.00092904305,2.6005285,-0.00017511546
-14.678925,238.925,-2492.4810344212024,-3496.1382,-1105.0,43,2127,1042.2922065258026,624637,2.6252859,3.2816074,0.9252896457910538,0.00092980266,2.6252108,-7.500053e-05
-13.701437,245.7,-2458.150622149548,-3330.3247,-930.0,41,2168,1058.0604927539825,634747,2.6498802,3.31235,0.9521484673023224,0.0009311062,2.6495252,-0.00035503507
-14.819898,229.7,-2481.5660202635977,-3369.8257,-840.0,45,2213,1073.6738259792328,645074,2.6744843,3.3431053,0.9530149959027767,0.000930476,2.6742756,-0.00020871832
-13.955139,238.9,-2491.291873670348,-3311.4204,-785.0,43,2256,1089.6182808876038,655281,2.6990178,3.3737721,0.9554065875709057,0.0009300802,2.6986113,-0.00040642917
-14.47135,244.05,-2485.265816241297,-3516.325,-1010.0,42,2298,1105.5970840454102,665592,2.72361,3.4045124,0.9203166887164116,0.00093056913,2.7234664,-0.00014360696
-14.271179,243.125,-2517.494573297909,-3466.8816,-895.0,42,2340,1121.644317150116,675764,2.7481558,3.4351947,0.9500970132648945,0.00093085377,2.7479131,-0.000242728
-14.866351,229.575,-2500.925109959947,-3387.5828,-880.0,45,2385,1136.9284863471985,686004,2.7727451,3.4659314,0.9648626483976841,0.0009300128,2.7728002,5.5083634e-05
-15.522596,238.675,-2552.8181979609144,-3677.522,-1100.0,43,2428,1152.7951204776764,696244,2.7973497,3.496687,0.9407788030803204,0.0009307655,2.7971575,-0.00019226075
-14.651947,241.75,-2559.9216844319812,-3523.0024,-1045.0,43,2471,1168.3338210582733,706529,2.8219635,3.5274544,0.9509326256811619,0.0009314677,2.8217335,-0.00023006201
-15.515879,240.95,-2535.857590607741,-3713.393,-1110.0,42,2513,1183.7345929145813,716604,2.846567,3.5582085,0.9492111578583717,0.0009302924,2.8462574,-0.00030943155
-16.188305,240.875,-2560.386191771441,-3919.2896,-1255.0,43,2556,1198.9707176685333,726991,2.8710926,3.5888658,0.9261564314365387,0.0009289732,2.870778,-0.00031450688
-16.167469,222.7,-2606.85284198128,-3616.3687,-975.0,45,2601,1214.3987770080566,737132,2.895686,3.6196072,0.9439499042928219,0.00093028956,2.895428,-0.0002579935
-15.376925,229.55,-2611.0294004739394,-3508.267,-980.0,45,2646,1230.5641205310822,747494,2.920313,3.650391,0.9431326165795326,0.0009317072,2.9202008,-0.00011196882
-16.254124,234.725,-2639.35874955675,-3782.7039,-1110.0,43,2689,1246.7579073905945,757550,2.9449234,3.6811543,0.9529855214059353,0.0009312342,2.9446783,-0.00024504066
-15.720804,228.05,-2619.160474051018,-3559.4263,-975.0,45,2734,1262.570220708847,767827,2.9695485,3.7119355,0.9499648027122021,0.0009314995,2.9693475,-0.00020099283
-17.523823,238.1,-2666.611101180017,-4219.7227,-1470.0,43,2777,1278.6199977397919,778117,2.9941566,3.7426956,0.9165911450982094,0.00093018764,2.9938278,-0.00032885373
-15.651113,229.475,-2640.5878923644077,-3600.2058,-960.0,44,2821,1294.7456576824188,788351,3.018816,3.77352,0.9374182671308517,0.0009318424,3.0186417,-0.00017416776
-16.273815,234.4,-2641.802411033687,-3818.9546,-1095.0,44,2865,1312.0371673107147,798586,3.0434377,3.804297,0.934881404042244,0.0009310044,3.0431519,-0.00028579234
-15.734975,246.15,-2692.6860022391484,-3882.5312,-1190.0,42,2907,1329.1800456047058,808951,3.0680838,3.8351047,0.937232032418251,0.0009315733,3.0678744,-0.00020941495
-16.523838,235.275,-2664.745064831447,-3884.5325,-1260.0,43,2950,1345.6356794834137,819088,3.0927114,3.8658893,0.9260693863034248,0.000931294,3.0924263,-0.00028519332
-16.77142,235.675,-2688.728794748563,-3967.6133,-1250.0,43,2993,1363.0317163467407,829287,3.1173675,3.8967094,0.9290444254875183,0.000931407,3.1171634,-0.00020411014
-17.962015,241.75,-2672.2714295575256,-4387.673,-1645.0,42,3035,1380.0855803489685,839391,3.1419911,3.9274888,0.8869274258613586,0.0009308638,3.1417396,-0.00025149583
-16.339289,232.95,-2693.1473599835035,-3808.5645,-1265.0,44,3079,1396.966769695282,849714,3.1666205,3.9582756,0.9091439992189407,0.0009320386,3.1664588,-0.00016156732
-17.670948,235.025,-2707.923586990339,-4182.698,-1430.0,43,3122,1413.574991941452,859999,3.1912744,3.989093,0.9124190509319305,0.0009313548,3.1910353,-0.00023908466
-16.740711,234.85,-2700.0040171236637,-3911.31,-1345.0,44,3166,1430.4527513980865,870293,3.2159424,4.019928,0.915803387761116,0.0009319365,3.2157648,-0.00017761513
-17.327278,236.5,-2744.67555467711,-4072.4663,-1400.0,43,3209,1447.339481830597,880479,3.2406101,4.0507627,0.9328787177801132,0.0009320298,3.2404513,-0.0001587823
-17.395016,248.95,-2746.053411278672,-4374.925,-1535.0,41,3250,1463.9327495098114,890678,3.265239,4.0815487,0.9072006642818451,0.00093203166,3.2650502,-0.00018891692
-17.079763,241.85,-2751.4766867260123,-4124.815,-1320.0,43,3293,1480.9894812107086,901005,3.289915,4.112394,0.92583978921175,0.0009321348,3.2898118,-0.000103157756
-17.74679,230.125,-2757.3181452409663,-4131.5767,-1385.0,44,3337,1498.067197561264,911184,3.3145874,4.1432343,0.9127943590283394,0.0009318526,3.314429,-0.00015819818
-17.78161,237.95,-2760.522227789209,-4294.952,-1505.0,44,3381,1514.755253314972,921588,3.3392532,4.1740665,0.8908511847257614,0.0009317648,3.3390598,-0.00019337758
-18.094519,241.3,-2766.9331872954026,-4416.444,-1540.0,43,3424,1546.260006904602,931785,3.3638718,4.2048397,0.9083744809031487,0.00093166,3.3636706,-0.00020128489
-18.427862,243.125,-2766.069722427374,-4522.7383,-1785.0,42,3466,1562.7767808437347,942060,3.388546,4.2356825,0.915047749876976,0.00093193015,3.388364,-0.0001819849
-18.439169,245.675,-2787.3914163550016,-4572.9023,-1765.0,41,3507,1579.0995917320251,952125,3.4132252,4.2665315,0.8936856314539909,0.0009322403,3.413083,-0.00014221072
-18.375965,245.05,-2809.7267450134404,-4539.1104,-1810.0,42,3549,1595.4889328479767,962329,3.4378898,4.2973623,0.9184299036860466,0.0009320557,3.4377356,-0.00015422105
-17.118656,237.0,-2766.129431705142,-4049.0483,-1375.0,43,3592,1612.3546397686005,972512,3.4625554,4.328194,0.9283850193023682,0.0009325629,3.4624743,-8.101761e-05
-18.459442,231.025,-2786.578941215327,-4306.2876,-1575.0,44,3636,1629.9574670791626,982888,3.4872372,4.3590465,0.9136359691619873,0.0009320214,3.4870453,-0.00019193292
-18.825098,241.55,-2805.878959249202,-4619.9355,-1730.0,43,3679,1646.2626445293427,993172,3.5119107,4.3898883,0.8908117786049843,0.0009323949,3.5117936,-0.00011716932
-18.36464,228.6,-2771.3441423303034,-4236.6646,-1655.0,45,3724,1662.6516978740692,1003486,3.536577,4.420721,0.8830984234809875,0.00093243085,3.5364504,-0.00012666434
-18.530767,234.525,-2818.0581757488662,-4418.5225,-1540.0,43,3767,1679.6423707008362,1013607,3.5612621,4.4515777,0.8977069109678268,0.0009325111,3.5611355,-0.00012651682
-18.15965,236.475,-2807.036316860161,-4306.8545,-1550.0,44,3811,1696.6478817462921,1023949,3.5859373,4.4824214,0.9179868847131729,0.00093270943,3.5858586,-7.873178e-05
-18.967243,247.675,-2825.326212304866,-4704.4795,-1845.0,41,3852,1714.1567389965057,1034086,3.6106026,4.513253,0.9155407473444939,0.00093274674,3.6104932,-0.00010938644
-18.286688,234.5,-2809.098591188757,-4318.5454,-1495.0,43,3895,1730.7025179862976,1044246,3.6352997,4.5441246,0.9166497960686684,0.0009327188,3.6352158,-8.401424e-05
-19.606411,252.475,-2833.6883778610168,-5102.7817,-2090.0,41,3936,1746.854646205902,1054664,3.6599648,4.574956,0.8900593668222427,0.00093258714,3.6598513,-0.00011344552
-19.579891,236.35,-2850.431511324781,-4633.2686,-1945.0,43,3979,1763.019826412201,1064885,3.684637,4.6057963,0.9077852889895439,0.00093266106,3.684532,-0.00010515
-19.1151,237.975,-2823.6090698269754,-4605.55,-1615.0,43,4022,1780.0953223705292,1075055,3.7093613,4.6367016,0.910676933825016,0.0009328342,3.709294,-6.723404e-05
-19.959719,242.0,-2878.3083183533063,-4932.7344,-2185.0,42,4064,1796.4246089458466,1085265,3.7340004,4.6675005,0.8723881840705872,0.0009328062,3.733921,-7.9399346e-05
-19.3577,248.775,-2883.3869900670175,-4880.0117,-2005.0,41,4105,1812.752741575241,1095443,3.758726,4.698407,0.8659168779850006,0.00093280466,3.758657,-6.893277e-05
-19.709713,240.475,-2861.4214447224017,-4829.7437,-2135.0,43,4148,1829.4061448574066,1105744,3.7833982,4.7292476,0.8815371319651604,0.0009328745,3.7833073,-9.087622e-05
-19.800432,241.875,-2845.6461060933752,-4944.778,-2035.0,42,4190,1846.2061541080475,1115945,3.808061,4.760076,0.8597640693187714,0.00093282276,3.8079865,-7.442236e-05
-20.144672,230.725,-2865.8548634430495,-4704.1387,-1960.0,45,4235,1862.5666892528534,1126381,3.8327634,4.790954,0.8768899887800217,0.0009328347,3.8326952,-6.828308e-05
