# {"t_start": 1563718172.3094146, "env_id": "SignalizedEco-v0"} 
r,l,t
-693.621194,121,0.812383
-692.627734,122,1.009142
-150.1,1001,2.79197
-150.1,1001,4.618773
-150.1,1001,6.394711
-150.1,1001,8.215174
-150.1,1001,9.992445
-693.910318,121,10.203285
-150.1,1001,12.084211
-150.1,1001,13.881675
-150.1,1001,15.774595
-150.1,1001,17.568438
-150.1,1001,19.432947
-150.1,1001,21.247586
-150.1,1001,23.065274
-611.434882,159,23.395782
-150.1,1001,25.345932
-150.1,1001,27.061294
-150.1,1001,28.872593
-150.1,1001,30.810239
-150.1,1001,32.732403
-150.1,1001,34.667165
-150.1,1001,36.586734
-150.1,1001,38.535824
-150.1,1001,40.432975
-150.1,1001,42.396978
-690.967978,124,42.604591
-150.1,1001,44.529965
-150.1,1001,46.546448
-150.1,1001,48.485006
-150.1,1001,50.440265
-150.1,1001,52.352819
-150.1,1001,54.281729
-150.1,1001,56.258087
-150.1,1001,58.149543
-150.1,1001,59.863763
-150.1,1001,61.749182
-150.1,1001,63.71018
-150.1,1001,65.568512
-404.401079,1001,67.437831
-150.1,1001,69.373872
-691.752271,123,69.698879
-150.1,1001,71.574753
-150.1,1001,73.573476
-150.1,1001,75.444676
-689.916595,125,75.677026
-150.1,1001,77.573396
-150.1,1001,79.426839
-150.1,1001,81.468186
-681.155667,128,81.687539
-689.990005,125,81.906178
-150.1,1001,83.913226
-692.113147,122,84.227268
-150.1,1001,86.096749
-692.072345,122,86.300945
-150.1,1001,88.219501
-150.1,1001,90.111231
-150.1,1001,92.075414
-150.1,1001,93.934502
-691.732059,122,94.137961
-150.1,1001,96.070888
-150.1,1001,97.975725
-254.727888,869,99.779324
-150.1,1001,101.64804
-150.1,1001,103.599346
-688.345163,126,103.815056
-150.1,1001,105.704636
-150.1,1001,107.656591
-150.1,1001,109.451465
-150.1,1001,111.376772
-150.1,1001,113.206601
-150.1,1001,115.091923
-150.1,1001,117.055984
-692.102536,123,117.270755
-691.22811,124,117.61752
-150.1,1001,119.629642
-150.1,1001,121.569472
-686.995129,128,121.776762
-692.275677,123,122.094159
-690.507825,123,122.300403
-150.1,1001,124.217798
-150.1,1001,126.246497
-150.1,1001,128.15193
-690.244772,124,128.478278
-688.527368,126,128.687869
-150.1,1001,130.736054
-692.091724,122,130.93924
-150.1,1001,132.87349
-150.1,1001,134.883048
-585.370105,177,135.247078
-150.1,1001,137.231476
-690.808676,124,137.449157
-689.671088,124,137.667618
-150.1,1001,139.781976
-150.1,1001,141.706109
-150.1,1001,143.733222
-150.1,1001,145.569546
-253.15948,900,147.337233
-150.1,1001,149.27881
-150.1,1001,151.49221
-150.1,1001,153.419558
-150.1,1001,155.363182
-150.1,1001,157.365855
-150.1,1001,159.382392
-150.1,1001,161.287531
-150.1,1001,163.25419
-150.1,1001,165.125605
-243.907124,773,166.602787
-150.1,1001,168.486516
-356.595996,1001,170.506183
-357.581746,1001,172.31864
-150.1,1001,174.37068
-150.1,1001,176.174666
-150.1,1001,178.168942
-150.1,1001,180.000104
-150.1,1001,182.030572
-150.1,1001,183.984081
-150.1,1001,185.929091
-150.1,1001,187.774823
-150.1,1001,189.943796
-150.1,1001,191.714208
-150.1,1001,193.706722
-150.1,1001,195.527304
-150.1,1001,197.52963
-356.57071,1001,199.354717
-150.1,1001,201.528503
-150.1,1001,203.346716
-229.494069,602,204.729783
-150.1,1001,206.557168
-150.1,1001,208.578954
-150.1,1001,210.458563
-150.1,1001,212.544453
-150.1,1001,214.423592
-150.1,1001,216.492154
-150.1,1001,218.323379
-150.1,1001,220.381701
-150.1,1001,222.306837
-486.630532,473,223.121986
-150.1,1001,225.165581
-150.1,1001,226.991282
-150.1,1001,229.021028
-150.1,1001,230.852447
-150.1,1001,232.893505
-150.1,1001,234.717508
-473.201383,527,236.008221
-150.1,1001,237.861426
-150.1,1001,239.942843
-357.130142,1001,241.807059
-357.284553,1001,243.853037
-150.1,1001,245.666092
-150.1,1001,247.736186
-150.1,1001,249.731739
-150.1,1001,251.810006
-150.1,1001,253.627321
-150.1,1001,255.7054
-150.1,1001,257.655262
-150.1,1001,259.826577
-150.1,1001,261.770836
-150.1,1001,263.926931
-150.1,1001,265.746028
-150.1,1001,267.901874
-150.1,1001,269.694695
-150.1,1001,271.841777
-150.1,1001,273.658888
-150.1,1001,275.605886
-150.1,1001,277.47249
-150.1,1001,279.585211
-150.1,1001,281.425757
-150.1,1001,283.494282
-150.1,1001,285.310302
-150.1,1001,287.523833
-150.1,1001,289.429317
-150.1,1001,291.577939
-150.1,1001,293.407146
-150.1,1001,295.527339
-356.614718,1001,297.458053
-150.1,1001,299.545988
-150.1,1001,301.475016
-150.1,1001,303.610066
-150.1,1001,305.477688
-150.1,1001,307.636653
-357.962988,1001,309.617062
-150.1,1001,311.858532
-150.1,1001,313.716169
-150.1,1001,315.90274
-357.105576,1001,317.705007
-150.1,1001,319.81095
-150.1,1001,321.672025
-150.1,1001,323.777717
-150.1,1001,325.540542
-150.1,1001,327.72516
-150.1,1001,329.510789
-150.1,1001,331.660381
-150.1,1001,333.484388
-150.1,1001,335.595275
-150.1,1001,337.480404
-150.1,1001,339.680754
-150.1,1001,341.589437
-150.1,1001,343.753384
-150.1,1001,345.571691
-150.1,1001,347.712802
-150.1,1001,349.541962
-150.1,1001,351.678827
-150.1,1001,353.493137
-150.1,1001,355.662779
-150.1,1001,357.479939
-150.1,1001,359.613972
-150.1,1001,361.474801
-150.1,1001,363.646827
-150.1,1001,365.207513
-150.1,1001,367.339716
-150.1,1001,369.171436
-150.1,1001,371.320152
-150.1,1001,373.406727
-150.1,1001,375.642451
-150.1,1001,377.469482
-150.1,1001,379.64593
