obs_rms_mean,obs_rms_std,param_noise_stddev,reference_Q_mean,reference_Q_std,reference_action_mean,reference_action_std,reference_actor_Q_mean,reference_actor_Q_std,reference_perturbed_action_mean,reference_perturbed_action_std,rollout/Q_mean,rollout/actions_mean,rollout/actions_std,rollout/episode_steps,rollout/episodes,rollout/return,rollout/return_history,rollout/return_history_std,rollout/return_std,total/duration,total/episodes,total/epochs,total/steps,total/steps_per_second,train/loss_actor,train/loss_critic,train/param_noise_distance
0.0,1.0,0.2123040301202,-0.16289140284061432,6.237459182739258,-0.9991891384124756,0.0001711573131615296,1.1309894323349,3.7714579105377197,-0.9923880100250244,0.003295415546745062,0.46420514583587646,-0.5494782328605652,0.5435318946838379,414.6666666666667,3.0,-512.1162719726562,-512.1162719726562,255.98512268066406,255.98512268066406,3.687368154525757,3.0,1,2000,542.3922744316334,-1.4945399761199951,291.1441345214844,0.002190197119489312
0.0,1.0,0.24403800798959338,-0.3977651000022888,4.91503381729126,-0.9995243549346924,7.976968481671065e-05,0.7174844145774841,2.7031776905059814,-0.9817635416984558,0.03769383952021599,1.3793964385986328,-0.771511971950531,0.4439128637313843,649.2,5.0,-367.3093566894531,-367.3093566894531,266.02740478515625,266.02740478515625,7.291461706161499,5.0,2,4000,548.5868487274482,-1.4118618965148926,245.1055450439453,0.6146389245986938
0.0,1.0,0.26425819337965023,-0.826989471912384,3.6255342960357666,-0.9996771812438965,4.7047087718965486e-05,0.207752525806427,1.5154021978378296,-0.9076378345489502,0.22728821635246277,1.3178069591522217,-0.7033816576004028,0.45009198784828186,671.125,8.0,-353.83197021484375,-353.83197021484375,263.0182800292969,263.0182800292969,10.955953121185303,8.0,3,6000,547.6474692464614,-0.6371180415153503,111.7509994506836,0.0002715943264774978
0.0,1.0,0.2977727467176443,-1.7431950569152832,3.4294183254241943,-0.9997889995574951,2.6897138013737276e-05,-0.6987788677215576,1.296390175819397,-0.9871143102645874,0.0034612526651471853,1.093210220336914,-0.772854208946228,0.4081566035747528,737.1,10.0,-313.08538818359375,-313.08538818359375,248.96591186523438,248.96591186523438,14.646308898925781,10.0,4,8000,546.2127048670093,0.22718879580497742,75.13449096679688,0.0010095724137499928
0.0,1.0,0.3289263643687765,-2.723130226135254,3.3853251934051514,-0.9998619556427002,1.557500581839122e-05,-1.540756344795227,0.904098391532898,-0.9996500015258789,0.00013516894250642508,0.7512161135673523,-0.8173515796661377,0.3764048218727112,781.0833333333334,12.0,-285.9210205078125,-285.9210205078125,235.25067138671875,235.25067138671875,18.300715684890747,12.0,5,10000,546.4267175220966,1.1819839477539062,72.7630844116211,1.382347583770752
0.0,1.0,0.3633393397128182,-3.1893739700317383,2.4716079235076904,-0.9998949766159058,1.05317903944524e-05,-2.2390687465667725,0.34038758277893066,-0.9675082564353943,0.2455281913280487,0.36291924118995667,-0.7668187022209167,0.4152415096759796,812.5,14.0,-266.51788330078125,-266.51788330078125,222.92520141601562,222.92520141601562,21.92483949661255,14.0,6,12000,547.3244172142759,2.102961540222168,3.4796559810638428,0.0007723012822680175
0.0,1.0,0.3706424604410459,-4.100916862487793,2.2437596321105957,-0.9999158978462219,7.84314761403948e-06,-3.1978375911712646,0.21214164793491364,-0.9999769926071167,2.552916521381121e-05,-0.06397509574890137,-0.787787675857544,0.4033689796924591,796.2352941176471,17.0,-273.11077880859375,-273.11077880859375,222.42971801757812,222.42971801757812,25.675430297851562,17.0,7,14000,545.2683689266729,3.0291054248809814,106.37940216064453,1.8800467252731323
0.0,1.0,0.3633393397128182,-4.601922035217285,1.4743398427963257,-0.9999308586120605,5.980125024507288e-06,-3.9844753742218018,0.051551517099142075,-0.968373715877533,0.010132819414138794,-0.49505987763404846,-0.7968260049819946,0.3809216320514679,817.7894736842105,19.0,-260.1622009277344,-260.1622009277344,213.75746154785156,213.75746154785156,29.250873565673828,19.0,8,16000,546.9922108164369,3.9093434810638428,2.7192182540893555,0.007641028147190809
0.0,1.0,0.3856920306112187,-5.330874443054199,1.3031286001205444,-0.9999465346336365,4.552152404357912e-06,-4.808701515197754,0.11077074706554413,-0.9995291233062744,0.003538913559168577,-0.9268925786018372,-0.8181824088096619,0.3641994595527649,835.2380952380952,21.0,-249.67999267578125,-249.67999267578125,205.87481689453125,205.87481689453125,33.12547492980957,21.0,9,18000,543.3884355813967,4.732429027557373,35.09268569946289,0.07804766297340393
0.0,1.0,0.3856920306112187,-6.6814680099487305,2.402909278869629,-0.9999633431434631,2.9465704756148625e-06,-5.787123680114746,0.5061531662940979,-0.9999940395355225,4.361304308986291e-05,-1.3471630811691284,-0.8249877095222473,0.3481336832046509,849.6521739130435,23.0,-241.02078247070312,-241.02078247070312,198.71119689941406,198.71119689941406,36.98544430732727,23.0,10,20000,540.7532713088904,5.466423511505127,63.82967758178711,1.7137686014175415
0.0,1.0,0.39344444042650417,-6.989717483520508,1.6472498178482056,-0.999972939491272,1.947696318893577e-06,-6.321515083312988,0.16312536597251892,-0.9764736294746399,0.03021409548819065,-1.753281593322754,-0.8405635356903076,0.33558517694473267,861.76,25.0,-233.7470245361328,-233.7470245361328,192.1865997314453,192.1865997314453,40.851094007492065,25.0,11,22000,538.5412688327322,6.275641918182373,2.464160203933716,2.8192442186991684e-05
0.0,1.0,0.3856920306112187,-7.822746276855469,2.1103925704956055,-0.9999855756759644,8.445488788311195e-07,-6.941764831542969,0.12279509007930756,-0.9989016056060791,0.0005298107280395925,-2.16215443611145,-0.8026095628738403,0.3840514123439789,845.3571428571429,28.0,-244.1015167236328,-244.1015167236328,202.0816192626953,202.0816192626953,44.74067544937134,28.0,12,24000,536.4246238785211,6.779585361480713,75.19084930419922,0.21914319694042206
